SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Duration,Subject,Activity
1759229447.48794,1.141735,10.663924,-5.530157,0.335481,0.787187,0.327121,2.34023,5,DOWNSTAIRS
1759229447.50832,2.127697,10.975469,-6.253355,1.299175,-1.492712,0.122435,2.36061,5,DOWNSTAIRS
1759229447.52831,3.189974,10.146776,-3.866785,1.611506,-2.951892,-0.154953,2.38060,5,DOWNSTAIRS
1759229447.54770,3.358466,8.897901,-3.374328,0.762063,-4.514754,-0.448919,2.39999,5,DOWNSTAIRS
1759229447.56831,3.735852,8.160487,0.796521,0.8442,-4.736951,-0.732557,2.42060,5,DOWNSTAIRS
1759229447.58794,4.705354,5.792771,1.223736,1.713214,-3.79836,-0.630447,2.44023,5,DOWNSTAIRS
1759229447.60831,5.92924,4.371812,-0.256778,1.9679,-0.713437,-0.218107,2.46060,5,DOWNSTAIRS
1759229447.62831,2.846107,4.837484,0.371251,1.622257,-0.411125,0.175907,2.48060,5,DOWNSTAIRS
1759229447.64769,2.252345,3.866037,4.519804,1.115685,-0.288478,0.343734,2.49998,5,DOWNSTAIRS
1759229447.66830,-0.295385,3.950433,3.119046,1.352089,-0.211274,-0.1188,2.52059,5,DOWNSTAIRS
1759229447.68797,-2.344522,6.68087,-0.881515,2.891306,-0.983355,0.133234,2.54026,5,DOWNSTAIRS
1759229447.70834,-2.530372,9.836129,-5.146636,3.162219,1.082813,0.449958,2.56063,5,DOWNSTAIRS
1759229447.72831,-1.562965,11.845612,-7.235128,2.84076,1.435292,-0.021848,2.58060,5,DOWNSTAIRS
1759229447.74833,-0.166397,10.1164,-4.747852,3.457908,-0.138705,-0.361974,2.60062,5,DOWNSTAIRS
1759229447.76789,4.235492,10.528053,-4.98368,4.04935,0.160077,-0.033238,2.62018,5,DOWNSTAIRS
1759229447.78808,7.683292,12.22629,-4.005948,3.736605,0.645461,0.208878,2.64037,5,DOWNSTAIRS
1759229447.80830,8.926781,11.740417,-6.105065,3.434761,0.823942,-0.028998,2.66059,5,DOWNSTAIRS
1759229447.82831,6.233903,16.092776,-9.073276,2.997078,0.489314,-0.629736,2.68060,5,DOWNSTAIRS
1759229447.84769,3.88145,23.97344,-11.919982,1.393974,-0.750826,-1.284897,2.69998,5,DOWNSTAIRS
1759229447.86831,2.468721,13.48983,-8.012645,0.751824,-0.868197,-0.6456,2.72060,5,DOWNSTAIRS
1759229447.88794,5.737555,4.716727,-3.714604,0.670284,0.051545,-0.294447,2.74023,5,DOWNSTAIRS
1759229447.90830,5.360618,4.063858,-1.607706,0.703216,1.060404,0.078004,2.76059,5,DOWNSTAIRS
1759229447.92834,3.289483,5.218462,-3.541772,0.516766,0.947878,-0.231762,2.78063,5,DOWNSTAIRS
1759229447.94770,1.551293,7.19293,-4.08361,0.344725,0.987903,-0.349109,2.79999,5,DOWNSTAIRS
1759229447.96829,2.629881,6.948871,-5.253627,-0.149091,1.322165,-0.513096,2.82058,5,DOWNSTAIRS
1759229447.98799,3.696049,5.735759,-3.488801,-0.731479,1.640508,-0.588344,2.84028,5,DOWNSTAIRS
1759229448.00831,4.302979,4.528632,-1.134552,-1.081794,1.866913,-0.484517,2.86060,5,DOWNSTAIRS
1759229448.02833,4.178032,3.29502,-0.754174,-1.272209,1.375347,-0.449717,2.88062,5,DOWNSTAIRS
1759229448.04769,2.395399,2.648735,-0.888847,-1.717684,0.864316,-0.346647,2.89998,5,DOWNSTAIRS
1759229448.06814,1.303792,3.260154,-1.369633,-2.249189,0.586103,-0.349031,2.92043,5,DOWNSTAIRS
1759229448.08799,0.444124,4.396652,-1.434875,-2.800294,0.353029,-0.266729,2.94028,5,DOWNSTAIRS
1759229448.10829,0.763451,6.32982,0.257377,-3.245431,1.085512,-0.31556,2.96058,5,DOWNSTAIRS
1759229448.12832,2.408118,8.512285,2.131139,-3.324312,2.504125,-0.948449,2.98061,5,DOWNSTAIRS
1759229448.14766,2.97285,9.633519,2.412308,-2.980391,3.7673,-1.944531,2.99995,5,DOWNSTAIRS
1759229448.16829,2.819621,10.998663,-0.030227,-2.503113,4.066772,-1.4782,3.02058,5,DOWNSTAIRS
1759229448.18809,5.339668,10.571747,-3.011606,0.97898,4.46919,0.800779,3.04038,5,DOWNSTAIRS
1759229448.20828,11.265317,9.944766,-17.729811,1.659011,3.731987,1.087048,3.06057,5,DOWNSTAIRS
1759229448.22832,9.10874,8.00636,-13.439402,-0.346004,0.504701,-0.019403,3.08061,5,DOWNSTAIRS
1759229448.24772,6.444892,5.546767,-6.757933,-1.662982,-2.727431,-0.523783,3.10001,5,DOWNSTAIRS
1759229448.26831,5.033061,6.724564,0.251242,-1.852268,-3.847391,-1.055123,3.12060,5,DOWNSTAIRS
1759229448.28801,4.012083,6.642862,5.253327,-0.797982,-2.397368,-1.384357,3.14030,5,DOWNSTAIRS
1759229448.30830,2.281525,5.915623,4.397101,0.457869,-0.494591,-0.934639,3.16059,5,DOWNSTAIRS
1759229448.32830,1.520767,7.058406,0.145298,0.931673,0.807239,-0.353919,3.18059,5,DOWNSTAIRS
1759229448.34769,-0.187047,8.76203,-7.001543,0.04756,1.392012,-0.667462,3.19998,5,DOWNSTAIRS
1759229448.36829,-1.645864,8.133702,-9.675418,-0.964276,0.508703,-1.019465,3.22058,5,DOWNSTAIRS
1759229448.38808,0.076614,8.899696,-6.538265,-2.138094,-1.521066,-1.017026,3.24037,5,DOWNSTAIRS
1759229448.40827,6.512528,14.323461,2.312948,-2.390941,-2.283502,-1.518933,3.26056,5,DOWNSTAIRS
1759229448.42830,10.631452,16.796821,5.064934,-1.823407,-2.113296,-1.289365,3.28059,5,DOWNSTAIRS
1759229448.44768,14.925902,10.836606,4.391564,-0.834028,1.786116,-0.143347,3.29997,5,DOWNSTAIRS
1759229448.46831,10.375423,6.980893,-1.293318,1.274494,2.445143,0.405904,3.32060,5,DOWNSTAIRS
1759229448.48794,4.938191,11.470321,-4.841974,1.73409,-1.363069,1.233079,3.34023,5,DOWNSTAIRS
1759229448.50827,3.807529,22.933758,-4.229657,0.220937,-2.707575,1.396916,3.36056,5,DOWNSTAIRS
1759229448.52830,1.644368,22.008549,1.211167,-1.082566,-2.64317,-0.39344,3.38059,5,DOWNSTAIRS
1759229448.54768,-0.147543,16.016311,5.31827,-0.879953,-2.026186,-2.005003,3.39997,5,DOWNSTAIRS
1759229448.56832,-2.893692,11.149947,4.394707,-0.39789,-1.963804,-1.999979,3.42061,5,DOWNSTAIRS
1759229448.58795,-4.374955,6.75928,1.909825,-0.101222,-1.913607,-1.047527,3.44024,5,DOWNSTAIRS
1759229448.60826,-3.714005,7.393145,1.813907,-0.511046,-0.506812,-0.013342,3.46055,5,DOWNSTAIRS
1759229448.62835,0.335787,7.842956,0.548721,-0.891479,0.591828,0.46984,3.48064,5,DOWNSTAIRS
1759229448.64833,1.195455,6.026954,0.01661,-1.151826,-0.115051,0.870013,3.50062,5,DOWNSTAIRS
1759229448.66832,2.232593,5.564274,0.52029,-1.119923,-0.813799,1.159552,3.52061,5,DOWNSTAIRS
1759229448.68796,4.092738,7.253234,-0.453402,-0.458052,-0.476057,1.108932,3.54025,5,DOWNSTAIRS
1759229448.70829,4.059369,8.102876,-3.992182,-0.276055,-0.231056,0.656013,3.56058,5,DOWNSTAIRS
1759229448.72831,1.816601,8.322245,-6.753295,-0.762906,-1.560829,0.317342,3.58060,5,DOWNSTAIRS
1759229448.74770,-0.244508,8.274062,-4.523096,-0.756275,-2.875349,0.180772,3.59999,5,DOWNSTAIRS
1759229448.76829,-1.046266,8.421305,-3.928586,-0.433947,-3.379078,0.128246,3.62058,5,DOWNSTAIRS
1759229448.78801,-1.700033,9.382727,-3.606865,-0.000604,-3.12429,-0.050482,3.64030,5,DOWNSTAIRS
1759229448.80826,-2.847454,10.193014,-3.667169,0.764806,-3.100257,-0.327697,3.66055,5,DOWNSTAIRS
1759229448.82830,-2.052579,9.265112,0.580744,1.057245,-2.184896,-0.060586,3.68059,5,DOWNSTAIRS
1759229448.84770,0.773477,9.403676,-0.935085,1.081333,-0.734697,-0.157545,3.69999,5,DOWNSTAIRS
1759229448.86749,-0.071078,7.872285,2.405574,0.807387,0.426033,0.071594,3.71978,5,DOWNSTAIRS
1759229448.88808,-0.289549,7.08968,3.557185,0.607651,0.566765,0.207034,3.74037,5,DOWNSTAIRS
1759229448.90825,-2.719364,10.036194,-1.088314,0.965602,-0.807803,-0.262697,3.76054,5,DOWNSTAIRS
1759229448.92830,-2.802114,10.893767,-2.237232,1.27804,-0.866643,-0.484558,3.78059,5,DOWNSTAIRS
1759229448.94768,-1.695095,9.725546,-0.356287,0.619548,1.887303,-0.395728,3.79997,5,DOWNSTAIRS
1759229448.96829,-0.009876,7.774571,-1.331924,2.163553,1.371756,-0.583557,3.82058,5,DOWNSTAIRS
1759229448.98781,2.699911,6.989572,-2.187402,3.193024,1.029801,-0.559804,3.84010,5,DOWNSTAIRS
1759229449.00826,4.949862,5.682039,-3.885191,3.741807,2.211446,-0.575588,3.86055,5,DOWNSTAIRS
1759229449.02843,4.334253,4.54599,-3.14658,4.412477,2.031851,-0.265301,3.88072,5,DOWNSTAIRS
1759229449.04768,5.561431,7.426814,-2.315043,4.741544,1.804098,0.016965,3.89997,5,DOWNSTAIRS
1759229449.06831,5.042039,13.768455,-6.089951,4.120662,1.704294,-0.164565,3.92060,5,DOWNSTAIRS
1759229449.08796,2.884115,19.488053,-9.759514,2.561761,0.194278,-0.920837,3.94025,5,DOWNSTAIRS
1759229449.10824,0.225504,21.549162,-7.54383,1.306084,-2.07412,-1.740768,3.96053,5,DOWNSTAIRS
1759229449.12835,0.019752,17.713501,-4.965275,1.390416,-1.541559,-1.509249,3.98064,5,DOWNSTAIRS
1759229449.14767,3.816507,10.211719,-9.721955,0.869527,-0.562144,-0.388703,3.99996,5,DOWNSTAIRS
1759229449.16749,5.778555,9.327211,-7.997232,-0.054508,-0.306299,-0.096965,4.01978,5,DOWNSTAIRS
1759229449.18830,6.064214,10.358214,-4.997447,-0.04834,-1.002699,-0.47148,4.04059,5,DOWNSTAIRS
1759229449.20833,4.080767,8.555081,-3.783288,-0.199555,-0.201563,-0.763006,4.06062,5,DOWNSTAIRS
1759229449.22831,1.302595,5.783344,-4.666,-0.060049,1.10543,-0.561157,4.08060,5,DOWNSTAIRS
1759229449.24767,-0.41704,5.744588,-5.330989,-0.201125,1.644336,-0.204549,4.09996,5,DOWNSTAIRS
1759229449.26828,-0.368857,5.898864,-3.206584,-0.496682,2.02202,0.12384,4.12057,5,DOWNSTAIRS
1759229449.28843,1.651401,5.968595,-1.295263,-0.585887,1.827878,0.207096,4.14072,5,DOWNSTAIRS
1759229449.30831,2.6013,4.703559,-0.22311,-0.612511,1.606172,0.210095,4.16060,5,DOWNSTAIRS
1759229449.32829,2.800468,2.990807,-0.686088,-0.848251,1.222355,0.285326,4.18058,5,DOWNSTAIRS
1759229449.34768,2.636465,2.4569,-1.574188,-1.355665,0.990265,0.403746,4.19997,5,DOWNSTAIRS
