SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759229445.147718, -0.507122, -1.486201, -9.277232, -0.284823, -0.152141, 0.018398, 7.949753, -62.033127, -199.058594, , 
1759229445.168383, -0.579098, -1.382203, -9.390358, -0.046901, -0.515511, -0.044750, 8.169708, -61.768860, -198.821457, , 
1759229445.187683, -1.115997, -1.564760, -9.058612, 0.241024, -0.703618, -0.007795, 7.763046, -62.060410, -199.025543, , 
1759229445.208362, -0.960823, -1.655740, -8.773253, 0.468231, -0.885125, 0.036246, 8.286575, -61.957794, -199.179749, , 
1759229445.228360, -0.724695, -1.230769, -8.667309, 0.566338, -1.257728, -0.066331, 7.548935, -62.385056, -199.342453, , 
1759229445.247686, -0.487669, -1.799542, -8.961796, 0.565727, -2.102914, -0.171337, 7.021530, -62.490555, -200.480194, , 
1759229445.268328, -0.497994, -1.792359, -9.028534, 0.519756, -2.493299, -0.269587, 6.472656, -62.444061, -200.655487, 13.729655, 100.771872
1759229445.287923, -1.631349, -1.810166, -8.396764, 0.536678, -2.447244, -0.280442, 5.638443, -62.484085, -201.766159, 13.729655, 100.771872
1759229445.308352, -1.535132, -1.761384, -8.997111, 0.548383, -2.764040, -0.263223, 4.891022, -62.991745, -201.944733, 13.729655, 100.771872
1759229445.328468, -2.288707, -1.275062, -8.889820, 0.636163, -2.743759, 0.005125, 4.205124, -62.950745, -202.227066, 13.729655, 100.771872
1759229445.347796, -2.608183, -1.557877, -8.994417, 0.596433, -2.666676, 0.295147, 3.576462, -62.976456, -202.478363, 13.729655, 100.771872
1759229445.367642, -2.429217, -1.123479, -9.674221, 0.498731, -2.719171, 0.433903, 2.449051, -62.987457, -202.697510, 13.729655, 100.771872
1759229445.387674, -3.192818, -1.662474, -9.809942, 0.565519, -2.699712, 0.533175, 2.388992, -63.323502, -202.910965, 13.729655, 100.771872
1759229445.408355, -4.651036, -1.665915, -9.051579, 0.624712, -2.685967, 0.384974, 1.898148, -63.086685, -202.498703, 13.729655, 100.771872
1759229445.428371, -6.872107, -2.217480, -8.224681, 0.479819, -2.219399, 0.170536, 1.457489, -63.696259, -203.235825, 13.729655, 100.771872
1759229445.448387, -6.831406, -2.883816, -7.644387, 0.261240, -1.771327, 0.146685, 1.583694, -63.356049, -203.045990, 13.729655, 100.771872
1759229445.467870, -6.365434, -2.927360, -7.567772, 0.104373, -1.414430, 0.098318, 0.131607, -63.667374, -202.546158, 13.729655, 100.771872
1759229445.488054, -6.366182, -2.410961, -8.043021, 0.059422, -1.708879, 0.083418, 0.343307, -63.621185, -202.829239, 13.729655, 100.771872
1759229445.508359, -6.662016, -2.152836, -8.928577, 0.126563, -2.392825, 0.038791, -0.072296, -63.478088, -202.778595, 13.729655, 100.771872
1759229445.528414, -5.899313, -1.783531, -9.388413, 0.052118, -3.182151, -0.341102, -0.977753, -63.266602, -202.481995, 13.729655, 100.771872
1759229445.547779, -5.388001, -0.452953, -8.188768, -0.372846, -3.518759, -1.260810, -2.442581, -63.597656, -201.890396, 13.729655, 100.771872
1759229445.568337, -5.308993, 0.129885, -4.335151, -0.793478, -1.297340, -2.142455, -3.918625, -63.377563, -200.930420, 13.729655, 100.771872
1759229445.588101, -5.187936, -1.866879, -0.198120, -0.628993, 0.402309, -2.393772, -5.556351, -64.495224, -200.708206, 13.729655, 100.771872
1759229445.608338, -8.364293, -3.372532, -2.047791, -0.396648, 1.072955, -1.959474, -6.544678, -64.444641, -200.369125, 13.729655, 100.771872
1759229445.628398, -9.038111, -4.065953, -4.477756, -0.562090, 1.362988, -1.457731, -6.813339, -64.559067, -200.541946, 13.729655, 100.771872
1759229445.647738, -7.884256, -4.784962, -6.079626, -0.831058, 1.322646, -1.140785, -7.673416, -64.367493, -200.445938, 13.729655, 100.771872
