SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759229816.40036,6.476166,13.819182,5.667674,-0.607384,-0.650735,-0.481369,6,DOWNSTAIRS
1759229816.42026,5.687576,9.996839,3.660734,-0.799119,-0.566715,-0.544118,6,DOWNSTAIRS
1759229816.44028,5.443816,17.983597,-17.436671,0.330542,-2.056115,-0.784832,6,DOWNSTAIRS
1759229816.46035,4.378995,25.320628,2.131588,-1.109677,-3.329763,-0.729783,6,DOWNSTAIRS
1759229816.48031,4.090045,6.679074,5.160851,-1.064277,-1.530911,-0.933703,6,DOWNSTAIRS
1759229816.50037,3.558981,3.870676,0.954987,-0.057491,0.607841,-0.54239,6,DOWNSTAIRS
1759229816.52035,6.063615,6.604854,3.09271,0.078024,1.868484,0.390787,6,DOWNSTAIRS
1759229816.54032,5.814917,8.003367,2.892046,0.140953,2.715324,0.413309,6,DOWNSTAIRS
1759229816.56026,2.331055,10.36839,-4.549582,0.160595,2.883538,0.241525,6,DOWNSTAIRS
1759229816.58025,2.442834,16.543185,-3.217208,-0.53439,1.09854,-0.112704,6,DOWNSTAIRS
1759229816.60024,3.466654,11.404181,-0.027982,-0.988839,0.023983,-0.457493,6,DOWNSTAIRS
1759229816.62031,5.460426,5.042338,-2.32073,-0.499125,0.251745,-0.307587,6,DOWNSTAIRS
1759229816.64044,6.869862,0.325163,-2.491466,0.102423,-0.057615,0.214352,6,DOWNSTAIRS
1759229816.66044,5.583578,-0.611719,-2.351106,0.172526,-0.290684,0.511878,6,DOWNSTAIRS
1759229816.67966,2.660557,4.521001,-6.017078,0.234122,-0.422142,0.531769,6,DOWNSTAIRS
1759229816.70031,1.92015,11.439047,-3.42311,-0.116045,-1.363171,0.218112,6,DOWNSTAIRS
1759229816.72033,0.897526,10.294768,-0.83827,-0.429001,-1.555727,-0.227395,6,DOWNSTAIRS
1759229816.74044,-0.327856,5.815067,-0.842609,-0.36351,-1.384351,-0.276187,6,DOWNSTAIRS
1759229816.76036,1.625663,3.931129,-5.105186,0.479371,-1.088492,0.085385,6,DOWNSTAIRS
1759229816.78023,3.003676,6.695684,0.38382,0.314256,-0.886704,-0.077726,6,DOWNSTAIRS
1759229816.80024,1.940351,6.966977,3.250877,-0.096722,-0.689587,-0.169025,6,DOWNSTAIRS
1759229816.82017,-0.497246,6.223278,-1.809867,0.166366,-0.756598,-0.091451,6,DOWNSTAIRS
1759229816.84026,-0.418836,6.547393,-0.572214,0.411938,-0.651162,0.110241,6,DOWNSTAIRS
1759229816.86026,5.212027,8.57603,-4.795736,0.960581,0.126735,0.388735,6,DOWNSTAIRS
1759229816.88025,10.406098,12.95712,-2.624045,0.926825,0.873893,0.63884,6,DOWNSTAIRS
1759229816.90025,9.080608,16.089634,-0.304213,0.638992,0.526392,0.264308,6,DOWNSTAIRS
1759229816.91981,3.672256,16.774375,-6.586299,0.922064,-1.612605,-0.024443,6,DOWNSTAIRS
1759229816.94013,3.297265,18.200571,-6.463447,0.802567,-2.019885,-0.444569,6,DOWNSTAIRS
1759229816.96025,5.770475,17.297508,-9.979182,0.900874,-2.120564,-0.752992,6,DOWNSTAIRS
1759229816.98024,8.974665,14.909891,-7.013814,1.084742,-1.925001,-0.580994,6,DOWNSTAIRS
1759229816.99960,8.883685,12.002881,-3.594146,1.23133,-1.226135,-0.435084,6,DOWNSTAIRS
1759229817.02024,5.990891,7.148338,-1.962348,1.303132,-0.323114,-0.683715,6,DOWNSTAIRS
1759229817.04025,5.977274,6.155492,-3.438074,1.374291,-0.172092,-0.407686,6,DOWNSTAIRS
1759229817.06025,4.982783,7.970148,-2.846107,1.238153,-0.403414,0.146755,6,DOWNSTAIRS
1759229817.08036,3.669264,9.192837,-1.40375,1.03098,-0.143065,0.368315,6,DOWNSTAIRS
1759229817.09995,3.419369,8.389432,-0.968754,0.966982,0.049139,0.129375,6,DOWNSTAIRS
1759229817.11958,4.24073,5.497536,-0.518644,0.856039,0.092105,-0.12138,6,DOWNSTAIRS
1759229817.14026,4.831798,2.652327,0.060154,0.455883,0.038499,-0.207836,6,DOWNSTAIRS
1759229817.16025,3.826084,1.812111,-0.304662,-0.038289,0.361574,-0.177629,6,DOWNSTAIRS
1759229817.18027,1.605761,2.259977,-0.695964,-0.48042,0.586952,-0.131431,6,DOWNSTAIRS
1759229817.20025,0.525527,2.658312,-0.691026,-0.950268,0.585077,0.129036,6,DOWNSTAIRS
1759229817.22024,1.054496,2.863465,-1.048211,-1.395459,0.610512,0.573443,6,DOWNSTAIRS
1759229817.24025,1.769764,2.248305,-2.121113,-1.713484,1.031421,0.928774,6,DOWNSTAIRS
1759229817.26025,0.765097,2.625841,-1.278204,-1.973819,1.332803,0.883618,6,DOWNSTAIRS
1759229817.28034,-0.506972,4.587141,-0.808492,-1.780699,1.349991,0.383667,6,DOWNSTAIRS
1759229817.30030,-0.201263,7.423671,-2.854337,-0.889611,1.119369,-0.185111,6,DOWNSTAIRS
1759229817.32030,2.281674,10.397569,-4.673781,-0.058077,1.785296,-0.099208,6,DOWNSTAIRS
1759229817.34011,4.572476,11.175086,-4.58759,-0.072328,3.071405,0.378247,6,DOWNSTAIRS
1759229817.36025,4.589834,9.739463,-6.159233,-0.208429,3.630471,0.121422,6,DOWNSTAIRS
1759229817.38036,6.691644,7.597101,-8.731205,-0.281349,2.361106,-0.286666,6,DOWNSTAIRS
1759229817.40026,9.415048,5.597643,-7.130381,-0.539562,0.585629,-0.026448,6,DOWNSTAIRS
1759229817.42018,10.447099,4.837036,-6.529138,-0.449377,-0.19263,0.221409,6,DOWNSTAIRS
1759229817.44036,17.749863,9.853636,-6.340893,0.204353,-2.813177,0.731882,6,DOWNSTAIRS
1759229817.46025,12.153117,14.701745,0.419883,-0.96147,-2.996341,0.562774,6,DOWNSTAIRS
1759229817.48039,1.093252,11.234043,7.994239,-1.897744,-3.111656,0.075223,6,DOWNSTAIRS
1759229817.49955,-2.256685,9.400085,5.828983,-2.02501,-2.363746,-0.927814,6,DOWNSTAIRS
1759229817.52024,-3.015048,20.081965,-1.803881,-2.728548,-3.431313,-1.341525,6,DOWNSTAIRS
1759229817.54025,2.831443,33.286735,-7.297078,-1.829778,-2.594309,-0.712763,6,DOWNSTAIRS
1759229817.56025,4.22008,10.748768,-2.334945,-0.132595,-0.000225,-0.43553,6,DOWNSTAIRS
1759229817.58025,4.663007,4.954501,0.295534,0.539671,1.259088,-0.322735,6,DOWNSTAIRS
1759229817.59985,6.468385,4.592079,3.981408,0.177126,1.756481,0.315876,6,DOWNSTAIRS
1759229817.62023,6.979397,4.032135,0.637456,-0.207661,2.195787,0.471282,6,DOWNSTAIRS
1759229817.63936,7.535899,11.028591,-5.282956,-0.4359,1.520887,0.349133,6,DOWNSTAIRS
1759229817.66025,4.727501,15.012542,-2.463334,-0.769206,-0.092114,0.008583,6,DOWNSTAIRS
1759229817.68027,2.41156,8.053945,-3.040486,-0.689892,-0.123733,0.173028,6,DOWNSTAIRS
1759229817.70026,2.296638,2.865111,-3.328988,-0.314714,-0.171588,0.321261,6,DOWNSTAIRS
1759229817.72025,2.487276,1.235558,0.083498,-0.190543,-0.23857,0.365916,6,DOWNSTAIRS
