SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759229812.400304, 0.858022, -1.980903, -8.605808, -0.013850, -0.107063, 0.089629, -54.691376, 6.939774, -131.861130, 13.727969, 100.772476
1759229812.419853, 0.628628, -1.953669, -8.886379, -0.220504, -0.040058, 0.057711, -54.947647, 6.592422, -132.007843, 13.727969, 100.772476
1759229812.440333, 0.642095, -1.821239, -9.619453, -0.192473, -0.011600, -0.014158, -54.554337, 6.872345, -131.879929, 13.727991, 100.772477
1759229812.460239, 0.817021, -1.590947, -10.161441, -0.026096, 0.026572, -0.017467, -54.796631, 6.761429, -131.559830, 13.727991, 100.772477
1759229812.479557, 1.035642, -1.301847, -9.905261, 0.128350, 0.157735, 0.069641, -54.277161, 6.853088, -131.894348, 13.727991, 100.772477
1759229812.499509, 1.211915, -1.348833, -9.144055, 0.196952, 0.046938, 0.141849, -54.368088, 6.811554, -131.068283, 13.727991, 100.772477
1759229812.520258, 1.167622, -1.602020, -8.828170, 0.363834, -0.267833, 0.089254, -54.477478, 6.941833, -131.104034, 13.727991, 100.772477
1759229812.540257, 0.975039, -1.505654, -9.310152, 0.603601, -0.452264, 0.003891, -54.452927, 6.330750, -131.834900, 13.727991, 100.772477
1759229812.559349, 1.028908, -1.427543, -8.871864, 0.624185, -0.419302, -0.001859, -54.567520, 6.304230, -132.346375, 13.727991, 100.772477
1759229812.579973, 1.173608, -1.493533, -8.927379, 0.616093, -0.025758, 0.065898, -54.801819, 6.460709, -133.051102, 13.727991, 100.772477
1759229812.600256, 1.470489, -0.865354, -8.309376, 0.451196, 0.664253, -0.095021, -54.792786, 6.226654, -132.969040, 13.727991, 100.772477
1759229812.620290, 1.700781, -0.543933, -6.491878, 0.231213, 0.445074, -0.118905, -53.933029, 5.972061, -133.146667, 13.727991, 100.772477
1759229812.640314, 2.358139, -1.395969, -5.646276, 0.246586, 0.087453, 0.069712, -54.300705, 5.892700, -133.410461, 13.727991, 100.772477
1759229812.659402, 2.256984, -1.648258, -5.667524, 0.474646, -0.559677, 0.488786, -54.375778, 5.950317, -133.552170, 13.727991, 100.772477
1759229812.679950, 1.280449, -1.395969, -5.762245, 0.812193, -1.564979, 0.771237, -54.287384, 5.702805, -134.117905, 13.727991, 100.772477
1759229812.700266, 0.578200, -1.936909, -7.318326, 1.356385, -2.383235, 0.681110, -54.583313, 5.109131, -135.315475, 13.727991, 100.772477
1759229812.719816, 0.230143, -1.438167, -7.769933, 1.521317, -1.817464, 0.221437, -55.051270, 4.858002, -135.921616, 13.727991, 100.772477
1759229812.739693, -0.201562, -0.097863, -6.564452, 0.693656, -0.916972, -0.237282, -55.507095, 4.414688, -136.120850, 13.727991, 100.772477
1759229812.760285, 0.391602, 0.020650, -7.081001, 0.284237, 0.230605, -0.442575, -55.446396, 4.422989, -135.898148, 13.727991, 100.772477
1759229812.780272, -4.366425, -1.650802, -7.955633, -0.042382, 1.760318, -1.805518, -55.598953, 4.679291, -136.448654, 13.727991, 100.772477
1759229812.799532, -2.017564, -3.036596, -9.080908, -0.189554, 3.489104, -2.421582, -56.003754, 4.600464, -135.589752, 13.727991, 100.772477
1759229812.820144, -1.562366, -3.981857, -9.850195, -0.189241, 1.940956, -2.449001, -55.799438, 4.813919, -135.699234, 13.727991, 100.772477
1759229812.840263, 1.691803, -5.301361, -11.282975, -1.086322, -1.541606, -1.281272, -57.230286, 4.845871, -135.164597, 13.727991, 100.772477
1759229812.859361, 1.508946, -1.444901, -10.847529, -1.478844, -1.237517, -1.135140, -58.283829, 5.444397, -134.082306, 13.727991, 100.772477
1759229812.880306, 2.190695, -1.304241, -8.796297, -1.781784, -2.167267, -1.190889, -59.400558, 5.918915, -132.845703, 13.727991, 100.772477
1759229812.899922, 0.702399, -0.638204, -8.308927, -1.717538, -2.137643, -1.469994, -61.076630, 6.031097, -131.605148, 13.727991, 100.772477
1759229812.920288, -0.171634, -1.966238, -10.734702, -1.325979, -1.591612, -1.649201, -62.390289, 6.390152, -130.486023, 13.727991, 100.772477
1759229812.940259, 0.922067, -2.640505, -13.784167, -1.081858, -2.082675, -1.382754, -63.417038, 6.474380, -129.654022, 13.727991, 100.772477
1759229812.959355, 1.352425, -1.063923, -13.489531, -0.778960, -2.061955, -0.941495, -64.342972, 6.556961, -128.548462, 13.727991, 100.772477
1759229812.980308, 0.102951, -0.991349, -11.316493, -0.543972, -2.488590, -0.708451, -65.064148, 6.728882, -127.573486, 13.727991, 100.772477
1759229813.000251, -0.588076, -1.296011, -11.239729, -0.335628, -3.344352, -0.656179, -66.366348, 6.697418, -127.634430, 13.727991, 100.772477
1759229813.020265, -1.450288, -1.804181, -11.973103, 0.051915, -4.044427, -0.543646, -67.282730, 6.394119, -126.682983, 13.727991, 100.772477
1759229813.040249, -2.351705, -2.405275, -12.021885, 0.330445, -4.157107, -0.196988, -67.786926, 6.302246, -125.749847, 13.727991, 100.772477
1759229813.059358, -4.683358, -1.838448, -6.788310, 0.092557, -4.719419, 0.805900, -68.188004, 6.204727, -124.270599, 13.727991, 100.772477
1759229813.080273, -2.597110, -0.972644, -5.964256, -0.526047, -2.055732, 1.925751, -67.199585, 6.682968, -123.380829, 13.727991, 100.772477
1759229813.100267, 2.634520, -1.197849, -6.948272, -1.215503, -2.071873, 1.579125, -66.445786, 7.187057, -122.210144, 13.727991, 100.772477
1759229813.120329, -6.149507, 2.538303, -6.546196, -2.165466, -1.456508, 0.546541, -65.948547, 7.727783, -120.901184, 13.727991, 100.772477
1759229813.140274, -6.433968, 3.200299, -5.972037, -2.532341, -1.306512, -0.071078, -65.803162, 7.412262, -118.998627, 13.727991, 100.772477
1759229813.159438, -5.728876, 3.034950, -4.482993, -2.860980, -0.796852, 0.051728, -65.794800, 7.591187, -117.214798, 13.727991, 100.772477
1759229813.180448, -8.943091, 2.243816, -6.328922, -3.524915, -0.676112, 0.205839, -65.553040, 7.228683, -115.202255, 13.727991, 100.772477
1759229813.200322, -8.037934, 3.815160, -10.929830, -2.571229, -0.414187, 0.508828, -65.515137, 7.391342, -112.905716, 13.727991, 100.772477
1759229813.220328, -8.153603, 1.726818, -9.140014, -2.154140, -0.849785, 0.987269, -64.556152, 7.369736, -111.957855, 13.727991, 100.772477
1759229813.240246, -9.888352, 1.995866, -8.427440, -2.234851, -1.794179, 1.077309, -63.732513, 7.097504, -110.397217, 13.727991, 100.772477
1759229813.259396, -10.950330, 2.321627, -10.236260, -1.893979, -2.476145, 0.785169, -62.935379, 6.911041, -108.833084, 13.727991, 100.772477
