SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759228606.99970,-2.553715,13.036278,5.474192,-0.02832,-0.293512,-1.148161,5.84,3,DOWNSTAIRS
1759228607.01967,1.484405,9.893889,4.245817,-0.109495,-1.076791,-0.498319,5.86,3,DOWNSTAIRS
1759228607.03966,4.149301,7.026683,4.882226,-0.209299,-0.979473,-0.277975,5.88,3,DOWNSTAIRS
1759228607.05966,5.130026,4.504541,2.668188,0.084036,-0.8997,-0.150447,5.90,3,DOWNSTAIRS
1759228607.07966,3.730465,3.163937,1.349582,0.530702,-0.482551,0.20243,5.92,3,DOWNSTAIRS
1759228607.09966,0.952443,3.20404,1.143979,0.796984,-0.495075,0.404081,5.94,3,DOWNSTAIRS
1759228607.11967,0.01646,4.135385,-0.216226,1.09618,-0.629317,0.519323,5.96,3,DOWNSTAIRS
1759228607.13966,0.711676,4.205565,-0.350751,1.392966,-0.833522,0.688975,5.98,3,DOWNSTAIRS
1759228607.15966,1.067964,2.926163,-0.799813,1.667606,-1.103955,0.765091,6.00,3,DOWNSTAIRS
1759228607.17965,0.085892,1.171962,-1.71365,1.825866,-1.001712,0.785753,6.02,3,DOWNSTAIRS
1759228607.19966,-1.120337,1.155801,-0.72275,2.036014,-1.345194,0.769921,6.04,3,DOWNSTAIRS
1759228607.21966,-0.749235,3.174711,0.996437,2.202482,-1.750683,0.590916,6.06,3,DOWNSTAIRS
1759228607.23967,-0.315436,7.844751,2.048988,2.421702,-1.232912,0.159899,6.08,3,DOWNSTAIRS
1759228607.25970,0.821211,12.698397,6.953959,1.981104,-0.745478,0.129776,6.10,3,DOWNSTAIRS
1759228607.27965,0.039654,9.749788,5.432892,0.965091,-0.08296,0.310762,6.12,3,DOWNSTAIRS
1759228607.29974,0.683096,4.698022,2.302923,0.464822,0.31505,0.073931,6.14,3,DOWNSTAIRS
1759228607.31968,4.410269,3.582175,1.914613,0.20656,0.305192,0.174722,6.16,3,DOWNSTAIRS
1759228607.33977,3.300706,3.638139,1.10642,0.365022,-0.03177,0.468457,6.18,3,DOWNSTAIRS
1759228607.35968,1.777545,5.936722,2.473659,0.768146,0.353935,0.443217,6.20,3,DOWNSTAIRS
1759228607.37966,3.121291,19.056349,6.262184,0.632651,-1.267264,0.205637,6.22,3,DOWNSTAIRS
1759228607.39969,-4.267814,24.282293,-6.460155,0.712898,-1.172153,-0.88959,6.24,3,DOWNSTAIRS
1759228607.41966,-1.441758,19.008764,-0.613065,-0.50822,2.548401,-0.859167,6.26,3,DOWNSTAIRS
1759228607.43969,1.662324,32.788442,23.886651,-1.218325,1.922507,-0.413769,6.28,3,DOWNSTAIRS
1759228607.45968,1.1766,19.780146,-3.999514,-2.132769,0.596688,-0.245256,6.30,3,DOWNSTAIRS
1759228607.47966,2.086098,7.860314,-1.741034,-1.94402,0.194124,0.237528,6.32,3,DOWNSTAIRS
1759228607.49932,-0.630722,5.052813,-4.74441,-0.238037,-0.392783,0.152509,6.34,3,DOWNSTAIRS
1759228607.51967,-0.928352,9.671527,-4.591181,1.131612,0.119341,0.094557,6.36,3,DOWNSTAIRS
1759228607.53966,-0.705841,16.379332,-4.030938,1.932431,-0.165979,0.172548,6.38,3,DOWNSTAIRS
1759228607.55968,-1.636586,16.258275,-0.556652,1.576396,1.810926,0.383977,6.40,3,DOWNSTAIRS
1759228607.57966,-1.842937,9.205855,1.566556,1.332826,1.834391,0.283547,6.42,3,DOWNSTAIRS
1759228607.59969,0.418237,7.609371,1.35003,1.432479,1.026652,0.380116,6.44,3,DOWNSTAIRS
1759228607.61967,1.387889,6.928071,1.56895,1.21673,0.943117,0.554681,6.46,3,DOWNSTAIRS
1759228607.63881,3.014749,7.491307,1.860145,1.212072,0.841907,0.63236,6.48,3,DOWNSTAIRS
1759228607.65967,3.176208,8.377611,2.705298,1.024684,0.559533,0.72597,6.50,3,DOWNSTAIRS
1759228607.67965,0.139911,8.457368,2.057367,0.66233,0.807073,0.71702,6.52,3,DOWNSTAIRS
1759228607.69968,-2.225261,7.614609,1.625813,0.442633,0.687376,0.499157,6.54,3,DOWNSTAIRS
1759228607.71968,-4.131943,6.297798,2.121263,0.113286,0.735293,0.266274,6.56,3,DOWNSTAIRS
1759228607.73968,-5.537489,5.629516,4.988469,-0.708727,1.294699,-0.019692,6.58,3,DOWNSTAIRS
1759228607.75969,-2.054973,6.156989,5.372289,-1.910379,1.172673,-0.101221,6.60,3,DOWNSTAIRS
1759228607.77965,-0.783652,5.366154,2.517802,-2.158679,-0.26963,-0.019288,6.62,3,DOWNSTAIRS
