SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759228601.159717, 1.118391, 1.104924, -9.644443, -0.601463, -0.245780, 0.808004, -107.876846, -159.567657, -883.879395, 13.728214, 100.772481
1759228601.179702, 0.211438, 0.863559, -10.548553, -0.101588, -0.622982, 0.905071, -107.489197, -159.564529, -883.585022, 13.728214, 100.772481
1759228601.199724, -1.168819, 0.351798, -11.907113, 0.614771, -0.618788, 0.718895, -107.073883, -159.686218, -883.818420, 13.728214, 100.772481
1759228601.219633, -1.220145, 0.079458, -11.703756, 1.274916, -0.440624, 0.319898, -106.566864, -159.915756, -884.297546, 13.728214, 100.772481
1759228601.239710, -0.559046, 0.099958, -10.413281, 1.604956, -0.225404, 0.103339, -106.593002, -160.297546, -885.426086, 13.728214, 100.772481
1759228601.259721, 0.265906, 0.189142, -9.261670, 1.643134, 0.111836, 0.169483, -106.921768, -160.283020, -886.546143, 13.728214, 100.772481
1759228601.279691, 0.981024, -0.279523, -8.113949, 1.219009, 0.018966, 0.454402, -106.674347, -160.485245, -887.276184, 13.728214, 100.772481
1759228601.299706, 0.329053, -1.100734, -7.885004, 0.607657, 0.247718, 0.699774, -106.195221, -160.659729, -887.989319, 13.728214, 100.772481
1759228601.319658, -0.345962, -1.637185, -8.108413, -0.072306, 0.318786, 0.563059, -105.846817, -160.771332, -888.046265, 13.728214, 100.772481
1759228601.339723, -0.299874, -1.463456, -9.048885, -0.385131, 0.524894, 0.360729, -105.402222, -160.706284, -888.135925, 13.728214, 100.772481
1759228601.359731, -0.033220, -1.109862, -9.495105, -0.385700, 0.475683, 0.222920, -105.116180, -160.391769, -887.717834, 13.728214, 100.772481
1759228601.379684, -0.037858, -1.016339, -9.617807, -0.298975, 0.371235, 0.055117, -105.143570, -160.518539, -887.310852, 13.728214, 100.772481
1759228601.399705, 0.003891, -1.011550, -9.165453, -0.292044, 0.206908, -0.110175, -105.136429, -160.459351, -887.370911, 13.728214, 100.772481
1759228601.419709, 0.121955, -0.910246, -9.088090, -0.354448, 0.024121, -0.247920, -105.007462, -160.442642, -887.014587, 13.728214, 100.772481
