SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759229464.68686,3.635595,17.639131,-7.2055,-0.19556,-0.158876,-2.120381,7.02,1,DOWNSTAIRS
1759229464.70711,1.770512,11.374104,-4.179827,-0.079249,1.230402,-1.469772,7.04,1,DOWNSTAIRS
1759229464.72711,-1.405396,8.308478,-2.216432,0.227553,1.346795,-0.872689,7.06,1,DOWNSTAIRS
1759229464.74710,0.027533,5.65705,-1.571943,0.496497,0.389575,-0.54137,7.08,1,DOWNSTAIRS
1759229464.76710,1.722628,5.366154,-3.838354,0.394902,0.408536,-0.62923,7.10,1,DOWNSTAIRS
1759229464.78687,2.413355,6.216994,-5.162497,0.443325,1.024731,-0.90574,7.12,1,DOWNSTAIRS
1759229464.80714,1.326837,7.105691,-2.945467,0.381595,1.46036,-0.681652,7.14,1,DOWNSTAIRS
1759229464.82613,-0.055665,8.301745,-1.590348,0.440778,1.572751,-0.381604,7.16,1,DOWNSTAIRS
1759229464.84612,-0.269946,8.305336,0.371251,0.627281,1.065947,-0.122774,7.18,1,DOWNSTAIRS
1759229464.86709,-0.193182,7.27957,0.254683,0.678835,0.351827,0.060327,7.20,1,DOWNSTAIRS
1759229464.88688,0.66469,6.203825,-0.836025,0.361224,-0.260705,0.085538,7.22,1,DOWNSTAIRS
1759229464.90710,1.057788,5.636549,-2.041655,-0.113392,-0.616555,0.026344,7.24,1,DOWNSTAIRS
1759229464.92710,0.677858,6.34224,-2.489371,-0.51876,-0.763846,0.031516,7.26,1,DOWNSTAIRS
1759229464.94710,0.23119,7.332691,-2.505532,-0.716368,-0.605114,0.141341,7.28,1,DOWNSTAIRS
1759229464.96710,-0.481235,7.883508,-1.873313,-0.762289,-0.264148,0.339855,7.30,1,DOWNSTAIRS
1759229464.98690,-0.713173,7.316231,-1.300949,-0.750601,-0.219189,0.664367,7.32,1,DOWNSTAIRS
1759229465.00716,-0.603788,6.238092,-1.077989,-0.750108,-0.503918,1.053115,7.34,1,DOWNSTAIRS
1759229465.02618,-0.439486,5.749975,-0.776769,-0.819396,-0.906906,1.380425,7.36,1,DOWNSTAIRS
1759229465.04711,-0.152331,5.899612,-0.517746,-0.952918,-1.052559,1.592642,7.38,1,DOWNSTAIRS
1759229465.06709,0.101005,7.766641,-1.121384,-0.868393,-0.736688,1.867997,7.40,1,DOWNSTAIRS
1759229465.08692,-1.605462,9.475203,-2.623446,-0.413504,0.334903,1.699764,7.42,1,DOWNSTAIRS
1759229465.10712,-2.819771,9.12939,-2.889053,-0.766121,1.130139,1.168236,7.44,1,DOWNSTAIRS
1759229465.12617,-3.553893,8.08088,-2.772486,-1.205684,0.815472,0.623838,7.46,1,DOWNSTAIRS
1759229465.14711,-4.342633,7.524377,-2.650531,-0.990894,-0.316756,0.195514,7.48,1,DOWNSTAIRS
1759229465.16711,-4.810699,7.707534,-3.065027,-0.382338,-1.158713,0.008118,7.50,1,DOWNSTAIRS
1759229465.18693,-3.382408,8.451681,-2.204012,-0.119599,-1.760363,-0.169473,7.52,1,DOWNSTAIRS
1759229465.20611,-2.076521,8.708609,-2.351106,-0.204282,-1.843649,-0.288071,7.54,1,DOWNSTAIRS
1759229465.22711,1.699734,8.51004,-3.756802,-0.550541,-0.577179,-0.132155,7.56,1,DOWNSTAIRS
1759229465.24716,1.596484,7.852533,-3.107524,-0.492019,0.194274,0.23959,7.58,1,DOWNSTAIRS
1759229465.26710,-0.113575,9.688885,-2.991256,-0.645937,0.755525,0.408611,7.60,1,DOWNSTAIRS
1759229465.28695,-1.673846,16.055217,-1.530194,-0.301237,0.293384,0.240341,7.62,1,DOWNSTAIRS
1759229465.30613,-1.442357,17.050307,0.529418,-0.005363,-0.154248,0.131135,7.64,1,DOWNSTAIRS
1759229465.32709,1.180192,17.147721,1.789965,-1.016362,-0.682587,-0.250933,7.66,1,DOWNSTAIRS
1759229465.34709,3.882198,23.808091,-3.258359,-1.257827,-1.185458,-0.063562,7.68,1,DOWNSTAIRS
1759229465.36709,-2.853439,19.065327,-4.191499,0.074368,-1.221879,0.377289,7.70,1,DOWNSTAIRS
1759229465.38696,-6.132598,12.110321,-0.323068,0.491384,0.176382,-0.23741,7.72,1,DOWNSTAIRS
