SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,duration,subject,Activity
1759510716.42131,-6.892757,10.882544,2.376544,0.157022,-0.242454,-0.655733,3.51953,1,DOWNSTAIRS
1759510716.44141,-2.459893,11.002254,1.204732,0.264846,-0.147892,-0.228666,3.53963,1,DOWNSTAIRS
1759510716.46179,1.131859,10.472388,1.653496,-0.159546,0.02723,0.151172,3.56001,1,DOWNSTAIRS
1759510716.48178,3.039738,10.486304,3.796306,-1.136481,-0.444594,0.451415,3.58000,1,DOWNSTAIRS
1759510716.50099,2.818873,10.489596,-1.616834,-1.322397,0.380787,0.550313,3.59921,1,DOWNSTAIRS
1759510716.52176,-0.588225,9.930251,-1.576881,-1.140174,0.551163,0.530152,3.61998,1,DOWNSTAIRS
1759510716.54140,-3.535338,9.425673,-1.166275,-0.74824,-0.124669,0.443099,3.63962,1,DOWNSTAIRS
1759510716.56178,-2.659958,8.758289,-1.455076,-0.414272,-0.574205,0.290162,3.66000,1,DOWNSTAIRS
1759510716.58179,-0.430657,8.147768,-2.364125,-0.234647,-0.300002,0.204457,3.68001,1,DOWNSTAIRS
1759510716.60180,0.583886,8.467992,-2.648735,-0.102,0.300201,0.225486,3.70002,1,DOWNSTAIRS
1759510716.62176,-1.547851,9.519196,-2.261174,0.133951,0.352385,0.213464,3.71998,1,DOWNSTAIRS
1759510716.64139,-3.727622,8.484751,-2.360832,0.558005,-0.020794,0.022702,3.73961,1,DOWNSTAIRS
1759510716.66176,-3.876661,7.071574,-2.688688,0.974286,-0.087354,-0.148987,3.75998,1,DOWNSTAIRS
1759510716.68179,-2.74181,5.888838,-2.733131,1.219189,0.113381,-0.230111,3.78001,1,DOWNSTAIRS
1759510716.70178,-1.377265,5.861903,-1.640477,0.799375,1.276147,-0.073304,3.80000,1,DOWNSTAIRS
1759510716.72175,-0.608726,7.489811,-1.723376,0.418868,2.136502,0.378122,3.81997,1,DOWNSTAIRS
1759510716.74139,-1.485901,7.699453,0.073771,0.568674,1.624329,0.642833,3.83961,1,DOWNSTAIRS
1759510716.76179,-3.651756,6.469133,-0.043096,1.021494,0.628125,0.428246,3.86001,1,DOWNSTAIRS
1759510716.78178,-5.663783,5.240608,-1.78383,1.033414,-0.106393,-0.503651,3.88000,1,DOWNSTAIRS
1759510716.80179,-1.461062,6.707356,-6.456414,0.957912,0.62651,-0.8858,3.90001,1,DOWNSTAIRS
1759510716.82176,1.652149,6.92852,-0.455198,0.482666,1.698577,-0.373425,3.91998,1,DOWNSTAIRS
1759510716.84139,1.818995,5.676502,0.04968,0.666273,1.55722,0.445022,3.93961,1,DOWNSTAIRS
1759510716.86179,0.282516,5.104737,-2.475605,1.120557,0.907172,0.871938,3.96001,1,DOWNSTAIRS
1759510716.88178,-6.987328,11.149199,-5.498434,1.131973,-0.518168,-0.273232,3.98000,1,DOWNSTAIRS
1759510716.90178,-6.422446,15.717934,-7.538144,1.488094,0.12041,-1.326339,4.00000,1,DOWNSTAIRS
1759510716.92177,0.016011,15.444396,-3.646519,1.857072,-0.555272,-1.106159,4.01999,1,DOWNSTAIRS
1759510716.94139,-1.498471,15.229666,-4.760271,1.676573,-0.321462,-1.05366,4.03961,1,DOWNSTAIRS
1759510716.96179,-2.441487,18.994249,-4.979191,1.717365,0.167013,-0.92447,4.06001,1,DOWNSTAIRS
1759510716.98179,-1.418864,16.231789,-3.964648,1.347733,-0.995837,-1.340011,4.08001,1,DOWNSTAIRS
1759510717.00098,0.504877,14.72449,-5.928791,0.374896,-0.630348,-1.449613,4.09920,1,DOWNSTAIRS
1759510717.02176,0.483778,11.613225,-5.737405,0.343889,0.181127,-1.064268,4.11998,1,DOWNSTAIRS
1759510717.04139,-1.603217,8.425196,-4.076128,0.119959,0.263834,-0.790811,4.13961,1,DOWNSTAIRS
1759510717.06156,-2.387019,7.335235,-3.000683,-0.201792,-0.198074,-0.256593,4.15978,1,DOWNSTAIRS
1759510717.08180,-3.125481,9.045444,-2.90686,-0.358549,-0.589416,0.039579,4.18002,1,DOWNSTAIRS
1759510717.10179,-1.499369,9.684246,-3.834314,-0.516476,-0.308088,-0.122461,4.20001,1,DOWNSTAIRS
1759510717.12177,-0.056713,8.642769,-3.627964,-0.50898,0.139056,-0.185381,4.21999,1,DOWNSTAIRS
1759510717.14139,0.814477,7.208043,-2.460192,-0.348162,0.512046,0.077792,4.23961,1,DOWNSTAIRS
1759510717.16176,1.025766,4.866514,-1.331475,-0.26747,0.729369,0.417425,4.25998,1,DOWNSTAIRS
1759510717.18177,0.974739,3.057545,-0.918625,-0.282672,0.61644,0.678855,4.27999,1,DOWNSTAIRS
1759510717.20179,1.061529,1.922544,-1.17271,-0.39651,0.256679,0.811456,4.30001,1,DOWNSTAIRS
1759510717.22131,0.874333,1.82513,-1.575235,-0.585302,-0.307951,0.86585,4.31953,1,DOWNSTAIRS
1759510717.24142,0.456544,3.367894,-1.712602,-0.831565,-0.734261,0.980532,4.33964,1,DOWNSTAIRS
1759510717.26177,0.193332,6.67698,-1.488894,-1.092488,-1.007766,1.256522,4.35999,1,DOWNSTAIRS
1759510717.28177,-0.179565,10.292823,-0.776918,-1.373053,-1.297447,1.419477,4.37999,1,DOWNSTAIRS
1759510717.30177,-1.257854,10.780791,-1.009904,-1.589725,-0.997058,1.319931,4.39999,1,DOWNSTAIRS
1759510717.32176,-2.631078,8.933515,-2.490718,-1.526973,-0.080062,1.07965,4.41998,1,DOWNSTAIRS
1759510717.34142,-3.713107,7.261165,-3.271826,-1.45912,0.503618,0.659058,4.43964,1,DOWNSTAIRS
1759510717.36176,-3.705476,7.678055,-3.037943,-1.533795,-0.172121,0.320972,4.45998,1,DOWNSTAIRS
1759510717.38177,-3.606416,9.660753,-3.776255,-1.40513,-1.000679,0.269649,4.47999,1,DOWNSTAIRS
