SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759229457.667192, -3.005471, 1.104625, -8.559421, 0.575018, -0.236078, -0.063842, 68.007568, 156.040680, -570.073975, , 
1759229457.686747, -3.665822, 1.395520, -9.265560, 0.686303, -0.043418, 0.096981, 68.145477, 156.020599, -570.572144, , 
1759229457.706393, -3.191920, 0.176722, -9.221567, 0.695970, -0.212716, 0.031746, 68.056412, 155.811035, -570.559204, , 
1759229457.727189, -2.447622, 0.139762, -8.531738, 1.109356, -0.695438, -0.124571, 67.999130, 155.925049, -570.228760, , 
1759229457.747197, -2.933795, 0.000599, -8.864831, 1.456592, -0.953696, -0.266248, 68.176117, 155.879761, -570.361389, , 
1759229457.767186, -3.467851, -0.217573, -8.544457, 1.420551, -0.799709, -0.353983, 68.279648, 155.962097, -570.113586, , 
1759229457.786764, -3.903746, -0.182708, -8.699930, 1.098130, -0.557632, -0.422272, 68.186111, 155.719635, -570.457153, , 
1759229457.807201, -4.332009, -0.560243, -8.845378, 0.717365, -0.317968, -0.320272, 68.049408, 155.723511, -570.569397, , 
1759229457.826612, -4.317195, -0.202310, -8.819640, 0.290444, -0.102289, -0.013929, 68.580978, 155.715103, -570.107544, , 
1759229457.847198, -5.299266, 0.032022, -8.843582, -0.069821, -0.133988, 0.557450, 68.125870, 155.932129, -569.758911, , 
1759229457.867193, -4.141071, -0.129437, -8.766818, -0.031113, -0.121323, 0.610461, 68.356918, 156.322327, -570.167664, , 
1759229457.886776, -3.971232, -0.050428, -8.791957, 0.001141, -0.099671, 0.418199, 68.532089, 156.494705, -570.558594, , 
1759229457.907190, -3.835212, 0.013467, -9.323919, 0.597303, 0.966405, 0.101863, 68.611237, 156.697205, -570.815063, , 
1759229457.927178, -3.507505, -0.278775, -5.769128, 0.339161, -0.290455, 0.158094, 68.882355, 156.882736, -570.606750, , 
1759229457.947198, -4.224718, 0.166996, -9.003994, 0.255686, -0.491816, 0.442472, 68.804947, 156.991638, -570.351562, , 
1759229457.967188, -3.760243, 0.004190, -8.519767, 0.384812, -0.824440, 0.354599, 69.025085, 157.241623, -569.985229, , 
1759229457.986815, -3.578583, 0.296881, -8.296507, 0.376282, -0.985129, 0.337796, 69.236725, 157.503403, -570.134583, , 
1759229458.007212, -4.620360, 0.464475, -9.050830, 0.425005, -0.908395, 0.429511, 69.557632, 157.919266, -569.644653, , 
1759229458.027176, -5.365705, 0.420631, -9.209297, 0.293433, -0.960464, 0.569214, 69.869797, 158.141525, -569.200073, , 
1759229458.047209, -4.441693, 1.080234, -8.491335, 0.136652, -1.601604, 0.498985, 70.077866, 158.250946, -567.484619, , 
1759229458.067193, -3.301006, 1.388038, -8.330475, 0.009569, -2.301148, 0.436029, 70.464188, 158.428436, -567.002747, , 
1759229458.086802, -3.245191, 1.929577, -7.446416, -0.146844, -3.497077, 0.246056, 71.125397, 158.514679, -565.864807, , 
1759229458.107206, -1.885135, 1.760486, -5.152023, -0.684806, -4.473520, 0.443116, 72.114792, 158.709579, -563.027466, , 
1759229458.127193, 0.422277, 4.612280, -3.913472, -1.351609, -5.205344, 1.513060, 74.330566, 159.045227, -560.427368, , 
1759229458.147203, -1.055095, 2.319383, -2.943521, -1.776108, -5.734841, 2.516343, 77.046249, 159.193863, -557.158508, , 
1759229458.167193, -6.203227, 1.634492, -2.759916, -1.117108, -6.007761, 2.340893, 80.623703, 159.587662, -554.325439, , 
1759229458.186816, -4.096329, 5.347150, -5.119102, 0.318374, -5.085859, 2.906853, 84.063828, 160.631073, -553.743958, , 
1759229458.207213, -6.054188, 3.361160, -3.001132, 1.635475, -4.103688, 3.203881, 87.324631, 161.894958, -553.149048, , 
1759229458.227174, -7.632116, 3.599981, -1.691952, 2.816203, -2.461266, 3.896137, 90.823639, 163.373276, -553.669434, , 
1759229458.247206, -12.344055, 5.885097, 0.484676, 3.464366, -1.207533, 4.350355, 93.609314, 165.023148, -554.411499, , 
1759229458.267195, -16.654965, 6.053589, 2.998289, 3.358768, -1.490948, 4.242503, 96.363571, 166.463104, -556.776184, , 
1759229458.286839, -17.829919, 6.830208, 3.271976, 2.624437, -2.259223, 3.718042, 99.049088, 167.260971, -558.769409, , 
1759229458.307198, -19.523069, 8.764274, 3.630807, 1.552849, -3.062085, 2.698021, 101.363937, 167.769089, -559.688171, , 
1759229458.327183, -19.672108, 6.320243, 2.471115, 0.246311, -2.615349, 1.690982, 103.085175, 167.565262, -560.488403, , 
1759229458.346713, -18.268656, 3.009212, -0.672172, -1.641060, -0.597276, 0.426294, 103.321045, 167.242340, -560.043945, , 
1759229458.366559, -14.966005, 3.577386, -3.671957, -3.559393, 2.376688, -0.881801, 102.292221, 166.155350, -557.968689, , 
1759229458.386841, -9.608979, 7.125294, -3.660884, -4.662099, 4.130249, -1.468637, 100.436493, 164.799759, -554.894836, , 
1759229458.407217, -6.325630, 7.632565, -2.497302, -5.048840, 4.039981, -0.765390, 98.176102, 162.525742, -551.912292, , 
1759229458.427202, -4.859780, 7.929895, 0.464026, -4.557909, 0.830612, -0.023570, 97.546432, 160.443253, -549.478149, , 
1759229458.447203, -4.905869, 7.759907, -5.687725, -0.621029, -2.949255, 0.946751, 98.235062, 159.749466, -549.803101, , 
1759229458.467165, -4.389320, 5.011363, -2.688389, 1.334942, -2.980695, 0.731067, 100.485077, 159.948532, -550.219788, , 
1759229458.486867, -5.811476, 6.020819, -3.270629, 1.417874, -2.795446, 0.812395, 101.574188, 160.834473, -551.804993, , 
1759229458.507231, -4.734833, 5.248240, -1.286584, 0.456578, -0.049767, 0.250464, 102.483780, 161.107239, -551.244507, , 
1759229458.527166, -0.284760, 10.620679, 7.768287, 0.522511, -3.350536, 2.365128, 103.960876, 160.873352, -552.001160, , 
1759229458.547190, -8.461857, 5.480627, 0.389507, -0.549905, -4.479730, 1.549467, 106.678680, 160.482391, -552.633240, , 
1759229458.566362, -6.731747, 6.528389, -2.398990, -0.499890, -1.206702, 0.938013, 108.167755, 160.008041, -552.890991, , 
1759229458.586876, -7.295881, 5.480627, -0.149189, -0.297678, 0.110852, 0.483473, 107.975876, 159.630768, -553.663391, , 
1759229458.607199, -3.229928, 8.769512, -0.175974, 0.737627, 1.294200, 0.311863, 108.621628, 159.685455, -552.510559, , 
1759229458.627167, -2.902521, 5.999271, 6.411822, 0.321771, 0.587738, 1.872185, 108.557053, 159.490402, -552.937378, , 
1759229458.647191, -6.936152, 5.468357, 4.326472, -0.782165, -0.797494, 2.270060, 109.733734, 158.678268, -552.533630, , 
1759229458.667160, -11.886762, 4.260781, 1.260248, -0.732649, -0.308000, 1.738562, 110.376999, 157.740509, -552.372498, , 
1759229458.686890, -12.707225, 3.951480, 0.601842, 0.131908, 0.182615, 0.837713, 111.267487, 157.447495, -552.530029, , 
1759229458.707186, -13.205369, 2.758120, 3.191321, 0.106057, 0.046456, 0.358757, 111.389908, 157.393936, -552.274536, , 
1759229458.726729, -14.736012, 0.990451, 1.150264, -0.692448, 0.197828, -0.469144, 111.365143, 157.206985, -552.443970, , 
1759229458.746791, -14.930242, 1.016488, -2.978387, -0.221240, 0.426252, -1.427456, 110.811798, 157.149338, -551.779541, , 
1759229458.767164, -9.711929, 3.372233, -3.063381, 1.042356, -0.500079, -1.425188, 110.371521, 157.985046, -551.956909, , 
1759229458.786899, -9.827899, 2.781763, -0.481983, 1.416948, -0.680792, -1.194688, 109.893890, 159.085678, -553.165405, , 
1759229458.807177, -8.373421, 4.494365, 0.608875, 1.164609, -0.114951, -1.305217, 109.372864, 159.894791, -553.558594, , 
1759229458.827164, -6.639869, 5.143044, -1.713500, 1.393841, -0.329469, -1.374285, 108.706421, 160.867722, -554.818359, , 
1759229458.847192, -5.851130, 5.336227, -1.827973, 1.729018, -0.144531, -1.299461, 107.901215, 161.807022, -554.875305, , 
1759229458.866748, -6.697779, 4.632631, -0.776021, 1.566254, 0.331898, -1.295321, 107.597748, 162.840042, -555.603271, , 
1759229458.886919, -6.800281, 6.425888, 0.114922, 1.338371, 0.745912, -1.081501, 106.770798, 163.542221, -556.741699, , 
1759229458.907178, -7.527220, 6.997952, 0.161908, 1.306186, 1.163205, -1.057890, 105.990448, 164.242630, -556.567871, , 
1759229458.927165, -8.370578, 8.067562, 0.883161, 0.838228, 1.272577, -0.901738, 104.998764, 164.747940, -557.143616, , 
1759229458.947173, -8.944588, 4.715081, -2.018162, 0.463297, 0.484088, -0.842893, 104.249329, 164.925476, -557.027405, , 
1759229458.967180, -8.211214, 3.821445, -1.367837, 0.322506, 0.248675, -0.796732, 103.780121, 165.405899, -557.208679, , 
1759229458.986934, -8.626757, 4.671836, -0.284910, 0.001485, 0.883477, -1.128022, 102.985153, 165.452667, -557.593567, , 
1759229459.007173, -7.120805, 7.011270, -0.535403, -0.208864, 1.196134, -0.871039, 102.247940, 165.581238, -556.980530, , 
1759229459.027155, -8.247576, 5.196315, -1.634791, -0.322935, 1.106973, -0.441537, 101.564789, 165.610092, -556.767395, , 
1759229459.047182, -7.755118, 3.617788, -1.817648, -0.977518, 1.313603, -0.271906, 100.787399, 165.196106, -556.118713, , 
1759229459.067169, -5.315726, 3.600580, -1.792210, -1.107677, 1.264609, 0.070890, 100.404404, 164.689941, -555.092773, , 
1759229459.086943, -4.838682, 6.000169, -0.749684, -1.321228, 1.155441, 0.813391, 100.226562, 164.278946, -555.359741, , 
1759229459.107168, -4.848408, 7.062895, 0.530016, -1.159448, 1.059420, 1.667092, 100.500961, 163.640137, -554.488953, , 
1759229459.127154, -5.510554, 8.394819, 0.615011, -0.629348, 0.399341, 2.352801, 101.256516, 163.181702, -553.677734, , 
1759229459.147176, -6.620716, 7.958326, -3.482516, -0.528633, 0.768459, 2.840433, 102.202316, 162.811966, -553.317993, , 
1759229459.167040, -12.885743, 10.428694, -4.603152, -0.079155, 1.150424, 1.874236, 103.035324, 162.142899, -552.735229, , 
1759229459.186958, -10.304345, 13.712940, -1.061380, -0.324764, 1.466108, 0.887227, 102.935287, 161.899612, -552.583618, , 
1759229459.207186, -10.617835, 12.914174, -1.812261, -0.069445, 0.234563, 0.292202, 102.819031, 161.777267, -552.395935, , 
1759229459.227154, -6.226271, 7.721151, -1.969680, -0.271520, -0.848229, 0.072857, 103.112228, 161.722412, -552.873596, , 
1759229459.247173, -4.776881, 7.611766, -2.685696, -0.483761, -0.651711, 0.243708, 103.829269, 161.569138, -552.510315, , 
1759229459.267172, -4.478504, 5.318120, -1.570297, -0.598030, 0.006699, 0.968866, 104.235123, 161.267151, -551.963257, , 
