SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759229788.43497,3.226336,7.19697,-1.72607,-0.798185,1.448817,-0.078145,4.18,2,DOWNSTAIRS
1759229788.45500,5.279364,8.094048,-1.236456,-0.837055,1.982826,0.36001,4.20,2,DOWNSTAIRS
1759229788.47503,6.613234,12.703035,-4.513968,-0.115377,3.100157,1.076966,4.22,2,DOWNSTAIRS
1759229788.49521,4.648791,14.832229,-3.647117,0.692298,0.834421,0.735215,4.24,2,DOWNSTAIRS
1759229788.51430,-0.704943,12.328941,3.436876,0.136736,-2.665479,0.571788,4.26,2,DOWNSTAIRS
1759229788.53481,-1.877204,13.400646,3.532495,-1.240442,-2.316792,0.728111,4.28,2,DOWNSTAIRS
1759229788.55496,8.393472,26.559328,-16.158317,1.57856,0.476516,1.459729,4.30,2,DOWNSTAIRS
1759229788.57451,1.823035,15.086014,3.867234,2.602531,-1.580744,-0.167743,4.32,2,DOWNSTAIRS
1759229788.59502,-3.139397,10.42615,2.620753,2.647188,-3.182295,-0.565572,4.34,2,DOWNSTAIRS
1759229788.61447,-3.577087,7.361422,10.628011,1.230533,-5.479912,-0.455292,4.36,2,DOWNSTAIRS
1759229788.63498,-2.851943,8.434772,10.431088,-0.690645,-4.805809,-0.612939,4.38,2,DOWNSTAIRS
1759229788.65521,-1.154604,7.385813,4.82297,-2.270597,0.895954,-0.24107,4.40,2,DOWNSTAIRS
1759229788.67498,-1.192462,13.296349,2.483835,-2.361415,3.522846,0.230839,4.42,2,DOWNSTAIRS
1759229788.69519,0.065092,16.063297,-0.775721,-1.564061,4.68851,0.010692,4.44,2,DOWNSTAIRS
1759229788.71466,6.286425,10.826281,-5.508011,-1.137944,3.356659,-0.01406,4.46,2,DOWNSTAIRS
1759229788.73497,2.840271,8.253112,-4.720169,-0.7345,0.392051,-0.162753,4.48,2,DOWNSTAIRS
1759229788.75505,-0.236727,6.186467,-2.959233,-0.051555,-0.767496,-0.503334,4.50,2,DOWNSTAIRS
1759229788.77501,-0.73891,5.213524,-0.927454,0.186502,-0.881618,-0.707415,4.52,2,DOWNSTAIRS
1759229788.79500,2.800767,5.529409,-0.345214,-0.073831,-0.545158,-0.651936,4.54,2,DOWNSTAIRS
1759229788.81486,4.01777,6.385037,-1.130512,-0.106087,0.471568,-0.386929,4.56,2,DOWNSTAIRS
1759229788.83505,4.037671,8.392126,-0.882712,0.000124,1.49121,0.005498,4.58,2,DOWNSTAIRS
1759229788.85501,3.381959,9.226056,-1.691055,0.17705,1.489354,0.205122,4.60,2,DOWNSTAIRS
1759229788.87497,0.056713,9.333346,-0.823456,0.437949,0.031826,0.06031,4.62,2,DOWNSTAIRS
1759229788.89515,2.29559,7.422025,-1.194856,0.712467,-0.448725,0.002532,4.64,2,DOWNSTAIRS
1759229788.91504,2.453608,4.622904,-1.031003,0.802705,-0.012872,0.141574,4.66,2,DOWNSTAIRS
1759229788.93451,3.516633,4.693683,-2.011728,0.90901,1.041088,0.345339,4.68,2,DOWNSTAIRS
1759229788.95505,4.764461,7.127688,-2.06874,1.337803,1.581022,0.480075,4.70,2,DOWNSTAIRS
1759229788.97502,5.632659,11.080216,-2.426523,1.671745,0.72147,0.784673,4.72,2,DOWNSTAIRS
1759229788.99505,6.632088,16.807745,-5.180155,1.959999,0.473621,1.230341,4.74,2,DOWNSTAIRS
1759229789.01507,4.040515,15.371972,-3.134459,2.735129,-2.649647,1.218316,4.76,2,DOWNSTAIRS
1759229789.03499,1.964293,13.302184,-0.03696,3.201551,-3.718006,1.285049,4.78,2,DOWNSTAIRS
1759229789.05499,2.401534,16.585682,3.186383,2.744461,-3.469737,1.387562,4.80,2,DOWNSTAIRS
