SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759229784.254971, 0.146794, -1.757494, -10.382156, 0.276233, -0.344664, 0.031146, 24.362045, 29.445221, -272.864868, , 
1759229784.274929, 0.419733, -1.859995, -9.592668, 0.376705, -0.280932, 0.145067, 23.960785, 29.356781, -272.930847, , 
1759229784.294961, 0.325761, -2.119467, -9.157522, 0.278813, -0.174846, 0.219720, 23.945663, 29.300903, -272.890045, , 
1759229784.314938, -0.170288, -2.597410, -9.318532, 0.050339, -0.092798, 0.226266, 24.500809, 29.521210, -273.844391, , 
1759229784.334323, -0.411354, -2.606388, -9.921572, -0.114810, 0.014789, 0.128051, 24.126907, 29.251022, -273.756836, 13.727698, 100.772460
1759229784.354932, -0.172532, -2.228104, -9.933393, 0.007441, 0.058329, 0.015406, 24.650238, 29.338455, -273.893982, 13.727698, 100.772460
1759229784.374596, 0.472705, -1.882890, -9.716568, 0.149226, 0.027126, 0.015832, 24.631866, 29.262039, -273.376160, 13.727698, 100.772460
1759229784.394918, 0.540491, -1.814954, -9.430760, 0.186903, -0.055264, 0.075520, 24.504990, 29.697342, -273.938324, 13.727698, 100.772460
1759229784.414954, 0.358083, -2.038513, -9.448866, 0.045402, 0.003748, 0.067284, 24.657394, 29.219391, -273.746887, 13.727698, 100.772460
1759229784.434939, 0.233435, -2.092233, -9.620950, 0.001765, 0.082721, 0.040048, 24.356918, 29.321808, -274.216858, 13.727698, 100.772460
1759229784.455117, 0.230292, -2.002750, -9.623942, -0.013695, 0.140617, 0.025818, 24.127869, 29.188614, -274.288391, 13.727698, 100.772460
1759229784.474941, 0.414795, -2.008885, -9.533711, -0.003208, 0.137080, 0.062883, 24.704437, 29.283630, -273.214478, 13.727698, 100.772460
1759229784.494926, 0.490362, -2.046444, -9.725397, 0.056375, 0.115901, 0.109699, 24.658478, 29.215927, -273.745972, 13.727698, 100.772460
1759229784.514952, 0.268899, -2.086996, -9.740061, 0.149206, 0.114879, 0.132791, 25.046524, 29.493576, -274.088440, 13.727698, 100.772460
1759229784.534968, 0.213682, -2.202965, -9.628581, 0.266717, 0.083939, 0.127611, 24.842865, 29.167511, -274.914368, 13.727698, 100.772460
1759229784.554962, 0.194978, -2.328660, -9.574562, 0.344764, 0.068635, 0.108257, 25.015869, 28.896683, -274.630676, 13.727698, 100.772460
1759229784.574174, 0.199916, -2.438195, -9.453505, 0.344086, 0.095851, 0.087909, 25.156876, 28.932785, -275.129761, 13.727698, 100.772460
1759229784.594934, 0.188992, -2.408866, -9.227403, 0.319503, 0.157872, 0.119704, 25.094849, 29.083023, -274.564178, 13.727698, 100.772460
1759229784.615036, 0.454300, -2.254739, -9.188347, 0.324637, 0.182647, 0.231460, 25.108688, 29.309219, -275.349976, 13.727698, 100.772460
1759229784.634935, 0.363769, -2.265513, -9.337087, 0.400853, 0.232644, 0.314018, 25.658752, 28.786118, -275.271179, 13.727698, 100.772460
1759229784.654975, 0.056713, -1.927183, -9.530120, 0.588621, 0.512687, 0.393040, 25.951813, 28.696701, -275.340881, 13.727698, 100.772460
1759229784.674951, -0.423474, -0.837372, -9.297284, 0.762686, 1.026931, 0.556113, 26.278732, 28.376617, -276.591736, 13.727698, 100.772460
1759229784.695017, 0.185700, -0.516250, -8.586505, 0.704322, 1.450506, 1.044088, 27.270813, 28.296890, -276.684448, 13.727698, 100.772460
1759229784.714938, -0.929399, -0.711826, -9.435399, 0.657455, 0.884854, 1.684851, 28.434509, 28.136047, -277.945068, 13.727698, 100.772460
1759229784.734948, -0.866402, -2.309058, -9.009530, 0.442206, 1.834152, 2.686094, 30.271683, 28.233978, -278.265015, 13.727698, 100.772460
1759229784.754939, 0.529867, -4.250905, -8.676736, -0.127337, 1.926493, 2.561049, 33.022003, 28.046036, -277.361176, 13.727698, 100.772460
1759229784.775003, 2.957438, -5.770176, -7.560440, -0.402614, 2.957220, 1.183522, 35.107224, 28.245346, -277.752289, 13.727698, 100.772460
1759229784.794940, 0.119112, -6.189909, -7.144597, -0.937644, 1.558317, 0.555442, 36.150787, 28.168793, -277.166290, 13.727698, 100.772460
1759229784.814936, -0.772729, -3.482067, -7.931990, -1.233966, 1.540858, -0.556902, 36.775406, 29.063339, -276.600586, 13.727698, 100.772460
1759229784.834938, 0.725742, -4.367922, -8.369231, -1.277265, 1.831844, -0.859089, 36.915253, 29.248245, -274.974487, 13.727698, 100.772460
1759229784.854945, 2.834435, -3.186383, -10.118944, -0.972720, 2.143818, -1.076873, 36.971710, 29.666245, -274.505676, 13.727698, 100.772460
1759229784.874953, 4.222025, -2.677017, -10.479870, -0.575291, 2.339674, -0.831519, 37.021530, 29.943954, -274.333252, 13.727698, 100.772460
1759229784.895007, 4.374206, -1.158045, -9.046790, -0.066715, -0.082971, -0.429041, 37.072052, 30.489380, -273.142639, 13.727698, 100.772460
1759229784.914948, 4.835838, -1.820341, -5.896021, -0.376721, -1.645761, 0.003216, 36.529144, 30.318939, -273.451569, 13.727698, 100.772460
1759229784.934972, 4.802170, -2.285565, -7.836372, -0.511389, -1.626227, 0.428627, 36.143616, 30.654663, -273.012299, 13.727698, 100.772460
1759229784.955005, 3.217208, -1.892167, -10.042479, -0.171185, -1.193793, 0.383669, 36.262939, 30.738556, -273.681946, 13.727698, 100.772460
1759229784.975014, 2.587683, -2.743755, -11.436503, 0.345217, -0.878516, 0.064996, 36.278427, 30.713272, -273.466370, 13.727698, 100.772460
1759229784.994932, 1.679532, -2.599804, -10.858153, 0.325824, -0.264157, -0.337483, 35.959213, 30.476303, -273.426025, 13.727698, 100.772460
1759229785.014464, 1.470040, -2.311901, -9.290400, 0.036736, 0.021828, -0.791066, 35.615906, 30.491135, -274.082581, 13.727698, 100.772460
1759229785.034944, 3.448847, -1.240945, -10.040833, 0.408034, -0.349124, -0.426809, 34.980743, 30.462967, -274.119202, 13.727699, 100.772461
