SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759316043.75675,-0.730531,9.871742,-0.85488,0.050266,0.193351,0.024245,4.34,4,DOWNSTAIRS
1759316043.77674,-0.374693,9.570522,-0.494552,0.032021,0.253385,0.055626,4.36,4,DOWNSTAIRS
1759316043.79729,-0.199617,9.37719,-0.187047,0.131856,0.282168,0.097639,4.38,4,DOWNSTAIRS
1759316043.81674,-0.274136,9.15842,-0.301071,0.346734,0.303359,0.089109,4.40,4,DOWNSTAIRS
1759316043.83727,-0.387262,9.071181,-0.856376,0.666217,0.39059,-0.029853,4.42,4,DOWNSTAIRS
1759316043.85732,-0.440982,8.686912,-0.791433,0.648559,0.446178,-0.146802,4.44,4,DOWNSTAIRS
1759316043.87647,-0.507421,8.417115,-1.125574,0.550625,0.499085,-0.060716,4.46,4,DOWNSTAIRS
1759316043.89729,-0.559196,7.712322,-1.392079,0.587614,0.714575,0.00013,4.48,4,DOWNSTAIRS
1759316043.91731,-0.774674,7.038504,-1.647809,0.778224,0.93418,-0.009909,4.50,4,DOWNSTAIRS
1759316043.93721,-1.10253,7.273884,-2.549226,1.171827,1.002269,-0.063984,4.52,4,DOWNSTAIRS
1759316043.95730,-1.266682,8.214955,-2.731784,1.033615,0.675976,-0.119855,4.54,4,DOWNSTAIRS
1759316043.97729,-1.349432,9.432706,-3.503764,0.820812,0.509852,-0.143621,4.56,4,DOWNSTAIRS
1759316043.99729,-0.977582,8.585757,-3.002927,0.881982,1.327047,-0.194028,4.58,4,DOWNSTAIRS
1759316044.01675,-0.915034,5.984457,0.551115,0.491393,1.288064,-0.445537,4.60,4,DOWNSTAIRS
1759316044.03726,-0.881066,6.118981,-0.252289,0.780428,0.99849,-0.328242,4.62,4,DOWNSTAIRS
1759316044.05730,-0.540341,6.997653,-0.789338,0.598586,0.625093,-0.358895,4.64,4,DOWNSTAIRS
1759316044.07675,0.037409,8.066963,-3.538181,0.851304,0.883488,-0.400865,4.66,4,DOWNSTAIRS
1759316044.09675,-0.361973,7.117064,-1.977311,0.534112,0.973278,-0.459003,4.68,4,DOWNSTAIRS
1759316044.11714,0.06195,7.153276,-1.701679,0.503076,1.164445,-0.415199,4.70,4,DOWNSTAIRS
1759316044.13727,0.873734,8.48535,-1.633594,0.012233,0.894323,-0.486229,4.72,4,DOWNSTAIRS
1759316044.15729,1.515829,11.440842,-3.027767,0.168274,0.753278,-0.427503,4.74,4,DOWNSTAIRS
1759316044.17660,2.663699,12.607417,-4.278438,0.146277,0.41767,-0.649958,4.76,4,DOWNSTAIRS
1759316044.19729,1.401506,11.758373,-0.455048,0.144141,0.021251,-0.366591,4.78,4,DOWNSTAIRS
1759316044.21699,1.95322,11.079019,-3.440169,1.394807,0.356743,-0.148907,4.80,4,DOWNSTAIRS
1759316044.23686,-0.272041,9.580996,-2.899827,1.59922,0.009552,-0.222173,4.82,4,DOWNSTAIRS
1759316044.25679,-2.499696,10.634894,-4.605397,2.274903,0.884556,-0.512315,4.84,4,DOWNSTAIRS
1759316044.27730,-3.624522,17.174955,-4.501847,2.905537,1.068992,-0.591602,4.86,4,DOWNSTAIRS
1759316044.29729,-5.420772,24.26269,-5.493496,1.972001,-0.776458,-0.065234,4.88,4,DOWNSTAIRS
1759316044.31684,-5.709872,17.24738,-5.11581,1.346072,-0.466777,0.309093,4.90,4,DOWNSTAIRS
1759316044.33727,-4.639664,10.711509,-3.117101,1.329039,0.034765,-0.004893,4.92,4,DOWNSTAIRS
1759316044.35728,-6.178537,9.528474,-2.059911,1.144081,0.273497,0.176543,4.94,4,DOWNSTAIRS
1759316044.37728,-5.5125,8.218845,-2.805555,1.375093,0.666603,0.351722,4.96,4,DOWNSTAIRS
1759316044.39728,-3.343353,6.279991,-3.007566,2.266101,0.930352,0.26259,4.98,4,DOWNSTAIRS
1759316044.41669,-1.763778,3.681684,-0.927454,2.519733,-0.066766,0.023617,5.00,4,DOWNSTAIRS
1759316044.43688,-0.078859,2.371157,-2.198476,1.946576,-2.481982,-0.257753,5.02,4,DOWNSTAIRS
1759316044.45674,-0.241964,5.495441,-9.337386,1.668834,-1.734095,-0.009188,5.04,4,DOWNSTAIRS
1759316044.47723,-0.234781,7.499089,-8.731205,0.92624,-0.187668,0.189467,5.06,4,DOWNSTAIRS
1759316044.49728,-1.976862,7.404817,-5.552603,0.345798,0.790815,0.077317,5.08,4,DOWNSTAIRS
1759316044.51653,-3.061136,7.028628,-2.052729,0.082726,0.4117,0.091683,5.10,4,DOWNSTAIRS
1759316044.53719,-3.102287,5.882105,-2.496255,-0.084112,-0.282294,0.152657,5.12,4,DOWNSTAIRS
1759316044.55728,-2.368464,4.969914,-3.945495,-0.429578,-0.409832,0.02616,5.14,4,DOWNSTAIRS
1759316044.57728,-1.713799,4.466832,-4.578162,-0.916016,0.072804,-0.024607,5.16,4,DOWNSTAIRS
1759316044.59713,-0.965312,4.301632,-4.348469,-1.438902,0.518896,-0.023788,5.18,4,DOWNSTAIRS
1759316044.61636,-0.23104,3.903447,-3.954623,-1.901356,0.691701,0.011577,5.20,4,DOWNSTAIRS
1759316044.63726,0.276081,3.731962,-3.653552,-2.338884,0.741833,0.073166,5.22,4,DOWNSTAIRS
1759316044.65728,0.055516,3.754707,-2.740613,-2.710521,0.652225,0.110314,5.24,4,DOWNSTAIRS
1759316044.67693,0.108188,4.114884,-1.571644,-2.981949,0.378385,0.263492,5.26,4,DOWNSTAIRS
1759316044.69700,0.134674,4.740519,-0.441431,-3.266748,-0.280492,0.597473,5.28,4,DOWNSTAIRS
1759316044.71673,0.080655,5.577143,0.106243,-3.444089,-1.217662,0.941715,5.30,4,DOWNSTAIRS
1759316044.73672,-0.320075,6.926425,-1.09415,-3.006161,-1.890781,1.016052,5.32,4,DOWNSTAIRS
1759316044.75674,-0.742352,9.000552,-3.345747,-1.747588,-1.838993,0.807655,5.34,4,DOWNSTAIRS
