SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759316039.417063, 2.344073, 1.666514, -7.478139, -0.361693, 0.273114, 0.058871, 28.649765, -104.696503, 64.568878, 13.727805, 100.772331
1759316039.436942, 2.622698, 1.074398, -8.667309, -0.095195, 0.004925, 0.255351, 28.789124, -104.545151, 65.110687, 13.727805, 100.772331
1759316039.457390, 2.597559, 0.450409, -11.302128, 0.047442, 1.346486, 0.271391, 29.393341, -104.674728, 64.165756, 13.727805, 100.772331
1759316039.476710, 1.237054, 2.075623, -11.541099, -0.112056, 1.925161, 0.278630, 29.772720, -104.612137, 64.027817, 13.727805, 100.772331
1759316039.496819, 1.929128, 2.450316, -10.003423, -0.252804, 2.785029, 0.631009, 30.576447, -104.147614, 63.665894, 13.727805, 100.772331
1759316039.516842, 3.973627, 0.592565, -7.591265, -0.448828, 2.875445, 1.023489, 31.925247, -103.649277, 63.518723, 13.727805, 100.772331
1759316039.536932, 8.700230, -2.564938, -4.594323, -0.409445, 1.520652, 1.221910, 32.972336, -103.497711, 63.087936, 13.727805, 100.772331
1759316039.557360, 7.332841, -0.235679, -4.259883, -0.019629, 0.035810, 0.890204, 33.637802, -103.296692, 63.423279, 13.727805, 100.772331
1759316039.576615, 6.432322, 0.161758, -5.988796, 0.265155, -0.612264, 0.832481, 34.222748, -103.371246, 62.701813, 13.727805, 100.772331
1759316039.597096, 4.576965, 1.707515, -7.835324, 0.456273, -1.217041, 1.004660, 34.461197, -103.062042, 63.036728, 13.727805, 100.772331
1759316039.617356, 4.817882, -0.553659, -7.302465, 0.942541, -1.926247, 0.678044, 34.362869, -103.036621, 62.978394, 13.727805, 100.772331
1759316039.636983, 4.195240, -2.680458, -7.252186, 0.824830, -1.435620, -0.084716, 33.972305, -103.601395, 62.902847, 13.727805, 100.772331
1759316039.657359, 4.665700, -1.912369, -13.009493, 0.111637, 0.196914, -0.152260, 33.896500, -103.698181, 62.256409, 13.727805, 100.772331
1759316039.677403, 4.754884, -1.416918, -8.467693, -0.945175, 0.631364, 0.326196, 34.461548, -103.559448, 63.005219, 13.727805, 100.772331
1759316039.697166, 3.406650, 2.267010, -10.270826, -1.569803, 1.047685, 1.129877, 35.276749, -102.909286, 63.617233, 13.727805, 100.772331
1759316039.717362, 4.273351, 1.988534, -8.156746, -1.011707, 0.599349, 1.851463, 36.672089, -102.448914, 64.053894, 13.727805, 100.772331
1759316039.736944, 4.633828, 2.293944, -7.740454, -1.112836, 0.802121, 2.556233, 38.364975, -102.033554, 64.815460, 13.727805, 100.772331
1759316039.756845, 3.755455, 2.983475, -9.767894, -2.282748, 1.619838, 2.934513, 40.573090, -101.247543, 66.370926, 13.727805, 100.772331
1759316039.777352, 3.644125, 0.112677, -7.841759, -3.212146, 1.450579, 2.510304, 42.095886, -100.628555, 68.755844, 13.727805, 100.772331
1759316039.797334, 4.681113, -2.916587, -6.552331, -3.620027, 1.272968, 1.385410, 43.399460, -100.188217, 70.659531, 13.727805, 100.772331
1759316039.816816, 5.626224, -1.849820, -7.029675, -3.867815, 0.732471, 0.674072, 43.478577, -100.299179, 72.068802, 13.727805, 100.772331
1759316039.837336, 8.125023, 1.308132, -6.564452, -2.617807, -0.522069, 1.172706, 44.408112, -100.220520, 74.125595, 13.727805, 100.772331
1759316039.857221, 7.783699, 4.848558, -9.135076, -1.431511, 0.176727, 1.740715, 45.519974, -100.501816, 75.124756, 13.727805, 100.772331
1759316039.876791, 8.199392, 3.804386, -11.676521, -1.676257, 1.942543, 2.124771, 46.674377, -100.609970, 77.312347, 13.727805, 100.772331
1759316039.896830, 7.430106, 1.609352, -8.647557, -2.742364, 2.072327, 1.545467, 47.648483, -100.786972, 78.375732, 13.727805, 100.772331
1759316039.917351, 7.644836, -1.308880, -5.656002, -3.391496, 1.717604, 0.630325, 48.193832, -101.255371, 80.830536, 13.727805, 100.772331
1759316039.937334, 6.527641, -0.075417, -7.302614, -3.689514, 2.291291, 0.232178, 48.120926, -101.819672, 83.218109, 13.727805, 100.772331
1759316039.957150, 6.586598, -0.257377, -7.415142, -3.193971, 2.217155, -0.130722, 47.694794, -102.142334, 85.410736, 13.727805, 100.772331
1759316039.977348, 7.359926, -0.004489, -4.885219, -2.132508, 1.295768, -0.620480, 47.053024, -102.801834, 87.116150, 13.727805, 100.772331
1759316039.997348, 6.937199, 2.871546, -5.517737, -1.529459, 1.521116, -0.725274, 46.289062, -103.088730, 87.960083, 13.727805, 100.772331
1759316040.017349, 7.470807, 2.994099, -3.518579, -1.851388, 0.632161, -0.390958, 45.809402, -103.383820, 88.997467, 13.727805, 100.772331
1759316040.036912, 7.598448, 4.134038, -2.820519, -2.090642, 0.200869, -0.011441, 45.754822, -103.802292, 90.456543, 13.727805, 100.772331
1759316040.056892, 6.623709, 3.576039, -4.083461, -1.825587, 0.121545, 0.021949, 45.561005, -104.485153, 91.472321, 13.727805, 100.772331
1759316040.077336, 7.892635, 0.856376, -9.863812, -1.679400, 1.697987, -0.566488, 44.757568, -105.103745, 92.504684, 13.727805, 100.772331
1759316040.096818, 6.231359, 2.638859, -9.470564, -0.997951, 2.550150, -0.232211, 43.671860, -105.407974, 93.338013, 13.727805, 100.772331
1759316040.117341, 6.416610, 4.243124, -4.644153, -0.522027, 2.319395, -0.545985, 42.718613, -105.730881, 93.634750, 13.727805, 100.772331
1759316040.137361, 8.606556, 5.220856, -1.446098, -0.374713, 1.498499, -0.218379, 42.065948, -105.978027, 93.711533, 13.727805, 100.772331
1759316040.156819, 9.733627, 6.222231, -1.534683, -0.909900, 1.785811, 0.141945, 41.322235, -106.114075, 94.152069, 13.727805, 100.772331
1759316040.177334, 8.747814, 5.232378, -5.438429, 0.316827, 3.485088, 1.109818, 40.502472, -105.920258, 94.427231, 13.727805, 100.772331
1759316040.197330, 9.546729, 3.495684, 1.029058, 2.160577, 0.556364, 1.758148, 41.270630, -105.328598, 93.014450, 13.727805, 100.772331
