SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759736165.29092,-0.009726,-3.511396,-9.316288,-0.009762,0.350569,0.01103,1,IDLE
1759736165.31164,-0.110732,-3.716848,-9.642647,0.042263,0.30232,-0.040312,1,IDLE
1759736165.33162,0.279822,-3.598934,-9.318083,0.004195,0.085194,-0.015069,1,IDLE
1759736165.35163,0.130334,-3.574244,-9.607931,0.046197,-0.012153,-0.012659,1,IDLE
1759736165.37070,0.088436,-3.514538,-9.558401,0.066093,-0.049105,-0.023498,1,IDLE
1759736165.39096,-0.031424,-3.648464,-9.317784,0.059913,-0.079742,-0.050257,1,IDLE
1759736165.41097,-0.202011,-3.651756,-9.204957,0.015267,-0.031748,-0.084068,1,IDLE
1759736165.43162,-0.085892,-3.644573,-9.149442,-0.046682,0.040587,-0.099991,1,IDLE
1759736165.45162,-0.021847,-3.686023,-9.088988,-0.089602,0.032207,-0.082947,1,IDLE
1759736165.47072,-0.004938,-3.689914,-9.123854,-0.104478,0.053869,-0.083442,1,IDLE
1759736165.49096,0.058658,-3.599084,-9.250297,-0.076178,0.053662,-0.07563,1,IDLE
1759736165.51163,0.014515,-3.568558,-9.553463,-0.001239,0.081357,-0.096029,1,IDLE
1759736165.53162,0.023493,-3.548207,-9.458294,0.11221,0.06483,-0.152509,1,IDLE
1759736165.55164,0.137966,-3.606117,-9.229049,0.133772,0.058217,-0.185845,1,IDLE
1759736165.57133,0.239271,-3.724031,-9.012224,0.104024,0.057636,-0.184866,1,IDLE
1759736165.59162,0.368258,-3.749469,-8.865579,0.05416,0.060935,-0.160702,1,IDLE
1759736165.61163,0.328155,-3.784485,-8.858995,0.017995,0.068305,-0.140316,1,IDLE
1759736165.63162,0.409708,-3.760243,-8.918401,-0.008463,0.029103,-0.099848,1,IDLE
1759736165.65163,0.265158,-3.677494,-8.966734,-0.016651,0.005733,-0.078879,1,IDLE
1759736165.67163,0.2478,-3.727473,-9.117419,0.019992,-0.038009,-0.067256,1,IDLE
1759736165.69083,0.273837,-3.62138,-9.097218,0.065193,-0.016142,-0.066503,1,IDLE
1759736165.71159,0.168492,-3.689764,-9.002198,0.071026,0.026797,-0.076861,1,IDLE
1759736165.73162,0.195277,-3.73271,-8.880992,0.01983,0.004035,-0.093217,1,IDLE
1759736165.75163,0.231789,-3.712958,-8.833108,-0.015965,-0.029158,-0.152824,1,IDLE
1759736165.77131,0.261118,-3.823241,-8.842086,-0.059612,-0.076844,-0.18419,1,IDLE
1759736165.79145,0.373196,-3.809773,-8.871565,-0.108934,-0.084968,-0.147519,1,IDLE
1759736165.81125,0.530016,-3.769671,-8.96449,-0.130954,-0.080183,-0.074746,1,IDLE
1759736165.83126,0.531213,-3.673005,-9.132832,-0.102446,-0.070289,-0.023015,1,IDLE
1759736165.85163,0.4543,-3.662081,-9.263914,-0.026305,-0.081176,-0.003239,1,IDLE
1759736165.87132,0.402376,-3.536834,-9.145252,0.04058,-0.047661,-0.000995,1,IDLE
1759736165.89162,0.272191,-3.575291,-8.958803,0.033633,-0.017255,-0.013331,1,IDLE
1759736165.91163,0.37978,-3.620931,-8.817994,-0.028273,-0.004432,-0.032847,1,IDLE
1759736165.93161,0.395343,-3.690662,-8.972121,-0.080387,-0.03366,-0.05612,1,IDLE
1759736165.95166,0.479439,-3.706523,-9.157372,-0.091332,-0.066855,-0.08141,1,IDLE
1759736165.97132,0.456095,-3.648314,-9.312846,-0.049058,-0.075731,-0.093122,1,IDLE
1759736165.99162,0.550816,-3.640683,-9.413552,0.019704,-0.03906,-0.084065,1,IDLE
1759736166.01142,0.748188,-3.681384,-9.343971,0.071412,-0.053521,-0.031526,1,IDLE
1759736166.03118,0.710779,-3.735254,-9.120861,0.082334,-0.105457,0.022863,1,IDLE
1759736166.05162,0.56967,-3.736152,-9.034819,0.055185,-0.100472,0.046669,1,IDLE
1759736166.07130,0.47884,-3.751265,-8.966136,0.021673,-0.103993,0.065742,1,IDLE
1759736166.09161,0.50383,-3.737199,-9.003545,0.010752,-0.098992,0.086246,1,IDLE
1759736166.11162,0.469114,-3.656694,-9.076269,0.030893,-0.087806,0.099336,1,IDLE
1759736166.13162,0.42512,-3.605219,-9.042002,0.062414,-0.114911,0.092883,1,IDLE
1759736166.15166,0.273837,-3.57993,-8.981548,0.099365,-0.12385,0.078827,1,IDLE
1759736166.17129,0.171485,-3.730765,-9.003246,0.127813,-0.107319,0.052139,1,IDLE
1759736166.19162,0.320374,-3.648314,-8.761431,0.076489,-0.091493,0.070127,1,IDLE
1759736166.21163,0.164601,-3.811868,-8.670452,0.01864,-0.104368,0.077805,1,IDLE
