SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,duration,subject,activity
1759486006.79144,-4.954052,8.034043,-2.740313,-0.001082,-0.02193,0.015281,30.01992,1,IDLE
1759486006.81144,-4.953304,8.051102,-2.719663,-0.003767,-0.012514,0.013833,30.03992,1,IDLE
1759486006.83097,-4.934749,8.078785,-2.701557,-0.007364,-0.012528,0.011123,30.05945,1,IDLE
1759486006.85143,-4.93445,8.072201,-2.743456,-0.005499,-0.012489,0.012345,30.07991,1,IDLE
1759486006.87141,-4.96333,8.051401,-2.72939,-0.001024,-0.012328,0.012525,30.09989,1,IDLE
1759486006.89141,-4.951957,8.038382,-2.698864,-0.003648,-0.009295,0.009636,30.11989,1,IDLE
1759486006.91141,-4.923376,8.062175,-2.68794,-0.007889,-0.000894,0.005892,30.13989,1,IDLE
1759486006.93099,-4.901679,8.079682,-2.688539,-0.011469,0.00367,0.005545,30.15947,1,IDLE
1759486006.95142,-4.864718,8.117391,-2.675071,-0.011534,0.002975,0.005094,30.17990,1,IDLE
1759486006.97144,-4.885069,8.109161,-2.705897,-0.004682,-0.008402,0.008668,30.19992,1,IDLE
1759486006.99140,-4.879084,8.122179,-2.712032,0.004784,-0.017265,0.007568,30.21988,1,IDLE
1759486007.01143,-4.89315,8.084321,-2.708141,0.008238,-0.018198,0.005007,30.23991,1,IDLE
1759486007.03101,-4.910807,8.066514,-2.69647,0.003123,-0.011836,0.004984,30.25949,1,IDLE
1759486007.05143,-4.92996,8.067861,-2.703652,0.000982,-0.007891,0.004583,30.27991,1,IDLE
1759486007.07142,-4.940585,8.067262,-2.709039,-0.002688,-0.003537,0.002075,30.29990,1,IDLE
1759486007.09140,-4.950461,8.078635,-2.700211,-0.005461,-0.000247,0.002711,30.31988,1,IDLE
1759486007.11142,-4.919037,8.074894,-2.701557,-0.00564,-0.00085,0.002276,30.33990,1,IDLE
1759486007.13103,-4.927716,8.054394,-2.707393,-0.003334,-0.001537,0.0018,30.35951,1,IDLE
1759486007.15143,-4.923676,8.068011,-2.703054,0.000137,0.002319,0.000931,30.37991,1,IDLE
1759486007.17142,-4.933701,8.087164,-2.693327,0.000549,0.00212,0.000098,30.39990,1,IDLE
1759486007.19140,-4.923227,8.092851,-2.659808,-0.001441,-0.002488,0.000709,30.41988,1,IDLE
1759486007.21141,-4.917391,8.071003,-2.681057,0.000215,-0.00837,0.001092,30.43989,1,IDLE
1759486007.23105,-4.916792,8.061576,-2.686145,-0.003407,-0.009041,0.005599,30.45953,1,IDLE
1759486007.25141,-4.922179,8.062175,-2.702455,-0.006142,-0.005178,0.007479,30.47989,1,IDLE
1759486007.27141,-4.933402,8.075343,-2.742558,-0.004647,-0.001796,0.010313,30.49989,1,IDLE
1759486007.29140,-4.942081,8.074595,-2.733131,-0.001919,0.01258,0.007895,30.51988,1,IDLE
1759486007.31141,-4.966921,8.06023,-2.687791,-0.003283,0.013402,-0.002061,30.53989,1,IDLE
1759486007.33106,-4.916044,8.084022,-2.65487,-0.007344,0.005266,-0.004826,30.55954,1,IDLE
1759486007.35141,-4.896891,8.074744,-2.700659,-0.001209,-0.000717,-0.002041,30.57989,1,IDLE
1759486007.37141,-4.902577,8.092102,-2.697068,0.000577,-0.007517,0.003926,30.59989,1,IDLE
1759486007.39140,-4.907664,8.100332,-2.722806,-0.000849,-0.005163,0.007469,30.61988,1,IDLE
1759486007.41142,-4.903624,8.096292,-2.723704,-0.002066,0.003705,0.007526,30.63990,1,IDLE
1759486007.43105,-4.91784,8.054693,-2.709338,-0.002578,0.006262,0.00477,30.65953,1,IDLE
1759486007.45143,-4.939986,8.054244,-2.694075,0.000293,-0.001779,-0.00232,30.67991,1,IDLE
1759486007.47143,-4.928763,8.067262,-2.708441,0.000289,-0.007344,-0.000443,30.69991,1,IDLE
1759486007.49093,-4.931906,8.072949,-2.696769,-0.002496,-0.007747,0.001598,30.71941,1,IDLE
1759486007.51143,-4.918738,8.062923,-2.734478,-0.003204,-0.00275,0.003523,30.73991,1,IDLE
1759486007.53108,-4.952256,8.059032,-2.734777,-0.003745,0.001693,0.005535,30.75956,1,IDLE
1759486007.55142,-4.972308,8.047959,-2.727744,-0.003555,0.006776,0.000357,30.77990,1,IDLE
1759486007.57143,-4.959289,8.057536,-2.685696,-0.007067,0.008813,-0.005366,30.79991,1,IDLE
1759486007.59140,-4.905869,8.06008,-2.701408,-0.003926,0.004934,-0.001852,30.81988,1,IDLE
1759486007.61142,-4.914398,8.073398,-2.697816,-0.001988,0.000114,-0.001195,30.83990,1,IDLE
1759486007.63108,-4.905121,8.08881,-2.701258,-0.003826,-0.005077,0.001419,30.85956,1,IDLE
1759486007.65143,-4.90527,8.087613,-2.692729,-0.002394,-0.002026,0.003925,30.87991,1,IDLE
1759486007.67142,-4.918139,8.08492,-2.716521,-0.001966,0.000932,0.003572,30.89990,1,IDLE
