SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Duration,Subject,Activity
1759224930.41284,-6.707506,26.043377,4.085107,-5.170726,5.577529,1.910387,5.760,5,RUN
1759224930.43228,-8.508843,17.588703,2.615665,-5.936129,4.292756,0.637518,5.780,5,RUN
1759224930.45239,-8.553136,16.24376,1.203685,-5.248565,1.633088,0.04545,5.800,5,RUN
1759224930.47280,-0.756418,17.840843,-26.554839,1.177843,-10.033626,0.967356,5.820,5,RUN
1759224930.49284,3.649212,20.310162,-9.355642,1.856943,-2.483114,-0.015022,5.840,5,RUN
1759224930.51196,-3.590704,11.00001,-2.799869,0.169406,1.761039,-0.010937,5.859,5,RUN
1759224930.53225,-4.058022,2.941127,-5.314978,0.230903,1.678678,0.550779,5.880,5,RUN
1759224930.55242,-1.9405,0.558298,-1.387141,0.399078,1.86818,0.283342,5.900,5,RUN
1759224930.57282,-0.440383,-0.31798,2.639458,0.177515,2.457495,0.035549,5.920,5,RUN
1759224930.59284,-0.578349,-0.991349,1.641225,0.360097,2.471586,0.164028,5.940,5,RUN
1759224930.61196,-0.596904,-1.164779,1.49877,0.31613,2.383103,0.458586,5.959,5,RUN
1759224930.63236,-1.650802,-2.684798,-9.150639,2.598531,-3.709795,0.647945,5.980,5,RUN
1759224930.65236,-0.07003,-0.921169,-0.357035,2.990107,-4.604486,0.460166,6.000,5,RUN
1759224930.67283,-0.066289,-0.071377,0.484227,3.14062,-4.24144,-0.083947,6.020,5,RUN
1759224930.69285,-0.222361,1.72203,2.899378,2.796576,-2.138374,-1.168808,6.040,5,RUN
1759224930.71196,-5.709572,15.630097,3.491345,3.907458,-1.063344,-4.276808,6.059,5,RUN
1759224930.73225,-9.231593,33.493235,-0.654814,5.979403,-1.880027,-7.14927,6.080,5,RUN
1759224930.75236,-10.579379,40.217201,-21.072416,3.023753,-4.854242,-6.676511,6.100,5,RUN
1759224930.77282,-10.877457,33.287783,-8.552238,-0.006115,-0.187366,-2.932347,6.120,5,RUN
1759224930.79279,-14.829236,21.832276,-2.482338,-1.521175,2.792455,0.065575,6.140,5,RUN
1759224930.81196,-9.460389,14.307001,-1.356914,-1.9225,3.7387,-0.451271,6.159,5,RUN
1759224930.83224,-9.053823,12.0777,1.979107,-2.194607,3.641169,-1.790955,6.180,5,RUN
1759224930.85239,-7.13113,6.593482,4.477756,-1.856966,1.843123,-1.258199,6.200,5,RUN
1759224930.87284,-1.391031,-0.475249,5.296124,-1.445872,-0.157763,0.349971,6.220,5,RUN
1759224930.89290,2.109292,-3.47279,4.827459,-1.720346,-0.68816,1.809515,6.240,5,RUN
1759224930.91196,2.997989,-4.252401,3.212869,-1.675934,0.398748,3.300403,6.259,5,RUN
1759224930.93225,5.640739,-4.75668,2.705897,-0.839292,3.038286,3.690798,6.280,5,RUN
1759224930.95237,9.850643,-4.949862,1.32968,-0.131679,5.749296,2.086027,6.300,5,RUN
1759224930.97284,10.133459,-3.681384,-3.686622,-0.054946,4.341036,-0.348686,6.320,5,RUN
1759224930.99250,4.583549,-0.820762,-8.554483,-0.280869,1.767939,-1.502369,6.340,5,RUN
1759224931.01230,-1.398663,3.508852,-12.634202,0.440957,-0.49409,-1.925765,6.360,5,RUN
1759224931.03231,-1.192163,1.502511,-6.681768,-0.024061,-3.491795,-1.965517,6.380,5,RUN
1759224931.05236,0.7847,0.758214,0.166996,-1.608643,-4.193799,-1.636246,6.400,5,RUN
1759224931.07256,2.510021,6.329521,6.968324,-4.88203,-2.720332,-1.214315,6.420,5,RUN
1759224931.09257,-1.022025,11.411663,18.084153,-3.393834,-1.899789,0.540623,6.440,5,RUN
1759224931.11196,-4.843021,28.327296,34.40812,2.132466,2.032374,2.773562,6.459,5,RUN
1759224931.13223,-2.516456,37.919964,15.542708,-0.468516,4.683361,2.097553,6.480,5,RUN
1759224931.15236,-4.929362,29.656228,4.796633,-3.744027,4.868319,-0.360878,6.500,5,RUN
1759224931.17282,-8.115595,21.181801,-0.559495,-5.13203,0.683931,-1.909941,6.520,5,RUN
1759224931.21196,-6.174646,19.023429,17.764976,6.509518,-2.964509,-2.759442,6.559,5,RUN
1759224931.23283,-13.048998,10.831219,-20.160525,2.876148,-4.057527,-3.877097,6.580,5,RUN
1759224931.25233,-13.307571,1.309329,-0.817171,0.713718,-0.804348,-1.189086,6.600,5,RUN
1759224931.27282,-4.012383,-2.598008,-5.172373,0.971874,0.04894,0.953363,6.620,5,RUN
1759224931.29283,-2.432509,-1.868076,1.305139,0.183333,1.60087,0.890802,6.640,5,RUN
1759224931.31201,-1.291373,-3.404555,1.340304,-0.520084,2.310072,0.301449,6.659,5,RUN
1759224931.33228,-2.407669,-6.80911,-7.24261,-0.505873,-1.183684,-0.064691,6.680,5,RUN
1759224931.35235,-3.45214,-7.29618,-1.944092,2.20453,-0.071341,-1.831958,6.700,5,RUN
1759224931.37284,-2.552369,-2.187702,0.804452,3.107521,2.277485,-2.294304,6.720,5,RUN
1759224931.39288,-2.795979,2.917335,-3.462614,2.964204,2.422868,-2.124851,6.740,5,RUN
1759224931.41196,-5.63221,10.819397,-2.195034,1.821958,3.211195,-3.288333,6.759,5,RUN
1759224931.43260,-13.32478,23.547123,-7.238121,0.986276,2.8326,-6.173359,6.780,5,RUN
1759224931.45236,-28.724434,30.820109,-1.698686,3.70926,-0.014885,-2.868283,6.800,5,RUN
1759224931.47280,-24.571692,39.397037,0.192733,6.170185,-1.147093,0.473368,6.820,5,RUN
1759224931.49284,-3.442413,26.848129,-12.044929,1.651632,-0.554802,-0.459124,6.840,5,RUN
1759224931.51196,-8.776994,9.943718,-4.16621,-1.397852,1.086684,-0.734118,6.859,5,RUN
1759224931.53194,-13.225869,7.672668,-2.309956,-1.789345,2.372674,-1.574905,6.879,5,RUN
1759224931.55233,-17.110013,6.126313,1.037138,-1.954433,2.788365,-0.496062,6.900,5,RUN
1759224931.57291,-7.327753,2.637812,3.651457,-1.774482,1.43881,1.095462,6.920,5,RUN
1759224931.59284,0.660949,2.861221,5.549161,-1.788632,-0.107876,2.27054,6.940,5,RUN
1759224931.61196,4.926519,1.144877,7.871836,-1.937018,-0.071145,2.503925,6.959,5,RUN
1759224931.63288,6.336853,-2.251298,3.057994,-1.185971,-0.908184,3.021284,6.980,5,RUN
1759224931.65235,11.181221,-5.929839,-0.371251,-0.069642,0.384034,2.804295,7.000,5,RUN
1759224931.67280,12.568661,-5.374235,-7.153575,-0.871277,1.280158,0.989187,7.020,5,RUN
1759224931.69298,4.409521,-5.989694,-5.591209,-0.242624,0.795522,0.109532,7.040,5,RUN
1759224931.71283,-2.019509,-0.741454,-4.599411,0.641566,-0.319303,0.052241,7.060,5,RUN
1759224931.73286,-1.668759,0.218172,-1.515081,0.663138,-1.597471,0.191237,7.080,5,RUN
1759224931.75233,-1.237653,0.443975,1.546205,-0.19867,-1.957267,0.424972,7.100,5,RUN
1759224931.77284,-0.724845,1.501314,0.373495,-1.808292,-2.927261,0.939771,7.120,5,RUN
1759224931.79284,-5.688773,22.998402,8.009203,-3.169426,-1.502671,2.42442,7.140,5,RUN
1759224931.81196,-8.951621,50.709042,28.038196,-1.342376,2.953296,1.600753,7.159,5,RUN
1759224931.83284,-8.685266,25.94731,9.024345,-2.84893,2.177765,1.115487,7.180,5,RUN
1759224931.85236,-6.266972,10.868478,2.490868,-4.355648,0.435716,1.743381,7.200,5,RUN
1759224931.87280,-5.514445,18.248755,2.46109,-4.979356,0.031404,0.395218,7.220,5,RUN
1759224931.89282,-9.218724,21.570111,-0.113276,-5.628818,-4.183636,-0.663907,7.240,5,RUN
1759224931.91193,-1.952172,19.446304,-24.308778,3.636461,-4.758593,0.650779,7.259,5,RUN
1759224931.93291,-5.510255,18.373104,-10.61589,3.400125,-2.284673,-1.313024,7.280,5,RUN
1759224931.95233,-8.843133,8.63813,3.317166,1.223218,-0.01681,-1.826236,7.300,5,RUN
1759224931.97282,-8.495525,-0.568773,-0.997634,0.37244,-0.338178,-0.733523,7.320,5,RUN
1759224931.99290,-5.252579,-5.885995,-3.712659,0.576321,-1.964153,0.226598,7.340,5,RUN
1759224932.01283,-2.910152,-3.800197,1.429488,0.72153,-0.683988,0.416925,7.360,5,RUN
1759224932.03291,-1.50715,-4.040664,0.453701,0.683221,0.550883,0.549191,7.380,5,RUN
1759224932.05234,-4.492271,-7.216273,-5.678897,2.422617,-0.361901,0.693873,7.400,5,RUN
1759224932.07280,-2.792088,-3.04333,-1.575235,2.886219,0.13072,0.278833,7.420,5,RUN
1759224932.09288,-2.149095,0.405668,0.722001,2.757008,2.159165,-0.643149,7.440,5,RUN
