SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759224924.652561, 1.179144, -4.242076, -8.462904, -0.083283, -0.949638, 0.849644, -20.525085, -67.599319, -210.942429, , 
1759224924.672231, 1.002722, -4.252102, -8.044218, 0.134539, -1.298564, 0.940765, -20.502655, -67.030121, -210.330551, , 
1759224924.692569, 0.521637, -4.085256, -7.751228, 0.551088, -1.400343, 0.994481, -20.671722, -66.859726, -209.199432, , 
1759224924.711957, 0.015712, -4.174440, -7.594707, 0.930365, -1.313611, 1.018149, -20.561707, -66.865494, -209.494843, 13.724687, 100.771837
1759224924.732327, -0.241515, -4.441843, -8.373870, 0.993397, -1.332057, 1.043409, -20.749359, -66.595383, -209.354523, 13.724715, 100.771717
1759224924.752597, -0.513107, -4.462642, -8.694843, 0.868177, -1.402103, 1.113626, -20.650864, -66.540466, -209.941269, 13.724715, 100.771717
1759224924.772821, -0.830489, -4.430769, -8.632294, 0.745373, -1.317525, 1.273276, -20.570923, -66.226135, -208.596649, 13.724715, 100.771717
1759224924.792826, -1.591546, -4.523694, -8.419509, 0.831201, -1.072609, 1.316238, -20.490341, -65.831924, -208.767532, 13.724715, 100.771717
1759224924.812798, -1.986290, -4.781071, -8.870517, 0.961114, -1.235793, 1.146996, -20.545639, -65.679306, -208.761490, 13.724715, 100.771717
1759224924.832834, -2.647538, -5.592556, -8.122030, 1.079018, -1.238279, 1.057172, -20.389923, -65.858231, -208.055649, 13.724715, 100.771717
1759224924.852606, -2.874239, -5.210531, -7.982418, 1.030595, -1.303499, 0.943434, -20.224243, -65.482544, -208.678253, 13.724715, 100.771717
1759224924.872843, -3.056947, -5.531953, -7.620445, 0.916477, -1.280432, 0.830599, -20.902512, -65.515427, -208.426651, 13.724715, 100.771717
1759224924.892845, -3.421015, -5.273678, -7.134871, 0.772310, -1.189269, 0.878974, -20.388336, -65.122437, -207.771423, 13.724715, 100.771717
1759224924.912099, -3.261651, -4.776283, -6.961890, 0.463124, -1.080065, 0.862988, -20.364487, -64.894287, -208.036148, 13.724715, 100.771717
1759224924.932857, -3.558681, -5.060594, -6.748656, 0.020272, -0.798888, 0.714104, -20.311493, -64.791748, -207.392197, 13.724715, 100.771717
1759224924.952596, -4.772242, -5.656152, -7.340622, -0.226284, -0.925553, 0.571847, -20.284470, -64.500229, -206.847244, 13.724715, 100.771717
1759224924.972833, -4.774786, -5.484069, -7.586627, 0.033939, -1.205160, 0.436335, -20.654556, -63.915588, -206.221344, 13.724715, 100.771717
