SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759224925.647637, 0.627879, -3.538331, -8.460660, 0.068049, 0.353307, 0.051902, -43.337143, 9.730698, -143.121216
1759224925.667633, 0.999878, -4.108600, -8.471733, 0.408461, 0.385482, 0.034196, -42.863678, 9.777832, -143.264114
1759224925.687614, 0.736666, -3.951480, -8.911667, 1.264021, -0.577361, -0.161252, -42.727341, 9.246231, -143.109772
1759224925.707692, 0.401478, -4.031686, -9.031378, 1.944676, -1.963548, -0.706018, -43.861206, 8.367889, -144.599274
1759224925.727698, 2.244714, -2.272696, -6.481403, 1.833964, -3.767399, -0.164616, -46.019836, 7.540497, -146.583878
1759224925.747623, 2.134880, -2.773084, -5.382016, 1.554146, -5.568110, 0.616285, -48.232773, 6.556229, -148.556046
1759224925.767614, 0.955586, -3.192518, -4.468328, 1.181453, -6.053587, 0.832568, -51.647812, 5.646515, -150.137039
1759224925.787416, -1.512986, -6.101324, -11.780071, 0.667632, -1.869947, 0.449065, -53.983871, 4.807556, -150.924225
1759224925.807014, -2.847155, -5.173870, -7.260566, -0.352250, -1.855155, 0.534573, -54.663300, 4.778091, -150.393387
1759224925.826949, -2.240075, -4.412663, -9.282469, -1.249817, -0.509195, 0.344915, -55.055435, 5.504150, -150.529434
1759224925.847610, -5.439626, -5.569212, -7.406164, -1.201341, 0.406698, -0.081997, -54.984756, 6.366211, -149.871704
1759224925.867716, -3.786729, -4.585195, -7.168240, -0.978081, 0.472982, 0.026063, -54.480942, 6.932266, -148.850677
1759224925.887681, -1.770811, -3.147328, -6.826617, -0.782559, -0.127135, 0.182414, -54.395264, 7.479980, -148.247742
1759224925.907481, -1.216105, -2.964171, -10.508001, -0.707798, -1.303615, 0.205557, -54.739014, 7.840393, -148.235855
1759224925.927705, -4.291158, -2.665345, -9.585935, -0.501952, -2.331307, 0.287650, -55.574478, 8.080795, -147.823624
1759224925.947653, -3.012953, -4.027346, -9.231144, -0.283810, -3.337793, 0.462429, -56.977020, 8.390015, -147.133224
1759224925.967603, -1.845630, -4.648193, -8.908824, -0.070264, -3.108183, 0.676310, -58.744156, 8.419083, -147.573608
1759224925.987708, -4.561702, -3.838055, -8.347384, -0.112005, -2.210738, 0.153710, -60.230667, 8.511414, -146.544510
1759224926.007587, -7.769035, -4.118326, -6.564153, -0.761673, -1.270381, -0.839727, -61.572662, 8.976547, -146.151688
1759224926.027600, -5.935076, -3.052607, -5.089624, -1.502064, -1.457322, -1.081960, -62.948318, 9.787231, -144.813919
1759224926.047600, -4.520103, -2.772785, -6.655881, -1.308760, -1.844099, -0.957371, -64.538666, 10.202530, -143.807617
1759224926.067640, -5.008820, -3.096750, -8.434473, -0.378572, -2.470705, -1.168580, -66.555618, 9.972778, -142.812683
1759224926.087654, -5.698948, -3.304298, -8.921992, 0.763505, -1.127734, -1.035751, -67.947784, 9.857086, -142.956772
1759224926.107572, -4.023755, -4.336348, -6.949919, 0.816226, -0.829941, 0.127405, -68.474426, 9.395523, -143.089386
1759224926.127646, -4.637120, -3.826832, -4.758775, 0.272891, -2.217248, 1.126142, -68.704025, 9.448303, -142.680557
1759224926.147570, -5.683386, -3.286491, -4.457405, -0.154636, -2.145842, 1.423170, -68.947937, 9.805878, -142.492340
1759224926.167603, -5.176114, -1.970727, -6.464045, -0.775931, -1.120456, 1.204546, -68.521606, 10.429138, -141.771301
1759224926.187645, -5.124938, -1.184082, -4.413860, -1.145551, -0.569471, 1.022366, -67.982285, 11.416412, -141.472305
1759224926.206641, -4.416704, -1.127968, -3.561525, -1.966114, 0.048526, 0.653907, -67.861938, 12.534531, -139.757278
1759224926.227572, -4.608838, -0.903661, -4.856937, -2.421566, 0.612064, 0.227630, -67.343750, 13.233063, -138.028427
1759224926.247564, -6.033687, -0.989404, -4.745757, -2.680514, 1.188992, -0.103585, -67.348541, 14.419998, -136.587311
1759224926.267603, -6.442647, 1.179893, -7.275231, -2.665780, -0.111617, 0.074333, -67.176331, 15.000137, -134.357819
1759224926.287677, -5.559935, 2.156727, -4.477756, -2.614048, -1.614569, 0.542258, -66.640472, 15.968063, -132.278320
1759224926.306968, -8.328081, 0.035614, -6.012140, -2.838606, -1.257795, 1.202595, -66.173737, 17.346024, -129.928986
1759224926.327575, -7.149834, 0.530465, -5.486014, -2.720885, -2.301327, 1.815155, -65.053482, 17.778885, -127.038361
1759224926.347554, -7.647679, 0.077961, -6.859238, -2.496070, -2.350046, 2.135917, -63.426773, 18.584656, -124.834732
1759224926.367550, -6.802226, 0.378882, -7.062596, -2.190007, -1.655818, 2.385160, -61.563599, 19.381012, -122.801834
1759224926.387544, -7.863456, 1.047763, -6.432621, -1.818320, -0.947171, 2.329441, -60.001862, 19.652481, -121.349075
1759224926.407363, -10.118794, 2.147000, -5.309292, -1.735463, -0.608664, 1.882649, -58.528152, 20.125473, -119.273529
1759224926.427543, -11.873145, 3.772214, -4.516961, -2.327356, -0.539895, 1.299244, -57.166718, 19.662109, -117.657211
1759224926.447544, -10.911724, 3.893122, -5.209783, -2.539906, -0.758072, 1.144803, -56.394714, 19.975830, -115.558151
1759224926.467586, -10.242395, 3.993828, -4.429872, -2.687474, -0.620949, 1.229281, -55.172104, 19.408295, -113.102844
1759224926.487529, -10.457125, 4.195689, -4.541950, -2.841733, -0.595488, 1.071280, -54.218384, 19.516953, -110.469131
1759224926.507532, -10.691308, 3.977667, -5.328445, -2.740027, -0.334608, 0.911243, -53.128983, 19.064453, -108.330566
1759224926.527556, -10.206482, 3.976619, -5.288343, -2.393788, -0.305274, 0.961660, -52.418564, 17.987640, -106.544159
1759224926.547008, -9.493608, 3.767725, -4.639813, -2.068098, -0.404653, 1.335529, -50.983902, 17.783035, -104.893051
1759224926.567527, -9.579500, 3.747524, -3.959112, -1.792602, -0.698358, 1.764437, -49.660736, 17.232651, -103.369736
1759224926.587521, -11.448923, 4.661062, -2.526032, -1.657477, -1.343241, 1.913208, -47.334518, 16.167633, -102.046432
1759224926.607516, -13.476812, 4.506486, -4.233248, -1.598405, -0.619452, 1.374901, -46.009186, 15.573700, -101.260620
1759224926.627015, -12.870181, 5.050269, -4.522348, -1.181629, -0.607260, 0.547783, -45.227158, 14.630234, -100.680908
1759224926.647514, -11.443985, 4.796783, -3.476082, -0.767285, -1.007711, 0.284994, -44.634491, 14.668930, -100.032990
1759224926.667519, -10.099940, 4.265121, -3.118897, -0.623250, -1.041416, 0.454260, -44.456741, 14.248581, -99.605927
1759224926.687268, -9.185804, 4.284873, -3.566762, -0.610012, -1.622264, 0.765011, -42.958893, 13.566254, -99.902695
1759224926.706752, -10.524462, 4.169053, -2.840122, -0.456081, -1.979257, 0.610713, -42.293304, 13.438721, -100.130966
1759224926.727446, -10.327838, 4.153491, -2.475754, -0.320421, -2.180735, 0.115695, -40.930206, 13.233627, -100.498062
1759224926.747533, -8.297405, 3.830573, -2.522890, -0.287923, -2.175503, -0.193230, -40.194763, 13.141342, -100.695358
1759224926.766755, -6.157587, 3.821595, -2.785354, -0.209206, -2.069264, 0.025713, -39.698822, 12.927597, -101.078506
1759224926.787492, -6.346580, 5.264999, -2.407819, 0.051658, -1.713943, 0.451410, -38.717773, 12.810394, -101.994003
1759224926.806964, -7.541137, 5.867440, -1.410484, 0.107816, -1.204590, 0.433863, -38.299500, 12.958115, -102.626755
1759224926.827558, -8.469339, 5.842600, -0.246453, -0.020268, -0.622542, -0.008286, -37.900818, 12.831436, -102.525818
1759224926.847488, -8.760982, 6.222380, -0.298976, -0.103468, -0.263518, -0.392150, -38.077469, 12.697952, -102.309219
1759224926.867491, -8.363994, 6.447585, 0.372149, -0.270208, -0.154188, -0.673422, -38.166245, 12.881622, -102.513123
1759224926.887484, -8.622568, 7.278074, 0.846201, -0.456106, 0.075080, -0.638438, -38.925430, 13.141617, -102.264542
1759224926.907491, -9.521141, 7.278822, 1.508347, -0.650706, 0.274715, -0.660574, -39.152054, 13.365097, -101.912567
1759224926.927511, -9.293992, 6.460005, 1.266533, -0.890886, 0.335873, -0.855580, -40.028320, 13.237946, -101.674118
1759224926.946663, -9.687239, 6.150255, 0.522983, -0.730470, 0.518368, -1.126791, -41.028549, 13.171356, -100.868027
1759224926.967495, -8.810512, 5.620239, -0.338780, -0.675281, 0.531468, -1.247770, -41.850662, 13.768631, -100.238968
1759224926.987478, -9.443629, 5.856217, 0.728137, -0.733341, 0.736285, -1.361342, -43.057251, 13.205215, -98.836304
1759224927.007474, -9.117868, 5.520281, 0.393697, -0.108663, -0.671183, -0.241796, -44.001816, 13.853806, -99.031052
1759224927.026506, -8.357260, 2.942623, -0.893486, -0.890258, 0.233297, -0.632651, -44.116653, 13.259216, -98.493805
1759224927.047496, -11.333103, 4.230854, 2.349460, -2.115705, 2.372936, -2.948355, -45.766037, 13.363190, -97.281479
1759224927.067472, -13.639617, 7.574656, 0.360627, -2.350023, 2.300216, -4.095088, -50.021667, 12.491776, -94.973251
1759224927.087579, -11.407922, 4.442591, 0.999430, -2.677539, 0.719062, -3.496101, -52.880524, 11.565506, -93.643555
1759224927.107285, -8.055291, 1.108515, -2.811242, -1.507260, 0.402954, -2.310307, -55.289734, 10.926712, -92.130020
1759224927.126910, -7.792229, 0.002095, 1.006762, -1.695726, 0.395304, -1.755810, -57.058655, 9.799179, -90.883499
1759224927.146901, -3.169324, 1.565359, 2.207604, -1.496518, 0.732655, -0.556353, -57.919571, 8.899689, -89.924240
1759224927.167469, -1.623119, 1.744176, -2.407968, -0.559077, 1.068577, -0.181254, -58.687195, 8.260986, -89.896912
1759224927.187493, -6.532430, 0.801908, 0.024541, -0.682861, 1.691593, -0.867405, -59.879868, 7.673553, -89.582367
