SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759224927.19015,2.652626,-10.196007,3.539378,0.292596,-1.845992,0.453312,9.02,3,RUN
1759224927.21090,-1.335216,-0.408062,9.622147,-0.269364,-1.314779,-0.091638,9.04,3,RUN
1759224927.23077,-1.628506,13.420248,19.274371,-2.162918,2.141941,-0.51437,9.06,3,RUN
1759224927.25089,3.446004,14.866795,1.579425,-0.34953,2.55479,-0.22554,9.08,3,RUN
1759224927.27066,1.193061,6.801029,-14.912734,-0.769397,3.074037,-0.402344,9.10,3,RUN
1759224927.29017,7.062596,15.567847,-6.003012,-0.40373,0.325119,-1.833444,9.12,3,RUN
1759224927.31087,9.011326,33.426946,-16.981923,-0.388013,0.804977,0.416444,9.14,3,RUN
1759224927.33087,5.793818,4.617368,-1.108515,0.003115,2.042905,1.697006,9.16,3,RUN
1759224927.34999,4.281431,-4.947468,-7.462577,0.017232,2.912338,0.948094,9.18,3,RUN
1759224927.37087,11.007342,3.095852,-2.710984,0.137816,1.403471,1.038109,9.20,3,RUN
1759224927.39019,22.040871,41.168746,-13.04391,2.288616,-0.482166,3.768373,9.22,3,RUN
1759224927.41080,0.420631,33.562517,-6.703765,4.459866,-2.292643,4.214753,9.24,3,RUN
1759224927.43057,-8.582614,19.500324,-1.087716,6.481755,-2.457697,2.225778,9.26,3,RUN
1759224927.45055,-14.635755,19.632903,20.168306,0.965411,3.7811,0.384431,9.28,3,RUN
1759224927.47089,-4.146159,17.132608,4.695628,1.467558,0.071018,0.999387,9.30,3,RUN
1759224927.49021,-2.620154,8.47712,4.212598,0.892243,-0.041301,0.44001,9.32,3,RUN
1759224927.51086,-2.70859,4.317494,3.025223,1.083567,0.04821,0.061523,9.34,3,RUN
1759224927.53087,-2.685546,1.166275,2.772785,0.889925,0.532642,0.268966,9.36,3,RUN
1759224927.55091,-6.23929,-0.071377,0.143802,0.84969,1.421873,0.700129,9.38,3,RUN
1759224927.57066,-7.218518,-0.229544,7.022343,1.015167,0.788536,1.4378,9.40,3,RUN
1759224927.59023,-8.76218,1.787571,8.553435,0.004786,-0.169418,0.791941,9.42,3,RUN
1759224927.61092,-0.038756,3.87307,4.54599,-0.996643,-0.265922,-0.134948,9.44,3,RUN
1759224927.63086,-1.101183,4.1083,7.163601,-1.772192,-0.423911,0.051108,9.46,3,RUN
1759224927.65088,-6.052542,2.866757,3.449147,-2.516155,-0.777565,0.055471,9.48,3,RUN
1759224927.67085,-8.815451,2.775628,-2.013075,-2.790959,-1.163827,-0.412888,9.50,3,RUN
1759224927.69025,-13.40304,12.660538,-4.560954,-2.16162,-2.469569,-1.875039,9.52,3,RUN
1759224927.71084,-5.844994,34.352155,-9.494057,-1.51255,-1.702525,-3.79664,9.54,3,RUN
1759224927.73087,16.746244,43.757327,8.523807,-2.262617,4.389178,-2.563832,9.56,3,RUN
1759224927.75016,12.60622,23.714717,7.945757,-2.765462,1.538449,-2.005223,9.58,3,RUN
1759224927.77089,11.39221,18.613721,-2.150891,-2.37526,0.106879,-2.206737,9.60,3,RUN
1759224927.79027,4.583699,16.194679,-1.489343,-1.888159,0.742344,-0.747468,9.62,3,RUN
1759224927.81086,-4.180276,16.745346,2.477849,-2.276626,-2.449549,-0.343948,9.64,3,RUN
1759224927.83087,-0.482881,14.200758,-1.571494,-2.304732,-2.783916,-1.284693,9.66,3,RUN
1759224927.85011,5.585672,8.000075,-4.59582,-1.296379,-2.501126,-1.435225,9.68,3,RUN
1759224927.87088,4.751892,0.778265,-7.447164,0.185184,-1.289237,-1.098257,9.70,3,RUN
1759224927.89032,4.33545,-5.127482,-7.321918,1.544684,-0.703544,-0.780409,9.72,3,RUN
1759224927.91087,7.518541,-11.135133,-5.78484,2.514655,-1.091925,0.082177,9.74,3,RUN
1759224927.93087,6.87899,-14.408455,2.179322,1.890998,-1.595967,0.131094,9.76,3,RUN
1759224927.95087,2.735675,-7.504625,6.332214,1.290608,-0.267379,0.280022,9.78,3,RUN
1759224927.97001,-4.003853,4.056526,19.782839,0.017754,0.677237,0.326485,9.80,3,RUN
1759224927.99031,-1.645116,12.842348,15.630845,-1.83892,0.946106,0.507453,9.82,3,RUN
1759224928.01043,-0.124798,18.550274,-3.699341,-1.48473,0.724922,0.673116,9.84,3,RUN
1759224928.03087,2.952948,8.694094,-22.723667,-0.350278,0.794861,0.222496,9.86,3,RUN
1759224928.05087,7.596203,38.336556,48.936285,-1.240098,-0.057912,-1.855136,9.88,3,RUN
