SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759224918.170899, 2.362030, -5.213823, -5.787833, -1.046136, 1.056996, 0.256749, -122.737839, -173.888901, -910.171082, 13.724715, 100.771877
1759224918.190500, 2.938134, -5.393239, -5.245696, -1.136728, 0.407277, 0.375181, -122.148010, -173.189880, -909.851257, 13.724715, 100.771877
1759224918.210933, 2.675071, -5.002535, -5.927744, -1.201936, -0.155785, 0.469224, -122.018066, -172.261581, -909.444946, 13.724715, 100.771877
1759224918.230021, 2.102259, -4.432565, -7.917924, -1.228001, -0.144344, 0.648574, -121.879684, -171.253540, -909.147583, 13.724715, 100.771877
1759224918.250919, 2.104653, -3.454085, -8.780136, -1.285648, 0.628477, 1.063938, -121.071808, -169.997269, -908.627136, 13.724715, 100.771877
1759224918.270918, 2.179921, -2.799869, -7.948899, -1.277372, 1.373941, 1.704532, -119.739471, -168.660889, -908.556030, 13.724715, 100.771877
1759224918.290550, 1.529296, -3.730914, -7.019500, -1.205784, 1.752609, 2.182518, -117.442230, -167.446274, -908.514893, 13.724715, 100.771877
1759224918.310929, 1.029507, -4.896591, -7.011420, -1.025298, 1.359299, 2.400633, -115.639175, -166.314346, -908.198425, 13.724715, 100.771877
1759224918.330887, -1.050157, -6.634034, -8.938752, -0.559649, 0.667426, 1.628316, -114.284195, -165.617828, -908.220703, 13.724715, 100.771877
1759224918.350921, -1.387889, -7.118710, -9.271247, 0.101600, 0.431205, 0.308455, -113.840805, -165.729538, -908.228882, 13.724715, 100.771877
1759224918.370910, -0.504129, -6.854749, -8.987683, 0.525491, -0.008089, -0.689157, -113.977829, -165.983383, -908.417236, 13.724715, 100.771877
1759224918.390889, -0.021548, -5.470003, -9.994296, 0.898260, 0.046428, -1.259006, -114.575760, -166.667145, -908.966125, 13.724715, 100.771877
1759224918.410917, -0.529567, -4.786009, -10.995670, 1.391840, 0.468552, -1.457798, -115.078934, -167.916946, -909.801392, 13.724715, 100.771877
1759224918.430007, -2.233192, -4.898537, -6.411672, 1.645761, -0.099118, -2.365473, -116.056137, -169.558319, -910.561401, 13.724715, 100.771877
1759224918.450908, 0.740557, -4.424185, -1.520617, 0.453316, -1.667424, -3.787862, -118.973557, -170.683517, -909.854858, 13.724715, 100.771877
1759224918.470915, 4.026299, -4.839879, -3.331083, -0.554130, -2.482711, -3.931580, -122.085464, -171.648712, -908.748108, 13.724715, 100.771877
1759224918.490003, 5.270685, -3.170372, -2.976142, -0.977510, -4.343753, -3.423338, -126.220581, -172.270706, -906.530945, 13.724715, 100.771877
1759224918.510928, 5.128081, -3.903895, -8.493879, -0.678249, -5.566155, -2.376652, -130.025726, -172.971512, -904.269714, 13.724715, 100.771877
1759224918.530892, 5.269787, -2.484732, -11.498902, -0.980131, -2.854216, -0.469844, -131.666977, -172.861908, -901.467102, 13.724715, 100.771877
1759224918.550908, 1.826028, -3.250727, -9.340679, -0.234996, -1.735061, 1.154707, -131.890244, -172.247391, -900.989502, 13.724715, 100.771877
1759224918.570935, -0.682647, -1.826327, -6.456414, 0.205488, -2.218318, 1.248609, -132.345184, -171.721085, -899.835205, 13.724715, 100.771877
1759224918.589920, -3.686173, -3.930381, -11.652579, 0.495134, -1.943136, 0.994503, -132.689926, -171.533188, -899.172119, 13.724715, 100.771877
1759224918.610916, -4.391265, -3.397522, -10.287585, 0.721555, -1.380884, 0.756898, -132.952667, -171.253998, -898.586609, 13.724715, 100.771877
1759224918.630893, -3.230975, -3.768623, -8.342895, 0.589347, -0.979269, 0.269061, -133.168274, -171.387024, -898.368408, 13.724715, 100.771877
1759224918.650415, -0.688333, -2.643348, -7.745991, 0.403112, -1.359738, 0.234575, -133.961502, -171.432083, -897.482117, 13.724715, 100.771877
1759224918.670914, -0.073023, -2.344672, -6.757485, 0.257662, -1.503782, 0.766278, -134.109421, -171.086456, -896.440186, 13.724715, 100.771877
1759224918.690894, -1.058387, -2.301726, -6.608894, 0.024001, -2.127641, 1.108987, -134.414841, -170.527023, -895.397827, 13.724715, 100.771877
1759224918.710924, -1.953669, -1.874211, -6.562207, -0.086771, -2.380389, 1.251363, -134.550568, -169.676529, -893.868774, 13.724715, 100.771877
1759224918.730900, -1.832462, -0.426766, -6.202030, -0.240993, -2.559545, 1.583172, -134.452515, -168.574677, -892.065796, 13.724715, 100.771877
1759224918.750963, -2.352602, 0.679355, -6.913856, -0.376179, -2.529258, 2.045491, -134.135605, -167.266678, -890.406799, 13.724715, 100.771877
1759224918.770910, -3.085228, 0.913986, -7.765443, -0.194738, -2.758339, 2.541613, -133.313217, -165.853104, -888.788452, 13.724715, 100.771877
1759224918.789980, -4.334702, 2.136526, -7.583783, 0.239750, -3.006100, 3.158634, -131.960342, -164.055191, -887.313843, 13.724715, 100.771877
1759224918.810937, -4.300435, 2.967314, -6.479159, 0.904282, -3.743249, 4.023892, -130.180786, -162.126465, -885.903748, 13.724715, 100.771877
1759224918.830893, -5.033809, 3.555689, -5.458481, 1.603016, -4.700863, 4.888747, -127.653748, -159.708115, -884.679626, 13.724715, 100.771877
1759224918.850916, -5.410148, 6.205920, -5.087230, 1.989772, -4.709043, 5.968600, -123.837570, -157.093994, -883.951111, 13.724715, 100.771877
1759224918.870910, -6.577321, 8.188469, -4.143316, 1.993852, -3.872885, 7.230491, -118.779724, -154.899933, -884.167786, 13.724715, 100.771877
1759224918.890885, -10.107870, 8.113800, -2.387917, 1.983586, -3.617708, 7.622665, -113.387344, -153.334137, -884.779602, 13.724715, 100.771877
1759224918.910906, -12.812720, 7.929596, -1.287632, 2.319009, -4.089495, 7.643624, -107.783035, -152.983704, -886.086914, 13.724715, 100.771877
1759224918.930882, -15.178341, 5.595249, -1.086968, 2.985736, -4.653798, 6.858982, -103.093918, -153.218338, -888.374634, 13.724556, 100.771828
1759224918.950897, -15.712697, 4.202422, -1.764377, 2.678464, -3.504558, 6.163706, -99.346313, -154.265717, -890.943970, 13.724556, 100.771828
1759224918.970899, -14.691420, 4.598064, -2.537106, 2.239497, -1.905304, 5.962055, -95.462372, -155.875336, -893.146362, 13.724556, 100.771828
1759224918.990006, -17.187674, 3.714903, -1.003021, 2.068445, -1.496755, 5.824510, -92.003952, -157.846268, -894.665405, 13.724556, 100.771828
1759224919.010901, -20.061315, 0.426168, 0.666935, 1.651915, -1.880077, 4.138137, -89.303772, -159.705551, -896.092285, 13.724556, 100.771828
1759224919.030886, -19.236513, -0.188394, 0.762404, 1.808850, -2.674438, 2.844444, -88.667725, -161.273560, -898.261841, 13.724556, 100.771828
1759224919.050298, -16.600197, 0.615759, -0.396390, 2.022231, -2.844182, 2.417208, -88.692505, -162.734848, -900.426025, 13.724556, 100.771828
1759224919.070897, -14.090625, 1.594089, 0.558896, 1.314198, -2.551735, 1.318002, -88.331512, -164.342361, -902.205322, 13.724556, 100.771828
1759224919.090497, -21.921161, -1.814805, 20.181624, -0.939561, -2.784898, 0.351267, -89.592697, -163.445602, -901.889893, 13.724556, 100.771828
1759224919.110899, -13.338846, 2.134431, 5.864148, -3.312294, 0.040160, 1.554035, -88.776428, -162.187302, -900.045532, 13.724556, 100.771828
1759224919.130897, -12.074707, 3.876512, 0.833033, -2.192980, 1.102008, 1.699237, -87.969452, -161.448349, -897.856201, 13.724556, 100.771828
1759224919.150914, -7.767838, 4.629638, -0.978929, -0.762702, 0.117002, 1.082448, -87.252701, -161.226959, -897.042114, 13.724556, 100.771828
1759224919.170899, -3.703231, 6.394763, -0.014515, 1.031727, -3.010951, 0.930582, -87.294907, -161.790558, -898.359741, 13.724556, 100.771828
1759224919.190045, -5.412841, 8.017433, -2.906411, 1.884895, -3.972820, 0.811795, -87.955994, -162.436707, -899.515930, 13.724556, 100.771828
1759224919.210910, -0.894983, 8.121431, 4.823419, 0.055226, -0.817990, 1.528942, -87.725052, -163.903412, -901.347290, 13.724556, 100.771828
1759224919.230911, -8.130260, 6.194398, -2.980781, -0.367815, 0.690409, 1.262291, -88.073822, -163.544479, -900.887512, 13.724556, 100.771828
1759224919.250905, -6.216844, 5.954828, 0.386813, -0.614236, 1.174228, 0.994542, -86.472519, -163.997452, -900.680847, 13.724556, 100.771828
