SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759224755.04457,5.707029,4.150349,0.804601,0.878652,1.924694,-0.199314,8.52,1,RUN
1759224755.06535,9.228301,-1.49054,0.231938,0.523673,1.605155,0.565404,8.54,1,RUN
1759224755.08534,10.532392,-6.293009,1.830816,0.036042,0.420672,1.066107,8.56,1,RUN
1759224755.10493,7.73387,-8.81964,2.163909,-0.629848,-0.488424,1.302621,8.58,1,RUN
1759224755.12539,0.722151,-8.131307,-0.445172,-0.823895,-0.648542,1.231968,8.60,1,RUN
1759224755.14458,-1.483956,-1.450138,-2.383877,-0.543203,-0.44138,0.913291,8.62,1,RUN
1759224755.16535,-6.034136,5.123442,-0.615609,-0.265641,-0.234248,0.103289,8.64,1,RUN
1759224755.18518,-8.791957,10.753856,2.047192,-0.293335,-4.31335,-1.247307,8.66,1,RUN
1759224755.20494,-10.352079,23.977181,9.586982,-0.690062,-9.477724,-2.793818,8.68,1,RUN
1759224755.22535,14.142699,43.95844,9.969905,-1.293558,-2.441035,0.69175,8.70,1,RUN
1759224755.24460,5.490353,2.79538,-49.766175,5.896954,7.237927,0.663873,8.72,1,RUN
1759224755.26448,8.529194,-2.029086,10.882095,3.659497,2.751299,1.518848,8.74,1,RUN
1759224755.28519,5.666926,-0.039654,28.516588,-2.019092,-4.755682,1.509134,8.76,1,RUN
1759224755.30498,3.207183,2.053926,1.988833,-3.843447,-6.536638,1.473147,8.78,1,RUN
1759224755.32537,10.958411,20.538958,-8.592341,-2.268919,-0.641186,1.231571,8.80,1,RUN
1759224755.34462,15.633089,41.161564,-5.113566,1.2585,5.364355,4.478281,8.82,1,RUN
1759224755.36473,-9.694571,30.267198,-9.087492,-0.042518,7.361622,4.759514,8.84,1,RUN
1759224755.38535,-15.55453,14.146889,1.644368,-1.893304,-0.544305,0.948168,8.86,1,RUN
1759224755.40498,-8.347085,12.937218,-4.564994,-1.515825,-0.977373,0.35693,8.88,1,RUN
1759224755.42534,-6.87899,9.17473,-5.080047,-0.670126,0.14464,1.022726,8.90,1,RUN
1759224755.44463,-4.916643,4.239383,-2.480094,-0.650458,0.47748,0.984969,8.92,1,RUN
1759224755.46535,-6.403592,2.641852,-1.39163,-0.231848,1.751142,0.101024,8.94,1,RUN
1759224755.48534,-7.113323,-0.576703,-0.230292,0.003247,3.167836,-0.53878,8.96,1,RUN
1759224755.50500,-6.296152,-3.366397,-0.537498,0.229045,2.493032,-1.308664,8.98,1,RUN
1759224755.52435,-3.345298,-3.296666,-4.655974,0.748133,0.974153,-1.64688,9.00,1,RUN
1759224755.54465,0.019453,-0.142006,-7.668927,1.608462,0.524494,-1.569751,9.02,1,RUN
1759224755.56535,1.574487,2.494908,-3.288137,2.830661,0.248612,-1.650319,9.04,1,RUN
1759224755.58498,0.481235,5.31004,0.157119,3.609857,-0.644524,-1.667318,9.06,1,RUN
1759224755.60501,-0.285658,18.685547,3.589656,3.231789,1.137526,-1.691563,9.08,1,RUN
1759224755.62535,2.61387,49.981055,9.962872,1.175425,1.765329,-1.185492,9.10,1,RUN
1759224755.64467,-1.082179,40.399011,6.78008,-0.578067,-4.927938,-2.169119,9.12,1,RUN
1759224755.66534,8.129512,25.515306,-8.395268,-0.233585,-1.734309,-2.743223,9.14,1,RUN
1759224755.68532,7.157616,16.054319,-1.236605,-0.171656,0.636069,-1.670977,9.16,1,RUN
1759224755.70503,-1.640926,13.719374,0.661099,-0.628056,3.2598,-1.262576,9.18,1,RUN
1759224755.72535,1.006762,14.033314,3.623624,-0.256686,2.451539,-0.684529,9.20,1,RUN
1759224755.74468,5.51654,7.735217,1.185878,0.683972,1.273957,0.02442,9.22,1,RUN
1759224755.76535,10.474034,0.589722,-1.926135,0.617004,1.097783,0.594146,9.24,1,RUN
1759224755.78534,11.505635,-4.970063,1.842787,-0.241952,0.209365,0.803913,9.26,1,RUN
1759224755.80504,8.490737,-6.173898,3.068469,-0.638443,-0.61515,0.780547,9.28,1,RUN
1759224755.82534,4.52534,-6.607548,2.058116,-0.60905,-1.150931,1.032729,9.30,1,RUN
1759224755.84470,0.997335,-6.557868,-1.151761,-0.443841,-1.68373,1.436242,9.32,1,RUN
1759224755.86534,0.488716,-2.876334,-2.083255,-0.680602,0.765304,1.061302,9.34,1,RUN
1759224755.88533,-5.69805,6.133795,1.143082,-0.513365,-1.150817,-0.487715,9.36,1,RUN
1759224755.90505,-10.918757,10.12867,3.171569,-1.090471,-7.005087,-2.655978,9.38,1,RUN
1759224755.92438,-6.570138,14.420726,3.760842,-1.379397,-7.213116,-2.515253,9.40,1,RUN
1759224755.94471,-0.662595,10.812364,0.051176,-0.203962,-3.841079,-0.902347,9.42,1,RUN
1759224755.96535,8.70008,31.937004,13.446585,-1.246951,2.4408,3.065375,9.44,1,RUN
1759224755.98534,-10.68218,18.435353,-15.502306,2.328839,-2.197083,0.552763,9.46,1,RUN
1759224756.00509,4.541202,-0.450858,-8.66686,2.679258,0.56399,-1.573379,9.48,1,RUN
1759224756.02536,7.907001,5.491401,4.820126,0.405377,0.476255,-0.001846,9.50,1,RUN
1759224756.04474,12.214768,13.097331,11.244218,-1.239516,-2.232073,2.7776,9.52,1,RUN
1759224756.06534,15.300894,32.902915,4.062062,0.445113,-2.200903,5.138333,9.54,1,RUN
1759224756.08534,4.501698,32.592566,4.753238,-1.407058,7.722159,4.241933,9.56,1,RUN
1759224756.10510,-4.287866,24.672398,-1.725172,-4.477772,8.813189,3.886976,9.58,1,RUN
1759224756.12535,-11.17329,13.729849,-19.846136,-2.140474,-3.106747,2.201333,9.60,1,RUN
1759224756.14476,-4.076577,7.582137,-12.16434,-0.148129,1.111826,1.563217,9.62,1,RUN
1759224756.16535,-0.944961,6.716484,3.469946,-0.569867,-0.640452,1.214602,9.64,1,RUN
1759224756.18519,-5.00882,3.175609,-3.248782,-0.02241,0.450954,0.787729,9.66,1,RUN
1759224756.20511,-7.523031,1.702128,-0.457293,0.415314,1.364608,0.122165,9.68,1,RUN
1759224756.22529,-8.119486,-1.643171,1.861791,0.498195,1.53828,-0.794616,9.70,1,RUN
1759224756.24477,-6.068703,-2.942025,-0.817321,0.425818,0.904633,-1.575079,9.72,1,RUN
