SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759224746.525408, -0.215029, -3.057994, -7.072472, -0.053071, -0.337163, -0.452085, 75.044983, 166.407089, -588.057678, 13.726145, 100.771850
1759224746.545394, 0.356586, -3.963002, -6.546944, -0.325233, -0.213013, -0.371011, 74.778946, 166.399719, -588.505798, 13.726144, 100.771852
1759224746.565401, 0.874632, -4.017171, -7.256825, -0.660181, -0.159804, -0.199811, 74.581253, 166.376617, -587.829102, 13.726144, 100.771852
1759224746.585034, -0.067337, -3.165284, -8.096741, -0.711439, 0.062369, -0.263004, 74.494781, 166.987595, -587.480347, 13.726144, 100.771852
1759224746.605418, -2.705897, -3.286640, -8.148216, -0.416147, -0.186326, -0.455032, 74.365631, 166.612228, -586.957520, 13.726144, 100.771852
1759224746.625400, -0.233135, -2.483984, -8.141183, 0.148620, -0.698933, -0.521994, 73.821060, 166.480988, -586.331177, 13.726144, 100.771852
1759224746.645395, 0.314538, -2.376544, -7.671770, 0.400208, -1.686877, -0.374789, 72.767563, 166.270905, -586.090088, 13.726144, 100.771852
1759224746.665407, 0.279224, -2.604891, -7.464971, 0.633285, -2.586595, -0.303197, 71.625076, 165.651123, -584.916443, 13.726144, 100.771852
1759224746.685395, -0.082151, -2.108543, -8.513183, 0.907150, -2.919883, -0.146090, 70.749191, 165.247742, -583.524902, 13.726144, 100.771852
1759224746.705414, -1.724873, -2.382530, -9.529222, 1.238094, -2.778412, -0.140807, 69.834656, 164.657913, -581.832642, 13.726144, 100.771852
1759224746.725411, -2.659060, -3.321656, -9.509619, 1.454333, -2.415368, -0.403192, 68.557922, 163.935562, -580.524475, 13.726144, 100.771852
1759224746.745393, -2.304718, -4.161422, -7.868244, 1.086447, -2.084406, -0.829328, 67.775391, 163.010162, -579.790955, 13.726144, 100.771852
1759224746.764431, -1.526752, -3.912724, -6.610092, 0.135157, -2.161499, -0.950191, 66.802216, 162.163040, -578.516907, 13.726144, 100.771852
1759224746.784402, -1.167622, -2.531719, -5.865046, -0.855179, -3.350349, -0.458657, 65.752625, 161.986359, -576.141479, 13.726144, 100.771852
1759224746.805410, -2.599504, -1.892916, -6.668301, -1.328336, -4.773720, -0.113267, 65.067169, 161.748688, -572.253906, 13.726144, 100.771852
1759224746.825410, -5.333683, -2.387019, -7.566575, -1.445667, -5.374994, -0.164805, 64.733932, 161.787430, -567.190063, 13.726144, 100.771852
1759224746.845391, -7.959523, -2.751985, -8.195801, -1.630965, -5.139521, -0.244191, 65.047516, 161.580902, -562.078003, 13.726144, 100.771852
1759224746.865405, -7.879617, -2.004994, -9.097667, -1.535084, -4.227696, 0.022034, 65.097855, 161.407959, -558.142578, 13.726144, 100.771852
1759224746.885400, -6.491279, -3.753659, -9.408464, -0.212341, -1.914076, 0.047471, 65.338684, 161.432617, -556.372559, 13.726144, 100.771852
1759224746.905409, -5.469554, -4.022558, -7.394941, -0.179796, -0.772786, 0.197396, 65.529755, 161.387970, -554.934143, 13.726144, 100.771852
1759224746.925408, -6.043414, -2.695273, -5.201553, -0.878019, -0.799039, 0.112685, 65.820526, 161.601273, -554.046570, 13.726144, 100.771852
1759224746.945262, -6.695684, -1.878850, -5.332037, -1.520334, -0.935231, 0.320384, 66.294540, 161.425003, -552.758484, 13.726144, 100.771852
1759224746.964734, -6.313510, -1.781436, -5.418228, -1.802013, -0.840583, 0.788033, 66.705551, 161.672241, -551.461975, 13.726144, 100.771852
1759224746.985390, -5.855020, -2.427870, -3.774758, -2.363527, -1.120377, 1.282162, 67.541061, 161.806519, -550.417969, 13.726144, 100.771852
1759224747.005436, -4.871003, 0.455198, -5.522825, -2.759643, -1.022341, 1.873102, 68.544250, 162.087860, -548.110596, 13.726144, 100.771852
1759224747.025392, -6.961291, 0.871789, -8.098986, -2.100984, -1.381134, 2.013174, 69.525101, 162.547485, -546.617554, 13.726144, 100.771852
1759224747.045285, -8.661773, 0.866701, -7.874978, -1.186150, -1.767623, 1.999929, 71.256500, 163.203491, -544.485596, 13.726144, 100.771852
1759224747.065439, -9.441684, 0.918625, -5.437681, -0.709428, -2.458383, 2.018664, 73.156128, 164.324463, -542.784241, 13.726144, 100.771852
1759224747.085394, -8.700529, 1.365293, -2.656666, -0.895124, -2.930559, 2.152641, 75.266434, 165.239059, -540.932434, 13.726144, 100.771852
1759224747.105406, -8.061576, 1.862539, -1.733552, -1.398909, -2.720195, 2.263713, 77.856293, 165.811279, -539.129639, 13.726144, 100.771852
1759224747.125402, -7.279121, 2.987066, -1.977760, -1.899015, -2.192433, 2.332052, 79.966599, 165.798569, -537.214600, 13.726144, 100.771852
1759224747.145292, -7.348703, 3.762488, -2.584840, -2.246956, -1.897760, 2.351095, 82.433365, 165.799835, -535.159058, 13.726144, 100.771852
1759224747.164962, -7.404518, 4.588338, -3.152266, -2.380436, -1.796541, 2.194297, 84.453735, 165.226730, -532.557617, 13.726144, 100.771852
1759224747.185388, -6.179135, 5.741744, -4.193145, -2.204513, -1.728362, 2.139725, 86.697159, 164.634018, -531.313110, 13.726144, 100.771852
1759224747.205412, -6.073940, 5.799355, -4.624700, -1.796957, -1.144838, 1.987019, 88.727158, 163.842789, -529.497314, 13.726144, 100.771852
1759224747.225208, -6.531083, 5.997326, -4.409820, -1.561662, -0.330093, 1.679291, 90.290146, 162.844604, -528.802795, 13.726144, 100.771852
1759224747.245313, -7.269245, 6.366631, -3.838803, -1.848003, 0.403275, 1.269453, 90.799911, 161.749924, -527.456299, 13.726144, 100.771852
1759224747.265132, -7.572561, 6.681169, -2.755277, -1.991460, 0.687174, 0.984821, 90.956375, 160.974075, -527.117737, 13.726144, 100.771852
1759224747.285406, -7.110480, 7.554604, -3.213318, -1.951386, 0.304415, 0.843792, 90.908585, 159.121353, -526.246216, 13.726144, 100.771852
1759224747.305391, -5.343110, 7.805247, -3.528455, -1.943617, -0.020916, 0.906842, 91.220596, 157.932938, -525.934204, 13.726144, 100.771852
1759224747.325393, -4.010587, 7.830685, -4.016273, -2.054658, 0.301234, 1.315998, 91.819855, 156.528091, -524.888733, 13.726144, 100.771852
1759224747.345327, -7.957728, 7.167342, -9.211841, -2.456283, 2.416592, 1.719848, 90.427994, 155.019516, -524.700134, 13.726144, 100.771852
1759224747.365025, -10.365995, 6.973412, -2.082656, -2.761100, 0.660480, 1.554255, 90.174500, 154.235092, -524.636292, 13.726144, 100.771852
1759224747.385386, -6.129007, 8.145224, -5.807435, -2.068994, 0.581907, 1.188910, 89.238327, 152.121368, -524.123779, 13.726144, 100.771852
1759224747.405391, -2.686893, 12.563124, -5.308993, -1.189474, 1.970345, 1.382613, 88.334564, 151.932175, -524.466187, 13.726144, 100.771852
1759224747.425386, -6.136488, 14.240113, -4.842572, -1.001179, 2.160252, 1.896587, 87.146530, 151.820236, -525.164368, 13.726144, 100.771852
1759224747.445338, -8.885780, 11.806856, -3.974375, -0.885655, 2.299900, 1.411489, 85.930740, 151.796799, -525.449219, 13.726144, 100.771852
1759224747.465387, -7.647230, 12.651111, -3.105728, -0.140953, 1.058660, 1.504760, 85.683533, 152.084198, -525.310547, 13.726144, 100.771852
1759224747.485385, -7.632416, 14.771027, -2.314445, 0.876166, -0.147137, 1.902467, 86.542740, 153.569626, -525.107666, 13.726144, 100.771852
1759224747.504722, -10.680384, 14.621988, 0.139462, 0.808061, -1.251116, 2.168118, 87.732483, 155.116241, -526.004272, 13.726144, 100.771852
1759224747.525385, -14.750976, 12.480075, -1.349133, 0.655525, -2.137618, 1.365137, 90.121796, 156.274017, -525.223938, 13.726144, 100.771852
1759224747.545359, -12.440272, 11.681759, -1.902343, 0.814194, -1.854359, 0.566663, 91.517441, 157.141968, -524.999146, 13.726144, 100.771852
1759224747.565389, -10.917410, 10.311976, -2.675520, 0.780832, -1.012110, 0.016786, 92.516983, 157.638306, -524.922729, 13.726144, 100.771852
1759224747.585091, -9.146748, 9.868600, -2.270302, 1.003258, -0.782700, 0.091129, 93.303940, 158.527069, -524.805725, 13.726144, 100.771852
1759224747.605415, -8.754398, 8.680477, 0.097713, 0.884978, -1.208740, 0.127057, 94.228027, 159.268082, -525.292480, 13.726144, 100.771852
1759224747.625386, -11.062858, 6.429778, -1.436371, 0.447916, -0.463541, -0.278762, 94.554703, 159.823441, -524.970337, 13.726144, 100.771852
1759224747.645377, -10.786477, 7.063643, -0.046088, -0.167152, 0.023633, -0.914238, 94.049911, 159.561371, -525.216187, 13.726144, 100.771852
1759224747.665391, -6.401796, 9.608380, 1.291672, -0.354631, -0.622209, -0.765839, 93.831573, 159.214478, -524.456726, 13.726144, 100.771852
1759224747.685390, -11.293000, 1.971625, -0.508469, -0.704611, -2.250633, -0.537396, 95.110153, 158.496613, -524.375427, 13.726144, 100.771852
1759224747.705405, -6.695983, 6.295254, -0.207398, -0.846723, -1.569899, -0.897263, 96.225555, 157.998260, -524.257935, 13.726144, 100.771852
1759224747.725385, -6.266972, 4.588188, -0.190938, -0.944604, -0.725574, -0.921336, 96.889496, 157.053146, -523.232361, 13.726144, 100.771852
1759224747.745381, -6.208913, 6.156989, 1.003470, -1.080225, -0.455818, -0.700556, 96.853561, 156.043228, -523.236084, 13.726144, 100.771852
1759224747.765398, -6.605004, 6.873753, 1.991826, -1.552259, -0.650749, -0.489662, 97.271530, 154.682510, -522.030518, 13.726144, 100.771852
1759224747.784799, -6.389376, 8.026411, 2.593968, -2.112476, -1.147936, -0.273050, 98.120224, 152.957123, -521.650391, 13.726144, 100.771852
1759224747.805405, -6.514024, 8.382699, 1.930774, -2.353376, -1.710519, -0.141789, 99.362442, 150.953308, -521.212036, 13.726144, 100.771852
1759224747.825395, -5.111172, 9.069386, 2.133084, -2.393491, -1.869239, 0.028672, 101.006638, 149.020096, -520.996582, 13.726144, 100.771852
1759224747.845393, -5.877466, 5.031564, -7.876026, -0.957501, -1.485996, -0.126216, 102.253998, 148.042114, -520.884338, 13.726144, 100.771852
1759224747.865392, -4.391415, 3.750068, -5.611410, 0.547542, -1.275739, -0.039463, 103.383728, 148.410049, -520.062073, 13.726144, 100.771852
1759224747.885381, -3.843292, 4.527435, 1.129315, -0.200880, -1.443200, 0.398043, 104.658859, 148.213638, -520.681458, 13.726144, 100.771852
1759224747.905396, -5.381716, 4.817433, -0.782904, -0.458469, -0.673275, 0.248293, 105.240723, 148.132278, -520.847717, 13.726144, 100.771852
1759224747.925426, -4.199879, 4.220529, 0.118663, -0.324441, -0.137201, 0.219358, 105.570374, 147.504211, -520.703430, 13.726144, 100.771852
1759224747.944560, -4.231452, 3.372532, 0.435595, -0.296652, -0.011361, 0.256752, 105.562836, 147.436127, -520.638489, 13.726144, 100.771852
1759224747.965385, -5.276222, 2.813187, 0.776619, -0.177516, 0.854036, 0.239154, 104.756241, 147.062897, -520.103088, 13.726144, 100.771852
1759224747.985380, -7.199514, 2.452560, 0.202160, 0.559914, 1.372386, -0.030522, 103.852585, 147.504272, -520.326172, 13.726144, 100.771852
1759224748.005387, -8.275408, 4.074033, 1.970428, 0.606174, 1.261319, -0.223878, 102.801376, 148.133545, -520.628418, 13.726144, 100.771852
1759224748.024880, -8.834604, 4.681712, 2.225560, 0.508794, 1.264934, -0.341420, 101.555405, 148.477631, -520.449463, 13.726144, 100.771852
1759224748.045382, -8.822483, 4.995951, 0.956334, 0.524601, 1.423633, -0.576352, 100.513474, 148.949295, -520.373901, 13.726144, 100.771852
1759224748.065419, -8.890120, 4.993257, 0.240917, 0.659813, 1.369747, -0.765478, 98.903137, 149.315170, -520.607544, 13.726144, 100.771852
1759224748.085402, -7.338527, 6.849362, -0.254833, 0.775049, 1.275291, -0.779093, 97.819885, 150.042358, -520.793457, 13.726144, 100.771852
1759224748.105395, -6.885874, 7.397933, -0.314089, 0.786875, 1.203879, -0.680601, 96.739914, 150.826843, -521.262146, 13.726144, 100.771852
1759224748.125406, -7.724443, 6.691045, -0.719308, 0.843027, 1.090312, -0.676943, 95.672913, 151.187241, -521.691284, 13.726144, 100.771852
1759224748.145087, -8.217499, 6.309619, 0.150685, 0.614767, 0.854667, -0.843343, 94.798477, 151.543198, -521.309387, 13.726144, 100.771852
1759224748.165397, -7.681796, 6.857891, 0.440832, 0.389283, 0.420625, -0.806705, 94.460938, 151.901245, -521.536438, 13.726144, 100.771852
1759224748.185399, -5.445612, 8.011897, 2.411859, 0.019824, 0.236748, -0.540683, 94.033447, 151.654633, -521.183228, 13.726144, 100.771852
1759224748.205399, -6.731747, 6.710049, -0.760608, 0.062173, -0.010770, -0.404648, 93.869049, 151.818954, -522.025818, 13.726144, 100.771852
1759224748.225415, -7.845500, 4.646248, -1.345691, 0.190003, -0.106282, -0.636328, 93.853760, 151.803406, -522.195801, 13.726144, 100.771852
1759224748.245387, -6.053440, 5.561132, 0.598999, -0.086000, 0.377818, -0.741184, 93.718048, 151.691544, -521.614136, 13.726144, 100.771852
1759224748.265399, -7.239916, 7.278523, -0.696114, 0.145837, 0.543750, -0.728306, 93.338058, 151.437622, -522.078369, 13.726144, 100.771852
1759224748.285086, -7.026832, 6.113594, -0.245256, 0.233199, 0.174471, -0.302152, 92.749878, 151.582474, -521.462463, 13.726144, 100.771852
1759224748.305395, -7.110031, 5.866393, 0.147692, 0.063352, 0.015883, -0.083232, 92.787704, 151.632095, -522.383362, 13.726144, 100.771852
1759224748.325461, -7.996933, 7.133075, 0.181660, 0.099804, -0.046859, -0.227797, 92.530014, 151.723404, -522.727722, 13.726144, 100.771852
1759224748.345384, -6.582857, 8.489091, 1.053748, -0.046483, 0.032445, -0.270516, 92.834946, 151.656387, -521.819641, 13.726144, 100.771852
1759224748.365383, -7.927950, 8.278700, 0.020051, -0.189982, 0.078289, -0.146585, 92.809937, 151.195709, -522.003479, 13.726144, 100.771852
1759224748.385403, -9.600599, 8.561665, -0.839168, -0.287830, 0.063897, -0.230374, 92.891830, 150.880890, -521.282654, 13.726144, 100.771852
1759224748.405393, -8.859594, 9.315390, -0.774973, -0.298512, -0.052602, -0.224897, 92.725159, 150.671249, -521.609070, 13.726144, 100.771852
1759224748.425395, -8.169315, 9.167249, -0.316334, -0.256424, -0.452555, -0.047584, 93.061920, 150.700348, -521.605347, 13.726144, 100.771852
1759224748.445367, -7.674613, 8.665364, -0.077662, -0.225513, -0.750016, 0.116085, 93.903900, 150.062668, -520.946472, 13.726144, 100.771852
1759224748.465397, -7.442825, 8.430882, 0.520140, -0.344526, -1.119330, 0.194189, 94.578064, 149.842499, -521.243591, 13.726144, 100.771852
1759224748.485272, -7.930344, 7.960571, 0.981473, -0.498745, -1.043947, 0.015056, 95.339874, 149.410599, -520.107605, 13.726144, 100.771852
1759224748.505392, -7.778013, 6.821081, 1.144279, -0.728342, -0.270690, -0.307029, 95.601929, 148.809082, -520.729248, 13.726144, 100.771852
1759224748.525400, -7.195324, 5.655853, 0.745943, -0.711920, 0.008333, -0.293722, 95.834747, 148.203018, -520.873291, 13.726144, 100.771852
1759224748.545372, -8.164677, 5.437531, 0.924162, -0.588111, -0.296666, -0.207578, 95.930099, 147.585114, -520.589355, 13.726144, 100.771852
1759224748.565394, -8.403648, 5.321712, 0.923563, -0.581139, -0.508295, -0.237187, 96.425491, 147.266632, -521.024719, 13.726144, 100.771852
1759224748.585395, -8.150012, 4.784812, 0.410606, -0.525284, -0.369167, -0.300256, 96.573135, 146.684601, -519.832825, 13.726144, 100.771852
1759224748.604792, -7.896077, 4.315399, 0.671723, -0.414426, -0.170850, -0.364498, 96.642853, 146.321930, -520.537415, 13.726144, 100.771852
1759224748.625396, -7.583185, 4.121618, 1.847875, -0.398973, -0.156195, -0.274061, 96.810272, 146.049927, -520.461914, 13.726144, 100.771852
1759224748.645371, -7.975984, 4.045602, 0.831686, -0.257455, -0.232660, -0.261374, 97.094742, 145.759354, -520.033020, 13.726144, 100.771852
1759224748.665095, -7.463175, 3.361459, -0.314987, -0.057730, -0.157764, -0.277460, 97.312271, 145.636307, -520.529480, 13.726144, 100.771852
1759224748.684551, -7.282413, 4.091541, 0.572364, 0.036713, -0.009155, -0.228156, 97.114319, 145.516312, -519.763916, 13.726144, 100.771852
1759224748.705387, -8.532785, 4.953603, 1.194258, 0.055696, 0.207801, -0.328953, 97.058197, 145.716309, -520.227295, 13.726144, 100.771852
1759224748.725397, -8.644564, 4.734983, 0.922665, -0.011704, 0.392437, -0.355747, 96.671860, 145.837814, -520.688171, 13.726144, 100.771852
1759224748.745369, -8.650550, 4.246266, 0.204255, -0.004216, 0.697814, -0.340641, 95.798767, 145.467606, -520.623657, 13.726144, 100.771852
1759224748.765401, -8.159888, 4.810400, 0.131382, 0.051657, 0.678149, -0.327726, 95.292175, 145.691498, -520.886780, 13.726144, 100.771852
1759224748.785393, -7.808988, 5.840505, 1.099836, 0.096114, 0.519239, -0.309620, 94.695312, 145.540314, -520.005981, 13.726144, 100.771852
1759224748.805393, -7.418434, 5.657199, 0.814627, 0.072178, 0.474137, -0.245951, 94.159409, 145.608109, -520.724365, 13.726144, 100.771852
1759224748.825395, -7.921216, 4.335600, -0.196325, 0.224245, 0.497590, -0.252586, 93.758240, 145.696564, -520.922485, 13.726144, 100.771852
1759224748.845368, -8.667609, 3.741539, -0.556203, 0.495640, 0.451124, -0.332671, 93.440155, 146.011215, -521.168884, 13.726144, 100.771852
1759224748.865398, -7.960870, 3.442712, 0.614412, 0.605709, 0.268927, -0.286783, 93.368042, 146.528122, -521.440125, 13.726144, 100.771852
1759224748.885395, -7.723994, 2.854038, -0.075417, 0.786998, 0.206456, -0.030507, 92.966583, 147.006439, -520.909180, 13.726144, 100.771852
1759224748.905401, -8.405443, 1.909525, 0.173729, 0.855744, 0.135662, 0.065158, 92.983597, 147.920288, -521.421143, 13.726144, 100.771852
1759224748.925404, -9.274539, 2.019808, -1.320701, 1.014226, 0.330779, -0.101957, 92.543350, 148.752792, -521.722839, 13.726144, 100.771852
1759224748.945368, -7.502530, 1.717540, -1.384297, 1.339517, 0.818793, 0.110296, 92.104980, 149.820847, -522.228638, 13.726144, 100.771852
1759224748.965393, -5.335628, 3.188029, -0.131531, 1.283249, 1.610808, 0.830451, 90.873154, 151.173660, -522.677917, 13.726144, 100.771852
1759224748.984500, -4.984728, 7.099556, -2.441786, 1.381310, 1.950215, 1.782400, 89.822128, 152.480682, -522.826355, 13.726144, 100.771852
1759224749.005399, -5.405359, 9.851841, -0.103400, 0.477035, 1.929147, 2.768203, 88.718765, 153.702179, -523.879639, 13.726144, 100.771852
1759224749.025392, -7.032818, 11.473314, 3.107674, -0.069644, -0.077790, 2.765159, 89.232590, 154.531708, -524.344788, 13.726144, 100.771852
1759224749.045369, -10.811167, 13.349919, 0.040402, -1.471112, -1.109924, 2.187798, 90.865524, 154.230988, -523.424194, 13.726144, 100.771852
1759224749.065247, -7.495796, 7.916278, -3.831620, -1.792001, 0.397212, 2.088310, 90.963089, 153.091293, -523.967163, 13.726144, 100.771852
1759224749.084651, -5.794716, 4.875343, 0.464176, -1.459191, -0.020868, 1.790062, 90.913452, 152.253525, -523.299377, 13.726144, 100.771852
1759224749.105398, -6.064962, 3.801394, -2.772785, -0.852407, -1.446694, 1.177050, 92.696106, 152.080811, -522.279053, 13.726144, 100.771852
1759224749.125392, -6.798485, 10.571597, -3.463662, -0.646198, 0.223445, 1.858472, 93.265656, 151.849350, -521.965820, 13.726144, 100.771852
1759224749.145367, -6.911312, 9.906907, 1.888127, -0.713254, -0.702782, 2.742666, 94.127502, 151.619797, -522.147949, 13.726144, 100.771852
1759224749.164565, -5.739500, 6.650344, 3.437625, -0.617926, -2.639892, 2.930568, 96.226562, 151.724152, -522.739075, 13.726144, 100.771852
1759224749.185242, -3.634548, 2.600402, 2.649633, -0.371563, -3.995250, 2.684615, 100.044083, 151.534271, -522.021057, 13.726144, 100.771852
1759224749.205390, -3.342306, 3.438074, -0.668431, -0.012918, -3.236152, 2.434148, 103.179092, 151.626160, -522.158447, 13.726144, 100.771852
1759224749.225390, -3.195661, 5.430349, -2.293196, 0.666010, -1.284071, 2.454727, 105.662094, 152.183304, -522.037598, 13.726144, 100.771852
1759224749.245367, -2.893243, 6.227618, -0.416890, 1.205824, 0.316375, 2.581557, 105.937363, 152.864746, -522.567383, 13.726144, 100.771852
1759224749.265395, -2.082207, 5.868039, 0.512958, 1.349590, 1.323405, 2.676422, 105.517471, 153.809128, -523.275391, 13.726144, 100.771852
1759224749.285391, -0.640000, 5.734562, -1.953519, 1.527220, 2.661812, 3.065748, 104.345459, 154.822983, -522.962646, 13.726144, 100.771852
1759224749.305393, -0.253935, 5.724087, -1.155053, 0.836568, 3.639449, 3.595842, 102.265808, 155.637390, -523.794312, 13.726144, 100.771852
1759224749.325426, 0.224307, 4.707749, 0.967407, -0.695840, 2.988402, 3.901238, 100.781021, 155.337479, -523.500122, 13.726144, 100.771852
1759224749.345365, 1.537077, 14.256723, 0.549170, -1.501674, 1.662627, 4.807220, 100.998184, 154.479019, -522.129089, 13.726144, 100.771852
1759224749.365392, 7.398981, 38.855349, -0.382923, -0.779996, 1.276489, 8.003766, 99.441055, 153.683578, -523.080811, 13.726144, 100.771852
1759224749.385391, -5.880608, 29.499707, -3.186682, 3.462466, 4.816911, 2.981626, 95.851440, 155.704391, -526.091187, 13.726144, 100.771852
1759224749.404674, 1.403750, 4.450522, 3.232621, 0.498233, 1.331920, -1.396655, 96.607254, 156.974304, -525.220215, 13.726144, 100.771852
