SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759224759.02520,-5.515343,-4.838382,1.270423,-1.188776,0.465925,-0.687616,4.00,2,RUN
1759224759.04514,-5.109077,-6.67249,-0.104746,-1.436494,1.540978,-0.16451,4.02,2,RUN
1759224759.06514,-8.318055,-6.023512,-6.443694,-1.32887,2.001649,-0.060305,4.04,2,RUN
1759224759.08521,-2.170344,0.919523,-8.540117,-0.550649,2.864889,-0.996451,4.06,2,RUN
1759224759.10425,3.32001,3.729119,-5.147683,-0.418556,3.429177,-0.421628,4.08,2,RUN
1759224759.12514,3.497779,9.112332,7.163002,-0.734306,2.773548,0.530582,4.10,2,RUN
1759224759.14507,0.803404,6.549189,-0.831835,-0.071358,2.295479,0.323929,4.12,2,RUN
1759224759.16524,-0.148141,13.673435,-3.269133,0.088472,4.010485,0.52296,4.14,2,RUN
1759224759.18464,-3.096002,26.823139,5.286547,1.252624,0.258384,0.344622,4.16,2,RUN
1759224759.20443,-8.253412,23.945458,5.766435,0.474563,0.072334,-1.672444,4.18,2,RUN
1759224759.22526,-4.124611,8.449886,4.317344,-0.992308,1.696234,-1.542161,4.20,2,RUN
1759224759.24516,-5.724237,9.490017,4.295946,-0.997,1.622704,-1.471316,4.22,2,RUN
1759224759.26521,-4.723311,15.378107,2.215684,-0.539929,-0.176858,-2.724433,4.24,2,RUN
1759224759.28428,-0.849343,22.178986,2.992004,0.121267,-1.657578,-3.520809,4.26,2,RUN
1759224759.30515,7.211635,28.611308,4.812345,-0.030411,-2.721945,-3.510291,4.28,2,RUN
1759224759.32533,15.081226,23.70095,4.776432,-1.788766,-3.11639,-2.584344,4.30,2,RUN
1759224759.34534,15.74038,14.500482,1.191415,-3.227083,-1.160825,-2.670953,4.32,2,RUN
1759224759.36519,16.889147,10.989386,-0.431555,-2.9867,1.838153,-2.332893,4.34,2,RUN
1759224759.38515,10.795006,6.287024,-3.171868,-2.302221,3.813707,-1.002784,4.36,2,RUN
1759224759.40482,0.552612,6.413318,-22.981642,-1.818495,4.300388,-0.153945,4.38,2,RUN
1759224759.42523,3.280056,4.775235,-8.89012,0.690312,-1.307685,-0.051943,4.40,2,RUN
1759224759.44531,3.311779,3.400814,0.391003,1.145915,-2.284938,-0.003218,4.42,2,RUN
1759224759.46517,2.697966,1.398064,0.835576,1.317388,-2.210271,0.292559,4.44,2,RUN
1759224759.48519,2.593519,-1.431882,1.221342,0.845393,-1.665352,0.478469,4.46,2,RUN
1759224759.50518,2.109591,-2.584092,-1.274463,-0.164237,0.302233,0.368928,4.48,2,RUN
1759224759.52523,5.985205,-1.564312,-5.734712,0.040062,2.878801,0.867658,4.50,2,RUN
1759224759.54526,7.664139,1.291971,-2.18441,1.744677,1.581232,2.56783,4.52,2,RUN
1759224759.56517,4.158429,6.828113,0.458789,2.393098,-2.744619,3.32068,4.54,2,RUN
1759224759.58520,11.843966,23.270144,0.102951,3.482768,-4.80916,4.247443,4.56,2,RUN
1759224759.60534,14.142848,54.547396,0.297031,3.712385,-4.209373,6.637074,4.58,2,RUN
1759224759.62522,-6.891261,35.564818,8.15091,4.125336,3.255692,2.949719,4.60,2,RUN
1759224759.64532,-2.619257,26.569204,18.423382,0.796597,6.2866,1.211858,4.62,2,RUN
1759224759.66514,-8.458714,19.359066,4.621258,-3.190638,3.401287,2.529979,4.64,2,RUN
1759224759.68520,-1.862988,14.382119,-10.340258,-2.384242,2.135568,2.40356,4.66,2,RUN
1759224759.70517,-0.287603,11.733234,-4.611981,-0.466133,-1.154094,1.164772,4.68,2,RUN
1759224759.72523,-1.094749,8.405892,-1.3626,0.241727,-3.495166,0.018755,4.70,2,RUN
1759224759.74533,-3.640384,5.159056,1.103428,0.000217,-3.051873,-0.806159,4.72,2,RUN
1759224759.76528,-5.029619,1.642572,1.682376,-0.712315,-2.083921,-1.185386,4.74,2,RUN
1759224759.78535,-6.730101,0.243011,0.094571,-1.457792,-0.604277,-1.317575,4.76,2,RUN
1759224759.80521,-8.104223,-3.227384,-5.488707,-0.832673,0.829514,-1.696101,4.78,2,RUN
1759224759.82519,-4.345476,-6.199037,-3.825934,0.171728,1.058641,-1.814723,4.80,2,RUN
1759224759.84518,2.095375,-5.714361,-1.85416,0.401899,1.012642,-1.419994,4.82,2,RUN
1759224759.86519,7.070078,0.433799,-1.441758,-0.189935,1.815281,0.068004,4.84,2,RUN
