SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759224927.459656, 1.131260, -3.867982, -7.723545, 0.085009, -0.504959, 0.523165, 21.743866, 22.994629, -286.592224, , 
1759224927.479666, 0.429460, -2.425326, -7.696909, 0.040795, 0.102384, 0.142862, 21.294220, 23.400909, -286.100403, , 
1759224927.499639, 0.583287, -3.580678, -8.256704, -0.122402, 0.379208, 0.366528, 21.784973, 23.512985, -286.566223, 13.724705, 100.771882
1759224927.519104, 0.390105, -3.863344, -8.018181, -0.412353, 0.293595, 0.858755, 22.366470, 24.059494, -286.284119, 13.724705, 100.771882
1759224927.539702, -0.095170, -4.705055, -7.993641, -0.741050, 0.364605, 0.765771, 23.104492, 24.340820, -286.388885, 13.724705, 100.771882
1759224927.559665, 0.151882, -5.384560, -8.573038, -0.914752, 0.341202, 0.521714, 23.443878, 24.973007, -285.461609, 13.724705, 100.771882
1759224927.579719, -0.394894, -4.533122, -9.274389, -0.756679, 0.105536, 0.275673, 23.399323, 25.487732, -285.131500, 13.724705, 100.771882
1759224927.599646, -0.719907, -2.634370, -10.513089, -0.188446, 0.440491, 0.086855, 23.567383, 25.824371, -285.488281, 13.724705, 100.771882
1759224927.619088, -0.780061, -3.088520, -10.098443, 0.296878, 0.638234, -0.161575, 24.381409, 25.575317, -285.341797, 13.724705, 100.771882
1759224927.639653, 0.135871, -4.101267, -9.506477, 0.488412, 0.467783, -0.304651, 24.173706, 25.134201, -285.687439, 13.724705, 100.771882
1759224927.659670, 0.726640, -4.098724, -8.664017, 0.417738, 0.481449, -0.138881, 24.303665, 24.895538, -286.307129, 13.724705, 100.771882
1759224927.679651, 1.383100, -3.866336, -8.171261, 0.281257, 1.015443, 0.301809, 24.989563, 24.458817, -286.290070, 13.724705, 100.771882
1759224927.699670, 1.835904, -4.497508, -8.475624, 0.116444, 1.308663, 1.003096, 26.088989, 24.819229, -286.328003, 13.724705, 100.771882
1759224927.719653, 1.171662, -4.824466, -8.885631, -0.034116, 1.775422, 1.400217, 28.307007, 24.942963, -287.073639, 13.724705, 100.771882
