SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759319638.36846,1.695095,37.150827,-1.012598,-5.315883,-3.731637,0.282212,4.68,4,RUN
1759319638.38777,-3.150919,26.821194,-8.897003,-3.742187,-1.873086,1.134569,4.70,4,RUN
1759319638.40810,-5.639991,19.789423,-6.469731,-3.269153,-2.695226,2.044836,4.72,4,RUN
1759319638.42875,-7.518092,12.101642,-8.129661,-2.744629,-0.847018,2.426888,4.74,4,RUN
1759319638.44818,-8.312519,2.943222,-10.506804,-1.560832,2.13825,1.263921,4.76,4,RUN
1759319638.46833,-4.69907,5.825691,-2.078167,-0.725194,3.167104,0.073261,4.78,4,RUN
1759319638.48872,-2.294693,0.599598,-2.415301,-1.505521,2.466877,-0.224824,4.80,4,RUN
1759319638.50871,2.35769,-0.179266,-2.356343,-0.282353,2.602622,-0.578463,4.82,4,RUN
1759319638.52873,3.664625,3.518579,6.936301,-0.494584,1.824238,-0.355258,4.84,4,RUN
1759319638.54804,3.327042,1.912668,5.305551,-0.15026,-0.088949,0.055615,4.86,4,RUN
1759319638.56819,2.796428,-0.744447,1.145925,1.599117,-0.530191,0.813146,4.88,4,RUN
1759319638.58872,1.84997,-2.892645,3.932925,3.971425,-0.706571,0.975957,4.90,4,RUN
1759319638.60855,-2.622848,2.53546,1.998859,4.073777,-3.601947,0.105262,4.92,4,RUN
1759319638.62875,-4.239533,8.496872,-2.957737,4.151949,-2.995,-1.213385,4.94,4,RUN
1759319638.64788,-14.941315,39.641994,-10.841244,3.334233,0.16803,-0.184929,4.96,4,RUN
1759319638.66803,-10.31467,35.754409,-10.437971,2.75009,5.296474,1.017528,4.98,4,RUN
1759319638.68872,-5.460276,23.344065,-2.006191,1.797469,5.54261,-0.74726,5.00,4,RUN
1759319638.70870,-2.070984,18.564939,-1.199196,1.474883,3.38562,-0.933767,5.02,4,RUN
1759319638.72875,7.316082,22.501605,2.67582,0.952957,0.839712,-0.928092,5.04,4,RUN
1759319638.74778,8.511537,17.348236,1.862839,0.828334,-0.670555,0.120983,5.06,4,RUN
1759319638.76789,7.655161,8.87755,8.501062,0.996244,-2.785781,0.561494,5.08,4,RUN
1759319638.78875,-1.224335,-2.107197,4.598214,1.964068,-5.399232,0.107109,5.10,4,RUN
1759319638.80775,-2.729839,-9.434202,0.58239,1.58557,-5.166624,0.303666,5.12,4,RUN
1759319638.82873,-3.117251,-13.280936,0.350751,-0.259409,-3.364718,-0.343296,5.14,4,RUN
1759319638.84871,-4.342483,-9.640852,0.268599,-2.879025,0.351881,-0.164087,5.16,4,RUN
1759319638.86773,-5.711518,-4.163966,1.353472,-3.944215,1.972656,1.382195,5.18,4,RUN
1759319638.88873,-5.781847,-2.709787,-3.770568,-4.002957,1.1392,1.159881,5.20,4,RUN
1759319638.90870,-1.39986,9.261819,-12.256218,0.076142,2.638693,-0.301651,5.22,4,RUN
1759319638.92873,2.637662,15.378406,-6.109853,2.867758,1.966386,-0.629469,5.24,4,RUN
1759319638.94870,6.228516,10.764181,0.555754,3.915877,-0.796178,-0.145593,5.26,4,RUN
1759319638.96838,-5.878663,9.733926,7.20535,2.470597,2.72332,-0.204007,5.28,4,RUN
1759319638.98872,-7.206996,16.568324,6.836792,-0.971008,2.194421,-0.462655,5.30,4,RUN
1759319639.00870,-3.896862,20.619314,8.733748,-4.084592,-1.265447,-1.870367,5.32,4,RUN
1759319639.02872,0.320524,33.885136,8.73704,-3.52783,-4.292455,-1.399458,5.34,4,RUN
1759319639.04843,0.356137,30.792576,-0.546028,-3.683496,-5.086292,0.330464,5.36,4,RUN
1759319639.06824,-7.428908,22.16926,-16.454151,-3.555759,-3.140202,2.205464,5.38,4,RUN
1759319639.08872,-9.553762,16.6403,-12.594548,-3.663999,0.602192,2.715129,5.40,4,RUN
1759319639.10870,-9.478046,9.441385,-8.51423,-2.625809,3.202693,2.259787,5.42,4,RUN
1759319639.12873,-4.821174,3.536385,-3.813963,-0.745302,3.590884,0.845853,5.44,4,RUN
1759319639.14856,-2.07712,2.573617,2.182614,-0.711937,3.381174,-0.124554,5.46,4,RUN
1759319639.16809,-0.283114,-2.289306,0.242413,-1.686299,2.417169,-0.642097,5.48,4,RUN
1759319639.18859,4.019715,-1.404349,-3.905691,-0.304006,1.601135,-0.779563,5.50,4,RUN
1759319639.20826,4.234445,2.949507,4.656872,-0.357749,0.750506,-0.636386,5.52,4,RUN
1759319639.22794,3.744082,2.30412,2.458995,0.201442,-0.517602,-0.54604,5.54,4,RUN
1759319639.24870,1.715296,-1.467646,-1.630751,2.212545,-0.021271,0.258679,5.56,4,RUN
1759319639.26794,0.353294,-1.510143,1.734449,2.944673,-1.520708,-0.091124,5.58,4,RUN
1759319639.28872,-2.540398,2.987814,-1.215955,3.616895,-1.325232,-0.247633,5.60,4,RUN
1759319639.30870,-4.644751,11.881974,0.646883,3.564545,-0.796354,-0.580827,5.62,4,RUN
1759319639.32873,-10.293122,41.365221,-6.510433,3.156154,1.009181,1.120237,5.64,4,RUN
1759319639.34873,-9.471611,40.937856,-8.55957,2.606695,5.339128,0.857747,5.66,4,RUN
1759319639.36779,-5.227889,24.760834,-1.617433,1.473375,5.249986,0.385073,5.68,4,RUN
1759319639.38872,-1.638981,18.937836,0.037709,1.121356,2.736744,-0.483524,5.70,4,RUN
1759319639.40870,6.888417,18.472313,6.241534,1.519096,-1.148461,-0.582221,5.72,4,RUN
1759319639.42873,7.354988,15.189863,3.949834,1.950348,-2.583897,0.649476,5.74,4,RUN
1759319639.44873,5.509657,5.134515,7.573309,2.278141,-2.845029,0.369711,5.76,4,RUN
1759319639.46873,-1.43697,-4.212747,5.595399,2.568137,-6.300441,0.237211,5.78,4,RUN
1759319639.48818,-4.029292,-10.323947,1.231817,1.419723,-5.444547,-0.428061,5.80,4,RUN
1759319639.50871,-4.915446,-14.138958,-2.50643,-1.185252,-1.26824,-0.757761,5.82,4,RUN
1759319639.52875,-5.061492,-9.100061,0.544232,-3.091732,2.241034,0.092953,5.84,4,RUN
1759319639.54838,-6.03279,-3.813963,1.37098,-4.048742,1.036889,0.498664,5.86,4,RUN
1759319639.56873,-2.915539,1.399261,-4.786009,-2.935906,1.443305,0.041114,5.88,4,RUN
1759319639.58873,0.818069,12.728474,-10.380809,0.840437,1.983654,-0.182885,5.90,4,RUN
1759319639.60870,5.868488,15.658977,-5.434538,2.980577,0.82358,-0.185522,5.92,4,RUN
1759319639.62873,0.867748,10.334123,2.420987,4.010466,-0.437368,-0.402447,5.94,4,RUN
1759319639.64870,-9.920075,9.692477,7.873631,1.07869,3.242367,-0.274828,5.96,4,RUN
1759319639.66872,-5.700145,12.582876,5.861455,-2.882967,-0.761016,-0.949728,5.98,4,RUN
1759319639.68873,-3.148824,26.962003,12.588263,-3.536525,-2.715679,-2.074966,6.00,4,RUN
1759319639.70824,0.603788,35.243846,2.863914,-3.513879,-5.08948,-1.0863,6.02,4,RUN
1759319639.72877,0.47091,29.681816,-0.919074,-3.446544,-3.989604,1.578778,6.04,4,RUN
1759319639.74873,-11.432911,17.123031,-25.469966,-4.652049,-1.746497,3.088329,6.06,4,RUN
1759319639.76873,-11.919533,11.734282,-13.61777,-3.225491,1.872452,2.151119,6.08,4,RUN
1759319639.78876,-4.599261,3.736601,-4.012383,-1.58253,3.618292,1.081725,6.10,4,RUN
1759319639.80870,-3.224391,2.177377,1.508796,-0.872029,4.270882,-0.18962,6.12,4,RUN
1759319639.82873,-0.670676,0.508618,3.663129,-1.685835,1.659097,-0.591004,6.14,4,RUN
1759319639.84873,3.645022,-0.346411,-3.527108,-0.927262,0.6656,-0.387323,6.16,4,RUN
1759319639.86871,4.296993,2.026093,-0.815226,-0.650669,0.40658,-0.139536,6.18,4,RUN
1759319639.88874,2.884115,2.736722,1.455375,0.270997,0.366933,-0.062607,6.20,4,RUN
1759319639.90871,2.130241,0.490961,-1.276109,1.097773,0.006413,0.241452,6.22,4,RUN
1759319639.92873,0.526275,-2.111836,2.259677,3.02629,-0.8019,0.245389,6.24,4,RUN
1759319639.94841,-1.634492,3.573346,0.997634,3.530333,-2.196067,-0.24906,6.26,4,RUN
1759319639.96873,-4.364031,12.016648,1.390582,3.89685,-1.871888,-0.509183,6.28,4,RUN
1759319639.98874,-7.573758,33.025468,-2.851793,3.391057,-0.708352,0.625798,6.30,4,RUN
1759319640.00871,-9.822212,38.692094,-9.585935,3.478323,4.140003,1.070911,6.32,4,RUN
1759319640.02854,-8.176947,27.928662,-2.291401,1.486154,5.349317,0.212316,6.34,4,RUN
1759319640.04873,-7.343615,21.690569,-2.104354,1.511995,2.843775,0.049529,6.36,4,RUN
1759319640.06866,2.055871,19.12608,2.760066,1.352431,0.574069,-0.674708,6.38,4,RUN
1759319640.08873,7.226,15.983241,4.813842,1.441617,-1.857542,0.214553,6.40,4,RUN
1759319640.10820,6.378452,4.832696,5.124489,1.566295,-2.923818,0.354711,6.42,4,RUN
1759319640.12873,-0.490662,-3.198504,-1.363199,2.000441,-4.87334,-0.053055,6.44,4,RUN
1759319640.14874,0.046837,-10.437522,0.755221,0.83827,-3.66278,0.068457,6.46,4,RUN
1759319640.16873,-1.671751,-9.1252,2.736722,-0.668019,-1.346277,-0.803594,6.48,4,RUN
1759319640.18873,-3.730316,-8.017134,3.47653,-1.754181,0.53637,-0.585423,6.50,4,RUN
1759319640.20848,-6.895899,-4.46758,0.817021,-3.119372,1.147854,1.063166,6.52,4,RUN
1759319640.22874,-5.639692,-2.983475,-3.983353,-3.581558,-0.301769,1.151039,6.54,4,RUN
1759319640.24859,-1.772757,9.376891,-10.9216,0.166767,2.899921,-0.334895,6.56,4,RUN
1759319640.26832,2.880225,16.886454,-3.68303,2.27678,2.382093,-0.40565,6.58,4,RUN
1759319640.28880,10.71076,8.822483,-0.742651,3.267609,-1.470944,0.021748,6.60,4,RUN
1759319640.30853,-3.309834,6.056582,9.056666,2.332977,0.226858,0.117317,6.62,4,RUN
1759319640.32874,-10.627712,16.195278,-0.777816,0.406423,3.204684,0.196729,6.64,4,RUN
1759319640.34873,-6.996306,14.781801,2.845658,-4.212964,-1.90397,-0.959871,6.66,4,RUN
1759319640.36873,-2.286911,32.313792,12.491149,-4.069276,-2.225464,-1.660175,6.68,4,RUN
1759319640.38872,1.738041,33.081881,-0.31813,-3.739715,-4.286997,0.545606,6.70,4,RUN
1759319640.40871,-0.521038,25.733328,-3.557933,-3.572042,-4.076097,1.695629,6.72,4,RUN
1759319640.42858,-7.881413,19.347843,-8.874857,-4.017107,-2.044381,2.947675,6.74,4,RUN
1759319640.44852,-13.278542,9.644892,-15.203181,-3.22557,1.194818,2.889044,6.76,4,RUN
1759319640.46803,-9.366267,3.544765,-9.912743,-1.075623,3.640862,0.543198,6.78,4,RUN
1759319640.48873,-2.573168,0.829741,-1.09819,-1.589787,3.435097,-0.470481,6.80,4,RUN
1759319640.50871,-1.212663,-2.107795,-3.03495,-0.489722,3.551642,-0.954992,6.82,4,RUN
1759319640.52845,4.662857,2.03163,-0.093524,-0.32097,3.264216,-0.641323,6.84,4,RUN
1759319640.54858,4.047548,3.02657,6.405836,-0.136793,-0.22494,0.173928,6.86,4,RUN
1759319640.56871,3.752761,-1.300351,-0.519991,1.812934,-0.116415,1.148015,6.88,4,RUN
1759319640.58872,3.097947,-6.597223,2.232443,2.804989,-1.058676,1.241093,6.90,4,RUN
1759319640.60871,-1.364246,-0.775123,-0.772429,3.494565,-2.932282,0.273242,6.92,4,RUN
1759319640.62829,-2.37011,2.274043,1.265934,3.639597,-2.670139,-0.302885,6.94,4,RUN
1759319640.64842,-6.86253,12.990489,-3.312378,3.873206,-0.879213,-1.879203,6.96,4,RUN
1759319640.66878,-17.485753,44.11541,-10.652551,3.448303,2.35198,0.860916,6.98,4,RUN
1759319640.68844,-11.626842,39.78834,-10.736797,2.186688,5.354374,0.46934,7.00,4,RUN
1759319640.70871,-3.081487,27.476606,-1.352425,1.713402,4.76868,-0.354872,7.02,4,RUN
1759319640.72814,-0.7639,23.877822,-2.755427,1.044669,2.672785,-0.004105,7.04,4,RUN
1759319640.74827,8.422801,20.783765,5.7187,0.895115,-0.942675,0.566511,7.06,4,RUN
1759319640.76876,6.424242,12.594548,6.921338,0.982573,-3.84112,1.49618,7.08,4,RUN
1759319640.78873,0.574758,-3.407548,3.885041,2.109532,-4.830063,0.477588,7.10,4,RUN
1759319640.80872,-5.137957,-9.582343,-5.95004,1.314368,-4.460484,0.116542,7.12,4,RUN
1759319640.82799,-2.133383,-12.184392,0.339977,-0.640808,-1.123688,-0.961098,7.14,4,RUN
1759319640.84813,-3.655796,-7.822755,7.343765,-1.373879,1.058139,-1.400137,7.16,4,RUN
1759319640.86873,-5.303755,-5.619939,3.230077,-2.22491,1.285651,-0.132758,7.18,4,RUN
1759319640.88875,-4.734683,-3.387795,1.273715,-4.533672,-0.465886,1.337069,7.20,4,RUN
1759319640.90871,-3.998167,1.915062,-6.01618,-4.221642,1.027783,0.717913,7.22,4,RUN
1759319640.92787,1.298256,15.920693,-10.597934,1.606609,2.129525,-0.321461,7.24,4,RUN
1759319640.94797,6.755539,15.32738,-5.325303,3.925525,-0.659901,-0.645764,7.26,4,RUN
1759319640.96875,3.077297,5.328595,0.550517,4.324597,-1.598841,-0.736447,7.28,4,RUN
1759319640.98875,-7.713669,9.012374,7.709928,1.475092,4.862459,-0.200297,7.30,4,RUN
1759319641.00872,-5.948544,16.020202,8.568399,-3.875017,-0.499534,-0.767056,7.32,4,RUN
1759319641.02874,-2.710685,29.436859,13.155689,-4.165532,-1.992927,-1.835921,7.34,4,RUN
1759319641.04783,1.057788,37.033811,4.644751,-3.768267,-5.460793,-1.122211,7.36,4,RUN
1759319641.06874,-1.517176,26.329784,-7.101052,-2.808631,-5.588324,1.025481,7.38,4,RUN
1759319641.08874,-8.001572,20.156634,-15.160534,-3.768825,-2.913888,2.772301,7.40,4,RUN
1759319641.10871,-11.269806,10.598233,-12.428002,-3.425283,2.50508,2.784918,7.42,4,RUN
1759319641.12874,-7.82066,1.543213,-6.513875,-1.522114,4.116788,1.318209,7.44,4,RUN
1759319641.14874,-4.778527,2.507328,-1.230769,-1.134489,3.115196,-0.378636,7.46,4,RUN
1759319641.16874,0.178667,2.414552,1.20967,-1.440682,2.351694,-0.957727,7.48,4,RUN
1759319641.18876,4.472069,3.318812,0.552013,-1.494323,1.955589,-0.497023,7.50,4,RUN
1759319641.20871,4.494365,2.644246,0.732326,-0.342296,1.789079,0.379518,7.52,4,RUN
1759319641.22874,3.569755,-1.106869,2.005593,0.753438,1.097502,0.399732,7.54,4,RUN
1759319641.24820,0.967257,-3.467103,1.664269,1.969777,-0.551921,0.442435,7.56,4,RUN
1759319641.26874,-2.038363,-2.589928,3.006369,3.188509,-1.776151,-0.093442,7.58,4,RUN
1759319641.28874,-3.700987,3.153313,-0.256329,4.173746,-1.388668,-0.184788,7.60,4,RUN
1759319641.30871,-5.525668,7.058406,-2.075623,3.975383,-1.77408,-0.339428,7.62,4,RUN
1759319641.32874,-7.83308,27.515363,-3.813514,3.969483,-0.095366,-0.206982,7.64,4,RUN
1759319641.34873,-5.394735,44.329691,-9.146898,3.50555,3.396687,1.137088,7.66,4,RUN
1759319641.36872,-7.672967,37.039497,-3.607014,1.831615,5.498314,0.004928,7.68,4,RUN
1759319641.38860,-6.260538,23.822307,-4.214393,1.824413,2.364423,0.441882,7.70,4,RUN
1759319641.40871,4.919785,22.55338,1.105822,1.169156,-0.475605,0.004016,7.72,4,RUN
1759319641.42874,9.874885,16.232687,8.050054,1.214616,-3.856573,0.751506,7.74,4,RUN
1759319641.44788,6.583157,5.024831,2.500145,2.112098,-4.59467,0.958572,7.76,4,RUN
1759319641.46876,-1.684919,-9.214534,-2.301875,1.824225,-5.600507,0.45474,7.78,4,RUN
1759319641.48877,-2.570924,-16.139313,-2.615965,0.210912,-2.932263,-0.441086,7.80,4,RUN
1759319641.50872,-3.547908,-10.845434,3.416077,-1.341799,0.320763,-1.070542,7.82,4,RUN
1759319641.52875,-3.853168,-6.485593,7.603386,-2.077002,0.862566,-0.953637,7.84,4,RUN
1759319641.54875,-5.089025,-2.620154,1.698536,-3.179517,0.404693,0.088071,7.86,4,RUN
1759319641.56874,-5.271882,0.291644,-0.11163,-3.749091,0.563149,0.491398,7.88,4,RUN
1759319641.58877,-2.314445,9.398888,-8.014291,-1.685036,2.449366,-0.527684,7.90,4,RUN
1759319641.60809,-0.461183,21.208586,-9.986963,1.956274,3.136209,-0.492188,7.92,4,RUN
1759319641.62874,7.5769,7.839664,-4.041861,3.761655,-0.654449,-0.120178,7.94,4,RUN
1759319641.64874,-1.757793,5.213673,7.273136,4.070611,-0.378952,-0.530113,7.96,4,RUN
1759319641.66783,-11.365126,8.388385,6.927024,0.053609,4.712688,-0.192329,7.98,4,RUN
1759319641.68877,-6.038326,12.813318,5.613954,-4.006606,-0.389127,-1.086612,8.00,4,RUN
1759319641.70872,-2.671331,28.990789,14.679898,-4.438524,-1.23996,-2.455919,8.02,4,RUN
1759319641.72875,-0.016011,42.042181,5.017349,-4.494537,-4.835424,-1.360433,8.04,4,RUN
1759319641.74875,-2.828151,28.681788,-16.885257,-4.405975,-4.339287,0.798956,8.06,4,RUN
1759319641.76875,-5.368399,19.132065,-11.300931,-4.078308,-1.205698,2.56303,8.08,4,RUN
1759319641.78875,-6.94109,11.467029,-7.530662,-3.378061,0.736346,2.796454,8.10,4,RUN
1759319641.80872,-7.974338,2.231845,-10.20723,-1.527447,2.248019,1.786979,8.12,4,RUN
1759319641.82875,-4.818032,2.461987,-0.488118,-0.808974,4.035466,-0.144605,8.14,4,RUN
1759319641.84872,-2.693477,0.004938,1.302745,-1.68831,1.722727,-0.583096,8.16,4,RUN
1759319641.86809,0.8257,-1.974917,-8.147019,-0.077209,0.260436,-1.086509,8.18,4,RUN
1759319641.88874,6.446538,5.282207,-0.981772,0.108611,1.574513,-0.599505,8.20,4,RUN
1759319641.90776,2.114828,4.321085,7.640945,-0.151635,0.731191,-0.91684,8.22,4,RUN
