SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759319633.688380, -0.818368, 3.324349, -8.716839, 0.106917, 0.400758, -0.397600, -39.867538, -143.789520, 109.917328, , 
1759319633.708423, -0.813729, 3.103634, -8.786271, 0.091031, 0.239080, -0.405712, -39.844131, -144.290939, 109.892853, 13.767698, 100.802013
1759319633.727789, -0.710779, 3.196858, -8.934861, 0.043497, 0.204783, -0.295020, -39.478958, -144.120819, 109.293335, 13.767698, 100.802013
1759319633.748523, -0.169839, 3.158401, -9.103353, 0.001435, 0.432484, -0.149474, -39.173889, -144.442871, 109.071350, 13.767698, 100.802013
1759319633.768722, 0.348057, 3.209128, -8.581717, -0.155207, 0.622319, -0.016410, -38.832809, -144.382156, 108.937119, 13.767698, 100.802013
1759319633.788291, 1.107767, 3.706374, -9.020454, -0.298242, 0.494859, 0.234897, -38.732071, -144.060623, 108.161636, 13.767698, 100.802013
1759319633.808412, 0.925808, 4.570232, -9.380332, -0.087432, 0.473323, 0.663743, -38.941360, -143.526550, 108.048325, 13.767698, 100.802013
1759319633.828731, 0.655113, 4.686051, -9.292495, 0.149591, 0.535771, 1.185443, -39.368042, -142.791718, 107.683914, 13.767698, 100.802013
1759319633.848702, 0.456844, 4.549282, -9.491663, 0.167227, 0.831506, 1.580927, -39.780029, -141.668839, 107.330475, 13.767698, 100.802013
1759319633.867722, 1.007959, 6.109703, -8.694094, -0.158408, 1.216556, 2.273149, -40.370575, -139.641769, 106.105927, 13.767698, 100.802013
1759319633.888130, 1.976264, 5.411794, -7.869741, -0.482142, 0.778119, 2.986277, -41.347778, -137.375381, 105.279556, 13.767698, 100.802013
1759319633.908264, 1.247080, 3.582025, -9.349058, -0.399156, 0.756237, 2.965793, -41.811554, -136.634277, 105.239960, 13.767698, 100.802013
1759319633.928736, -1.076194, 1.019930, -12.176461, -0.601457, 1.903445, 2.316697, -40.576096, -133.930740, 102.424652, 13.767698, 100.802013
1759319633.948773, -1.865981, 2.132635, -11.590929, -1.250623, 3.470100, 1.750654, -39.520218, -132.835495, 100.605515, 13.767698, 100.802013
1759319633.968731, 2.466926, 4.879832, -10.644920, -2.090380, 4.912911, 1.702532, -37.069992, -129.789703, 97.115021, 13.767698, 100.802013
1759319633.988027, 4.667346, 4.145111, -5.233874, -2.086309, 3.173451, 1.786674, -35.089813, -127.419907, 95.242722, 13.767698, 100.802013
1759319634.008116, 3.655497, 3.396923, -9.356839, -1.010148, 2.484058, 1.873556, -33.186646, -125.725174, 93.526520, 13.767698, 100.802013
1759319634.028754, 4.515764, 4.925022, -9.890148, -1.205155, 3.218465, 1.898113, -30.750504, -123.588913, 91.668350, 13.767698, 100.802013
1759319634.048701, 4.943428, 4.566940, -7.385813, -2.139265, 3.720899, 1.791060, -27.969620, -120.780869, 90.206604, 13.767698, 100.802013
1759319634.068746, 5.400421, 2.526332, -4.793042, -2.370223, 3.079469, 1.585149, -25.339966, -117.899246, 89.187225, 13.767698, 100.802013
1759319634.087834, 4.153491, 0.973692, -4.544494, -1.680224, 1.971767, 1.292932, -23.567688, -116.061752, 88.350067, 13.767698, 100.802013
1759319634.107967, 5.174618, 1.536479, -3.802292, -1.206379, 0.858349, 1.145464, -22.797836, -114.972610, 88.523422, 13.767809, 100.802225
1759319634.128720, 6.363189, 3.051260, -5.747431, -1.238269, 1.174468, 0.970942, -21.233292, -113.359375, 88.209152, 13.767809, 100.802225
1759319634.148702, 7.624186, 2.335843, -5.603180, -1.753513, 1.753065, 0.651437, -19.479477, -111.644485, 88.193054, 13.767809, 100.802225
1759319634.168737, 8.521413, 2.942623, -6.075137, -2.142174, 1.954115, 0.269979, -18.099121, -109.729446, 88.091019, 13.767809, 100.802225
1759319634.188721, 9.529970, 5.408801, -3.517681, -1.190054, 1.313813, 0.403492, -16.799133, -108.892136, 88.137253, 13.767809, 100.802225
1759319634.207817, 8.184429, 5.267693, -3.837606, -0.175342, 1.681510, 0.716138, -14.561417, -108.632812, 87.892136, 13.767809, 100.802225
1759319634.228729, 7.020248, 4.749797, -4.758177, -0.090739, 3.404325, 0.049703, -11.170456, -108.662292, 87.181427, 13.767809, 100.802225
1759319634.248715, 7.484574, 5.607520, -4.635025, 0.053850, 3.861303, 0.102846, -7.757782, -108.546967, 87.412003, 13.767809, 100.802225
1759319634.268734, 7.894132, 4.145560, -3.244592, -0.661682, 3.698553, -0.115624, -3.734039, -107.771973, 87.619507, 13.767809, 100.802225
1759319634.288706, 7.409156, 5.461324, -3.416526, -1.200402, 4.659377, 0.228994, -0.970520, -106.122940, 88.498947, 13.767809, 100.802225
1759319634.308739, 7.904008, 2.841917, 7.812280, -0.625928, 0.518346, -0.231231, -0.237396, -105.719498, 88.579102, 13.767809, 100.802225
1759319634.328732, 10.806080, 3.317166, 2.627786, 0.234955, -0.259866, -0.306144, -0.479355, -106.107727, 88.337189, 13.767809, 100.802225
1759319634.348689, 8.008754, 1.343446, -1.944241, 0.232296, -0.837873, -1.333845, -1.346069, -106.200012, 88.546707, 13.767809, 100.802225
1759319634.368707, 5.276820, 0.486472, -3.853916, -0.165458, 0.387581, -2.581603, -1.681168, -105.432602, 88.209076, 13.767809, 100.802225
1759319634.388708, 4.250007, -0.472256, 0.489914, -0.999249, 0.316155, -3.525777, -1.994354, -104.989532, 88.299759, 13.767809, 100.802225
1759319634.408689, 6.214001, 4.196437, 3.643077, -1.882575, -1.318695, -3.488803, -4.285736, -102.371796, 88.840210, 13.767809, 100.802225
