SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Duration,Subject,Activity
1759228113.96651,13.268815,21.591509,1.957409,-0.706644,3.464342,-1.288271,3.1392,5,UPSTAIRS
1759228113.98685,7.681646,8.011448,-1.210867,-0.955002,-0.0733,-2.737813,3.1595,5,UPSTAIRS
1759228114.00737,5.577293,1.361852,-13.36608,-1.70917,-2.390164,-2.275085,3.1801,5,UPSTAIRS
1759228114.02732,7.806295,2.797026,-9.962423,-1.024169,-3.103148,-0.787312,3.2000,5,UPSTAIRS
1759228114.04672,5.122843,9.092879,-0.288501,-0.64824,-3.84168,-0.464603,3.2194,5,UPSTAIRS
1759228114.06678,4.970961,11.147553,3.282301,-0.47123,-4.470696,-1.03856,3.2395,5,UPSTAIRS
1759228114.08733,2.970606,8.06397,4.990564,-0.710556,-2.822635,-1.101316,3.2600,5,UPSTAIRS
1759228114.10739,1.467945,7.587375,5.750274,-0.603911,-0.025227,-0.665682,3.2801,5,UPSTAIRS
1759228114.12733,1.061978,8.381053,4.822521,-0.487785,1.688055,-0.15501,3.3000,5,UPSTAIRS
1759228114.14732,0.931045,8.47712,2.509423,-0.62597,1.973519,0.003416,3.3200,5,UPSTAIRS
1759228114.16652,0.884209,8.504952,0.885406,-0.772365,1.31454,-0.092069,3.3392,5,UPSTAIRS
1759228114.18733,0.112827,9.18311,-1.340154,-0.056003,0.162892,-0.266776,3.3600,5,UPSTAIRS
1759228114.20743,-0.070779,9.69517,-2.604891,-0.014878,-1.097703,-0.046495,3.3801,5,UPSTAIRS
1759228114.22695,0.950049,10.180145,-1.161188,-0.648161,-1.764149,0.157014,3.3996,5,UPSTAIRS
1759228114.24729,2.252046,13.027151,1.057938,-0.965658,-1.625793,0.098029,3.4200,5,UPSTAIRS
1759228114.26715,3.664326,17.971626,3.190274,-0.736566,-0.625177,-0.199775,3.4398,5,UPSTAIRS
1759228114.28664,4.511274,21.220707,3.475333,-0.390014,0.468309,-0.785245,3.4593,5,UPSTAIRS
1759228114.30743,3.185336,17.822886,2.360234,-0.016442,1.346306,-1.102539,3.4801,5,UPSTAIRS
1759228114.32634,1.243339,10.14528,-0.126294,1.075845,1.605467,-0.189675,3.4990,5,UPSTAIRS
1759228114.34701,-0.190489,7.339425,-2.852093,2.016504,-0.03801,0.79437,3.5197,5,UPSTAIRS
1759228114.36736,0.514155,9.543886,-2.115576,2.499825,-2.277429,1.98433,3.5401,5,UPSTAIRS
