SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759228110.827312, 0.828843, -2.867505, -8.549245, -0.310115, -0.563919, 0.566404, -36.652954, -94.628479, -207.480698, , 
1759228110.847310, 0.379930, -2.744054, -8.186823, -0.283481, -0.539763, 0.794158, -36.893600, -94.056747, -206.999313, 13.727692, 100.772455
1759228110.867328, 0.209942, -2.467225, -8.660576, -0.098891, -0.641118, 0.991685, -37.316956, -93.429611, -206.553040, 13.727692, 100.772455
1759228110.887316, 0.114323, -2.728043, -8.679729, 0.347986, -0.900194, 1.208754, -37.629578, -92.972778, -206.250153, 13.727692, 100.772455
1759228110.907292, 0.048183, -2.568679, -8.315362, 0.880800, -1.015296, 1.325880, -38.094650, -91.828735, -204.934845, 13.727693, 100.772455
1759228110.927334, 0.051924, -2.678663, -8.715343, 1.228713, -1.059688, 1.380164, -38.583069, -91.139664, -204.298004, 13.727693, 100.772455
1759228110.947318, -0.681599, -3.167678, -8.955661, 1.288399, -0.796633, 1.482250, -38.374939, -90.143692, -203.511490, 13.727693, 100.772455
1759228110.967353, -1.013047, -3.078644, -9.373449, 0.988157, -0.559760, 1.615990, -38.640625, -88.918564, -202.978790, 13.727693, 100.772455
1759228110.987351, -0.913089, -3.363554, -9.469367, 0.499579, -0.333883, 1.786676, -38.426514, -88.028305, -203.220993, 13.727693, 100.772455
1759228111.007063, -1.133654, -3.451541, -8.916905, 0.102058, 0.148585, 2.037833, -38.220428, -86.563461, -203.140808, 13.727693, 100.772455
1759228111.027404, -1.263390, -3.357269, -9.128492, -0.067991, 0.227763, 2.194405, -38.149246, -84.699783, -203.446793, 13.727693, 100.772455
1759228111.047381, -0.200065, -3.360262, -8.842535, 0.214801, -0.318877, 2.087367, -37.690323, -82.932465, -203.329849, 13.727693, 100.772455
1759228111.067408, -0.098611, -3.440617, -9.334693, 0.694457, -1.509025, 1.904601, -37.741699, -81.438538, -202.299988, 13.727693, 100.772455
1759228111.087385, -0.739958, -3.467702, -9.564536, 1.127123, -2.367058, 1.752225, -37.768814, -80.344666, -201.527740, 13.727693, 100.772455
1759228111.106928, -3.338415, -4.566491, -9.804705, 1.453819, -2.537814, -0.253412, -38.112839, -79.888428, -199.588821, 13.727693, 100.772455
1759228111.126825, -4.691588, -6.747309, -9.359084, 0.798414, -2.577907, -0.554436, -38.678192, -80.761063, -196.928635, 13.727693, 100.772455
1759228111.147312, -5.630863, -4.346673, -8.319103, 0.065168, -1.939941, -0.683319, -39.244293, -81.605499, -195.985275, 13.727693, 100.772455
1759228111.167348, -4.929512, -3.134459, -7.801207, -0.448017, -0.912681, -0.281121, -39.677017, -81.818771, -194.590958, 13.727693, 100.772455
1759228111.187320, -3.863194, -2.441637, -8.220940, -0.702623, -0.824122, 0.317223, -39.259567, -81.888382, -193.527603, 13.727693, 100.772455
1759228111.207427, -3.151667, -2.360384, -7.119757, -0.239397, -1.428093, 0.587487, -39.432785, -81.603073, -192.537796, 13.727693, 100.772455
1759228111.227080, -2.680608, -2.404826, -7.071574, 0.504825, -1.922453, 0.320661, -39.669037, -81.009094, -191.077606, 13.727693, 100.772455
1759228111.247032, -3.512593, -3.044227, -8.201787, 0.864480, -2.294956, -0.029335, -39.601105, -80.962723, -189.595810, 13.727693, 100.772455
1759228111.266906, -4.895394, -4.265869, -9.604490, 0.760069, -2.733546, -0.193773, -39.441086, -81.136322, -187.548676, 13.727693, 100.772455
1759228111.287314, -5.752818, -3.504064, -10.324845, 0.363524, -3.159916, -0.267697, -39.365601, -81.373444, -185.280624, 13.727693, 100.772455
1759228111.307250, -6.245425, -3.178303, -9.202713, -0.187414, -3.244673, -0.212804, -39.031403, -81.506012, -182.242615, 13.727693, 100.772455
1759228111.327382, -6.574178, -2.522441, -6.790106, -0.762411, -2.174937, -0.303168, -38.728821, -81.772461, -179.300323, 13.727693, 100.772455
1759228111.347037, -8.377312, -3.584718, -3.983802, -0.599137, -1.834953, -0.294819, -37.979416, -82.259476, -177.501999, 13.727693, 100.772455
1759228111.367396, -9.290400, -3.508703, -2.378340, 0.019515, -0.816164, -0.132167, -37.682922, -82.621735, -176.279037, 13.727683, 100.772468
1759228111.387327, -8.327183, -2.426523, -4.653729, 0.064087, -0.489889, 0.061610, -37.688232, -82.562180, -176.418808, 13.727683, 100.772468
1759228111.407351, -8.036587, -2.680758, -5.431396, -0.471695, -0.286880, 0.482564, -37.510910, -82.093063, -176.422577, 13.727683, 100.772468
1759228111.427197, -6.514473, -2.644994, -5.998074, -0.890657, -0.242114, 0.796301, -37.479721, -82.246460, -175.649109, 13.727683, 100.772468
1759228111.446766, -5.505018, -1.962647, -4.674230, -1.036688, 0.103365, 0.809492, -37.102707, -81.900070, -175.249954, 13.727683, 100.772468
1759228111.467320, -4.863970, -2.479196, -3.987543, -1.168936, 0.754284, 0.752981, -37.014938, -81.136459, -175.652847, 13.727683, 100.772468
1759228111.487316, -3.590255, -1.802235, -3.768922, -1.051611, 1.449231, 0.583260, -37.186859, -80.710571, -176.017365, 13.727683, 100.772468
1759228111.507379, -2.886060, -0.975787, -3.796755, -0.778890, 2.153010, 0.328814, -37.493439, -80.484650, -177.572632, 13.727683, 100.772468
1759228111.527318, -3.076399, -0.913837, -4.464737, -0.637557, 2.733387, 0.114797, -38.545761, -80.774994, -179.549973, 13.727683, 100.772468
1759228111.547309, -3.457227, -0.903213, -6.251859, -0.844673, 2.903203, -0.038632, -39.020859, -80.810089, -181.810165, 13.727683, 100.772468
1759228111.567366, -4.274697, -0.725892, -7.466318, -1.157039, 2.908092, -0.062235, -39.494446, -80.863495, -184.539612, 13.727683, 100.772468
1759228111.587322, -4.732888, -0.895880, -7.738509, -1.406129, 3.067289, 0.049718, -39.820419, -81.058823, -187.186066, 13.727683, 100.772468
1759228111.607354, -4.237737, -0.791284, -8.789264, -1.693690, 2.973023, -0.024686, -39.986343, -81.131531, -189.353760, 13.727683, 100.772468
1759228111.627320, -4.659865, -0.595408, -9.591321, -1.946514, 2.614548, -0.087018, -39.646378, -81.047424, -192.061203, 13.727683, 100.772468
1759228111.647299, -5.509956, -0.723049, -9.742156, -2.025444, 1.859498, 0.040491, -40.061508, -80.953613, -193.405655, 13.727683, 100.772468
1759228111.667325, -6.344335, -0.872986, -9.942521, -2.343160, 0.969602, 0.368795, -39.962082, -80.262589, -193.435440, 13.727683, 100.772468
1759228111.687314, -6.330718, -0.025588, -10.835409, -2.407770, 0.388724, 0.673925, -39.851410, -79.860779, -193.368668, 13.727683, 100.772468
1759228111.707358, -6.010045, -0.148740, -10.874165, -2.435925, -0.016373, 1.006759, -39.605362, -79.065491, -193.458588, 13.727683, 100.772468
1759228111.727320, -5.880608, -0.642993, -10.440964, -2.458137, -0.289252, 1.314754, -39.535736, -77.447037, -192.549805, 13.727683, 100.772468
1759228111.747320, -5.760898, -0.425120, -10.743082, -2.489426, -0.809326, 1.452240, -39.213501, -75.772293, -191.485641, 13.727683, 100.772468
1759228111.767466, -7.028628, -0.246752, -10.986842, -2.591849, -1.672929, 1.709884, -38.474930, -74.577301, -189.689743, 13.727683, 100.772468
1759228111.787320, -7.452551, 0.715866, -10.654796, -2.504110, -2.250679, 2.108139, -38.189484, -73.226364, -186.280518, 13.727683, 100.772468
1759228111.807449, -7.216124, 1.848024, -9.293243, -2.167758, -2.622155, 2.180279, -36.841370, -71.039215, -183.060043, 13.727683, 100.772468
1759228111.827321, -7.126341, 2.876484, -8.423250, -1.801202, -2.784311, 1.971286, -35.934402, -69.910110, -179.857925, 13.727683, 100.772468
1759228111.847297, -7.475895, 3.224391, -8.251317, -1.748032, -2.400732, 1.635641, -34.554550, -68.604507, -177.514801, 13.727683, 100.772468
1759228111.867401, -6.521356, 2.772336, -8.339902, -1.653901, -1.482442, 0.820242, -33.539383, -68.166946, -175.019775, 13.727683, 100.772468
1759228111.887011, -4.906018, 1.574337, -7.254880, -0.839070, 0.113612, -0.203762, -33.382080, -68.573334, -173.421555, 13.727683, 100.772468
1759228111.907361, -3.720889, -0.526724, -9.524882, 0.300156, 0.958831, -0.640680, -33.954147, -68.757431, -174.162552, 13.727683, 100.772468
1759228111.927385, -4.435408, -2.274791, -11.349863, 1.365573, 1.170499, -0.216229, -34.567657, -69.023163, -176.458679, 13.727683, 100.772468
1759228111.947326, -5.894824, -2.397943, -11.490672, 2.098323, 1.541379, 0.480414, -34.437576, -68.168900, -178.303040, 13.727683, 100.772468
1759228111.967350, -7.041048, -1.777395, -13.567941, 2.499649, 1.568272, 1.113173, -34.568771, -67.254684, -180.596451, 13.727683, 100.772468
1759228111.987314, -7.393594, -1.903989, -15.144074, 2.667599, 1.225518, 1.552657, -34.009613, -66.109055, -183.430038, 13.727683, 100.772468
