SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,duration,Subject,Activity
1759228305.14312,9.095572,11.300632,-0.261267,1.031228,0.372778,0.220643,3.58,6,UPSTAIRS
1759228305.16312,8.776395,10.354922,-1.654543,1.516956,0.314696,0.245218,3.60,6,UPSTAIRS
1759228305.18312,8.69604,9.978584,-1.63509,1.779519,-0.522944,0.366662,3.62,6,UPSTAIRS
1759228305.20312,8.08462,10.028114,-2.272995,1.82246,-1.572142,0.403784,3.64,6,UPSTAIRS
1759228305.22303,7.328352,9.982773,-2.169296,1.671433,-2.363114,0.182507,3.66,6,UPSTAIRS
1759228305.24314,7.48188,9.729437,-1.427543,1.448295,-3.245356,-0.05563,3.68,6,UPSTAIRS
1759228305.26313,6.501305,8.375666,2.087295,0.758636,-3.839193,-0.367428,3.70,6,UPSTAIRS
1759228305.28310,9.247005,8.736741,2.254141,-0.05889,-4.279106,-0.721564,3.72,6,UPSTAIRS
1759228305.30312,10.304943,10.900651,-3.990236,0.717917,-3.986811,-1.12205,3.74,6,UPSTAIRS
1759228305.32312,9.537153,8.892813,-2.53516,2.083232,-2.502325,-1.122084,3.76,6,UPSTAIRS
1759228305.34312,7.054814,8.738387,-1.109413,3.14922,-1.568748,-0.905058,3.78,6,UPSTAIRS
1759228305.36271,5.353435,10.366893,-5.613655,4.128752,-1.555807,-0.757541,3.80,6,UPSTAIRS
1759228305.38263,7.160459,8.430732,-3.386149,3.972039,-1.136704,-0.708622,3.82,6,UPSTAIRS
1759228305.40313,7.769035,5.919215,0.353594,3.199619,-1.309812,-0.736157,3.84,6,UPSTAIRS
1759228305.42312,5.689671,5.230582,1.273566,2.660611,-1.50901,-1.090375,3.86,6,UPSTAIRS
1759228305.44312,4.090942,6.539313,-3.074454,2.891265,-2.111475,-1.472432,3.88,6,UPSTAIRS
1759228305.46312,2.941576,7.396736,-5.33907,3.053883,-1.789597,-1.409861,3.90,6,UPSTAIRS
1759228305.48310,2.20087,6.413917,-2.16361,2.572028,-1.19857,-1.131777,3.92,6,UPSTAIRS
1759228305.50312,1.360804,5.27308,-0.410007,2.390764,-0.873582,-0.942052,3.94,6,UPSTAIRS
1759228305.52222,1.319504,4.198682,-1.215656,2.802778,-0.143386,-0.652389,3.96,6,UPSTAIRS
1759228305.54218,0.346112,3.371934,-1.791611,2.698578,0.572696,-0.177228,3.98,6,UPSTAIRS
1759228305.56312,-0.52014,1.627608,-1.929427,1.890885,0.625701,-0.09186,4.00,6,UPSTAIRS
1759228305.58311,0.361674,-1.121683,-2.593669,1.063297,0.321193,-0.101666,4.02,6,UPSTAIRS
1759228305.60312,0.919523,-2.322675,-2.763058,0.148854,0.464173,0.075079,4.04,6,UPSTAIRS
1759228305.62253,-0.406416,-0.607828,-3.318663,-0.699533,0.859992,0.181995,4.06,6,UPSTAIRS
1759228305.64314,-0.181211,1.04447,-4.951808,-1.187018,1.057974,0.315195,4.08,6,UPSTAIRS
1759228305.66311,-0.026935,1.860444,-9.396942,-1.572957,1.073473,0.422782,4.10,6,UPSTAIRS
1759228305.68313,2.833089,1.808969,-15.337405,-1.89501,0.617388,0.693724,4.12,6,UPSTAIRS
1759228305.70317,9.357139,5.938668,-11.910255,-1.999922,0.034181,0.87196,4.14,6,UPSTAIRS
1759228305.72301,6.440702,13.976003,-2.850147,-2.750124,0.641993,0.647226,4.16,6,UPSTAIRS
1759228305.74331,6.600365,14.13821,-4.481048,-2.312498,-0.292197,0.561169,4.18,6,UPSTAIRS
1759228305.76314,2.404676,6.783521,-3.621679,-1.928178,1.583885,-0.085587,4.20,6,UPSTAIRS
1759228305.78316,-0.777517,8.818144,-4.048296,-2.474198,0.475843,-0.656446,4.22,6,UPSTAIRS
1759228305.80318,1.967286,9.156026,-1.696591,-2.519901,0.836845,0.175783,4.24,6,UPSTAIRS
1759228305.82228,8.316708,10.567707,-4.302081,-2.099885,0.861167,1.28635,4.26,6,UPSTAIRS
1759228305.84316,11.112088,11.082161,-4.12506,-1.784733,1.13583,1.301337,4.28,6,UPSTAIRS
1759228305.86317,9.618705,7.150134,-1.954866,-1.757287,0.98455,0.36177,4.30,6,UPSTAIRS
1759228305.88323,6.661118,5.185093,-1.283442,-1.956984,0.639298,-0.270051,4.32,6,UPSTAIRS
1759228305.90315,5.624578,5.38022,-2.035371,-2.050656,0.373196,-0.078592,4.34,6,UPSTAIRS
1759228305.92328,4.941932,6.52824,-3.071162,-1.889495,0.554633,0.430146,4.36,6,UPSTAIRS
1759228305.94314,4.843919,8.268375,-2.84895,-1.499699,0.751451,0.712517,4.38,6,UPSTAIRS
1759228305.96239,5.070321,9.173084,-3.093458,-0.981638,0.703844,0.518604,4.40,6,UPSTAIRS
1759228305.98316,5.173271,8.343643,-3.43523,-0.520665,0.997303,0.045734,4.42,6,UPSTAIRS
1759228306.00322,5.432892,6.644508,-3.430442,-0.436752,1.256046,0.025826,4.44,6,UPSTAIRS
1759228306.02331,5.463269,5.556044,-1.441309,-0.453342,1.395635,0.245754,4.46,6,UPSTAIRS
1759228306.04323,4.919187,5.465813,-1.859397,-0.126182,1.711522,0.372069,4.48,6,UPSTAIRS
1759228306.06332,4.862324,6.758981,-2.857779,0.22744,1.766817,0.365158,4.50,6,UPSTAIRS
1759228306.08316,4.514716,8.63379,-2.796278,0.199312,1.429366,0.218411,4.52,6,UPSTAIRS
1759228306.10331,3.752612,9.420286,-2.391359,-0.210897,0.965352,0.026291,4.54,6,UPSTAIRS
1759228306.12331,3.610306,8.999804,-1.684919,-0.614861,0.628327,-0.044452,4.56,6,UPSTAIRS
1759228306.14311,4.07538,8.167669,-1.741931,-0.769839,0.613697,-0.059859,4.58,6,UPSTAIRS
1759228306.16314,4.563648,7.476194,-1.608604,-0.720816,0.89928,-0.064671,4.60,6,UPSTAIRS
1759228306.18319,4.989516,6.947674,-1.774552,-0.597253,0.89197,0.058943,4.62,6,UPSTAIRS
1759228306.20332,5.19048,8.012944,-1.605163,-0.595186,0.916544,0.120633,4.64,6,UPSTAIRS
1759228306.22324,5.129577,8.706814,-1.511041,-0.810259,0.966502,0.091627,4.66,6,UPSTAIRS
1759228306.24253,5.025878,9.076119,-0.670526,-1.032697,1.041281,0.098066,4.68,6,UPSTAIRS
1759228306.26312,5.949441,9.160664,-1.186925,-1.018442,1.158312,0.232593,4.70,6,UPSTAIRS
1759228306.28311,7.104494,9.715221,-0.804152,-1.05733,1.120967,0.277614,4.72,6,UPSTAIRS
1759228306.30312,8.100033,10.71076,-0.548123,-0.947817,0.921001,0.307117,4.74,6,UPSTAIRS
1759228306.32312,8.841787,12.327295,-0.863259,-0.439834,0.530416,0.268549,4.76,6,UPSTAIRS
1759228306.34213,10.519673,14.521282,-2.063353,0.595578,0.269617,0.40248,4.78,6,UPSTAIRS
1759228306.36313,11.756278,13.413066,-4.664503,1.280152,0.222656,0.394708,4.80,6,UPSTAIRS
1759228306.38311,9.667337,11.167155,-5.589862,1.532549,-1.028513,0.150533,4.82,6,UPSTAIRS
1759228306.40311,7.869591,10.472088,-7.958775,1.857267,-2.650215,-0.123368,4.84,6,UPSTAIRS
1759228306.42312,5.541529,11.491569,-5.894674,1.384263,-3.715838,-0.524726,4.86,6,UPSTAIRS
1759228306.44249,6.397905,12.937518,-2.247706,0.527756,-4.51642,-0.788567,4.88,6,UPSTAIRS
1759228306.46313,7.532907,11.030835,0.928501,-0.107507,-4.402183,-0.973201,4.90,6,UPSTAIRS
1759228306.48312,7.648876,8.988132,0.230292,0.279151,-4.391448,-1.18218,4.92,6,UPSTAIRS
1759228306.50311,8.603713,7.523479,-0.89588,1.341065,-2.692346,-1.297051,4.94,6,UPSTAIRS
1759228306.52313,9.102156,7.373543,-2.488174,2.561188,-1.24523,-1.208832,4.96,6,UPSTAIRS
1759228306.54298,8.442404,7.599944,-4.510975,3.09396,-0.885611,-1.23755,4.98,6,UPSTAIRS
1759228306.56311,7.68015,6.775142,-0.054767,3.320903,-0.979301,-1.239473,5.00,6,UPSTAIRS
1759228306.58313,4.736479,8.181436,-2.018312,3.326348,-1.002955,-1.160091,5.02,6,UPSTAIRS
1759228306.60326,2.305018,9.541492,-5.156961,3.471415,-0.521727,-1.466594,5.04,6,UPSTAIRS
1759228306.62315,4.383484,8.249072,-2.89863,3.110662,-1.387727,-1.57277,5.06,6,UPSTAIRS
1759228306.64314,5.335778,5.294178,-1.423503,2.594945,-1.187163,-1.368929,5.08,6,UPSTAIRS
1759228306.66220,3.835062,3.353229,-3.04722,2.830729,-0.780527,-1.242908,5.10,6,UPSTAIRS
1759228306.68311,2.437297,3.214814,-2.566135,3.031284,-0.492111,-0.961901,5.12,6,UPSTAIRS
1759228306.70312,1.461211,3.361459,-1.664718,2.585807,-0.05036,-0.370472,5.14,6,UPSTAIRS
1759228306.72315,0.411952,2.306813,-1.331625,1.88843,0.202108,0.090777,5.16,6,UPSTAIRS
1759228306.74321,-0.118812,1.112256,-1.5073,1.322844,0.173981,0.215183,5.18,6,UPSTAIRS
1759228306.76264,-0.039804,-0.191237,-1.964442,0.762152,0.221877,0.136076,5.20,6,UPSTAIRS
1759228306.78311,-0.26845,0.437091,-3.6956,0.163714,0.446885,0.081876,5.22,6,UPSTAIRS
