SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759228118.497637, , , , , , , , , , 13.727660, 100.772417
1759228118.518058, 1.253365, -3.137901, -8.720880, -0.728491, 0.528524, 0.072278, -51.624619, 1.231506, -150.502579, 13.727662, 100.772419
1759228118.538047, 0.553210, -2.848053, -8.714295, -0.697855, 1.270642, 0.237887, -50.560608, 1.411133, -149.992142, 13.727662, 100.772419
1759228118.558051, -0.067935, -2.324620, -10.073454, -0.523803, 1.749526, 0.237099, -49.758362, 2.148499, -149.102646, 13.727662, 100.772419
1759228118.578051, 1.957110, -2.523339, -10.866234, -0.039337, 1.580625, 0.195478, -48.571320, 1.518814, -149.322647, 13.727662, 100.772419
1759228118.598060, 3.348590, -3.557335, -10.526257, 0.767196, 2.050657, 0.337488, -46.918396, 1.306183, -149.228836, 13.727662, 100.772419
1759228118.618052, 3.689315, -2.201917, -10.347440, 1.322249, 2.997410, 0.534459, -45.227020, 0.344772, -149.319336, 13.727662, 100.772419
1759228118.637953, 1.944990, -2.513164, -7.699753, 1.364304, 2.716415, 0.568868, -43.228378, -0.485840, -149.123718, 13.727662, 100.772419
1759228118.657567, 1.788768, -3.302053, -6.863578, 0.915016, 0.983437, 0.245933, -42.037003, -1.011520, -149.164764, 13.727662, 100.772419
1759228118.678049, 2.438345, -3.239355, -6.873005, 0.153407, -0.421222, -0.132099, -42.675690, -1.224960, -149.241837, 13.727662, 100.772419
1759228118.697951, 2.500594, -3.079093, -6.448333, -0.776080, -2.608152, -0.045145, -44.252258, -0.517654, -149.715958, 13.727662, 100.772419
1759228118.717710, 1.941847, -3.533243, -5.701492, -1.930392, -3.654477, 0.273657, -46.458481, 0.524658, -149.274887, 13.727662, 100.772419
1759228118.738067, 1.764826, -2.835333, -6.226271, -2.685038, -2.713712, -0.025535, -48.076859, 2.192551, -148.969070, 13.727662, 100.772419
1759228118.758050, 1.339705, -1.397017, -7.116166, -2.980039, -0.231082, 0.131528, -48.102448, 3.680252, -147.220734, 13.727662, 100.772419
1759228118.778065, 1.394922, -1.236755, -7.400028, -2.947476, 2.345191, 0.425468, -46.776199, 5.125687, -145.373047, 13.727662, 100.772419
1759228118.798161, 3.732111, -0.033220, -14.692318, -1.312572, 1.654189, 0.549515, -45.278595, 5.782257, -143.755539, 13.727662, 100.772419
1759228118.818092, 2.434604, 0.169839, -15.266178, 0.636370, 2.556481, 0.144275, -43.675568, 5.364914, -143.824753, 13.727662, 100.772419
1759228118.838079, 1.506402, -0.412401, -12.951434, 2.452715, 3.091999, -0.443025, -41.955002, 4.256287, -144.057114, 13.727662, 100.772419
1759228118.857674, 5.206790, -1.359158, -12.364705, 3.538723, 0.667452, -0.520141, -41.954987, 2.693542, -145.583206, 13.727662, 100.772419
1759228118.877402, 6.309021, -2.533065, -9.511565, 3.267365, -2.760242, 0.254865, -43.282654, 1.011200, -148.349808, 13.727662, 100.772419
1759228118.898052, 4.126257, -2.790891, -7.508815, 3.043187, -2.730875, 0.607419, -45.091095, -0.976974, -150.203415, 13.727662, 100.772419
1759228118.918151, 3.084031, -3.165883, -5.460426, 2.090789, -2.038932, 0.465461, -46.065201, -2.372879, -151.641953, 13.727662, 100.772419
1759228118.938078, 2.502839, -3.409942, -4.227412, 0.791923, -1.849529, 0.683752, -47.106506, -3.253723, -151.902985, 13.727662, 100.772419
1759228118.958084, 2.583194, -3.262100, -4.738873, 0.005534, -2.625109, 1.036057, -48.560577, -3.435211, -152.983978, 13.727662, 100.772419
1759228118.978176, 2.542193, -3.430292, -6.296152, -0.205758, -3.809644, 1.234690, -50.479507, -3.729736, -153.522751, 13.727662, 100.772419
1759228118.998140, 1.364246, -3.894169, -8.655787, 0.238593, -4.684848, 1.154616, -53.442047, -3.695297, -153.497559, 13.727662, 100.772419
1759228119.018070, -0.297330, -3.844340, -8.035539, 0.428618, -5.889147, 0.796422, -57.320877, -3.816010, -154.304871, 13.727662, 100.772419
1759228119.038061, -0.435296, -3.834015, -8.858995, 0.191169, -6.192527, 0.467810, -61.478653, -4.074951, -153.481720, 13.727662, 100.772419
1759228119.057237, -1.878850, -2.989161, -11.532271, -0.639165, -4.322110, 0.378069, -64.539459, -3.786133, -152.703156, 13.727662, 100.772419
1759228119.078127, -3.048118, -1.798195, -8.817396, -0.874093, -4.453036, 0.265054, -67.429337, -3.589615, -151.230850, 13.727662, 100.772419
1759228119.098178, -4.490624, -2.618060, -9.728390, -0.234022, -5.126020, -0.517654, -70.479736, -3.095032, -149.911163, 13.727662, 100.772419
1759228119.117812, -5.816414, -1.496975, -8.219893, 0.210872, -6.248502, -1.428884, -75.042038, -3.608856, -148.256607, 13.727662, 100.772419
1759228119.138132, -7.986009, -1.400309, -6.674436, 0.008949, -6.320288, -1.332142, -79.238022, -4.066116, -145.304718, 13.727662, 100.772419
1759228119.157657, -8.386888, -1.938106, -4.748749, -1.461358, -4.294416, -0.567726, -82.125793, -3.991257, -142.367508, 13.727662, 100.772419
1759228119.178094, -6.657826, -5.113865, -1.575235, -2.703114, -2.942520, 0.264254, -84.067505, -2.899307, -139.734360, 13.727662, 100.772419
1759228119.198097, -8.143278, -5.099051, -4.225167, -2.789497, -2.193013, 0.935046, -84.981735, -1.165817, -137.349121, 13.727662, 100.772419
1759228119.218083, -8.901342, -5.546019, -8.041974, -1.571620, -0.065662, 1.254479, -84.626358, -0.047531, -136.839325, 13.727662, 100.772419
1759228119.238138, -8.750657, -2.400786, -8.048109, -0.062965, 0.176925, 0.988962, -83.325623, 0.728790, -136.888763, 13.727662, 100.772419
1759228119.258013, -7.010222, -0.802058, -7.160908, 0.045032, -1.624804, 0.272645, -83.733566, 1.232834, -136.041260, 13.727662, 100.772419
