SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,duration,Subject,Activity
1759228112.16519,2.591574,10.560075,1.248277,-3.840051,0.73837,-1.709871,5.04,3,UPSTAIRS
1759228112.18516,-3.440318,8.726715,-2.680907,-2.508273,0.018143,-1.490737,5.06,3,UPSTAIRS
1759228112.20519,-9.258677,11.246912,3.232771,-2.091064,-0.275477,-1.858159,5.08,3,UPSTAIRS
1759228112.22470,-5.459229,13.688848,9.879075,-2.926824,-1.959099,-1.79196,5.10,3,UPSTAIRS
1759228112.24515,-1.025018,11.714081,4.621408,-3.142211,-1.854617,-1.279529,5.12,3,UPSTAIRS
1759228112.26523,1.725621,7.888446,2.693627,-2.729383,-1.623586,-0.844828,5.14,3,UPSTAIRS
1759228112.28517,0.527921,3.911976,4.249259,-2.408845,-1.405352,-0.661875,5.16,3,UPSTAIRS
1759228112.30519,-0.506673,1.747019,4.030489,-2.012426,-1.046631,-0.542864,5.18,3,UPSTAIRS
1759228112.32472,-1.493982,1.028759,3.100491,-1.531344,-0.806338,-0.556503,5.20,3,UPSTAIRS
1759228112.34517,-1.700182,1.69285,2.951751,-1.11638,-0.816827,-0.523814,5.22,3,UPSTAIRS
1759228112.36509,-1.164031,1.818396,2.657115,-0.626263,-0.719963,-0.362447,5.24,3,UPSTAIRS
1759228112.38473,-1.975965,1.49054,3.793762,-0.116845,-0.341726,-0.354585,5.26,3,UPSTAIRS
1759228112.40524,-3.095553,2.062006,4.332607,0.244472,-0.121089,-0.450787,5.28,3,UPSTAIRS
1759228112.42474,-4.027496,2.095525,5.880309,0.461882,-0.414384,-0.6035,5.30,3,UPSTAIRS
1759228112.44472,-4.775983,1.92823,6.820482,0.753542,-0.884823,-0.693404,5.32,3,UPSTAIRS
1759228112.46519,-3.75336,3.410091,6.237344,0.896752,-1.14923,-0.766253,5.34,3,UPSTAIRS
1759228112.48516,-1.114501,3.743185,6.451925,0.908801,-1.30066,-0.654501,5.36,3,UPSTAIRS
1759228112.50517,0.196474,4.174141,9.16231,0.799516,-0.899401,-0.370545,5.38,3,UPSTAIRS
1759228112.52475,1.14368,5.862203,12.690616,-0.29539,0.143273,0.10877,5.40,3,UPSTAIRS
1759228112.54517,3.897311,17.488745,22.011692,-1.841941,-0.095362,0.533,5.42,3,UPSTAIRS
1759228112.56519,-0.116119,12.367099,1.91581,-0.24445,0.442836,0.536339,5.44,3,UPSTAIRS
1759228112.58516,-1.791611,1.768567,6.797288,0.832872,1.113135,0.468209,5.46,3,UPSTAIRS
1759228112.60520,-7.261913,1.641824,2.428768,1.26127,1.62491,0.146704,5.48,3,UPSTAIRS
1759228112.62478,-1.177648,4.532822,2.119916,1.867144,0.840068,0.558207,5.50,3,UPSTAIRS
1759228112.64472,3.178003,10.531943,6.251111,1.510304,1.456673,0.946086,5.52,3,UPSTAIRS
1759228112.66516,0.500687,12.080693,5.440374,1.454526,1.775219,1.159468,5.54,3,UPSTAIRS
1759228112.68516,-0.328305,10.061184,3.287538,1.824557,1.989846,1.110962,5.56,3,UPSTAIRS
1759228112.70517,-1.59394,8.947581,4.545242,2.12216,1.995177,0.979411,5.58,3,UPSTAIRS
1759228112.72478,-1.684919,9.726744,4.052336,2.073991,1.861453,0.883787,5.60,3,UPSTAIRS
1759228112.74474,-1.249175,11.340884,3.134459,2.081645,1.568157,1.021653,5.62,3,UPSTAIRS
1759228112.76517,-1.810615,11.980286,3.347094,2.046294,1.395969,1.316465,5.64,3,UPSTAIRS
1759228112.78463,-2.265962,11.705102,2.581099,2.056705,1.106215,1.501796,5.66,3,UPSTAIRS
1759228112.80522,-2.273893,11.135133,0.870442,2.122508,0.85877,1.431514,5.68,3,UPSTAIRS
1759228112.82480,-2.785354,9.992949,0.889596,2.214587,0.656326,1.20601,5.70,3,UPSTAIRS
1759228112.84516,-3.134908,8.895656,2.165555,2.130343,0.719391,1.066866,5.72,3,UPSTAIRS
1759228112.86518,-2.979285,7.877223,2.966416,2.047056,0.198713,0.979785,5.74,3,UPSTAIRS
1759228112.88516,-0.984316,7.564779,3.760692,1.761016,-0.45652,0.923537,5.76,3,UPSTAIRS
1759228112.90520,-0.459537,7.113173,3.734057,1.356789,-0.676297,0.848822,5.78,3,UPSTAIRS
1759228112.92483,-0.957082,6.538864,3.513491,1.13907,-0.584916,0.683814,5.80,3,UPSTAIRS
1759228112.94516,-1.195305,6.260538,2.685995,1.157282,-0.362848,0.606925,5.82,3,UPSTAIRS
1759228112.96520,-2.234239,7.223306,2.451812,1.040802,-0.125383,0.386707,5.84,3,UPSTAIRS
1759228112.98516,-2.563143,8.674193,1.885434,0.819645,-0.03178,0.163809,5.86,3,UPSTAIRS
1759228113.00520,-2.540697,9.393201,1.185728,0.61509,0.015108,0.073407,5.88,3,UPSTAIRS
1759228113.02487,-2.779967,9.473257,1.539322,0.673503,-0.582491,0.117008,5.90,3,UPSTAIRS
1759228113.04516,-2.366818,9.917083,2.303521,0.45372,-0.734387,0.371615,5.92,3,UPSTAIRS
1759228113.06517,-2.334646,9.998485,1.843835,0.216506,-0.282081,0.347758,5.94,3,UPSTAIRS
1759228113.08431,-1.943493,9.444377,0.664391,0.404903,-0.16012,-0.012058,5.96,3,UPSTAIRS
1759228113.10520,-1.849371,9.372102,0.10325,0.805098,-0.25254,-0.040072,5.98,3,UPSTAIRS
1759228113.12488,-1.405247,11.027244,1.06931,1.062209,-0.556862,0.324966,6.00,3,UPSTAIRS
1759228113.14427,-1.772158,13.133692,1.280748,1.060574,-0.757041,0.462907,6.02,3,UPSTAIRS
1759228113.16520,0.550816,16.205304,0.502034,0.997957,-0.424927,0.484967,6.04,3,UPSTAIRS
1759228113.18471,0.345962,19.087025,4.855441,0.451689,-0.52068,0.638744,6.06,3,UPSTAIRS
1759228113.20520,-2.9935,19.582026,5.260211,-0.880098,-0.960206,0.264247,6.08,3,UPSTAIRS
1759228113.22493,-1.869273,15.696536,2.676418,-1.436979,-0.696287,0.042782,6.10,3,UPSTAIRS
1759228113.24516,0.526126,13.13489,3.322254,-1.639607,-0.067237,-0.163197,6.12,3,UPSTAIRS
1759228113.26520,1.205481,12.211476,4.457704,-2.412885,0.19656,-0.361398,6.14,3,UPSTAIRS
1759228113.28474,0.943465,13.169905,3.543119,-2.885806,0.321063,-0.605741,6.16,3,UPSTAIRS
1759228113.30504,-0.760458,13.781923,1.853411,-2.813236,0.464617,-0.823064,6.18,3,UPSTAIRS
1759228113.32494,-1.765275,13.488034,1.675642,-3.190423,0.275288,-1.13635,6.20,3,UPSTAIRS
1759228113.34516,-0.089783,13.118878,-0.591966,-3.403265,0.238451,-1.166659,6.22,3,UPSTAIRS
1759228113.36519,1.247379,11.483788,-1.408988,-2.974266,0.74381,-1.019733,6.24,3,UPSTAIRS
1759228113.38485,1.840543,9.412355,1.505654,-2.646493,0.589704,-0.870591,6.26,3,UPSTAIRS
1759228113.40519,3.601478,7.393594,1.268029,-2.942566,-0.954705,-0.710287,6.28,3,UPSTAIRS
1759228113.42496,2.094328,5.447557,-1.48246,-2.904495,-2.21793,-0.594717,6.30,3,UPSTAIRS
1759228113.44515,-6.138883,7.268796,5.068824,-3.244541,-2.039263,-1.406688,6.32,3,UPSTAIRS
1759228113.46517,-0.582988,9.611672,3.602076,-3.687371,-0.938524,-1.789642,6.34,3,UPSTAIRS
1759228113.48516,1.076343,6.153547,-0.757466,-2.551431,-0.764183,-1.349186,6.36,3,UPSTAIRS
1759228113.50523,1.594688,4.028244,0.897227,-2.418684,-0.722046,-1.272006,6.38,3,UPSTAIRS
1759228113.52497,2.110189,2.540996,0.93314,-2.259866,-0.680205,-1.139919,6.40,3,UPSTAIRS
1759228113.54516,2.109292,1.015291,1.311723,-1.63459,-0.720638,-0.941947,6.42,3,UPSTAIRS
1759228113.56518,1.702128,-0.857573,0.639401,-0.639154,-0.314248,-0.416743,6.44,3,UPSTAIRS
1759228113.58505,1.581819,-3.444957,2.071284,0.272324,0.145586,0.220222,6.46,3,UPSTAIRS
1759228113.60519,0.51206,-1.975815,4.024503,1.13392,0.544126,0.537902,6.48,3,UPSTAIRS
1759228113.62501,-3.363704,-0.356886,4.454263,1.955792,1.263302,0.470855,6.50,3,UPSTAIRS
1759228113.64516,-3.009511,1.940351,1.216554,3.04384,1.934685,0.57174,6.52,3,UPSTAIRS
1759228113.66521,-3.154361,2.468422,5.029769,3.357467,2.06865,0.989275,6.54,3,UPSTAIRS
1759228113.68482,-1.557877,6.140379,12.594997,2.842968,1.089987,1.062333,6.56,3,UPSTAIRS
1759228113.70519,6.84203,45.101821,11.477503,2.326778,0.811058,2.782061,6.58,3,UPSTAIRS
1759228113.72504,-5.070021,28.787581,11.329362,1.182193,1.944728,1.149629,6.60,3,UPSTAIRS
1759228113.74516,-2.088791,4.220229,-0.765247,0.89076,1.040086,-0.157679,6.62,3,UPSTAIRS
1759228113.76518,1.799542,-1.020977,0.493804,1.939242,0.903227,0.245378,6.64,3,UPSTAIRS
1759228113.78516,0.570867,1.489493,2.985719,2.085891,1.013267,1.734016,6.66,3,UPSTAIRS
1759228113.80526,-1.766472,6.144868,2.140865,2.160228,0.383036,2.063498,6.68,3,UPSTAIRS
1759228113.82502,1.360056,16.14904,-0.71033,2.40432,0.420837,2.16652,6.70,3,UPSTAIRS
1759228113.84515,-0.441281,22.853702,-2.279879,2.582019,0.915581,2.09598,6.72,3,UPSTAIRS
1759228113.86520,-6.027403,14.619744,2.553715,2.28575,0.965292,0.835642,6.74,3,UPSTAIRS
1759228113.88516,-4.584747,7.562535,4.497957,1.787161,0.661127,-0.150758,6.76,3,UPSTAIRS
1759228113.90518,-0.303615,6.911911,2.462885,1.435345,0.660751,-0.060788,6.78,3,UPSTAIRS
1759228113.92503,0.687734,6.100426,2.460341,1.329624,0.461804,0.103858,6.80,3,UPSTAIRS
1759228113.94473,1.627758,5.901857,2.054375,1.060619,0.128185,0.285955,6.82,3,UPSTAIRS
1759228113.96499,0.607678,5.527763,2.253991,0.838126,-0.182519,0.548032,6.84,3,UPSTAIRS
1759228113.98516,-1.361253,5.699996,1.15206,0.770477,-0.740891,0.531173,6.86,3,UPSTAIRS
1759228114.00435,-2.485181,5.972486,0.17358,0.791417,-1.060431,0.378683,6.88,3,UPSTAIRS
1759228114.02505,-2.769792,6.059126,0.059406,0.885975,-1.025426,0.265086,6.90,3,UPSTAIRS
1759228114.04471,-2.893393,5.823746,-0.772579,1.050102,-0.955966,0.02903,6.92,3,UPSTAIRS
1759228114.06518,-1.547103,5.628768,-1.09819,1.505908,-0.838512,-0.19494,6.94,3,UPSTAIRS
1759228114.08433,0.386364,6.438308,0.356586,1.787831,-0.65122,-0.069644,6.96,3,UPSTAIRS
1759228114.10516,0.610671,7.069778,-0.055216,1.667172,-0.377805,0.310332,6.98,3,UPSTAIRS
1759228114.12506,0.079458,8.583662,-0.737713,1.381546,-0.602677,0.599403,7.00,3,UPSTAIRS
1759228114.14515,0.431704,12.475586,-0.971747,1.435391,-0.984793,0.766292,7.02,3,UPSTAIRS
1759228114.16519,-1.565658,15.12926,1.645265,1.355583,-1.032604,0.67749,7.04,3,UPSTAIRS
1759228114.18516,-2.102259,17.306636,4.218883,0.578293,-0.9976,0.481652,7.06,3,UPSTAIRS
1759228114.20518,-1.26354,18.815432,4.161871,0.118327,-0.397583,0.390779,7.08,3,UPSTAIRS
1759228114.22510,0.434847,19.395727,4.278438,-0.254413,0.18509,0.260834,7.10,3,UPSTAIRS
1759228114.24516,0.186299,18.105552,3.301754,-0.79761,0.548364,0.26961,7.12,3,UPSTAIRS
1759228114.26518,-0.312144,18.252047,1.650952,-1.251326,-0.202337,0.310569,7.14,3,UPSTAIRS
1759228114.28516,-2.187253,15.420155,1.817199,-1.694991,-1.088393,0.357927,7.16,3,UPSTAIRS
1759228114.30495,-1.518073,13.189507,3.363704,-2.132032,-1.049081,0.210773,7.18,3,UPSTAIRS
1759228114.32512,-1.380257,12.256966,5.528361,-2.725061,-0.64852,-0.068662,7.20,3,UPSTAIRS
1759228114.34473,-2.159869,14.289194,2.605789,-3.470653,0.322295,-0.502352,7.22,3,UPSTAIRS
1759228114.36473,-2.86975,15.018079,0.162058,-3.443665,1.04012,-0.833579,7.24,3,UPSTAIRS
1759228114.38456,-1.707515,13.80362,-2.271648,-2.939809,1.211184,-1.330762,7.26,3,UPSTAIRS
1759228114.40518,2.79523,12.946496,-1.660229,-2.698464,1.256223,-1.69831,7.28,3,UPSTAIRS
1759228114.42517,5.973234,10.880898,1.527201,-2.755659,1.178814,-1.531649,7.30,3,UPSTAIRS
1759228114.44471,4.145411,7.542035,2.278981,-2.993318,0.516724,-1.16897,7.32,3,UPSTAIRS
1759228114.46446,2.972551,6.475717,0.137517,-2.960024,-0.666603,-0.694615,7.34,3,UPSTAIRS
1759228114.48515,-0.732027,4.494365,-1.169418,-2.565315,-2.141829,-0.55264,7.36,3,UPSTAIRS
1759228114.50518,-7.188291,5.191677,2.62599,-2.696732,-2.288409,-1.462919,7.38,3,UPSTAIRS
1759228114.52515,-2.408268,8.909273,5.97084,-3.65558,-1.112449,-2.06627,7.40,3,UPSTAIRS
1759228114.54515,1.643171,6.02037,-1.068113,-2.694188,-1.475639,-1.404927,7.42,3,UPSTAIRS
1759228114.56518,1.280748,3.978116,0.28072,-2.410807,-1.187144,-1.261529,7.44,3,UPSTAIRS
1759228114.58515,2.504036,3.537134,0.828394,-2.504886,-0.89849,-1.216328,7.46,3,UPSTAIRS
1759228114.60518,3.614047,2.662203,1.376217,-1.904495,-0.783532,-0.888063,7.48,3,UPSTAIRS
1759228114.62517,2.153884,1.602619,1.858499,-1.210667,-0.492264,-0.454346,7.50,3,UPSTAIRS
1759228114.64431,0.97878,1.068263,1.080084,-0.413702,-0.208264,-0.132316,7.52,3,UPSTAIRS
1759228114.66517,1.195754,1.310526,1.688361,0.592258,0.040227,0.067521,7.54,3,UPSTAIRS
1759228114.68451,0.882263,1.470638,4.398148,1.514548,0.530392,0.383483,7.56,3,UPSTAIRS
