SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759228833.211817, 4.185962, -4.383185, -9.127295, -0.288550, 0.368086, 0.349925, -132.026001, -201.051773, -886.228271, , 
1759228833.231034, 4.117877, -4.142119, -8.925285, -0.106575, 0.027690, 0.486945, -132.059708, -200.700668, -886.024475, , 
1759228833.251796, 3.932476, -3.678092, -8.983942, -0.145330, 0.067948, 0.727596, -131.989212, -200.467682, -886.490540, , 
1759228833.271828, 4.712687, -2.266710, -7.872734, -0.585718, 0.447302, 1.221512, -132.239380, -199.645081, -886.279541, 13.727651, 100.772651
1759228833.291841, 4.121319, -2.287061, -8.866178, -1.227507, 1.131317, 1.917210, -132.695496, -198.428101, -887.048889, 13.727651, 100.772651
1759228833.311838, 3.118448, -1.295263, -9.326164, -1.772542, 2.184689, 2.443047, -132.353439, -196.740372, -888.152466, 13.727651, 100.772651
1759228833.331827, 2.544288, -1.185579, -10.008361, -1.967555, 3.305127, 3.195189, -132.075790, -194.854187, -890.131226, 13.727651, 100.772651
1759228833.351838, 2.461987, -2.716671, -11.167604, -1.543113, 4.390115, 3.564378, -131.384064, -192.620651, -892.570129, 13.727651, 100.772651
1759228833.371832, 2.111387, -7.593959, -9.660005, -0.276110, 4.359920, 2.601576, -129.908722, -190.824860, -894.736816, 13.727651, 100.772651
1759228833.391855, 4.092140, -9.076718, -6.575525, 0.797870, 3.539956, 1.170856, -128.789566, -190.178696, -895.987793, 13.727651, 100.772651
1759228833.411840, 4.979491, -6.050746, -3.298611, 0.973734, 1.382408, 0.514337, -127.696411, -190.267365, -897.387146, 13.727651, 100.772651
1759228833.431817, 5.730222, -3.864241, -5.287594, 1.168880, -0.419620, 0.427806, -127.860977, -190.460037, -897.324036, 13.727651, 100.772651
1759228833.451837, 6.188113, -3.334375, -5.559785, 1.666650, -1.389033, 0.435295, -128.324677, -191.130188, -896.691284, 13.727651, 100.772651
1759228833.471845, 6.837541, -3.802292, -5.252430, 1.982286, -2.301331, 0.570913, -129.211090, -191.651978, -895.557983, 13.727651, 100.772651
1759228833.491842, 6.111499, -3.361010, -1.201141, 2.012172, -4.282147, 0.741029, -130.620026, -191.950165, -894.012268, 13.727651, 100.772651
1759228833.511821, 3.520823, -4.808754, 1.565060, 1.059767, -7.471672, 0.023244, -132.618790, -192.253174, -890.066467, 13.727651, 100.772651
1759228833.531797, 3.309984, -5.450101, -3.679888, -0.646410, -7.906822, -0.266726, -134.425720, -192.125732, -885.056396, 13.727651, 100.772651
1759228833.551766, 4.256292, 1.415422, -7.561787, -2.682724, -3.455575, 1.149218, -134.638107, -191.395279, -882.521729, 13.727651, 100.772651
1759228833.571848, 3.581576, -1.616236, -9.814431, -2.709744, -1.673965, 2.826775, -134.877625, -189.529053, -880.935181, 13.727651, 100.772651
1759228833.591803, 2.539799, -2.430115, -10.156054, -1.889032, -1.031877, 3.982879, -134.524841, -187.092957, -880.631897, 13.727651, 100.772651
1759228833.611856, -3.179051, -1.443105, -9.595212, -0.827975, -0.650118, 4.918882, -133.822128, -184.644760, -879.972717, 13.727651, 100.772651
