SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,duration,Subject,Activity
1759228320.56607,-1.053748,10.088567,1.240196,-0.251141,0.290169,0.022028,5.80,1,UPSTAIRS
1759228320.58605,-0.722301,9.817424,0.892738,-0.313577,0.293683,-0.022293,5.82,1,UPSTAIRS
1759228320.60607,-0.21458,9.627683,0.330101,-0.347424,0.241716,-0.025132,5.84,1,UPSTAIRS
1759228320.62607,0.110433,9.724798,-0.276381,-0.304675,0.298506,0.033031,5.86,1,UPSTAIRS
1759228320.64607,-0.765097,9.707291,-0.303315,-0.213697,0.440883,0.092454,5.88,1,UPSTAIRS
1759228320.66607,-1.755548,10.158298,2.050783,-0.296138,0.163161,0.142685,5.90,1,UPSTAIRS
1759228320.68606,-2.183811,9.685144,2.470367,-0.529954,-0.331114,0.111005,5.92,1,UPSTAIRS
1759228320.70522,-1.429039,8.858397,0.786495,-0.598515,-0.141741,-0.005881,5.94,1,UPSTAIRS
1759228320.72586,0.242862,9.425972,0.363919,-0.518233,-0.08763,-0.007379,5.96,1,UPSTAIRS
1759228320.74606,0.897826,10.352678,0.054019,-0.256069,-0.167151,0.033553,5.98,1,UPSTAIRS
1759228320.76606,0.568174,10.507104,-0.218471,-0.01907,-0.336116,0.044695,6.00,1,UPSTAIRS
1759228320.78604,0.09083,9.998336,-0.76809,0.179533,-0.566356,0.048342,6.02,1,UPSTAIRS
1759228320.80606,-1.107318,10.07106,0.007632,0.303748,-0.788448,0.024709,6.04,1,UPSTAIRS
1759228320.82606,-1.418265,9.612271,1.035791,0.289348,-0.779806,0.036069,6.06,1,UPSTAIRS
1759228320.84606,-1.409137,9.131485,1.670105,0.162213,-0.50672,0.091549,6.08,1,UPSTAIRS
1759228320.86606,-1.111807,9.252392,1.547552,0.032467,-0.323831,0.163198,6.10,1,UPSTAIRS
1759228320.88559,-0.323217,10.314221,1.274314,0.012634,-0.360659,0.298099,6.12,1,UPSTAIRS
1759228320.90606,0.365864,11.194688,0.565331,-0.02124,-0.426164,0.539289,6.14,1,UPSTAIRS
1759228320.92606,0.972345,11.378144,1.500267,-0.118901,-0.374077,0.829634,6.16,1,UPSTAIRS
1759228320.94610,1.237952,12.199206,3.313725,-0.34991,-0.309133,1.144606,6.18,1,UPSTAIRS
1759228320.96606,0.804152,13.772495,2.26671,-0.374451,-0.281749,1.270597,6.20,1,UPSTAIRS
1759228320.98539,-0.314688,15.828666,0.956633,-0.260401,-0.519404,1.163733,6.22,1,UPSTAIRS
1759228321.00606,-2.776376,15.518467,-0.108487,-0.16218,-0.724089,0.852731,6.24,1,UPSTAIRS
1759228321.02606,-5.139752,13.564649,-1.918354,0.015975,-0.588686,0.360233,6.26,1,UPSTAIRS
1759228321.04612,-2.405873,11.856386,-1.124227,0.310554,-0.437025,0.242748,6.28,1,UPSTAIRS
1759228321.06606,-2.285714,10.491092,-1.263241,0.570703,0.19749,0.059766,6.30,1,UPSTAIRS
1759228321.08604,-2.325967,9.401132,-0.999878,0.778666,0.67023,-0.311436,6.32,1,UPSTAIRS
1759228321.10606,-2.029535,9.223961,0.003142,0.939499,0.680765,-0.747449,6.34,1,UPSTAIRS
1759228321.12606,-1.702427,9.320178,0.473004,1.118397,0.564246,-1.116852,6.36,1,UPSTAIRS
1759228321.14606,-0.428562,9.671078,0.100856,1.224791,0.751481,-1.274699,6.38,1,UPSTAIRS
1759228321.16607,0.015113,10.680085,0.372747,1.381549,0.635664,-1.256916,6.40,1,UPSTAIRS
1759228321.18606,1.10268,11.220875,1.108515,1.371175,0.406383,-1.182483,6.42,1,UPSTAIRS
1759228321.20531,1.835305,11.291354,0.530914,1.272174,-0.051741,-1.132997,6.44,1,UPSTAIRS
1759228321.22604,2.814534,12.318916,-0.589423,1.119789,-0.581523,-1.013942,6.46,1,UPSTAIRS
1759228321.24528,3.14239,12.649764,-1.711405,1.058577,-1.0868,-1.047251,6.48,1,UPSTAIRS
1759228321.26608,3.663877,13.228413,-1.698686,1.047264,-1.73012,-1.225937,6.50,1,UPSTAIRS
1759228321.28604,2.402132,12.958317,-0.648829,0.702448,-1.634116,-1.636357,6.52,1,UPSTAIRS
1759228321.30607,-1.157447,13.843573,-1.152958,0.486354,-0.028657,-2.405934,6.54,1,UPSTAIRS
1759228321.32606,-4.767454,14.349797,-0.737564,0.984724,0.557566,-3.056187,6.56,1,UPSTAIRS
1759228321.34607,-3.850176,14.465916,0.460136,1.209911,1.316218,-3.191878,6.58,1,UPSTAIRS
1759228321.36609,-3.256264,11.804162,-0.883909,1.303762,1.437411,-2.776594,6.60,1,UPSTAIRS
1759228321.38604,-2.546084,11.123012,-0.005387,1.261552,1.816982,-2.553529,6.62,1,UPSTAIRS
1759228321.40606,-0.667982,9.334244,-0.460734,1.042799,2.07426,-2.246342,6.64,1,UPSTAIRS
1759228321.42606,0.827646,7.15986,-0.555604,1.152396,2.594252,-1.951065,6.66,1,UPSTAIRS
1759228321.44610,0.698209,6.464045,-0.202909,1.169075,2.576091,-1.844676,6.68,1,UPSTAIRS
1759228321.46609,1.056142,4.762666,-0.19423,1.124148,2.287023,-1.587525,6.70,1,UPSTAIRS
1759228321.48604,0.650624,3.858406,-0.535852,1.013079,1.846352,-1.308139,6.72,1,UPSTAIRS
1759228321.50606,0.228796,3.214066,-0.804751,0.793806,1.656624,-1.106315,6.74,1,UPSTAIRS
1759228321.52603,-0.005686,2.86137,-1.042076,0.601147,1.518719,-0.8766,6.76,1,UPSTAIRS
1759228321.54606,-0.980426,2.408567,-0.831087,0.346992,1.21277,-0.660922,6.78,1,UPSTAIRS
1759228321.56605,-1.798345,3.267038,-1.608006,0.024849,0.955102,-0.550533,6.80,1,UPSTAIRS
1759228321.58603,-3.329586,5.061043,-2.966565,-0.29073,0.635982,-0.416235,6.82,1,UPSTAIRS
1759228321.60608,-4.585195,5.994183,-4.365827,-0.210725,-0.066004,-0.023014,6.84,1,UPSTAIRS
1759228321.62603,-3.704279,6.778583,-5.409848,-0.038358,-0.705155,0.284266,6.86,1,UPSTAIRS
1759228321.64604,5.653159,6.445341,-3.719841,-0.803481,-0.462544,1.196418,6.88,1,UPSTAIRS
1759228321.66604,0.637456,9.055469,-6.462399,-1.407188,-0.436314,1.720944,6.90,1,UPSTAIRS
1759228321.68604,-4.19913,12.902652,0.234183,-1.99986,-2.065989,1.267121,6.92,1,UPSTAIRS
1759228321.70537,-2.518251,15.110405,-3.982904,-1.665015,-1.654344,1.403992,6.94,1,UPSTAIRS
1759228321.72604,-3.054403,12.706477,-2.83264,-1.239702,-1.567363,1.392821,6.96,1,UPSTAIRS
1759228321.74605,-1.575834,10.426299,-3.035848,-1.042093,-1.451125,1.526316,6.98,1,UPSTAIRS
1759228321.76605,-0.433201,7.976732,-0.954239,-1.269637,-1.558221,1.786574,7.00,1,UPSTAIRS
