SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759228314.766112, 0.631471, -1.053299, -7.006482, -0.114474, -0.436170, 0.058950, 104.903107, 167.375198, -587.916443, , 
1759228314.785607, -0.106841, -1.142333, -8.056339, 0.237597, -0.467645, -0.019650, 104.907593, 167.253479, -588.127625, , 
1759228314.806102, -1.421258, -1.662923, -6.978350, 0.083439, -0.449943, -0.187715, 104.390137, 167.231979, -588.114258, , 
1759228314.826124, 0.260070, -2.809446, -6.273706, -0.026566, -1.304131, -0.377191, 104.195557, 167.141800, -588.674927, , 
1759228314.845963, 0.031274, -1.569250, -6.044012, 0.118889, -2.455702, -0.315835, 103.510269, 167.245575, -588.896301, , 
1759228314.866127, -1.035791, -1.105822, -7.331794, 0.171925, -2.782890, -0.332301, 102.532440, 167.195053, -589.860352, , 
1759228314.885641, -3.022829, -2.417395, -9.022399, 0.014851, -2.234390, -0.816896, 101.433685, 167.316711, -590.019165, , 
1759228314.906119, -3.179051, -1.662773, -9.330054, -0.044223, -1.708792, -1.051408, 100.508362, 167.189819, -590.045410, , 
1759228314.926125, -2.559850, -1.370531, -7.956980, -0.212306, -1.461428, -1.014017, 99.663986, 167.200241, -589.794312, , 
1759228314.945984, -2.483835, -1.004966, -7.318925, -0.469087, -1.001217, -0.897280, 98.720062, 167.356659, -589.549500, , 
1759228314.966121, -2.722806, -0.792032, -6.768408, -0.663580, -0.809820, -0.892505, 98.228516, 167.550781, -589.155518, , 
1759228314.985643, -2.553865, 0.272490, -6.125415, -0.725157, -1.390963, -0.939059, 97.368546, 167.485565, -589.288513, , 
1759228315.006119, -1.928380, 0.064195, -6.872556, -0.773797, -1.881893, -0.939289, 96.358475, 167.908279, -588.600647, , 
1759228315.026128, -1.721730, -0.709282, -6.733692, -1.356863, -1.772469, -0.984154, 95.355820, 168.287262, -588.083374, , 
1759228315.046022, -2.787150, 0.397437, -6.580912, -1.885212, -1.980567, -0.663760, 95.045288, 168.464111, -587.010681, , 
