SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,duration,Subject,Activity
1759228314.86671,1.81675,9.294889,-3.31986,-0.113214,0.130948,-0.100057,5.10,2,UPSTAIRS
1759228314.88670,2.511069,9.385271,-3.668515,0.113782,-0.127942,-0.070426,5.12,2,UPSTAIRS
1759228314.90677,3.484312,9.778368,-4.004302,0.276327,-0.290918,0.081559,5.14,2,UPSTAIRS
1759228314.92612,4.261978,10.106524,-4.507085,0.560013,-0.171578,0.283069,5.16,2,UPSTAIRS
1759228314.94675,5.099201,10.45892,-4.030938,0.8699,0.111577,0.641844,5.18,2,UPSTAIRS
1759228314.96673,4.803517,10.779294,-3.780145,1.362535,0.61987,1.053217,5.20,2,UPSTAIRS
1759228314.98670,4.854094,12.161347,-2.843264,1.469814,1.11068,1.267137,5.22,2,UPSTAIRS
1759228315.00671,4.945972,13.449727,-1.543961,1.413887,1.372111,1.267073,5.24,2,UPSTAIRS
1759228315.02672,3.859303,12.70109,-1.035791,1.471011,0.663983,1.19195,5.26,2,UPSTAIRS
1759228315.04671,2.529175,11.941829,-0.642095,1.477652,-0.275469,1.190884,5.28,2,UPSTAIRS
1759228315.06673,3.248782,12.163293,0.328155,1.092775,-0.351435,1.279811,5.30,2,UPSTAIRS
1759228315.08670,3.421613,11.17359,-2.941426,1.11206,-0.548702,1.38151,5.32,2,UPSTAIRS
1759228315.10613,1.336563,10.860099,-4.047248,1.331857,-1.712643,1.47173,5.34,2,UPSTAIRS
1759228315.12674,1.016039,10.773159,-1.773505,1.361205,-2.758633,1.442063,5.36,2,UPSTAIRS
1759228315.14671,3.558233,10.47134,-1.180641,1.379457,-1.758044,1.44584,5.38,2,UPSTAIRS
1759228315.16673,5.887492,10.168474,-1.323994,1.345353,-0.371538,1.454672,5.40,2,UPSTAIRS
1759228315.18673,4.722563,9.469516,-4.504242,1.516293,-1.123501,1.484776,5.42,2,UPSTAIRS
1759228315.20636,2.735675,9.034819,-5.170428,1.59985,-1.873922,1.495299,5.44,2,UPSTAIRS
1759228315.22616,2.179172,8.317905,-3.525312,1.434735,-1.862715,1.431185,5.46,2,UPSTAIRS
1759228315.24672,2.61372,7.81647,-3.343203,1.416181,-1.484264,1.405097,5.48,2,UPSTAIRS
1759228315.26678,2.444031,7.387908,-3.579331,1.414472,-1.375459,1.319485,5.50,2,UPSTAIRS
1759228315.28670,2.319233,6.535871,-3.763236,1.297841,-1.311283,1.296815,5.52,2,UPSTAIRS
1759228315.30586,2.470666,5.498583,-3.598186,1.09797,-1.22429,1.225813,5.54,2,UPSTAIRS
1759228315.32670,2.713828,4.485986,-3.671508,0.897184,-1.321843,1.122653,5.56,2,UPSTAIRS
1759228315.34662,2.852841,4.135684,-3.614047,0.678202,-1.37077,1.021668,5.58,2,UPSTAIRS
1759228315.36678,2.55596,3.865887,-3.558233,0.432226,-1.4691,0.905016,5.60,2,UPSTAIRS
1759228315.38673,2.490419,3.663428,-3.862595,0.233714,-1.398641,0.812501,5.62,2,UPSTAIRS
1759228315.40586,1.771709,3.256862,-4.493617,0.036443,-1.389257,0.761441,5.64,2,UPSTAIRS
1759228315.42679,1.840692,2.699612,-5.08693,-0.175712,-1.154227,0.761534,5.66,2,UPSTAIRS
1759228315.44678,2.360384,2.306065,-5.526416,-0.429204,-0.80097,0.720183,5.68,2,UPSTAIRS
1759228315.46682,3.070414,2.479345,-6.470629,-0.442685,-0.362102,0.620737,5.70,2,UPSTAIRS
1759228315.48675,2.853739,4.118925,-12.101492,0.211968,-0.179787,0.462751,5.72,2,UPSTAIRS
1759228315.50605,7.247997,9.331102,-11.997195,0.507126,-1.191961,0.873788,5.74,2,UPSTAIRS
1759228315.52674,5.62383,8.838794,-6.877045,-0.463621,-0.544507,0.120516,5.76,2,UPSTAIRS
1759228315.54678,-0.622492,4.849306,-4.948964,-0.603879,-0.542984,-0.336631,5.78,2,UPSTAIRS
1759228315.56679,-3.637541,6.130054,-8.830564,-0.208508,-0.542881,-0.344638,5.80,2,UPSTAIRS
1759228315.58690,-2.363077,6.103718,-8.334366,-0.776353,0.05145,-0.228485,5.82,2,UPSTAIRS
1759228315.60632,2.520496,4.69084,-8.680178,-1.083719,1.394426,-0.443482,5.84,2,UPSTAIRS
1759228315.62673,1.492186,6.964583,-7.772776,-1.458767,1.111285,-0.751201,5.86,2,UPSTAIRS
1759228315.64672,1.434127,9.341576,-3.81127,-1.731471,1.1681,-0.879229,5.88,2,UPSTAIRS
1759228315.66674,-0.780061,9.505878,-5.535843,-1.627335,1.698714,-0.964378,5.90,2,UPSTAIRS
1759228315.68659,1.107468,10.700136,-3.388544,-1.89095,2.715,-1.120246,5.92,2,UPSTAIRS
1759228315.70636,0.068833,11.441291,-2.138621,-1.849179,3.44188,-1.29643,5.94,2,UPSTAIRS
1759228315.72671,-0.825551,11.354202,-1.910723,-1.882827,4.225278,-1.469118,5.96,2,UPSTAIRS
1759228315.74674,-0.343119,10.78528,0.265158,-1.925266,4.739078,-1.462309,5.98,2,UPSTAIRS
1759228315.76672,1.632247,10.65719,0.667084,-1.879497,4.346975,-1.229238,6.00,2,UPSTAIRS
1759228315.78673,3.581726,11.081113,0.783652,-1.625277,3.997411,-1.16944,6.02,2,UPSTAIRS
1759228315.80652,5.306149,11.695825,0.606631,-1.377729,4.292979,-1.12667,6.04,2,UPSTAIRS
1759228315.82675,7.125443,11.387122,3.158102,-1.3895,3.097818,-1.152869,6.06,2,UPSTAIRS
1759228315.84672,9.80261,10.562619,1.016039,-1.315747,1.616115,-0.976264,6.08,2,UPSTAIRS
1759228315.86680,9.196727,9.132832,-2.152387,-0.876617,1.054938,-1.026902,6.10,2,UPSTAIRS
1759228315.88672,6.354211,7.489063,-1.06527,-0.420304,0.438806,-1.358218,6.12,2,UPSTAIRS
1759228315.90675,4.676923,6.681768,-0.246752,-0.441344,-0.359163,-1.160984,6.14,2,UPSTAIRS
1759228315.92680,2.593669,6.827665,-1.039233,-0.337303,-1.952943,-1.052109,6.16,2,UPSTAIRS
1759228315.94674,1.901295,8.937106,-1.695544,-0.397726,-3.140597,-0.927546,6.18,2,UPSTAIRS
1759228315.96674,1.91611,9.055769,-2.182464,-0.645872,-1.740769,-0.723428,6.20,2,UPSTAIRS
1759228315.98672,3.322104,8.192659,-0.246303,-0.804578,-0.344285,-0.259927,6.22,2,UPSTAIRS
1759228316.00672,2.751985,8.483405,-0.426617,-0.992894,0.852893,0.058893,6.24,2,UPSTAIRS
1759228316.02674,2.452111,7.417087,-0.785897,-1.11922,1.512915,0.010999,6.26,2,UPSTAIRS
1759228316.04672,1.609352,7.053617,-2.331803,-0.680098,1.471191,-0.380806,6.28,2,UPSTAIRS
1759228316.06674,2.067094,8.389732,-1.366191,-0.266299,0.714567,-0.73165,6.30,2,UPSTAIRS
1759228316.08671,4.408473,9.923966,1.410185,-0.463285,0.300885,-0.685411,6.32,2,UPSTAIRS
1759228316.10679,4.901679,11.773786,2.140416,-1.001521,0.753223,-0.782627,6.34,2,UPSTAIRS
1759228316.12673,5.430798,13.577368,0.133177,-1.071264,0.485042,-1.209582,6.36,2,UPSTAIRS
1759228316.14675,7.460482,13.420548,-1.748216,-0.82373,-0.04073,-1.112419,6.38,2,UPSTAIRS
1759228316.16673,8.602217,13.335554,-1.74238,-0.813735,-0.186756,-0.761726,6.40,2,UPSTAIRS
1759228316.18676,11.158925,15.265579,-2.030732,-0.795753,-0.394117,-0.13098,6.42,2,UPSTAIRS
1759228316.20600,9.851541,15.748161,-3.339462,0.12915,-0.147424,0.350711,6.44,2,UPSTAIRS
1759228316.22675,6.287922,17.676092,-3.220052,1.059336,-0.205872,0.693488,6.46,2,UPSTAIRS
1759228316.24673,1.752705,17.425,-5.837064,1.649124,-0.812402,0.856802,6.48,2,UPSTAIRS
1759228316.26675,-0.438289,13.583802,-6.727258,2.319974,-1.877983,0.796816,6.50,2,UPSTAIRS
1759228316.28672,1.603517,12.372486,-7.586327,3.189222,-1.653215,0.949511,6.52,2,UPSTAIRS
1759228316.30673,2.653823,10.414179,-1.863886,3.409212,-0.562317,1.089013,6.54,2,UPSTAIRS
1759228316.32621,3.132514,14.494946,2.207753,2.813238,1.101091,1.315279,6.56,2,UPSTAIRS
1759228316.34673,0.826448,12.305748,5.675904,2.334563,1.406823,1.469764,6.58,2,UPSTAIRS
1759228316.36676,-0.836773,10.056545,6.008249,1.701998,1.037336,1.144876,6.60,2,UPSTAIRS
1759228316.38672,0.209044,9.665093,3.672705,1.509623,0.368123,1.808682,6.62,2,UPSTAIRS
1759228316.40680,-0.846051,9.480141,3.888632,1.063475,0.178795,2.248968,6.64,2,UPSTAIRS
1759228316.42644,6.52794,10.931775,-8.933963,2.070544,0.044802,2.928884,6.66,2,UPSTAIRS
1759228316.44673,6.539463,10.556783,-5.859958,2.182789,0.850633,3.472788,6.68,2,UPSTAIRS
1759228316.46673,1.05689,10.068815,4.029142,0.743589,-2.47111,2.760365,6.70,2,UPSTAIRS
1759228316.48673,0.784849,8.088361,3.234267,1.677802,-1.40725,2.135212,6.72,2,UPSTAIRS
1759228316.50673,1.472434,5.280711,2.591723,1.75204,-1.649759,1.655429,6.74,2,UPSTAIRS
1759228316.52672,-0.965911,4.365827,1.267281,1.350185,-2.464974,1.036864,6.76,2,UPSTAIRS
1759228316.54675,-3.080889,1.547851,3.103035,0.810145,-2.739831,0.507837,6.78,2,UPSTAIRS
1759228316.56597,-4.152743,-1.838148,2.051382,-0.003707,-2.530582,-0.045344,6.80,2,UPSTAIRS
1759228316.58675,-5.331887,-4.121469,-0.811934,-0.754138,-1.414826,-0.700022,6.82,2,UPSTAIRS
1759228316.60610,-5.390545,-5.258864,-1.593491,-1.785511,-0.103301,-1.456535,6.84,2,UPSTAIRS
1759228316.62680,-3.605219,-3.45199,-4.768202,-2.257294,1.511711,-2.128513,6.86,2,UPSTAIRS
1759228316.64673,5.769427,0.256628,-24.595334,-0.462099,2.079661,-1.496478,6.88,2,UPSTAIRS
1759228316.66675,4.809652,21.504121,14.826992,-3.211563,3.529115,-0.999779,6.90,2,UPSTAIRS
1759228316.68674,-0.600346,45.022513,-4.972757,-2.258348,4.635337,-2.737764,6.92,2,UPSTAIRS
1759228316.70682,9.113379,19.717747,-4.714183,-0.269743,1.740949,-0.431011,6.94,2,UPSTAIRS
1759228316.72673,3.722535,6.121225,0.866102,-0.87602,3.319595,-0.12384,6.96,2,UPSTAIRS
1759228316.74675,2.51466,4.176535,-0.672621,-1.403141,3.709053,-0.434377,6.98,2,UPSTAIRS
1759228316.76675,0.544382,4.464887,-3.468001,-1.262985,2.654794,-1.327721,7.00,2,UPSTAIRS
1759228316.78675,1.776797,8.588301,-0.15278,-1.025365,1.861752,-1.63522,7.02,2,UPSTAIRS
1759228316.80630,3.290381,12.197111,1.450437,-0.505272,0.960634,-1.615823,7.04,2,UPSTAIRS
1759228316.82676,4.022408,12.873323,1.574487,0.08531,0.309483,-1.707568,7.06,2,UPSTAIRS
1759228316.84674,6.566397,12.414983,0.683694,0.105305,0.347834,-1.419113,7.08,2,UPSTAIRS
1759228316.86674,7.734917,10.030807,0.831686,-0.473366,0.093012,-1.001837,7.10,2,UPSTAIRS
1759228316.88675,6.239888,7.50253,1.734599,-1.111927,-0.29266,-0.725402,7.12,2,UPSTAIRS
1759228316.90674,4.245069,6.853402,0.28072,-0.991177,-0.023039,-0.776738,7.14,2,UPSTAIRS
1759228316.92673,4.120122,6.365584,-0.6605,-0.723706,0.068617,-0.669441,7.16,2,UPSTAIRS
1759228316.94674,3.263746,6.449231,-1.577779,-0.352118,-0.21271,-0.577872,7.18,2,UPSTAIRS
1759228316.96674,3.178153,6.692841,-2.100912,-0.103267,-0.858629,-0.431771,7.20,2,UPSTAIRS
1759228316.98673,3.12967,6.893206,-1.343297,-0.117963,-1.176688,-0.352649,7.22,2,UPSTAIRS
1759228317.00676,2.426224,6.852804,-0.462231,-0.445275,-1.078025,-0.400223,7.24,2,UPSTAIRS
1759228317.02675,2.737171,7.516596,0.607828,-0.952122,-0.683915,-0.370514,7.26,2,UPSTAIRS
1759228317.04675,2.193837,8.827122,-1.585111,-0.628587,0.426286,-0.76862,7.28,2,UPSTAIRS
1759228317.06675,3.828777,9.17488,-0.160711,-0.393543,0.983415,-0.853094,7.30,2,UPSTAIRS
1759228317.08673,5.01271,10.567108,1.011401,-0.530263,0.639927,-0.750655,7.32,2,UPSTAIRS
1759228317.10674,6.030994,11.950658,1.403301,-0.813664,-0.069853,-0.861413,7.34,2,UPSTAIRS
1759228317.12675,6.611438,12.472294,0.750433,-0.960356,-0.493526,-0.939324,7.36,2,UPSTAIRS
1759228317.14674,6.735189,11.484237,-0.738462,-0.955299,-0.435149,-0.757653,7.38,2,UPSTAIRS
1759228317.16675,6.507739,11.252149,-2.210147,-0.862885,-0.536583,-0.558713,7.40,2,UPSTAIRS
1759228317.18673,7.941866,13.738977,-2.397194,-0.444299,-0.863598,-0.308046,7.42,2,UPSTAIRS
1759228317.20675,9.916933,17.032201,-2.766949,0.436667,-1.100942,0.375822,7.44,2,UPSTAIRS
1759228317.22653,10.120889,20.274848,-3.544915,1.293409,-0.904329,1.247746,7.46,2,UPSTAIRS
1759228317.24652,3.874267,18.039861,-6.583007,2.255165,-0.732107,1.440584,7.48,2,UPSTAIRS
1759228317.26676,-1.097891,13.818733,-9.209446,3.201416,-0.570142,1.39503,7.50,2,UPSTAIRS
1759228317.28676,-0.718111,12.062138,-6.977452,3.352119,0.396201,1.383855,7.52,2,UPSTAIRS
1759228317.30674,0.324115,9.840917,-1.108515,2.437175,1.70893,1.213797,7.54,2,UPSTAIRS
1759228317.32579,2.098218,12.095208,2.1886,1.743098,2.41416,1.397938,7.56,2,UPSTAIRS
1759228317.34674,0.762853,11.211298,3.593248,1.732656,1.073025,1.033565,7.58,2,UPSTAIRS
1759228317.36676,1.541417,10.521618,6.380996,1.066792,-0.592291,1.345411,7.60,2,UPSTAIRS
1759228317.38674,2.416049,9.820267,5.641637,0.224802,-0.368414,1.816304,7.62,2,UPSTAIRS
1759228317.40675,3.226486,8.57603,3.707571,0.304384,-0.726462,2.071355,7.64,2,UPSTAIRS
1759228317.42608,4.685602,8.61763,-2.617162,1.681838,-0.796816,2.465141,7.66,2,UPSTAIRS
1759228317.44676,7.100604,9.421632,-5.520131,2.016369,-0.673095,2.517522,7.68,2,UPSTAIRS
1759228317.46682,4.579958,7.963713,-3.627515,0.604275,-2.363925,1.76331,7.70,2,UPSTAIRS
1759228317.48676,0.995539,6.992864,0.863858,0.552264,-4.028777,1.370755,7.72,2,UPSTAIRS
1759228317.50679,1.015291,6.222231,1.765724,1.402154,-3.100759,1.257877,7.74,2,UPSTAIRS
1759228317.52629,0.030376,4.535516,1.831265,1.287961,-2.626191,0.910418,7.76,2,UPSTAIRS
1759228317.54690,-0.038906,3.586215,-0.174178,0.937424,-2.506926,0.717426,7.78,2,UPSTAIRS
1759228317.56679,-0.59032,3.243694,-0.130634,0.411811,-2.389176,0.660821,7.80,2,UPSTAIRS
1759228317.58679,-1.691055,2.187402,0.13617,-0.35604,-2.036795,0.401806,7.82,2,UPSTAIRS
1759228317.60682,-2.290802,1.609801,0.529418,-1.06817,-1.110172,-0.192866,7.84,2,UPSTAIRS
1759228317.62642,-2.549226,1.421557,0.429161,-1.644256,-0.117413,-0.814001,7.86,2,UPSTAIRS
1759228317.64676,-5.055058,1.086219,-4.270807,-1.889599,0.853215,-1.353454,7.88,2,UPSTAIRS
1759228317.66677,-5.50427,2.592172,-14.384364,-1.401491,1.754149,-1.559743,7.90,2,UPSTAIRS
1759228317.68678,7.183353,15.26109,2.90267,-2.35485,3.713272,-0.670663,7.92,2,UPSTAIRS
1759228317.70674,4.728249,26.625019,4.875343,-2.466452,5.421305,-1.141271,7.94,2,UPSTAIRS
1759228317.72655,11.490223,26.638037,-6.53647,-0.641378,4.607697,-0.25811,7.96,2,UPSTAIRS
1759228317.74675,5.865644,9.358785,-4.03004,-0.016772,1.828302,-0.209624,7.98,2,UPSTAIRS
1759228317.76681,4.164415,6.733543,-2.27943,-0.598278,1.561351,-0.336811,8.00,2,UPSTAIRS
1759228317.78675,0.936282,7.779659,-1.645415,-1.119005,1.77396,-0.854423,8.02,2,UPSTAIRS
1759228317.80682,0.486771,8.24997,-0.745195,-1.157744,1.79243,-1.536956,8.04,2,UPSTAIRS
