SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759228208.742952, -4.380342, 10.112958, -2.240973, -0.093638, -1.253037, 0.954542, 64.123108, 15.777496, -278.520630, 13.727357, 100.772293
1759228208.762980, -4.894796, 9.428366, -2.563143, 0.325674, -0.954657, 0.710724, 63.875717, 15.522034, -278.923279, 13.727357, 100.772293
1759228208.782349, -4.222773, 8.584111, -1.601122, 0.673808, -0.239076, 0.463180, 64.127838, 14.980164, -279.921722, 13.727357, 100.772293
1759228208.803003, -3.353828, 8.277054, -0.939724, 0.777177, -0.128834, 0.216512, 64.025711, 14.821259, -280.282043, 13.727357, 100.772293
1759228208.823083, -1.999458, 8.104672, -0.377985, 0.892206, -0.303396, 0.121121, 63.644669, 14.251053, -281.109894, 13.727357, 100.772293
1759228208.843012, -0.815375, 7.905953, 0.626533, 0.863353, -0.235641, 0.114595, 63.916962, 13.375900, -280.921082, 13.727357, 100.772293
1759228208.863085, 0.284162, 8.714744, 0.914136, 0.501779, 0.504560, 0.107514, 64.086899, 13.231522, -280.839111, 13.727357, 100.772293
1759228208.882997, -0.450110, 8.808118, -0.576853, 0.385525, 0.401200, -0.094501, 64.111343, 13.044373, -280.647491, 13.727357, 100.772293
1759228208.902999, -0.270844, 8.637681, -1.143381, 0.515133, -0.015625, -0.061161, 64.214066, 12.845825, -281.544098, 13.727357, 100.772293
1759228208.922783, 0.020800, 9.111284, -1.272817, 0.667256, 0.235450, 0.157353, 64.559479, 12.470581, -280.570282, 13.727357, 100.772293
1759228208.942831, 0.550816, 10.427945, -0.980874, 0.695816, 0.795276, 0.367726, 65.015289, 12.347931, -280.567078, 13.727357, 100.772293
1759228208.962982, 1.474379, 11.658565, -0.692672, 0.639633, 0.999466, 0.522752, 65.329529, 11.229477, -279.719849, 13.727357, 100.772293
1759228208.983034, 2.031181, 11.958888, -0.277578, 0.483482, 0.658145, 0.831219, 66.207062, 10.779175, -279.963196, 13.727357, 100.772293
1759228209.002047, -0.375740, 12.086379, -0.672471, 0.317360, 0.014821, 1.100311, 66.370438, 9.977280, -279.744293, 13.727357, 100.772293
1759228209.023075, -2.791041, 12.156260, -0.559495, 0.344393, -0.235741, 1.247608, 66.597198, 9.306915, -279.950623, 13.727357, 100.772293
1759228209.043011, -4.559757, 12.386103, -0.219668, 0.412421, -0.357361, 1.185527, 66.128189, 8.352203, -280.418823, 13.727337, 100.772296
1759228209.063189, -5.571158, 12.251429, -0.172981, 0.465574, -0.452715, 0.918657, 66.538559, 7.552307, -281.307800, 13.727337, 100.772296
1759228209.083123, -6.352565, 11.802067, -0.013767, 0.318110, -0.464291, 0.480805, 66.420731, 7.039352, -281.380890, 13.727337, 100.772296
1759228209.102295, -5.807884, 12.649615, 0.725892, 0.005220, -0.521698, 0.118437, 66.165085, 7.140167, -281.681580, 13.727337, 100.772296
1759228209.123021, -4.819229, 13.622259, 2.038214, -0.220644, -0.830207, -0.353815, 65.607407, 7.519669, -282.380188, 13.727337, 100.772296
