SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,duration,Subject,Activity
1759316222.11321,-0.940023,9.586084,-0.272041,-0.044419,0.607861,-0.083135,3.58,4,UPSTAIRS
1759316222.13259,-0.857723,9.792584,-0.004788,0.039103,0.681134,-0.147975,3.60,4,UPSTAIRS
1759316222.15262,-0.568174,9.998934,0.451157,0.228121,0.410262,-0.054913,3.62,4,UPSTAIRS
1759316222.17328,-0.724096,9.552416,0.396091,0.166537,0.083897,-0.013284,3.64,4,UPSTAIRS
1759316222.19321,-0.826897,9.350555,-0.181211,0.029086,-0.101871,-0.004314,3.66,4,UPSTAIRS
1759316222.21321,-0.751181,9.199121,-0.709432,0.082308,-0.053096,-0.00906,3.68,4,UPSTAIRS
1759316222.23250,-0.745644,9.265261,-0.701501,0.242992,0.082265,-0.082799,3.70,4,UPSTAIRS
1759316222.25277,-1.084424,9.598055,-0.640898,0.352573,0.115355,-0.166122,3.72,4,UPSTAIRS
1759316222.27320,-1.299902,10.151415,-0.823007,0.517699,0.020956,-0.254977,3.74,4,UPSTAIRS
1759316222.29321,-1.530643,10.773608,-1.325789,0.994736,-0.220943,-0.306519,3.76,4,UPSTAIRS
1759316222.31310,-2.668787,11.686098,-2.335993,1.753798,-0.477319,-0.212104,3.78,4,UPSTAIRS
1759316222.33230,-2.921076,11.757924,-4.135534,2.781605,-0.309752,-0.024258,3.80,4,UPSTAIRS
1759316222.35318,-2.693327,10.671406,-4.574571,3.794695,0.189524,-0.236081,3.82,4,UPSTAIRS
1759316222.37295,-3.207482,10.313323,-5.032313,4.124662,1.060804,-0.364304,3.84,4,UPSTAIRS
1759316222.39321,-1.985242,8.827571,-4.216788,3.104392,0.620269,-0.069433,3.86,4,UPSTAIRS
1759316222.41294,-2.250101,9.611822,-6.511331,2.866026,-0.754769,-0.402023,3.88,4,UPSTAIRS
1759316222.43320,-2.167501,12.0777,-7.341071,3.58884,-0.385546,-0.721566,3.90,4,UPSTAIRS
1759316222.45318,0.286107,12.555343,-3.355773,3.07096,-0.142353,-0.389096,3.92,4,UPSTAIRS
1759316222.47325,2.115726,13.429676,-3.525462,2.454892,-0.500706,0.674352,3.94,4,UPSTAIRS
1759316222.49321,1.804779,9.155876,-1.73026,2.599356,-0.983041,1.173108,3.96,4,UPSTAIRS
1759316222.51282,-0.728735,5.93777,-1.181539,3.238198,-3.04982,0.721759,3.98,4,UPSTAIRS
1759316222.53256,-4.037522,4.779575,-6.743419,3.395808,-4.062001,0.131918,4.00,4,UPSTAIRS
1759316222.55318,-4.821174,3.594744,-5.04593,2.944345,-3.317697,-0.061354,4.02,4,UPSTAIRS
1759316222.57321,-5.163395,1.714398,-8.79914,2.403999,-1.83915,0.106359,4.04,4,UPSTAIRS
1759316222.59321,-4.292205,1.407641,-8.003517,1.956556,-0.866179,-0.214319,4.06,4,UPSTAIRS
1759316222.61265,-2.68794,4.423288,-6.593781,1.52762,-0.206349,-0.434184,4.08,4,UPSTAIRS
1759316222.63322,-2.591873,4.000861,-5.288343,1.250237,-0.000857,-0.344111,4.10,4,UPSTAIRS
1759316222.65318,-2.178574,3.132813,-6.02426,0.876052,-0.081646,-0.110451,4.12,4,UPSTAIRS
1759316222.67321,-1.837849,2.478448,-5.918766,0.439078,-0.480711,0.042158,4.14,4,UPSTAIRS
1759316222.69321,-2.193687,2.911648,-6.215946,0.042329,-0.686568,0.132814,4.16,4,UPSTAIRS
1759316222.71252,-3.045724,2.557606,-5.985654,-0.275834,-0.414144,0.244301,4.18,4,UPSTAIRS
1759316222.73232,-3.924695,1.750012,-7.39539,-0.578129,0.086033,0.318983,4.20,4,UPSTAIRS
