SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759316218.533195, 2.225261, 1.365293, -8.814852, 0.751326, 1.368816, 0.041509, 42.641388, -98.704285, 69.911911, , 
1759316218.552956, 2.355446, 0.728436, -8.968231, 0.782443, 1.315764, 0.024133, 42.579773, -98.884583, 69.565521, , 
1759316218.573061, 3.170073, 0.518644, -9.012224, 0.524830, 1.060000, 0.309909, 43.143021, -98.679077, 68.878799, 13.727789, 100.772415
1759316218.592223, 1.908927, 1.229871, -9.731831, 0.498580, 1.923243, 0.138642, 43.383377, -98.808395, 68.638718, 13.727789, 100.772415
1759316218.612830, 3.453786, 0.840215, -8.390330, 0.647294, 2.006388, -0.009850, 43.642441, -99.034042, 68.414825, 13.727789, 100.772415
1759316218.633114, 3.390489, 1.081132, -9.075521, 0.702700, 2.216209, 0.367243, 44.106323, -99.390106, 67.898941, 13.727789, 100.772415
1759316218.653182, 2.989161, 0.574010, -9.345317, -0.369040, 2.344972, 0.476490, 44.949142, -99.268280, 68.507645, 13.727789, 100.772415
1759316218.673178, 4.944775, -0.300921, -7.810035, -1.510433, 2.211855, 0.594444, 45.597992, -99.006348, 69.496872, 13.727789, 100.772415
1759316218.693219, 9.008483, -2.113781, -6.010643, -1.568714, 1.425484, 0.849629, 46.006058, -98.590118, 70.492844, 13.727789, 100.772415
1759316218.713204, 6.647351, -1.607407, -0.602591, 0.024391, -0.488495, 0.683487, 46.473709, -98.703033, 70.280853, 13.727789, 100.772415
1759316218.733189, 2.108095, 2.003199, -7.836521, 0.227570, -2.825569, 0.310778, 46.639877, -99.274506, 69.323029, 13.727789, 100.772415
1759316218.753186, 3.737798, 0.904859, -6.989572, -0.867838, -3.796986, 0.855695, 46.716507, -99.243561, 69.879333, 13.727789, 100.772415
1759316218.773196, 5.261258, -0.767641, -11.276540, -1.803267, -2.890108, 0.647940, 47.027542, -98.848404, 70.573563, 13.727789, 100.772415
1759316218.793192, 4.453814, 1.947982, -12.574796, -1.856980, -0.972090, 0.307421, 47.237427, -98.759460, 71.829163, 13.727789, 100.772415
1759316218.813206, 4.574122, 1.380856, -10.740987, -1.449015, 0.463004, -0.357834, 46.919144, -98.497406, 72.814499, 13.727789, 100.772415
1759316218.833193, 5.519383, 0.944662, -10.750414, -1.696589, 1.578547, -0.794412, 46.410507, -98.526276, 74.317230, 13.727789, 100.772415
1759316218.853193, 6.565500, 4.148852, -8.757092, -1.702888, 2.577923, -0.732379, 46.083450, -98.450684, 75.903351, 13.727789, 100.772415
1759316218.873208, 6.861333, 3.847332, -8.646809, -1.654912, 3.408021, -0.028507, 46.025574, -98.808746, 76.591599, 13.727789, 100.772415
1759316218.893201, 5.545420, 3.817555, -7.464672, -2.132205, 4.041138, 0.387639, 45.908920, -98.734772, 77.867142, 13.727789, 100.772415
1759316218.913199, 5.086033, 3.170522, -6.517017, -2.978027, 4.218695, 0.179665, 45.875977, -98.792969, 80.154175, 13.727789, 100.772415
1759316218.932916, 5.688324, 4.192097, -4.825364, -3.586790, 3.390496, 0.190080, 45.400375, -99.385742, 83.242584, 13.727789, 100.772415
1759316218.953188, 7.163152, 5.143643, -5.149928, -3.391885, 2.021224, 0.831468, 45.345200, -100.170563, 85.403503, 13.727789, 100.772415
1759316218.973212, 7.363966, 3.410690, -7.051522, -3.026797, 1.176605, 1.372825, 45.749680, -100.894592, 87.587769, 13.727789, 100.772415
1759316218.993194, 6.808212, 0.357185, -9.260473, -2.890257, 1.339069, 1.085114, 46.083832, -101.735458, 90.163986, 13.727789, 100.772415
1759316219.013187, 6.952762, 3.072808, -7.143998, -2.277143, 1.693735, 0.438218, 45.967407, -102.563339, 91.182098, 13.727789, 100.772415
1759316219.032826, 7.944859, 4.193145, -4.731990, -1.552605, 1.666001, 0.453600, 45.808350, -103.147751, 92.735809, 13.727789, 100.772415
1759316219.052968, 7.743147, 2.750190, -5.547365, -0.415129, 2.069152, 0.411648, 45.691483, -103.522446, 93.099670, 13.727789, 100.772415
1759316219.073212, 7.940519, 3.559130, -4.698621, -0.765004, 1.469774, 0.835109, 45.421188, -103.701279, 93.179276, 13.727789, 100.772415
1759316219.093191, 8.686613, 4.163367, -2.064101, -1.108089, 0.941769, 1.011503, 45.296234, -104.175125, 94.180893, 13.727789, 100.772415
1759316219.113206, 7.523928, 2.408268, -4.434361, -0.732157, 0.801288, 0.792126, 45.641495, -104.720764, 94.838165, 13.727789, 100.772415
1759316219.133212, 8.609250, 3.460070, -2.065149, -1.028338, 0.498251, 0.732306, 45.888580, -104.982574, 95.403870, 13.727789, 100.772415
1759316219.153207, 9.096919, 3.865887, -1.247379, -1.477329, 0.140855, 0.700403, 45.878815, -105.727722, 96.419022, 13.727789, 100.772415
1759316219.173204, 9.875633, 5.019444, -0.866551, -1.855805, 0.152590, 0.800966, 46.357773, -106.599213, 97.106995, 13.727789, 100.772415
1759316219.193076, 10.032603, 4.627842, 0.094571, -2.509377, -0.248716, 1.264089, 47.067001, -107.901413, 98.411713, 13.727789, 100.772415
1759316219.213206, 8.794202, 2.969858, -1.968632, -2.705392, -0.530994, 1.475480, 48.047974, -109.284958, 99.411942, 13.727789, 100.772415
1759316219.233198, 8.728511, 1.786374, -2.230797, -2.593260, -0.357893, 1.341594, 48.803619, -110.583176, 100.494934, 13.727789, 100.772415
1759316219.253195, 8.438513, 0.619350, -3.117400, -2.511981, 0.026244, 0.899842, 48.954117, -112.270676, 101.711090, 13.727789, 100.772415
1759316219.273185, 7.747337, -0.170737, -2.952200, -2.488274, 0.435970, 0.470662, 48.982040, -113.439224, 102.686661, 13.727789, 100.772415
1759316219.293184, 6.984934, 0.215927, -3.232322, -2.206605, 0.134037, 0.521641, 49.223267, -114.625229, 104.085403, 13.727789, 100.772415
1759316219.313189, 6.524349, 0.930447, -5.404162, -1.252263, 0.164139, 0.622149, 49.336090, -115.533646, 103.886078, 13.727789, 100.772415
1759316219.333187, 6.786065, 0.163554, -2.806902, -0.256204, 0.260127, 0.524376, 49.470993, -115.785873, 104.073944, 13.727789, 100.772415
1759316219.353013, 6.794445, 0.803105, -1.911471, -0.843032, -0.007858, -0.037064, 49.481644, -116.197952, 104.254318, 13.727789, 100.772415
