SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Duration,Subject,Activity
1759223377.58876,-0.137517,-3.097498,-8.748862,-0.202577,-0.260176,0.005335,0.00,5,WALK
1759223377.60942,0.048034,-3.231274,-9.434801,-0.207764,-0.532491,0.06214,0.02,5,WALK
1759223377.62943,0.293439,-3.244891,-9.083152,-0.077104,-1.028684,0.081408,0.04,5,WALK
1759223377.64943,0.09083,-3.23711,-8.205677,0.179352,-1.139571,0.033237,0.06,5,WALK
1759223377.66924,-0.286406,-3.595043,-8.189367,0.315737,-1.07883,-0.107925,0.08,5,WALK
1759223377.68943,-0.55755,-3.400664,-8.282142,0.249121,-1.240252,-0.134839,0.10,5,WALK
1759223377.70943,-0.982072,-3.613,-7.878719,0.279499,-1.598209,0.051607,0.12,5,WALK
1759223377.72869,-1.121683,-3.125181,-7.800758,0.610255,-1.951236,0.305629,0.14,5,WALK
1759223377.74944,-1.09011,-2.814534,-6.811055,1.077848,-2.127937,0.384804,0.16,5,WALK
1759223377.76926,-1.202189,-2.778022,-5.676802,1.707856,-1.971884,0.372981,0.18,5,WALK
1759223377.78885,-1.009306,-2.847604,-5.860706,2.158044,-1.753995,0.538889,0.20,5,WALK
1759223377.80942,-1.121983,-3.423259,-7.647379,1.518602,-0.620558,0.81751,0.22,5,WALK
1759223377.82951,0.055665,-3.206285,-10.926837,0.009968,-0.766595,0.282706,0.24,5,WALK
1759223377.84943,-1.190966,-4.243722,-11.980735,-1.050806,-1.501676,0.139597,0.26,5,WALK
1759223377.86928,-2.744204,-4.786159,-10.41792,-1.097066,-2.484646,0.486729,0.28,5,WALK
1759223377.88886,-2.744354,-3.763984,-11.277887,-0.489364,-4.20037,0.549863,0.30,5,WALK
1759223377.98883,-9.022399,-3.940856,-3.021632,-2.11139,-4.568755,-1.427154,0.40,5,WALK
1759223378.00870,-12.292131,-5.63206,-3.774459,-1.747248,-4.386869,0.039827,0.42,5,WALK
1759223378.02910,-11.034277,-5.26036,-2.518251,-1.290142,-2.717058,0.705745,0.44,5,WALK
1759223378.04945,-9.196877,-5.021539,-2.001104,-1.03998,-1.06842,0.815736,0.46,5,WALK
1759223378.06904,-4.266318,-2.589329,-3.886837,-0.826409,0.364652,0.115605,0.48,5,WALK
1759223378.08945,-0.535852,2.083704,0.220715,0.421573,2.236632,-1.912388,0.50,5,WALK
1759223378.10941,-5.37618,-3.992631,-1.758092,0.916101,2.798009,-2.156144,0.52,5,WALK
1759223378.12942,-6.911013,-4.34802,-5.00044,0.089415,2.355801,-1.421696,0.54,5,WALK
1759223378.14948,-6.560561,-5.800851,-5.667674,-0.890775,2.134035,-0.415977,0.56,5,WALK
1759223378.16951,-5.515343,-4.492121,-6.244377,-1.409592,2.391601,-0.417219,0.58,5,WALK
1759223378.18945,-4.193743,-4.299537,-4.845116,-1.17089,3.277647,-1.1063,0.60,5,WALK
1759223378.20940,-2.489521,-3.680187,-6.885574,-0.51138,3.582544,-1.947258,0.62,5,WALK
1759223378.22943,-3.028815,-4.066252,-9.640253,-0.102515,3.00765,-2.315738,0.64,5,WALK
1759223378.24947,-3.11755,-5.953482,-10.010905,-0.172386,2.505666,-2.084285,0.66,5,WALK
1759223378.26943,-3.094655,-6.799682,-9.636512,-0.574904,2.366468,-1.330997,0.68,5,WALK
1759223378.28943,-3.062334,-6.782773,-10.064775,-0.932806,1.839599,-0.517601,0.70,5,WALK
1759223378.30846,-3.059341,-6.227019,-9.945364,-1.000306,1.040483,0.101304,0.72,5,WALK
1759223378.32944,-2.985121,-5.320515,-9.233388,-0.879297,0.455161,0.517572,0.74,5,WALK
1759223378.34942,-2.998588,-4.003404,-9.079262,-0.700481,0.160265,0.669203,0.76,5,WALK
1759223378.36944,-2.816329,-3.049016,-8.527847,-0.485887,0.115978,0.612583,0.78,5,WALK
1759223378.38881,-2.662652,-3.057545,-7.79986,-0.249459,-0.031167,0.473162,0.80,5,WALK
1759223378.40858,-2.296937,-3.455282,-8.337508,-0.367533,-0.146634,0.311651,0.82,5,WALK
1759223378.42944,-2.458247,-2.996942,-8.845528,-0.54762,-0.66626,0.273095,0.84,5,WALK
1759223378.44921,-3.736002,-3.353828,-8.874408,-0.920599,-0.172245,0.435959,0.86,5,WALK
1759223378.46944,-3.478476,-3.768174,-10.791415,-1.630518,-0.386514,0.50998,0.88,5,WALK
1759223378.48944,-3.916615,-3.907487,-9.222166,-1.929488,-0.56316,0.771009,0.90,5,WALK
1759223378.50883,-4.435408,-2.767248,-9.52982,-1.816621,-1.676955,0.998238,0.92,5,WALK
1759223378.52943,-4.850952,-2.386121,-9.589825,-2.033004,-1.414633,1.105864,0.94,5,WALK
1759223378.54940,-3.868431,-1.858798,-10.081534,-2.299202,-1.805506,1.009245,0.96,5,WALK
1759223378.56943,-4.639813,-0.940023,-8.377012,-2.207097,-1.761514,1.096134,0.98,5,WALK
1759223378.58935,-4.91784,0.073322,-7.547721,-1.870569,-1.537007,1.039719,1.00,5,WALK
1759223378.60940,-5.442469,-0.13617,-7.368006,-1.50404,-1.452209,0.729802,1.02,5,WALK
1759223378.62947,-6.844574,-1.745972,-10.979061,-1.38677,-3.398452,1.189611,1.04,5,WALK
1759223378.64940,-10.552444,-4.247014,-11.101913,-0.77151,-4.617671,2.938323,1.06,5,WALK
1759223378.66943,-7.403021,0.903661,-6.507141,-0.118247,-4.263178,3.222887,1.08,5,WALK
1759223378.68944,-4.865167,2.864064,-6.05748,-0.167368,-4.124218,2.249286,1.10,5,WALK
1759223378.70940,-6.360346,1.308431,-5.418677,-0.268481,-3.574921,1.720794,1.12,5,WALK
1759223378.72928,-7.527669,0.698658,-5.282058,-0.269852,-2.689539,1.642783,1.14,5,WALK
1759223378.74940,-4.157082,3.859303,-1.641225,-0.422318,-0.980975,0.872337,1.16,5,WALK
1759223378.76943,-5.050568,3.192069,-1.720084,-0.769091,0.419287,0.415172,1.18,5,WALK
