SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759223377.588768, -0.137517, -3.097498, -8.748862, -0.202577, -0.260176, 0.005335, 4.775787, -131.910980, -187.736206, 13.726891, 100.771290
1759223377.609426, 0.048034, -3.231274, -9.434801, -0.207764, -0.532491, 0.062140, 4.495102, -131.239502, -187.855133, 13.726887, 100.771248
1759223377.629430, 0.293439, -3.244891, -9.083152, -0.077104, -1.028684, 0.081408, 4.841873, -131.206772, -188.441696, 13.726886, 100.771232
1759223377.649433, 0.090830, -3.237110, -8.205677, 0.179352, -1.139571, 0.033237, 5.016098, -131.443314, -188.483231, 13.726886, 100.771232
1759223377.669241, -0.286406, -3.595043, -8.189367, 0.315737, -1.078830, -0.107925, 5.030243, -131.236649, -187.705826, 13.726886, 100.771232
1759223377.689434, -0.557550, -3.400664, -8.282142, 0.249121, -1.240252, -0.134839, 5.241150, -130.731949, -188.469086, 13.726886, 100.771232
1759223377.709436, -0.982072, -3.613000, -7.878719, 0.279499, -1.598209, 0.051607, 4.967911, -131.057343, -187.618454, 13.726886, 100.771232
1759223377.728699, -1.121683, -3.125181, -7.800758, 0.610255, -1.951236, 0.305629, 4.671555, -131.035004, -187.716644, 13.726886, 100.771232
1759223377.749441, -1.090110, -2.814534, -6.811055, 1.077848, -2.127937, 0.384804, 4.401840, -130.738708, -186.212173, 13.726886, 100.771232
1759223377.769261, -1.202189, -2.778022, -5.676802, 1.707856, -1.971884, 0.372981, 4.590500, -130.519836, -185.171494, 13.726886, 100.771232
1759223377.788857, -1.009306, -2.847604, -5.860706, 2.158044, -1.753995, 0.538889, 4.457901, -130.397797, -183.054657, 13.726886, 100.771232
1759223377.809421, -1.121983, -3.423259, -7.647379, 1.518602, -0.620558, 0.817510, 3.949265, -129.566879, -181.614777, 13.726886, 100.771232
1759223377.829513, 0.055665, -3.206285, -10.926837, 0.009968, -0.766595, 0.282706, 3.626282, -130.218735, -181.823990, 13.726886, 100.771232
1759223377.849433, -1.190966, -4.243722, -11.980735, -1.050806, -1.501676, 0.139597, 4.059418, -129.892395, -182.894943, 13.726886, 100.771232
1759223377.869288, -2.744204, -4.786159, -10.417920, -1.097066, -2.484646, 0.486729, 3.740601, -130.658951, -183.536026, 13.726886, 100.771232
1759223377.888867, -2.744354, -3.763984, -11.277887, -0.489364, -4.200370, 0.549863, 4.007477, -130.380447, -184.097305, 13.726886, 100.771232
1759223377.909418, -2.219575, -3.122338, -10.156054, 0.178045, -5.211511, 0.076128, 4.920090, -130.432587, -183.873993, 13.726886, 100.771232
1759223377.929478, -2.171242, -1.419911, -10.188376, 0.150368, -5.691013, -1.012436, 6.172729, -130.093552, -183.455032, 13.726886, 100.771232
1759223377.949472, -5.068076, -2.237082, -8.038682, -0.782463, -5.582027, -1.491934, 8.233231, -130.000748, -184.244171, 13.726886, 100.771232
1759223377.969459, -6.266823, -1.877204, -6.964583, -1.533575, -5.174338, -1.811341, 10.442581, -129.994385, -185.958313, 13.726886, 100.771232
1759223377.988837, -9.022399, -3.940856, -3.021632, -2.111390, -4.568755, -1.427154, 11.445953, -130.008011, -188.116043, 13.726886, 100.771232
1759223378.008703, -12.292131, -5.632060, -3.774459, -1.747248, -4.386869, 0.039827, 11.314453, -130.135651, -190.106339, 13.727120, 100.771656
1759223378.029105, -11.034277, -5.260360, -2.518251, -1.290142, -2.717058, 0.705745, 11.470047, -130.160904, -191.641220, 13.727120, 100.771656
1759223378.049458, -9.196877, -5.021539, -2.001104, -1.039980, -1.068420, 0.815736, 10.766022, -130.179932, -192.203644, 13.727120, 100.771656
1759223378.069042, -4.266318, -2.589329, -3.886837, -0.826409, 0.364652, 0.115605, 10.475433, -130.431259, -192.838196, 13.727120, 100.771656
1759223378.089453, -0.535852, 2.083704, 0.220715, 0.421573, 2.236632, -1.912388, 11.897873, -130.112015, -192.409241, 13.727120, 100.771656
1759223378.109413, -5.376180, -3.992631, -1.758092, 0.916101, 2.798009, -2.156144, 13.936615, -129.780609, -191.552628, 13.727120, 100.771656
1759223378.129428, -6.911013, -4.348020, -5.000440, 0.089415, 2.355801, -1.421696, 15.036514, -129.730515, -190.884003, 13.727120, 100.771656
1759223378.149485, -6.560561, -5.800851, -5.667674, -0.890775, 2.134035, -0.415977, 15.417984, -129.356674, -190.721191, 13.727120, 100.771656
1759223378.169519, -5.515343, -4.492121, -6.244377, -1.409592, 2.391601, -0.417219, 15.571411, -129.618576, -191.670029, 13.727120, 100.771656
1759223378.189450, -4.193743, -4.299537, -4.845116, -1.170890, 3.277647, -1.106300, 16.713730, -129.044632, -192.063904, 13.727120, 100.771656
1759223378.209409, -2.489521, -3.680187, -6.885574, -0.511380, 3.582544, -1.947258, 18.330688, -128.773636, -191.592300, 13.727120, 100.771656
1759223378.229438, -3.028815, -4.066252, -9.640253, -0.102515, 3.007650, -2.315738, 19.970184, -127.797745, -190.582138, 13.727120, 100.771656
1759223378.249477, -3.117550, -5.953482, -10.010905, -0.172386, 2.505666, -2.084285, 21.398148, -127.277710, -189.949905, 13.727120, 100.771656
1759223378.269438, -3.094655, -6.799682, -9.636512, -0.574904, 2.366468, -1.330997, 22.639130, -126.914368, -189.815750, 13.727120, 100.771656
1759223378.289437, -3.062334, -6.782773, -10.064775, -0.932806, 1.839599, -0.517601, 22.954102, -126.732254, -189.304749, 13.727120, 100.771656
1759223378.308460, -3.059341, -6.227019, -9.945364, -1.000306, 1.040483, 0.101304, 22.442200, -127.000244, -189.466690, 13.727120, 100.771656
1759223378.329443, -2.985121, -5.320515, -9.233388, -0.879297, 0.455161, 0.517572, 22.355560, -127.171265, -190.204376, 13.727120, 100.771656
1759223378.349425, -2.998588, -4.003404, -9.079262, -0.700481, 0.160265, 0.669203, 21.952545, -127.340424, -190.069717, 13.727120, 100.771656
1759223378.369449, -2.816329, -3.049016, -8.527847, -0.485887, 0.115978, 0.612583, 21.351624, -127.641434, -190.408676, 13.727120, 100.771656
1759223378.388819, -2.662652, -3.057545, -7.799860, -0.249459, -0.031167, 0.473162, 21.002396, -127.624039, -190.874283, 13.727120, 100.771656
1759223378.408587, -2.296937, -3.455282, -8.337508, -0.367533, -0.146634, 0.311651, 20.884354, -127.985275, -191.005875, 13.727120, 100.771656
1759223378.429448, -2.458247, -2.996942, -8.845528, -0.547620, -0.666260, 0.273095, 20.490295, -127.912094, -191.543457, 13.727120, 100.771656
1759223378.449213, -3.736002, -3.353828, -8.874408, -0.920599, -0.172245, 0.435959, 20.123581, -128.268219, -192.340332, 13.727120, 100.771656
1759223378.469442, -3.478476, -3.768174, -10.791415, -1.630518, -0.386514, 0.509980, 20.000305, -128.294556, -194.071701, 13.727120, 100.771656
1759223378.489443, -3.916615, -3.907487, -9.222166, -1.929488, -0.563160, 0.771009, 19.142441, -128.085678, -195.747833, 13.727120, 100.771656
1759223378.508835, -4.435408, -2.767248, -9.529820, -1.816621, -1.676955, 0.998238, 18.222580, -128.237549, -197.225388, 13.727120, 100.771656
1759223378.529436, -4.850952, -2.386121, -9.589825, -2.033004, -1.414633, 1.105864, 17.068253, -128.185867, -199.146637, 13.727120, 100.771656
1759223378.549409, -3.868431, -1.858798, -10.081534, -2.299202, -1.805506, 1.009245, 15.643448, -127.943359, -200.814606, 13.727120, 100.771656
1759223378.569434, -4.639813, -0.940023, -8.377012, -2.207097, -1.761514, 1.096134, 14.646149, -127.638519, -203.153229, 13.727120, 100.771656
1759223378.589357, -4.917840, 0.073322, -7.547721, -1.870569, -1.537007, 1.039719, 13.788712, -127.235046, -204.831238, 13.727120, 100.771656
1759223378.609404, -5.442469, -0.136170, -7.368006, -1.504040, -1.452209, 0.729802, 12.596970, -126.962280, -205.803909, 13.727120, 100.771656
1759223378.629474, -6.844574, -1.745972, -10.979061, -1.386770, -3.398452, 1.189611, 10.665573, -126.922623, -207.032242, 13.727120, 100.771656
1759223378.649404, -10.552444, -4.247014, -11.101913, -0.771510, -4.617671, 2.938323, 6.547852, -127.103226, -207.602859, 13.727120, 100.771656
1759223378.669435, -7.403021, 0.903661, -6.507141, -0.118247, -4.263178, 3.222887, 2.541077, -126.834503, -207.966782, 13.727120, 100.771656
1759223378.689444, -4.865167, 2.864064, -6.057480, -0.167368, -4.124218, 2.249286, -0.616028, -126.762390, -208.155899, 13.727120, 100.771656
1759223378.709400, -6.360346, 1.308431, -5.418677, -0.268481, -3.574921, 1.720794, -2.762283, -126.180450, -207.476944, 13.727120, 100.771656
1759223378.729281, -7.527669, 0.698658, -5.282058, -0.269852, -2.689539, 1.642783, -4.727463, -125.943985, -207.247421, 13.727120, 100.771656
1759223378.749401, -4.157082, 3.859303, -1.641225, -0.422318, -0.980975, 0.872337, -5.728134, -125.735352, -207.649246, 13.727120, 100.771656
1759223378.769431, -5.050568, 3.192069, -1.720084, -0.769091, 0.419287, 0.415172, -5.856796, -125.443695, -208.204254, 13.727120, 100.771656
1759223378.789454, -6.775890, 2.896984, -2.816778, -1.079435, 1.122152, 0.362151, -5.852005, -124.844498, -209.198746, 13.727120, 100.771656
1759223378.809096, -8.529942, 2.430115, -3.547908, -1.250953, 1.057779, 0.430827, -6.035049, -124.330887, -209.721252, 13.727120, 100.771656
1759223378.829436, -10.045771, 2.467374, -4.315997, -1.302536, 0.731534, 0.529425, -5.591583, -123.735672, -211.470901, 13.727120, 100.771656
1759223378.849412, -10.679037, 2.812888, -5.377676, -1.372853, 0.060805, 0.628654, -6.211395, -122.874405, -211.662552, 13.727120, 100.771656
1759223378.869544, -11.169400, 3.138200, -5.924901, -1.409254, -0.613804, 0.775619, -6.843628, -122.358231, -212.443069, 13.727120, 100.771656
1759223378.889430, -11.247062, 3.142988, -5.702839, -1.407305, -1.010506, 0.835106, -8.092102, -121.504395, -213.721634, 13.727120, 100.771656
1759223378.909404, -10.796652, 3.505411, -5.759851, -1.457186, -1.229756, 0.778958, -8.949844, -120.484070, -213.633209, 13.727120, 100.771656
1759223378.929541, -10.533589, 4.081515, -6.067655, -1.651383, -1.379631, 0.849019, -10.128250, -119.510300, -214.524170, 13.727120, 100.771656
1759223378.949275, -9.975292, 4.397400, -5.891831, -1.815010, -1.490666, 0.906915, -11.737457, -118.848434, -214.194839, 13.727120, 100.771656
1759223378.969487, -9.005640, 4.347721, -5.292682, -1.823587, -1.494791, 0.856291, -12.451950, -117.339645, -215.145386, 13.727120, 100.771656
1759223378.989431, -7.880664, 3.957017, -5.096358, -1.793296, -1.231624, 0.714098, -13.759293, -116.039062, -215.651108, 13.727120, 100.771656
1759223379.009415, -7.155820, 2.574066, -7.786393, -1.647293, -1.919706, 1.091142, -15.380051, -114.911301, -216.182526, 13.727120, 100.771656
1759223379.029405, -9.470564, 1.382203, -4.801721, -0.749218, -2.183517, 2.110569, -17.558548, -113.730606, -215.164490, 13.727120, 100.771656
1759223379.049427, -6.780978, 4.281880, -3.737648, -0.034051, -1.727259, 1.740080, -18.926300, -113.346863, -214.362900, 13.727120, 100.771656
1759223379.069542, -5.299715, 6.818537, -2.136077, -0.063613, -0.927185, 0.460046, -19.317749, -112.819244, -214.160522, 13.727120, 100.771656
1759223379.089429, -7.078607, 7.679701, -2.092832, -0.473846, -0.595653, -0.318354, -19.512711, -112.551849, -213.969437, 13.727120, 100.771656
1759223379.109417, -7.876475, 6.541258, -1.432930, -0.915213, -0.618436, -0.633025, -19.668274, -112.303482, -213.574554, 13.727120, 100.771656
1759223379.129400, -7.634361, 5.174019, -0.049979, -1.152343, -0.165041, -0.526470, -19.341858, -112.363007, -214.314621, 13.727120, 100.771656
1759223379.149444, -7.504775, 4.021211, -0.269497, -1.219327, -0.011405, -0.381975, -19.270401, -111.854706, -214.543121, 13.727120, 100.771656
1759223379.169541, -8.282142, 3.074903, -0.183755, -1.058442, -0.211971, 0.057690, -19.662399, -111.459045, -215.194550, 13.727120, 100.771656
1759223379.189419, -8.398560, 4.173542, -0.582539, -1.124997, -0.563623, 0.061979, -19.864471, -110.773636, -215.202805, 13.727120, 100.771656
1759223379.209411, -5.037400, 1.297208, -1.241543, -0.332574, -0.843199, 2.430550, -21.030487, -109.717026, -215.001862, 13.727120, 100.771656
1759223379.229286, -5.123741, 4.225018, -0.702399, -0.621044, -0.012647, 1.239993, -21.366684, -109.186935, -215.292267, 13.727120, 100.771656
1759223379.249427, -5.205144, 4.860529, -0.727837, -0.279872, 0.617441, -0.188313, -21.459335, -109.049316, -215.185211, 13.727120, 100.771656
1759223379.269431, -7.094618, 4.274099, -1.206229, 0.028408, 0.832590, -0.256590, -20.588058, -108.943680, -216.292908, 13.727120, 100.771656
1759223379.289416, -8.718785, 4.510077, -1.581071, -0.509594, 1.211561, 0.152431, -20.008881, -108.722961, -217.286255, 13.727120, 100.771656
1759223379.309390, -9.198523, 5.449203, -1.319504, -0.468105, 1.227600, 0.683650, -19.943039, -108.051575, -217.138229, 13.727120, 100.771656
1759223379.328637, -7.385663, 7.256526, -1.605013, 0.046634, 0.465424, 0.628208, -19.963272, -107.833801, -217.753906, 13.727120, 100.771656
1759223379.349424, -6.963984, 8.131756, -1.284938, 0.136783, -0.031495, 0.264199, -20.212158, -107.834229, -217.446014, 13.727120, 100.771656
1759223379.369538, -7.060201, 11.315596, -2.034473, 0.239552, -0.761967, -0.590635, -20.312927, -108.341385, -217.041412, 13.727120, 100.771656
1759223379.389428, -8.247127, 8.866627, -1.048361, 0.518628, -1.374429, -0.674603, -20.863098, -108.829056, -216.219696, 13.727120, 100.771656
1759223379.409266, -7.978527, 7.579594, -1.172411, 0.296015, -1.449677, -0.672793, -21.558533, -109.264618, -215.800827, 13.727120, 100.771656
