SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759223391.16069,0.383072,10.437073,-8.298902,0.646299,-0.152115,-0.805407,6,WALK
1759223391.18069,0.488268,5.105934,-5.707029,1.232352,1.207001,-0.996817,6,WALK
1759223391.20068,5.097555,4.298789,6.735189,-0.60471,-0.428834,-0.075751,6,WALK
1759223391.22073,15.76477,13.984382,-2.732832,-0.375141,0.696952,2.988267,6,WALK
1759223391.24072,8.027758,19.155409,10.062231,-1.73649,-0.178834,2.537744,6,WALK
1759223391.26076,1.317559,8.404546,9.364621,-2.014084,0.188936,-0.746082,6,WALK
1759223391.28075,2.800917,3.233968,1.699584,-1.679863,-1.316995,-1.426704,6,WALK
1759223391.30082,5.26066,5.508609,2.459444,-2.162636,-1.826534,-0.482202,6,WALK
1759223391.32072,4.022857,9.927557,2.98108,-2.868244,-0.927092,0.113049,6,WALK
1759223391.34068,3.27841,11.871948,0.774375,-2.990493,-0.714448,0.148757,6,WALK
1759223391.36069,3.742885,12.83741,1.491887,-2.99486,-0.424445,0.010009,6,WALK
1759223391.37992,4.23235,11.162816,-0.365714,-2.342656,-0.293522,0.060003,6,WALK
1759223391.40071,3.77805,8.909573,0.000449,-1.707857,0.005713,0.180052,6,WALK
1759223391.41998,1.922095,7.426065,0.883161,-1.443869,0.260234,0.106003,6,WALK
1759223391.43978,1.074548,7.013963,1.291821,-1.489694,0.124146,-0.100106,6,WALK
1759223391.46069,-0.010774,8.394969,0.901866,-1.547001,-0.152619,-0.109606,6,WALK
1759223391.48069,0.092177,9.18296,-0.079757,-1.584409,-0.396475,0.263373,6,WALK
1759223391.50069,-0.29329,8.839841,0.056114,-1.626398,-0.19871,0.598182,6,WALK
1759223391.52031,-0.65661,8.188469,-0.347608,-1.582913,0.256336,0.480395,6,WALK
1759223391.54072,0.401777,8.627206,0.197222,-1.535509,0.409428,0.160358,6,WALK
