SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759223389.020662, 0.953341, 4.770896, -9.640253, 0.410376, 0.480973, 0.009540, -46.652008, -54.795227, -148.176437
1759223389.040745, 0.529418, 4.283676, -8.720580, 0.521337, 0.337544, -0.069327, -46.242996, -55.315002, -147.607376
1759223389.060586, -0.044592, 4.318242, -8.715044, 0.674511, 0.195277, -0.238011, -46.535187, -55.247009, -146.991058
1759223389.080342, -0.778864, 4.835390, -8.085818, 0.583470, -0.027219, -0.552676, -45.839706, -55.412933, -146.410431
1759223389.100695, -1.324592, 5.454740, -8.539519, 0.285937, -0.457977, -1.223350, -45.584793, -55.219330, -146.781525
1759223389.120688, -1.864185, 6.357503, -10.600178, 0.572424, -0.972872, -2.229462, -44.872223, -55.702301, -146.208496
1759223389.139762, 0.044442, 4.760720, -12.816311, 1.628490, -0.986293, -2.257257, -43.735596, -55.965210, -145.676666
1759223389.160725, 0.671274, 4.720169, -9.531466, 1.685953, -0.754850, -1.931184, -43.239746, -56.149017, -145.194580
1759223389.180678, -0.110732, 2.780566, -7.038654, 0.790796, -1.379293, -1.762246, -42.256241, -56.083023, -144.505219
1759223389.199711, 2.234538, 2.853140, -5.614403, -0.307031, -1.323532, -1.298232, -42.527802, -55.625488, -145.033981
1759223389.220726, -3.492991, 2.077718, -7.703045, -0.445293, -1.200343, -1.520819, -42.344086, -54.806961, -145.733078
1759223389.240858, -3.083432, 0.382324, -7.902811, -0.536875, -0.512855, -1.927621, -41.258377, -54.239563, -145.793976
1759223389.260772, 0.944662, 1.915212, -8.739884, -0.240698, -0.190727, -1.180849, -40.647766, -53.712448, -146.487259
1759223389.280718, -3.416077, 3.541174, -10.735750, -0.171859, -0.346008, -1.260175, -40.278687, -53.227585, -147.046295
1759223389.300700, -3.900005, 4.789900, -11.344925, -0.441269, -1.436359, -1.575706, -40.353058, -52.406876, -147.282379
1759223389.320685, -2.380435, 2.644695, -9.062951, -0.518192, -1.607705, -1.427943, -40.249313, -51.835190, -147.617798
1759223389.340723, -1.072752, 1.039832, -7.035362, -0.041135, -0.508899, -0.996412, -40.018143, -51.268433, -148.506134
1759223389.360781, -0.072874, 0.895731, -5.957073, 0.010437, 0.519652, -0.296178, -39.950912, -51.423813, -148.483932
1759223389.380491, 0.344765, 4.305223, -8.987983, 0.131061, 0.583250, 0.810431, -39.458862, -51.412186, -148.016891
1759223389.400710, -8.976012, 6.503699, -9.127744, -0.259030, -0.585822, -0.323725, -39.983627, -51.494110, -147.961182
1759223389.420703, 0.080655, 3.798999, -7.879767, -0.868678, -1.450499, -0.188920, -40.353622, -50.998352, -148.821426
1759223389.440703, -0.178518, -2.252196, -4.991910, -1.573642, -1.973716, -0.016796, -41.302124, -49.988632, -150.233200
1759223389.460886, 1.163432, 3.531148, -9.935338, -0.648654, -0.958846, 1.427796, -42.897812, -49.861343, -151.297058
1759223389.480675, -6.947075, 3.393631, -10.193164, -0.150313, -0.025773, 0.973537, -43.283386, -49.449432, -151.247894
1759223389.500690, -8.090307, 6.651541, -11.259182, -0.021777, -0.686516, 0.113622, -43.853638, -49.758499, -151.230026
1759223389.520681, -5.801600, 3.606715, -11.366323, 0.360366, -0.692167, -0.389449, -44.537201, -50.032196, -151.364410
1759223389.540709, -0.775422, -0.250643, -9.527426, 0.380655, -0.755510, 0.092491, -44.905609, -50.326157, -151.589539
1759223389.560779, 0.512658, -0.465971, -6.538565, -0.284437, -1.221387, 0.863609, -45.840073, -50.245651, -151.278595
1759223389.580530, -0.934337, 0.505625, -6.057330, -0.832099, -1.626320, 1.298251, -47.344009, -50.136887, -151.876251
1759223389.600684, -4.106654, 3.448847, -6.077980, -1.282755, -1.641597, 1.361089, -48.969894, -49.790863, -153.167938
1759223389.620674, -7.472303, 6.173748, -6.996157, -1.403402, -0.860537, 0.633909, -50.454178, -48.810684, -153.911377
1759223389.640706, -7.384915, 6.575525, -7.844153, -1.330015, -0.397188, -0.088764, -51.066757, -47.968033, -154.378891
1759223389.660688, -4.721964, 3.651606, -6.740575, -1.890754, -1.014254, -0.182096, -51.236938, -46.847900, -155.537186
1759223389.680692, -0.605583, 4.489427, -6.423493, -2.293094, -1.618971, 0.611917, -52.364594, -45.474991, -156.382660
1759223389.700873, -0.088885, 5.256470, -5.884199, -2.988415, -2.301047, 1.461808, -53.995728, -43.130783, -157.447250
1759223389.720714, -0.263362, 2.339434, -5.640141, -4.269417, -3.821901, 2.341082, -57.468765, -40.516037, -159.160904
1759223389.740712, -0.352097, 3.120243, -10.403405, -3.912941, -4.689232, 3.880533, -61.962448, -36.366730, -159.408539
1759223389.760691, -6.705860, 6.303334, -11.331756, -2.050338, -4.144869, 3.645289, -66.393173, -33.599457, -159.632263
1759223389.780100, -6.050447, 5.743989, -4.677821, -1.492232, -3.798902, 2.559955, -70.114761, -31.585114, -159.005859
1759223389.800683, -4.881628, 9.150190, -1.694646, -1.032900, -2.179312, 2.814110, -72.874084, -29.826782, -158.209549
1759223389.820697, -6.225972, 5.778256, 1.922095, -1.212071, -0.378942, 3.189366, -74.227509, -27.784409, -157.420624
1759223389.840684, -6.205771, 6.637475, -0.414197, -1.461041, 3.330349, 1.527305, -72.919296, -25.863663, -158.310776
1759223389.860681, -4.739771, 8.427440, -1.591994, -2.379746, 3.472965, 0.167398, -69.979172, -24.182510, -159.545258
1759223389.880420, -3.132364, 7.753921, -1.879149, -2.117072, 2.562298, 0.089601, -67.555725, -22.249252, -160.370804
1759223389.900685, 1.028010, 9.412953, -14.372692, 1.602794, -0.550216, 0.442330, -66.414841, -21.891144, -160.196304
1759223389.920676, 0.544681, 9.804705, -7.488165, 2.307186, 1.998341, 1.794546, -66.518677, -23.382736, -160.274933
1759223389.940680, -0.921319, 9.621548, -5.844396, 2.083210, 1.768681, 1.879351, -64.115295, -24.768631, -160.884003
1759223389.960688, -0.915333, 7.160010, -4.990863, 1.898905, -0.616192, 1.357327, -63.578369, -26.829880, -161.039886
1759223389.980700, 0.568773, 8.237999, -4.037821, 0.723838, -0.817913, 1.683891, -64.117767, -27.690292, -160.724030
1759223390.000678, -0.835427, 13.394810, -8.645761, -0.326994, -0.882312, 1.840598, -64.929596, -27.552750, -161.051697
1759223390.020708, -6.877195, 12.728923, -3.894169, -1.202934, -1.084739, 0.911343, -66.038345, -26.708221, -161.157181
1759223390.040669, -8.911967, 10.816554, 2.158672, -1.563855, -1.985513, -0.367403, -66.748077, -25.443924, -160.595093
1759223390.060696, -5.884648, 9.156475, 3.174262, -1.553779, -2.373758, -0.562220, -68.400803, -24.417587, -160.297272
1759223390.080671, -0.225055, 7.949647, -2.026243, -1.090384, -0.945196, 0.336814, -69.672501, -23.426086, -159.742447
1759223390.100711, 2.527080, 6.947824, -4.931008, -0.735811, 1.143366, 1.780000, -69.246765, -22.359695, -159.730606
1759223390.120687, 0.620547, 3.986046, 2.083704, -1.545545, 1.134106, 2.073685, -67.743423, -21.016663, -159.961807
1759223390.140691, -0.835726, 3.790769, 5.111770, -2.505207, -0.083409, 1.573213, -67.380936, -19.088593, -159.628281
1759223390.160703, -1.480814, 5.025729, 4.304475, -2.906986, -1.920282, 0.915849, -68.599731, -16.957764, -159.483765
1759223390.180681, -1.050755, 5.159804, 2.777573, -2.698680, -3.197271, 0.614868, -72.075241, -12.506622, -157.223892
