SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759223385.45805,1.438616,14.037653,-9.61257,0.330006,0.778831,-0.303908,7.59,3,WALK
1759223385.47723,3.942352,1.023222,-2.477849,-0.496621,0.933745,0.558986,7.61,3,WALK
1759223385.49819,4.753538,-1.271022,-1.338209,-0.355449,0.825664,0.826423,7.63,3,WALK
1759223385.51815,8.197298,8.272116,-3.168876,0.029031,1.732833,1.394878,7.65,3,WALK
1759223385.53815,10.543466,16.261867,-2.692729,1.393438,1.717951,1.912285,7.67,3,WALK
1759223385.55820,3.540575,14.717906,0.511461,1.348222,0.88135,1.912477,7.69,3,WALK
1759223385.57808,-1.929727,11.146355,3.152266,0.659377,-1.573948,2.099018,7.71,3,WALK
1759223385.59811,-9.008333,10.920852,0.980874,0.631621,-1.740861,1.740685,7.73,3,WALK
1759223385.61807,-12.934226,9.862465,-0.08245,0.487399,-0.959191,0.82855,7.75,3,WALK
1759223385.63806,-8.279149,9.132383,0.9909,0.606211,-1.362037,-0.07407,7.77,3,WALK
1759223385.65807,-1.649306,8.774599,1.326388,0.671655,-1.725711,-0.342511,7.79,3,WALK
1759223385.67712,2.214637,8.325537,1.959355,0.454295,-1.639225,-0.104096,7.81,3,WALK
1759223385.69810,3.158999,7.661146,1.609053,0.271575,-1.580212,0.139784,7.83,3,WALK
1759223385.71801,3.021782,7.858668,0.395343,0.254135,-0.93326,0.229016,7.85,3,WALK
1759223385.73807,2.367865,8.771008,1.171962,0.401287,-0.834479,0.363324,7.87,3,WALK
1759223385.75768,1.110311,8.68766,1.755997,0.251728,-0.998111,0.611601,7.89,3,WALK
1759223385.77793,-1.074548,8.8569,-0.147992,0.321883,-1.08274,0.673021,7.91,3,WALK
1759223385.79795,-0.741903,9.012972,-0.669778,0.485731,-1.181365,0.826204,7.93,3,WALK
1759223385.81793,-0.463727,9.16231,-0.174777,0.428355,-1.483938,1.003211,7.95,3,WALK
1759223385.83795,-1.090409,9.147796,-1.492635,0.470953,-1.278358,1.010165,7.97,3,WALK
1759223385.85764,-0.730381,9.626187,-1.732504,0.684127,-1.030187,0.882825,7.99,3,WALK
1759223385.87700,0.667982,10.573692,-0.1034,0.671348,-1.091421,0.861696,8.01,3,WALK
1759223385.89797,0.387711,10.048913,0.927753,0.275489,-1.262249,0.887258,8.03,3,WALK
1759223385.91785,-0.064943,9.93878,0.354791,0.134686,-1.127361,0.903482,8.05,3,WALK
1759223385.93784,-0.388908,10.600029,1.90369,-0.065887,-0.899669,0.915914,8.07,3,WALK
1759223385.95694,-1.805078,11.660361,1.87466,-0.542851,-0.991811,0.747226,8.09,3,WALK
1759223385.97778,-2.39899,13.926772,0.367211,-0.991439,-1.071165,0.252047,8.11,3,WALK
1759223385.99779,-1.487099,15.235652,1.236007,-1.814073,-0.878711,-0.398776,8.13,3,WALK
1759223386.01713,0.20216,14.658799,1.15625,-2.328484,-1.207015,-1.062696,8.15,3,WALK
1759223386.03724,2.265513,12.048969,-0.753276,-2.4892,-0.842991,-1.679518,8.17,3,WALK
1759223386.05712,5.165191,13.407829,-1.49877,-2.195996,-0.64909,-2.012563,8.19,3,WALK
1759223386.07692,6.390274,14.555848,-0.086939,-1.725947,-0.955085,-1.939517,8.21,3,WALK
1759223386.09772,5.65256,12.239907,1.425747,-1.703852,-0.791218,-1.489101,8.23,3,WALK
1759223386.11771,3.1795,9.253141,0.075417,-1.683577,-0.541682,-1.142598,8.25,3,WALK
1759223386.13769,3.262998,9.999084,-1.71365,-1.51329,0.256135,-0.862218,8.27,3,WALK
1759223386.15684,3.398869,10.830171,0.33848,-1.3958,0.699897,-0.847241,8.29,3,WALK
1759223386.17721,2.76635,9.894487,2.504634,-1.666707,0.070356,-0.96984,8.31,3,WALK
1759223386.19773,1.424849,7.988254,1.311574,-2.001117,-0.880014,-1.040501,8.33,3,WALK
1759223386.21764,2.27524,6.96982,-0.68564,-1.913459,-1.014986,-0.86498,8.35,3,WALK
1759223386.23770,2.495506,5.767931,-0.271143,-1.571466,-1.3218,-0.65905,8.37,3,WALK
1759223386.25763,2.221221,5.626673,-0.760758,-1.120805,-1.231664,-0.763327,8.39,3,WALK
1759223386.27758,3.23307,6.436811,-0.033668,-0.727776,-1.080423,-0.784669,8.41,3,WALK
1759223386.29758,3.095852,6.238541,0.25184,-0.479745,-0.860661,-0.673129,8.43,3,WALK
1759223386.31757,3.055301,5.09127,-0.433051,-0.121636,-0.501104,-0.537961,8.45,3,WALK
1759223386.33756,3.54297,4.65343,0.380678,0.324896,-0.382662,-0.219836,8.47,3,WALK
1759223386.35755,2.193388,4.406079,1.068712,0.806966,-0.289851,0.033421,8.49,3,WALK
1759223386.37750,1.336264,5.902306,2.454655,1.245535,-0.424529,0.233801,8.51,3,WALK
1759223386.39751,-0.452953,8.834903,4.95495,1.70287,-0.851608,0.432152,8.53,3,WALK
1759223386.41750,-2.338536,11.308712,6.857742,1.414203,-0.837057,0.583283,8.55,3,WALK
1759223386.43706,-2.869451,13.433267,7.909245,0.30098,-0.498498,0.108295,8.57,3,WALK
1759223386.45747,-1.128716,12.35423,6.988824,-0.109073,-0.348398,-0.365857,8.59,3,WALK
1759223386.47672,1.584213,9.384073,6.470629,-0.176776,-0.307467,-0.236139,8.61,3,WALK
1759223386.49745,3.983054,6.52824,6.086061,-0.05394,-0.562878,0.085834,8.63,3,WALK
1759223386.51743,2.902072,4.30253,3.495834,0.498538,-0.202859,0.203985,8.65,3,WALK
1759223386.53745,3.478027,10.115801,-3.781193,1.598475,-0.003608,0.433681,8.67,3,WALK
1759223386.55740,4.908263,20.987422,-2.246509,1.347224,0.261828,0.671958,8.69,3,WALK
