SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759223377.864789, 2.541445, -2.148197, -8.516026, -0.215493, 0.102874, -0.099034, -65.723572, -204.757416, -883.932007, 13.726850, 100.771878
1759223377.885264, 2.902371, -1.126322, -9.601796, -0.173379, 0.294917, 0.548533, -65.920609, -205.044418, -883.868103, 13.726850, 100.771878
1759223377.905434, 2.215235, -0.686088, -9.966463, -0.426296, 0.574352, 1.366619, -66.382828, -206.243973, -883.503418, 13.726850, 100.771878
1759223377.924592, 1.393276, -0.736516, -8.683769, -0.926797, 0.248408, 2.250418, -67.111633, -207.940842, -883.610535, 13.726850, 100.771878
1759223377.945369, 1.637484, -0.168642, -9.956587, -1.192212, 0.892689, 3.115094, -67.997406, -210.317825, -883.346130, 13.726850, 100.771878
1759223377.964690, 0.588525, 0.120009, -11.883321, -0.296692, 1.672252, 3.587391, -69.126358, -213.011902, -882.132019, 13.726850, 100.771878
1759223377.985304, -2.295441, -2.422483, -13.422194, 1.739250, 1.966721, 2.572830, -70.098389, -214.808167, -879.793884, 13.726850, 100.771878
1759223378.005274, -2.742857, -5.425261, -10.084377, 2.902631, 0.591062, 0.736225, -70.405502, -215.234894, -878.524719, 13.726850, 100.771878
1759223378.025256, -1.014842, -6.318149, -6.534525, 3.064034, -0.840415, -0.640551, -70.225662, -214.451126, -877.628662, 13.726850, 100.771878
1759223378.044838, 1.045668, -5.046977, -3.975422, 2.572786, -2.056781, -1.281353, -69.505554, -213.405029, -878.118164, 13.726850, 100.771878
1759223378.064601, 1.247678, -3.761889, -2.437746, 1.536142, -3.007623, -1.658056, -69.136780, -212.769547, -878.311890, 13.726850, 100.771878
1759223378.085199, 2.059013, -3.810970, -1.969231, 0.751028, -4.196525, -1.580509, -68.719193, -211.494904, -880.273926, 13.726850, 100.771878
1759223378.105161, 2.499995, -4.725705, -7.751228, -0.432097, -2.397259, -0.898667, -68.597717, -210.416199, -884.453430, 13.726850, 100.771878
1759223378.124385, 4.352210, -2.731934, -6.758083, -1.544268, -0.534935, 0.552753, -68.461105, -210.436722, -884.313049, 13.726850, 100.771878
1759223378.145117, 2.410961, -1.323096, -6.362890, -2.066709, -0.031752, 1.541942, -69.322586, -211.766006, -885.956238, 13.726850, 100.771878
1759223378.164516, 1.393126, -1.166126, -6.198438, -2.133381, -0.853018, 1.850881, -69.664795, -212.073059, -886.450562, 13.726850, 100.771878
1759223378.184242, 1.096694, 0.032471, -6.973412, -2.010398, -1.166145, 2.260917, -70.550446, -213.253220, -888.220642, 13.726850, 100.771878
1759223378.205067, -0.096217, 2.425476, -7.945457, -1.527537, -1.543954, 2.719400, -71.949341, -214.859482, -889.821045, 13.726850, 100.771878
1759223378.224299, -2.547431, 1.822586, -9.809942, -0.577722, -2.259927, 2.575826, -73.525253, -216.548676, -891.547607, 13.726850, 100.771878
