SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759223388.80651,3.867085,14.680197,5.789778,0.832002,-1.440957,-1.705135,7.50,1,WALK
1759223388.82650,4.36014,11.633127,5.102792,-0.363549,-2.115009,-1.399533,7.52,1,WALK
1759223388.84653,-0.90007,9.16261,-5.378574,0.03457,-2.403295,-1.758783,7.54,1,WALK
1759223388.86653,-1.771859,10.372579,-5.851878,0.22805,0.512377,-1.798864,7.56,1,WALK
1759223388.88653,-1.537227,10.743232,-1.194557,0.198844,2.454217,-1.593252,7.58,1,WALK
1759223388.90653,-1.734001,9.502586,2.084601,0.174937,3.061276,-1.647132,7.60,1,WALK
1759223388.92634,0.563236,8.258499,4.307019,0.49113,2.443401,-1.371136,7.62,1,WALK
1759223388.94653,2.032827,5.692514,3.392733,0.665702,1.657251,-1.249184,7.64,1,WALK
1759223388.96652,4.134936,4.074931,0.589871,-0.171671,1.50696,-1.115356,7.66,1,WALK
1759223388.98652,4.646547,3.848679,0.468066,-0.655736,1.280921,-0.59367,7.68,1,WALK
1759223389.00653,4.107552,3.634099,0.285957,-0.823508,1.277563,-0.009433,7.70,1,WALK
1759223389.02636,3.408745,3.987244,-0.037409,-0.97815,1.216218,0.474078,7.72,1,WALK
1759223389.04653,2.987664,4.545541,-0.658106,-1.210394,0.791851,0.930879,7.74,1,WALK
1759223389.06653,3.249829,5.335179,-0.833033,-1.508055,0.379796,1.33083,7.76,1,WALK
1759223389.08653,3.785083,7.408258,-2.688539,-1.421452,0.511054,1.855483,7.78,1,WALK
1759223389.10653,2.656217,12.00318,-5.373037,-1.116741,1.361375,2.36991,7.80,1,WALK
1759223389.12638,-7.475296,18.195933,-6.966828,-0.478621,0.522659,0.976097,7.82,1,WALK
1759223389.14651,-19.050812,25.737967,-3.715651,-0.152733,-1.819637,-2.367518,7.84,1,WALK
1759223389.16653,-6.038027,18.973599,-6.773945,0.560155,-1.07556,-1.998215,7.86,1,WALK
1759223389.18651,1.58137,14.098256,-3.622427,1.067721,-1.642446,0.385821,7.88,1,WALK
1759223389.20652,5.369895,13.758429,2.021005,0.85231,-2.442102,1.356931,7.90,1,WALK
1759223389.22639,4.055478,8.089259,6.577471,0.252875,-2.29627,1.216972,7.92,1,WALK
1759223389.24651,2.51047,3.990386,2.763657,-0.346112,-0.963759,0.737853,7.94,1,WALK
1759223389.26652,1.457321,2.554314,-0.329352,-0.798265,-0.741709,0.490709,7.96,1,WALK
1759223389.28652,2.141613,6.160281,-0.217124,-1.053628,-0.75511,0.883543,7.98,1,WALK
1759223389.30654,3.33213,11.601403,-0.864905,-0.339035,-0.421713,1.481803,8.00,1,WALK
1759223389.32641,2.327613,13.849409,-0.47091,0.575987,0.206816,1.631099,8.02,1,WALK
1759223389.34652,1.165976,13.894151,0.625934,-0.093629,0.910153,1.461051,8.04,1,WALK
1759223389.36652,-1.017386,10.453084,1.630302,-0.892794,0.707592,1.068918,8.06,1,WALK
1759223389.38652,-1.038635,9.237429,1.864784,-0.756352,0.451749,0.724239,8.08,1,WALK
1759223389.40653,-0.90426,7.399729,4.057424,-0.887611,0.462593,0.551973,8.10,1,WALK
1759223389.42642,-1.504756,7.899219,2.927061,-1.308096,0.963908,0.582338,8.12,1,WALK
1759223389.44652,-3.469198,9.75727,0.790386,-1.640098,0.101347,0.60793,8.14,1,WALK
1759223389.46652,-3.110367,8.912266,-2.88232,-0.704871,-0.889596,0.484961,8.16,1,WALK
1759223389.48655,-0.085293,7.83278,-1.815403,-0.423938,-0.79197,0.121316,8.18,1,WALK
1759223389.50652,1.144578,9.036316,-0.233135,-0.770408,-0.451465,0.26434,8.20,1,WALK
1759223389.52644,1.376666,9.657012,0.869843,-0.818571,-0.262128,0.457245,8.22,1,WALK
1759223389.54652,1.31726,9.097817,1.186925,-0.790674,-0.325515,0.665924,8.24,1,WALK
1759223389.56652,1.032799,8.905832,-0.67711,-0.816757,0.250615,0.944616,8.26,1,WALK
1759223389.58620,0.448913,9.444826,-0.832135,-0.658556,0.567216,1.148966,8.28,1,WALK
1759223389.60657,-0.744597,10.741286,0.204106,-0.3435,0.181807,1.137329,8.30,1,WALK
1759223389.62646,-1.909077,11.579856,1.319804,-0.270667,0.080545,0.90381,8.32,1,WALK
