SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759737449.93521,0.270545,-2.308908,-9.197475,0.071329,-0.086025,-0.09328,1,WALK
1759737449.95521,0.315286,-2.32881,-9.022848,-0.070021,-0.142415,-0.042681,1,WALK
1759737449.97523,0.444573,-2.017414,-9.211242,-0.244251,-0.091138,0.160429,1,WALK
1759737449.99489,-0.132429,-2.297386,-9.512014,-0.134001,-0.031154,0.098747,1,WALK
1759737450.01524,-0.132429,-1.860893,-9.543886,0.01921,0.118162,0.012683,1,WALK
1759737450.03523,-0.190189,-2.017713,-9.628881,0.080062,0.187066,-0.016515,1,WALK
1759737450.05521,-0.016759,-1.934515,-9.743952,0.104663,0.152068,-0.024866,1,WALK
1759737450.07523,0.046088,-1.962198,-9.588927,0.095228,0.032409,-0.069191,1,WALK
1759737450.09488,0.098611,-2.08939,-9.503335,0.038851,-0.053315,-0.108079,1,WALK
1759737450.11524,0.122852,-2.184559,-9.498247,-0.039927,-0.092424,-0.076262,1,WALK
1759737450.13522,0.065392,-2.182913,-9.727192,-0.063799,-0.06809,-0.022107,1,WALK
1759737450.15522,0.091877,-2.144307,-9.806201,-0.022958,-0.08056,0.004227,1,WALK
1759737450.17523,0.090231,-2.193837,-9.562142,-0.045131,-0.131864,0.011612,1,WALK
1759737450.19492,-0.011971,-2.164358,-9.41041,-0.111054,-0.132093,-0.019575,1,WALK
1759737450.21524,-0.08679,-2.170942,-9.463531,-0.150074,-0.125286,-0.052241,1,WALK
1759737450.23523,-0.004938,-2.078167,-9.563938,-0.133868,-0.12221,-0.032389,1,WALK
1759737450.25475,-0.070629,-2.058565,-9.590424,-0.089325,-0.079537,-0.026888,1,WALK
1759737450.27524,-0.073921,-2.069338,-9.565434,-0.044944,0.024595,-0.034145,1,WALK
1759737450.29489,-0.013168,-2.090138,-9.531915,-0.019662,0.081031,-0.033192,1,WALK
1759737450.31523,0.042198,-2.076371,-9.373449,-0.015304,0.064468,-0.044834,1,WALK
1759737450.33523,0.054618,-2.13892,-9.354445,-0.042552,0.078072,-0.063276,1,WALK
1759737450.35477,0.163255,-2.172888,-9.418041,-0.061011,0.066151,-0.055061,1,WALK
1759737450.37524,0.323816,-2.20506,-9.457845,-0.079421,0.013122,-0.021158,1,WALK
1759737450.39496,0.257077,-2.152238,-9.453056,-0.079488,-0.027928,0.001723,1,WALK
1759737450.41524,0.017957,-2.164059,-9.512762,-0.064789,-0.002327,-0.008643,1,WALK
1759737450.43523,-0.104148,-2.086397,-9.520693,-0.058994,0.0072,-0.049407,1,WALK
1759737450.45521,-0.088585,-2.099266,-9.594614,-0.039405,0.032307,-0.101504,1,WALK
1759737450.47522,-0.064344,-2.13458,-9.640852,-0.02994,0.070234,-0.115944,1,WALK
1759737450.49492,0.025887,-2.219425,-9.468619,-0.061914,0.070763,-0.118181,1,WALK
1759737450.51524,-0.03726,-2.163311,-9.684097,-0.024506,0.09045,-0.123117,1,WALK
1759737450.53526,0.092177,-2.165256,-9.614216,0.024606,0.012528,-0.110553,1,WALK
1759737450.55521,0.156521,-2.19653,-9.487024,0.019337,-0.055742,-0.125512,1,WALK
1759737450.57522,0.107889,-2.269703,-9.340679,-0.024669,-0.061164,-0.143648,1,WALK
1759737450.59493,0.027084,-2.364274,-9.324069,-0.058355,-0.058191,-0.155287,1,WALK
1759737450.61523,-0.015562,-2.342128,-9.344569,-0.058359,-0.039253,-0.166239,1,WALK
1759737450.63522,-0.071676,-2.286463,-9.449166,-0.058051,-0.003617,-0.161773,1,WALK
1759737450.65520,-0.012121,-2.157475,-9.635165,-0.022913,-0.015528,-0.185053,1,WALK
1759737450.67522,-0.127192,-2.176329,-9.645939,0.036477,-0.053187,-0.236736,1,WALK
1759737450.69497,-0.148889,-2.296638,-9.490017,0.036673,-0.007615,-0.276709,1,WALK
1759737450.71523,-0.087837,-2.387169,-9.279626,0.014129,-0.005785,-0.292399,1,WALK
1759737450.73522,-0.022146,-2.471714,-9.224111,-0.020931,-0.017211,-0.269725,1,WALK
1759737450.75520,-0.044592,-2.508076,-9.250148,-0.036611,0.01046,-0.234162,1,WALK
1759737450.77522,-0.046388,-2.561945,-9.306411,-0.02985,0.030219,-0.176656,1,WALK
1759737450.79502,-0.0621,-2.558354,-9.308357,-0.000715,0.036724,-0.137744,1,WALK
1759737450.81523,-0.155324,-2.554613,-9.10889,-0.001415,0.056762,-0.133664,1,WALK
1759737450.83521,-0.09502,-2.609979,-8.977358,-0.049683,0.064181,-0.142715,1,WALK
1759737450.85520,-0.042946,-2.634819,-9.02225,-0.091415,0.024987,-0.124572,1,WALK
1759737450.87522,0.032771,-2.582146,-9.098116,-0.111378,-0.010009,-0.084105,1,WALK
1759737450.89502,-0.055366,-2.599953,-9.225757,-0.096619,-0.019967,-0.057471,1,WALK
1759737450.91523,-0.138415,-2.672977,-9.261221,-0.090578,-0.012802,-0.051691,1,WALK
1759737450.93520,-0.16535,-2.710685,-9.311798,-0.058929,0.002103,-0.086065,1,WALK
1759737450.95520,-0.14859,-2.710236,-9.374796,0.008792,0.036774,-0.119139,1,WALK
1759737450.97522,-0.121955,-2.835034,-9.318083,0.064935,0.068973,-0.139819,1,WALK
1759737450.99504,-0.097115,-2.879327,-9.320328,0.07092,0.114822,-0.109417,1,WALK
1759737451.01523,-0.027833,-2.940229,-9.244013,0.029105,0.081457,-0.07085,1,WALK
1759737451.03520,-0.043395,-2.892645,-9.462184,0.018739,0.070418,-0.056794,1,WALK
1759737451.05488,-0.044592,-2.802712,-9.724349,0.082019,0.098853,-0.060057,1,WALK
1759737451.07522,0.001347,-2.724452,-10.037242,0.206432,0.178059,-0.042449,1,WALK
1759737451.09506,0.168492,-2.700659,-9.995193,0.285653,0.149789,0.02319,1,WALK
1759737451.11524,0.166547,-2.69647,-9.789142,0.24264,0.091019,0.079137,1,WALK
1759737451.13522,0.002693,-2.767547,-9.682002,0.142051,0.030832,0.086344,1,WALK
1759737451.15488,-0.188843,-2.8283,-9.804705,0.075899,0.038558,0.045286,1,WALK
1759737451.17522,0.051176,-2.87813,-10.002376,-0.072748,0.23143,0.072822,1,WALK
1759737451.19507,0.502184,-2.698714,-10.278158,-0.214962,0.230331,0.242424,1,WALK
1759737451.21523,0.58628,-2.448221,-10.886285,-0.163571,0.131148,0.353385,1,WALK
1759737451.23522,0.551115,-1.967585,-10.979659,-0.008562,0.110045,0.343691,1,WALK
1759737451.25520,0.220865,-2.068141,-10.629208,0.137602,0.103292,0.197381,1,WALK
1759737451.27521,0.282366,-2.141164,-9.987113,0.264603,-0.007986,0.043312,1,WALK
1759737451.29508,0.460285,-2.266411,-9.450363,0.34096,-0.035579,-0.029767,1,WALK
1759737451.31432,0.727239,-2.282123,-9.160964,0.349688,0.032599,0.008094,1,WALK
1759737451.33522,1.016189,-2.260575,-9.013421,0.363561,0.033663,0.10218,1,WALK
1759737451.35520,1.100884,-2.26282,-8.975413,0.380112,0.00808,0.190629,1,WALK
1759737451.37521,1.179444,-2.263418,-8.725219,0.343854,-0.052947,0.257069,1,WALK
1759737451.39510,1.166575,-2.253991,-8.508993,0.230575,-0.105931,0.32962,1,WALK
1759737451.41521,0.968155,-2.343774,-8.405892,0.03821,-0.108289,0.37681,1,WALK
1759737451.43522,0.840814,-2.286762,-8.652944,-0.112767,-0.082727,0.382612,1,WALK
1759737451.45520,0.763301,-2.185607,-8.847772,-0.158501,-0.13085,0.344063,1,WALK
1759737451.47520,0.595857,-2.173187,-8.930671,-0.152587,-0.210922,0.241353,1,WALK
1759737451.49511,0.44592,-2.291401,-8.871265,-0.126096,-0.274675,0.129354,1,WALK
1759737451.51519,0.225055,-2.519598,-8.733898,-0.108912,-0.252402,0.021336,1,WALK
1759737451.53519,0.215628,-2.685097,-8.65863,-0.109711,-0.16713,-0.040755,1,WALK
1759737451.55499,0.28895,-2.74166,-8.648305,-0.119416,-0.127847,-0.044031,1,WALK
1759737451.57520,0.286855,-2.862268,-8.882787,-0.104077,-0.074234,-0.033799,1,WALK
1759737451.59514,0.350451,-2.8699,-8.930971,-0.071703,-0.104752,-0.062136,1,WALK
1759737451.61522,0.395193,-2.873491,-8.902839,-0.064185,-0.133122,-0.076831,1,WALK
1759737451.63521,0.470461,-2.904167,-8.847024,-0.074082,-0.18293,-0.085079,1,WALK
1759737451.65519,0.415095,-2.897433,-9.002946,-0.094484,-0.16923,-0.061651,1,WALK
1759737451.67521,0.347459,-2.854038,-9.252692,-0.090903,-0.172938,-0.023714,1,WALK
1759737451.69517,0.303914,-2.702904,-9.555259,-0.08428,-0.160025,-0.007392,1,WALK
1759737451.71522,0.185401,-2.52304,-9.858574,-0.073935,-0.161758,-0.029373,1,WALK
1759737451.73524,-0.073771,-2.34123,-10.089914,0.023848,-0.247016,-0.102347,1,WALK
1759737451.75447,-0.47061,-2.473809,-10.101885,0.160214,-0.300766,-0.239153,1,WALK
1759737451.77520,-0.668581,-2.828151,-9.831191,0.184201,-0.126056,-0.362448,1,WALK
1759737451.79518,-0.41719,-3.057545,-9.893739,-0.006575,0.199617,-0.329454,1,WALK
1759737451.81520,-0.260669,-3.1587,-10.369886,-0.252102,0.348102,-0.171219,1,WALK
1759737451.83521,0.027384,-2.611176,-10.745027,-0.372703,0.285089,-0.012938,1,WALK
1759737451.85447,-0.084246,-2.128296,-10.779743,-0.35404,0.113704,0.01059,1,WALK
1759737451.87520,-0.31394,-1.748665,-10.658687,-0.318858,-0.01986,-0.062025,1,WALK
1759737451.89519,-0.703746,-1.608754,-10.261698,-0.183013,-0.230061,-0.224357,1,WALK
1759737451.91521,-1.117793,-1.636886,-9.631125,0.012729,-0.343454,-0.469958,1,WALK
1759737451.93521,-1.290325,-1.872415,-9.216479,0.094695,-0.131019,-0.646612,1,WALK
1759737451.95447,-1.263091,-2.132485,-9.283517,0.079413,0.174803,-0.661467,1,WALK
1759737451.97521,-0.931494,-2.091485,-9.597906,0.076442,0.346875,-0.577318,1,WALK
1759737451.99469,-0.625036,-1.878251,-9.796774,0.087665,0.329352,-0.516138,1,WALK
1759737452.01521,-0.465822,-1.763928,-9.7239,0.050496,0.204485,-0.506742,1,WALK
1759737452.03521,-0.434398,-1.783231,-9.77373,0.014676,0.105655,-0.500335,1,WALK
1759737452.05471,-0.38397,-1.795651,-9.728988,0.035362,-0.030813,-0.449024,1,WALK
1759737452.07521,-0.54902,-1.785177,-9.454403,0.08902,-0.120855,-0.446142,1,WALK
1759737452.09470,-0.682198,-1.82094,-9.223512,0.152354,-0.110765,-0.49402,1,WALK
1759737452.11521,-0.664092,-1.993622,-8.952818,0.234602,-0.102519,-0.559228,1,WALK
1759737452.13520,-0.444573,-2.137573,-8.694843,0.305582,-0.110417,-0.602699,1,WALK
1759737452.15471,-0.283414,-2.295441,-8.584111,0.383534,-0.097221,-0.611705,1,WALK
1759737452.17521,-0.154576,-2.437447,-8.529493,0.475028,-0.01091,-0.598809,1,WALK
1759737452.19472,-0.130035,-2.717269,-8.469638,0.539429,0.077186,-0.561458,1,WALK
1759737452.21521,0.142305,-2.805107,-8.484153,0.576374,0.074818,-0.500652,1,WALK
1759737452.23521,0.278775,-2.814384,-8.661324,0.569549,0.079263,-0.41678,1,WALK
1759737452.25493,0.488118,-2.857031,-8.739285,0.471413,0.051776,-0.258023,1,WALK
1759737452.27520,0.581641,-2.829497,-8.633641,0.274407,-0.074008,-0.055853,1,WALK
1759737452.29473,0.292392,-2.760066,-9.043797,0.008568,-0.081417,0.086493,1,WALK
1759737452.31520,0.126144,-2.750788,-9.809942,-0.168926,0.03793,0.193421,1,WALK
1759737452.33520,0.377386,-2.438644,-10.426449,-0.251603,0.207877,0.364032,1,WALK
1759737452.35493,0.557699,-2.275838,-10.791116,-0.283598,0.17268,0.553956,1,WALK
1759737452.37520,0.815076,-1.896657,-11.042806,-0.420476,0.159295,0.668151,1,WALK
1759737452.39474,0.773926,-1.769016,-11.153837,-0.469286,0.068856,0.583406,1,WALK
1759737452.41520,0.707337,-1.552939,-10.927885,-0.243287,-0.223352,0.323435,1,WALK
1759737452.43520,0.665738,-1.528997,-9.941174,0.100703,-0.548118,-0.017046,1,WALK
1759737452.45489,0.787992,-2.016666,-9.024045,0.270731,-0.587938,-0.277722,1,WALK
1759737452.47520,1.258452,-2.264167,-8.417414,0.253521,-0.329269,-0.310965,1,WALK
1759737452.49476,1.641225,-2.375048,-8.066664,0.103345,-0.018917,-0.084221,1,WALK
1759737452.51521,1.871069,-2.348413,-8.18802,-0.101484,0.157252,0.129541,1,WALK
1759737452.53521,2.106598,-1.957709,-8.513781,-0.285855,0.157762,0.31215,1,WALK
1759737452.55492,1.775899,-1.922694,-8.804078,-0.456811,0.027734,0.405258,1,WALK
1759737452.57521,0.966509,-1.799691,-8.947581,-0.670872,-0.102149,0.293015,1,WALK
1759737452.59477,0.446668,-1.516128,-8.779537,-0.88427,-0.265939,0.043128,1,WALK
1759737452.61520,0.336834,-1.806724,-9.16665,-0.803263,-0.392789,-0.034887,1,WALK
1759737452.63519,0.240468,-2.121263,-9.601497,-0.655813,-0.21177,0.012663,1,WALK
1759737452.65467,0.032471,-2.314146,-9.448567,-0.473694,0.005635,0.018666,1,WALK
1759737452.67520,-0.097863,-2.320131,-9.170241,-0.267008,0.066156,0.033433,1,WALK
1759737452.69479,-0.357335,-2.467674,-8.900894,-0.1504,0.048051,0.019131,1,WALK
1759737452.71520,-0.459088,-2.704251,-8.814403,-0.100924,0.034508,-0.030705,1,WALK
1759737452.73520,-0.398036,-2.723704,-8.991873,-0.027231,0.03521,-0.070728,1,WALK
1759737452.75492,-0.292542,-2.763956,-9.362975,0.071972,0.080736,-0.034943,1,WALK
1759737452.77520,-0.361824,-2.870648,-9.625588,0.118756,0.107481,0.03328,1,WALK
1759737452.79481,-0.521936,-2.941127,-9.95943,0.132616,-0.003212,0.04596,1,WALK
1759737452.81520,-0.608875,-2.853589,-10.323498,0.128755,-0.102861,-0.011218,1,WALK
1759737452.83520,-0.607379,-2.801964,-11.052533,-0.000094,0.119995,-0.0694,1,WALK
1759737452.85492,-0.208296,-2.779967,-12.210428,-0.175217,0.427217,-0.006669,1,WALK
1759737452.87441,0.09517,-2.539051,-12.967445,-0.177901,0.352178,0.165321,1,WALK
1759737452.89483,0.207098,-1.791461,-13.088652,-0.02746,0.139054,0.302091,1,WALK
1759737452.91520,-0.256329,-1.39163,-12.70109,0.045423,-0.016094,0.288088,1,WALK
1759737452.93520,-1.034594,-1.320253,-11.591527,0.206582,-0.30888,-0.020281,1,WALK
1759737452.95492,-1.495478,-1.113004,-10.060884,0.511967,-0.585616,-0.508244,1,WALK
1759737452.97513,-1.590199,-1.490989,-8.738836,0.740052,-0.589369,-0.943276,1,WALK
1759737452.99484,-1.289278,-2.004695,-7.830685,0.741437,-0.390237,-1.186738,1,WALK
1759737453.01520,-0.799514,-2.449568,-7.558794,0.553223,-0.144981,-1.200577,1,WALK
1759737453.03520,-0.185251,-2.520945,-7.757213,0.281559,0.057899,-0.963483,1,WALK
1759737453.05492,0.212186,-2.301726,-8.289325,0.046519,0.184213,-0.591999,1,WALK
1759737453.07520,0.333692,-1.940351,-8.71669,-0.052814,0.106016,-0.318333,1,WALK
1759737453.09488,0.153827,-1.545158,-9.061904,-0.086578,0.023618,-0.201437,1,WALK
1759737453.11519,-0.097264,-1.441758,-9.353847,-0.075107,-0.060287,-0.165107,1,WALK
1759737453.13520,-0.176572,-1.351527,-9.458743,-0.044885,-0.191633,-0.185773,1,WALK
1759737453.15491,-0.116418,-1.345841,-9.198074,-0.040058,-0.407176,-0.297536,1,WALK
1759737453.17519,0.011223,-1.425597,-9.022549,-0.029788,-0.525053,-0.428534,1,WALK
1759737453.19490,0.1857,-1.596184,-8.872014,0.004575,-0.481052,-0.484924,1,WALK
1759737453.21520,0.415843,-1.821838,-8.877849,0.073949,-0.285827,-0.456962,1,WALK
1759737453.23518,0.717213,-1.956961,-8.761581,0.208901,-0.131902,-0.355476,1,WALK
1759737453.25491,0.920271,-2.052579,-8.469039,0.315973,-0.014816,-0.232201,1,WALK
1759737453.27521,1.057339,-2.307861,-8.323292,0.283356,0.119419,-0.121038,1,WALK
1759737453.29493,1.207127,-2.458845,-8.276905,0.171611,0.172444,0.014111,1,WALK
1759737453.31517,1.257554,-2.557157,-8.34903,0.073406,0.133438,0.166726,1,WALK
1759737453.33518,1.25127,-2.641553,-8.40694,-0.071833,0.140976,0.315272,1,WALK
1759737453.35492,1.032799,-3.070115,-8.894609,-0.28563,0.322879,0.452089,1,WALK
1759737453.37518,1.360954,-3.26629,-10.610054,-0.645589,0.896107,0.72361,1,WALK
1759737453.39493,2.101062,-2.952649,-12.098948,-1.084425,1.151396,1.240462,1,WALK
1759737453.41518,2.468422,-1.921048,-13.437756,-1.180894,0.825877,1.6987,1,WALK
1759737453.43518,2.429067,-0.492008,-13.880384,-0.954917,0.315792,1.935716,1,WALK
1759737453.45492,1.094749,-0.350002,-13.437158,-0.511199,-0.131185,1.726457,1,WALK
1759737453.47518,-0.162058,-0.441132,-11.994352,0.156433,-0.51276,1.080922,1,WALK
1759737453.49493,-0.545728,-0.711527,-9.810092,0.818486,-0.70296,0.233862,1,WALK
