SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759223381.306341, 0.251391, -4.375104, -7.900566, -0.080814, 0.208718, 0.053878, 123.953537, 168.485855, -594.319824, , 
1759223381.325610, 0.013767, -4.525340, -7.770381, -0.249042, 0.352394, 0.065655, 124.103653, 168.553284, -594.088013, 13.727161, 100.771574
1759223381.346462, -0.524330, -4.768651, -7.869442, -0.253852, 0.181728, -0.086896, 124.436356, 168.688065, -594.272339, 13.727161, 100.771574
1759223381.366489, 0.289698, -4.281880, -8.226327, -0.013112, 0.071016, -0.265428, 124.093430, 168.794968, -593.812744, 13.727161, 100.771574
1759223381.386463, 0.413598, -3.472790, -7.949498, 0.189299, -0.219736, -0.316598, 123.793884, 168.801697, -594.061890, 13.727161, 100.771574
1759223381.406373, -0.468366, -4.346823, -6.207566, 0.276866, -0.967978, -0.633480, 123.297684, 168.892593, -595.037048, 13.727161, 100.771574
1759223381.425647, -0.059705, -4.601805, -7.177817, 0.548170, -1.383073, -1.039906, 122.350967, 169.013199, -595.613831, 13.727161, 100.771574
1759223381.446483, 0.693421, -2.631527, -7.713370, 0.244533, -1.637475, -0.469183, 121.310867, 169.014969, -595.617493, 13.727161, 100.771574
1759223381.466466, 1.456273, -0.618452, -4.601207, 0.600707, -3.672121, 0.436343, 119.598267, 168.482635, -596.150879, 13.727161, 100.771574
1759223381.485918, -1.341800, -3.620931, -7.666683, 0.701999, -3.342852, 0.047917, 117.289474, 168.388916, -598.689209, 13.727161, 100.771574
1759223381.506372, -2.743157, -6.425139, -10.189273, -0.091521, -1.187015, -1.245202, 115.440109, 168.119614, -599.384033, 13.727161, 100.771574
1759223381.525644, -2.011878, -3.006818, -6.928520, -0.379425, -1.706759, -1.056667, 114.457367, 168.690277, -599.244507, 13.727161, 100.771574
1759223381.546465, -1.878850, -3.732411, -6.681618, -0.397343, -2.138531, -0.487751, 112.478210, 169.031326, -599.399780, 13.727161, 100.771574
1759223381.566467, -2.869900, -5.420921, -7.135768, -0.857533, -2.599889, -0.432528, 111.049484, 169.398270, -598.592957, 13.727161, 100.771574
1759223381.586471, -3.460370, -3.355474, -5.849484, -0.727055, -4.398738, -0.062439, 108.585236, 169.936859, -598.908936, 13.727161, 100.771574
