SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759223387.13394,-0.019902,8.226028,0.608426,-0.385744,2.78698,-0.121007,2,WALK
1759223387.15394,-0.125995,9.521441,1.2182,-0.351082,2.647429,-0.290669,2,WALK
1759223387.17302,-0.992397,10.476278,1.590498,-0.461542,2.045448,-0.445862,2,WALK
1759223387.19396,-0.801758,9.511265,1.449091,-0.965876,-0.113337,-0.914671,2,WALK
1759223387.21401,3.106926,8.181885,-0.078111,-0.872598,-1.003772,-0.903904,2,WALK
1759223387.23318,6.120777,8.442703,0.03726,-0.344217,-1.762824,-0.70425,2,WALK
1759223387.25394,8.238897,10.105476,0.537947,-0.072372,-1.459515,-0.36144,2,WALK
1759223387.27321,8.810512,10.513688,1.312172,-0.02396,-0.327659,0.165169,2,WALK
1759223387.29395,6.526893,10.033201,0.920421,0.313855,0.55269,0.669034,2,WALK
1759223387.31407,4.058172,11.365126,0.598251,0.478913,1.07329,0.933409,2,WALK
1759223387.33396,4.319439,15.360001,-1.135749,0.887978,0.620025,1.185554,2,WALK
1759223387.35403,6.112098,17.135601,-2.498349,1.60428,-0.801153,1.214919,2,WALK
1759223387.37343,7.884256,15.098584,-1.806425,1.747197,-1.935585,1.410711,2,WALK
1759223387.39414,7.18066,11.286117,-3.040636,2.116187,-2.335677,1.894599,2,WALK
1759223387.41396,6.648997,10.246136,-5.073912,2.918355,-2.773482,2.58457,2,WALK
1759223387.43396,4.047847,13.517962,0.326509,2.645403,-2.856978,2.394415,2,WALK
1759223387.45401,-1.268927,17.39193,4.60794,1.917044,-2.252477,1.072088,2,WALK
1759223387.47361,-0.958429,16.447417,6.7925,1.543598,-0.663863,0.30624,2,WALK
1759223387.49401,-2.6839,16.4133,7.128287,1.252684,1.096692,-0.463196,2,WALK
1759223387.51398,-5.108628,13.425935,3.235464,1.121788,1.136366,-0.47626,2,WALK
1759223387.53393,-3.962553,10.766126,-7.441927,1.375632,-0.375516,1.004525,2,WALK
1759223387.55398,-3.0143,8.726416,-3.506159,1.157346,0.406323,0.976274,2,WALK
1759223387.57382,-2.449867,6.966528,2.943821,0.501354,0.546279,0.371951,2,WALK
1759223387.59414,2.614019,6.930017,8.922292,-0.127938,-0.755373,1.313891,2,WALK
1759223387.61401,8.454824,8.301595,-0.49964,0.910023,-0.330334,1.522664,2,WALK
1759223387.63413,-0.846201,5.217265,-0.64,0.813956,-1.238672,0.744819,2,WALK
1759223387.65395,-1.27192,2.990208,0.502333,0.455368,-1.924319,0.507326,2,WALK
1759223387.67404,-1.262792,2.848501,0.478092,0.301621,-1.925271,0.313119,2,WALK
1759223387.69394,-2.343475,2.875885,1.079935,-0.111219,-1.900817,0.003839,2,WALK
1759223387.71401,-3.532495,3.188328,1.283292,-0.652967,-1.791991,-0.470253,2,WALK
1759223387.73400,-4.237587,3.596989,0.070928,-1.263754,-1.851037,-1.027122,2,WALK
1759223387.75403,-2.926912,4.685902,-2.169147,-1.636297,-1.664403,-1.450885,2,WALK
1759223387.77394,1.195754,7.542035,-6.35885,-1.244391,-1.00807,-1.359604,2,WALK
1759223387.79414,7.13098,13.15539,-12.760047,-0.579282,0.497928,-0.452528,2,WALK
1759223387.81400,6.069002,21.815068,-11.349713,-0.795585,1.935606,0.599442,2,WALK
1759223387.83410,7.199215,19.505112,-7.563732,-0.470159,1.592408,1.201012,2,WALK
1759223387.85400,6.2761,10.995221,-7.157466,0.223426,0.980806,0.967909,2,WALK
1759223387.87414,3.839551,5.960215,-7.369053,0.627854,1.381002,0.469239,2,WALK
1759223387.89394,-0.533009,9.126547,0.128239,0.360756,0.816939,-0.112855,2,WALK
1759223387.91398,-2.029984,14.60478,5.559785,-0.186851,0.124003,-0.449381,2,WALK
1759223387.93394,-1.253065,13.42773,-0.909048,0.093762,1.658365,-0.214815,2,WALK
1759223387.95409,-4.777779,9.594464,-0.248548,0.095713,2.450995,-0.087646,2,WALK
1759223387.97398,-6.520608,6.761225,3.385252,-0.200708,2.210267,-0.761943,2,WALK
1759223387.99402,-5.842151,7.082647,4.163666,-0.406042,2.02288,-1.519089,2,WALK
1759223388.01394,-2.725499,9.290999,3.122338,-0.394234,1.395145,-1.369167,2,WALK
1759223388.03402,-1.785626,9.452607,3.036147,-0.383021,0.637697,-1.010223,2,WALK
1759223388.05400,-0.40477,10.635044,3.325247,-0.419451,-0.626392,-0.990569,2,WALK
1759223388.07401,1.805078,12.240206,3.436278,-0.819538,-1.592714,-0.705529,2,WALK
1759223388.09400,3.745878,11.729194,3.30759,-1.161221,-2.425872,-0.290206,2,WALK
1759223388.11414,5.076007,10.62831,2.782212,-1.989249,-2.166149,-0.688767,2,WALK
1759223388.13393,7.740604,9.529222,0.678756,-3.3456,0.801103,-1.349263,2,WALK
1759223388.15400,8.341399,8.071003,-1.02382,-3.278993,1.684692,-1.285194,2,WALK
1759223388.17396,4.966173,7.963115,-3.884443,-2.372673,2.288948,-0.39915,2,WALK
1759223388.19414,2.300529,8.203732,-4.713435,-1.123593,3.400317,-0.049605,2,WALK
1759223388.21400,1.212214,8.253561,-2.925864,-0.389387,3.505664,0.244324,2,WALK
1759223388.23317,0.09068,9.520543,-1.062577,-0.199644,2.619006,0.182872,2,WALK
1759223388.25395,0.856226,10.306589,-1.248277,-0.057224,1.937502,-0.154852,2,WALK
1759223388.27312,1.689558,9.249549,-0.112079,-0.015921,1.420472,-0.390622,2,WALK
1759223388.29397,2.631228,8.340201,0.972196,-0.147936,0.616934,-0.63858,2,WALK
1759223388.31406,4.305822,7.633912,0.579846,0.011151,-0.09627,-0.902237,2,WALK
1759223388.33394,6.896947,8.23351,0.775871,0.171032,-0.636413,-0.727475,2,WALK
1759223388.35413,7.084592,9.02195,2.002899,0.132655,-1.071367,-0.458865,2,WALK
1759223388.37393,6.962937,9.474754,2.442086,-0.027714,-1.309823,-0.180514,2,WALK
1759223388.39397,6.850559,10.229526,2.177526,-0.075999,-1.160706,0.153428,2,WALK
1759223388.41399,6.230461,10.622773,0.9086,0.03625,-0.483459,0.569889,2,WALK
1759223388.43411,5.662137,11.55756,-0.543035,0.363865,0.418776,0.921658,2,WALK
1759223388.45400,7.145794,15.844228,-1.71769,0.970213,0.59295,1.626659,2,WALK
1759223388.47400,7.638551,15.956905,-2.327613,1.592331,0.331257,1.922859,2,WALK
1759223388.49394,8.277803,11.527931,-1.770213,2.007081,-0.668458,1.915866,2,WALK
1759223388.51396,9.531915,10.775703,-2.063951,2.129271,-1.851078,2.91727,2,WALK
1759223388.53392,5.673959,14.973636,-1.507748,2.054636,-2.131477,3.697979,2,WALK
1759223388.55393,-0.626084,17.688512,2.48967,1.735727,-2.796821,2.823466,2,WALK
1759223388.57394,-3.701136,17.82947,6.978499,1.088359,-3.704554,0.984869,2,WALK
1759223388.59393,-4.106654,16.026936,6.539762,0.662758,-2.542692,-0.361771,2,WALK
1759223388.61400,-4.283077,13.517064,4.465635,0.84561,-0.720041,-0.774642,2,WALK
1759223388.63392,-3.035249,9.980978,2.910302,0.845704,0.535642,-0.594765,2,WALK
1759223388.65392,1.553388,8.336909,-1.545906,-0.632219,-0.255827,0.544558,2,WALK
1759223388.67394,1.560421,9.694422,-3.971083,-0.60672,0.312397,1.716591,2,WALK
1759223388.69393,-0.32621,9.054272,-0.682647,0.338646,-0.588946,1.815915,2,WALK
1759223388.71394,-1.439065,5.452645,0.602441,0.877125,-1.528594,1.214992,2,WALK
