SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759223382.914217, 0.061202, -2.859874, -9.306561, 0.206777, -0.057927, 0.082674, 28.291962, -43.817429, -259.289551, 13.726872, 100.771797
1759223382.933144, 0.268599, -2.846257, -9.419538, 0.218177, -0.135987, -0.045901, 28.329437, -43.675064, -259.214325, 13.726872, 100.771797
1759223382.954014, 0.424971, -3.151069, -9.405322, 0.096451, -0.209183, -0.115444, 28.616058, -43.903534, -258.601013, 13.726872, 100.771797
1759223382.974079, 0.292691, -3.192518, -9.282469, -0.058444, -0.241351, -0.138540, 28.747528, -43.637650, -258.692566, 13.726872, 100.771797
1759223382.994026, 0.218471, -3.202843, -9.492860, 0.116720, -0.361859, -0.089156, 28.785507, -43.605362, -258.628906, 13.726872, 100.771797
1759223383.014057, 0.100407, -3.120243, -9.138368, 0.317145, -0.259823, -0.136752, 28.928406, -43.524643, -258.132416, 13.726872, 100.771797
1759223383.033378, 0.277877, -3.420716, -9.124751, 0.263865, -0.173502, -0.129715, 28.608398, -43.632660, -258.036865, 13.726872, 100.771797
1759223383.054030, 0.196624, -3.591452, -9.172037, 0.180708, -0.172666, -0.064428, 29.092285, -43.572983, -258.052643, 13.726872, 100.771797
1759223383.074128, 0.159364, -3.438074, -9.159168, 0.138578, -0.176455, -0.054459, 28.858978, -43.510086, -257.482452, 13.726872, 100.771797
1759223383.093564, 0.178817, -3.342904, -9.188946, 0.041835, -0.152431, -0.084494, 29.024536, -43.327087, -257.975800, 13.726871, 100.771799
1759223383.114226, 0.053720, -3.461866, -9.359832, -0.026782, -0.104040, -0.104622, 29.340271, -43.593765, -258.018372, 13.726871, 100.771799
1759223383.134056, 0.060903, -3.585616, -9.326313, 0.066588, -0.133168, -0.081198, 29.382263, -43.460739, -257.989197, 13.726871, 100.771799
1759223383.154125, 0.102651, -3.632453, -9.195979, 0.158218, -0.126270, -0.061506, 28.984650, -43.834793, -257.950439, 13.726871, 100.771799
1759223383.174011, 0.211288, -3.506907, -9.413702, 0.146330, -0.086316, -0.089299, 29.294220, -43.776459, -258.311401, 13.726871, 100.771799
1759223383.194045, 0.225953, -3.657293, -9.257330, 0.200389, -0.031058, -0.034313, 29.272751, -43.439224, -257.131775, 13.726871, 100.771799
1759223383.214207, 0.109086, -3.581576, -9.286061, 0.240497, 0.056137, -0.060704, 29.353577, -43.395203, -257.226379, 13.726871, 100.771799
1759223383.233829, 0.098312, -3.703680, -9.035119, 0.302858, 0.163114, -0.103837, 29.676956, -43.379410, -257.320404, 13.726871, 100.771799
1759223383.254052, 0.138116, -3.929035, -8.787319, 0.393413, 0.193243, 0.009062, 29.726151, -43.745438, -256.503662, 13.726871, 100.771799
1759223383.274015, 0.207847, -3.860351, -8.744971, 0.295728, 0.200912, 0.030286, 29.526260, -43.616608, -256.506714, 13.726871, 100.771799
1759223383.293922, 0.378284, -3.786580, -9.064447, 0.292291, 0.329090, -0.019026, 29.357315, -43.179428, -256.276367, 13.726871, 100.771799
1759223383.314005, 0.403872, -3.720739, -9.048586, 0.463813, 0.391993, -0.015865, 29.722443, -43.352615, -256.044373, 13.726871, 100.771799
1759223383.333993, 0.442329, -3.934422, -8.921244, 0.597716, 0.438673, 0.040175, 29.130341, -43.491180, -256.054626, 13.726871, 100.771799
1759223383.354021, 0.234482, -3.771017, -8.702025, 0.644097, 0.656755, 0.163132, 29.502930, -43.525970, -255.146317, 13.726871, 100.771799
1759223383.373986, 0.301969, -3.969287, -8.928876, 0.710437, 0.571683, 0.272694, 29.307068, -42.891068, -254.549026, 13.726871, 100.771799
1759223383.394007, 0.483479, -4.251653, -8.633042, 0.560475, 0.447636, 0.252396, 28.657883, -43.162567, -254.680817, 13.726871, 100.771799
1759223383.414010, 0.274286, -4.032135, -8.447492, 0.430354, 0.486332, 0.160533, 28.531189, -43.045395, -253.968948, 13.726871, 100.771799
1759223383.434006, 0.360477, -4.074482, -8.586655, 0.452106, 0.504486, 0.140231, 27.988037, -43.002533, -253.491119, 13.726871, 100.771799
