SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759259125.69286,0.979079,6.353912,-2.330456,0.308324,-0.402175,0.352704,6.28,4,WALK
1759259125.71336,0.46657,5.481076,-1.547253,-0.006532,-0.105189,-0.158155,6.30,4,WALK
1759259125.73379,0.934786,5.385457,-1.981202,-0.107947,-0.068684,-0.478367,6.32,4,WALK
1759259125.75381,1.670853,5.532252,-3.033454,-0.439737,0.016172,-0.705881,6.34,4,WALK
1759259125.77381,2.501941,6.232556,-3.387795,-0.933817,0.269252,-0.781862,6.36,4,WALK
1759259125.79351,3.585616,7.63077,-4.188357,-1.287277,0.524826,-0.602689,6.38,4,WALK
1759259125.81387,4.770148,9.635764,-5.912182,-1.364734,0.864924,-0.301095,6.40,4,WALK
1759259125.83378,5.836465,11.118673,-6.273557,-1.040522,1.339016,0.019891,6.42,4,WALK
1759259125.85381,6.832902,11.224915,-4.952705,-0.651388,1.746882,0.242969,6.44,4,WALK
1759259125.87381,7.233482,10.20738,-3.679589,-0.535805,1.818091,0.28019,6.46,4,WALK
1759259125.89382,7.132177,8.197896,-3.448847,-0.485909,1.644043,0.238022,6.48,4,WALK
1759259125.91380,6.757485,5.957372,-3.988291,-0.440293,1.364736,0.110644,6.50,4,WALK
1759259125.93379,6.231059,4.693982,-3.052158,-0.479233,0.990096,-0.235682,6.52,4,WALK
1759259125.95381,4.360889,9.777171,-1.376816,-0.764249,0.136413,-0.472804,6.54,4,WALK
1759259125.97385,3.390489,14.44347,0.319476,-1.29794,-0.597296,-0.493028,6.56,4,WALK
1759259125.99320,3.062483,16.6198,2.533814,-1.138237,-1.584357,-0.827371,6.58,4,WALK
1759259126.01381,1.425298,15.993716,0.805948,-0.446763,-2.158326,-1.164353,6.60,4,WALK
1759259126.03379,0.437989,11.525836,0.642993,-0.430649,-2.182008,-0.992261,6.62,4,WALK
1759259126.05382,0.413748,6.911761,0.28895,-0.476883,-1.761489,-0.60459,6.64,4,WALK
1759259126.07345,0.570119,4.393959,0.550068,-0.103446,-1.168661,-0.533501,6.66,4,WALK
1759259126.09381,0.909946,3.66672,1.214459,0.160599,-0.987217,-0.569382,6.68,4,WALK
1759259126.11382,1.253664,5.621436,2.331952,0.168287,-1.431803,-0.391245,6.70,4,WALK
1759259126.13379,1.603666,9.032425,2.817526,-0.092093,-2.366253,0.088979,6.72,4,WALK
1759259126.15382,2.00275,11.691635,1.812261,-0.231117,-2.733691,0.520269,6.74,4,WALK
1759259126.17386,2.290503,12.883798,0.493505,-0.204018,-2.141539,0.638879,6.76,4,WALK
1759259126.19291,1.946037,11.734132,-0.781108,-0.219753,-0.680425,0.370353,6.78,4,WALK
1759259126.21382,1.526304,9.41026,-0.409857,-0.366849,0.806393,0.275659,6.80,4,WALK
1759259126.23337,1.317858,7.58932,0.061202,-0.576416,1.339283,0.301264,6.82,4,WALK
1759259126.25383,1.327286,6.955305,0.361824,-0.744623,1.439369,0.265888,6.84,4,WALK
1759259126.27381,1.557279,7.545476,0.467767,-0.885881,1.28734,0.186456,6.86,4,WALK
1759259126.29381,2.082058,8.757241,0.258424,-1.140706,1.006034,0.097376,6.88,4,WALK
1759259126.31368,2.589479,9.234286,-0.142305,-1.668354,0.78925,-0.087762,6.90,4,WALK
1759259126.33323,2.673725,9.956886,1.017536,-2.029529,0.406745,-0.235036,6.92,4,WALK
1759259126.35288,2.804957,10.205584,1.196951,-1.912801,-0.225762,-0.217196,6.94,4,WALK
1759259126.37389,2.836979,10.151864,-0.55321,-1.836556,-0.531786,-0.285073,6.96,4,WALK
1759259126.39381,2.45286,9.916484,-4.553921,-2.057171,0.156111,-0.307979,6.98,4,WALK
1759259126.41382,2.454655,9.510218,-5.030517,0.289876,1.906513,-0.26834,7.00,4,WALK
1759259126.43380,2.842366,9.149442,0.562188,0.738338,2.135341,-0.068928,7.02,4,WALK
