SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude, Longitude
1759259119.412745, 1.138144, 3.495834, -8.321497, 0.032998, -0.096349, 0.160266, 23.574905, -163.026733, 48.452316, , 
1759259119.433698, 0.807744, 3.965546, -9.419538, 0.102166, -0.219407, 0.241317, 23.461975, -162.498062, 47.953293, 13.767913, 100.802499
1759259119.453716, 0.880468, 3.785382, -9.504831, 0.018776, -0.113855, 0.308798, 23.571533, -162.431107, 47.381027, 13.767913, 100.802499
1759259119.473335, 0.898873, 3.895665, -9.450213, -0.033960, 0.038257, 0.397327, 23.365952, -162.448944, 47.900940, 13.767913, 100.802499
1759259119.493703, 0.910246, 3.527108, -8.862137, 0.056255, 0.077735, 0.456004, 23.007874, -162.192307, 47.882263, 13.767913, 100.802499
1759259119.513709, 0.942867, 3.605368, -8.740033, 0.018820, -0.022160, 0.479128, 22.866714, -162.220947, 47.615997, 13.767913, 100.802499
1759259119.533708, 0.971896, 3.754707, -8.831462, -0.062632, -0.041719, 0.587431, 22.528168, -161.842667, 47.482224, 13.767913, 100.802499
1759259119.553715, 1.195754, 3.922002, -8.940548, -0.100283, -0.071222, 0.724371, 22.175308, -161.531860, 47.641693, 13.767913, 100.802499
1759259119.573704, 1.081132, 3.409942, -8.742727, -0.049070, -0.151059, 0.744129, 21.685394, -161.197037, 47.769043, 13.767913, 100.802499
1759259119.593716, 0.791733, 3.045275, -8.900744, 0.025730, -0.306801, 0.651773, 20.985519, -161.087143, 48.198730, 13.767913, 100.802499
1759259119.613704, 0.966809, 3.285892, -9.370756, 0.154404, -0.325381, 0.579224, 20.621033, -160.947098, 48.926819, 13.767913, 100.802499
1759259119.633717, 1.186776, 4.352210, -9.968857, 0.005290, -0.095841, 0.684304, 20.399460, -160.645645, 48.459183, 13.767913, 100.802499
1759259119.653707, 1.823783, 5.214571, -10.057592, -0.272544, 0.348589, 1.010662, 19.893661, -160.119171, 48.386078, 13.767913, 100.802499
1759259119.673713, 2.384475, 5.726332, -9.941174, -0.525738, 0.674973, 1.484789, 19.531433, -159.269531, 47.979599, 13.767913, 100.802499
1759259119.693720, 2.750938, 7.029825, -10.660781, -0.550432, 1.184117, 2.181357, 19.430130, -158.071045, 46.926605, 13.767913, 100.802499
1759259119.713722, 3.737498, 7.828142, -10.024672, -0.726508, 1.759299, 3.184903, 18.914825, -155.949310, 45.949615, 13.767913, 100.802499
1759259119.733705, 4.247164, 5.835567, -7.823054, -0.927367, 1.781730, 3.855825, 18.561447, -153.291931, 44.948166, 13.767913, 100.802499
1759259119.753646, 3.439720, 2.880524, -6.354361, -0.972390, 1.175876, 3.898305, 17.816284, -150.589142, 43.942093, 13.767913, 100.802499
1759259119.773714, 3.004573, 2.116923, -6.870461, -0.924297, 0.939130, 3.625670, 17.905045, -148.159332, 43.370651, 13.767913, 100.802499
1759259119.793724, 3.453337, 1.873313, -5.792921, -1.206931, 0.684984, 3.378682, 17.238159, -145.638916, 42.603699, 13.767913, 100.802499
1759259119.813727, 2.596811, 2.780416, -6.351218, -1.583270, 0.277339, 3.204353, 17.174789, -142.733231, 41.761688, 13.767913, 100.802499
1759259119.833715, 0.389806, 2.359037, -9.966164, -1.803222, 0.760937, 2.946837, 17.395004, -139.859543, 41.268814, 13.767913, 100.802499
1759259119.853177, 0.083797, 1.911171, -10.256311, -1.867107, 1.671547, 2.684479, 18.589188, -137.035980, 40.221130, 13.767913, 100.802499
1759259119.872972, 2.216283, -0.126444, -7.925256, -1.859457, 1.352569, 1.963398, 19.345520, -134.467545, 39.850739, 13.767913, 100.802499
1759259119.893218, 1.625214, -0.871340, -9.023148, -0.985651, 1.195103, 1.044817, 20.029968, -133.418793, 39.026947, 13.767913, 100.802499
1759259119.913737, 5.405958, 1.937358, -4.988170, -0.436545, 0.307133, 1.258299, 20.562317, -132.405411, 38.928391, 13.767913, 100.802499
1759259119.933705, 4.943727, 2.092832, -5.758504, -0.682004, 0.173811, 1.666809, 20.914185, -131.060852, 39.231934, 13.767913, 100.802499
